marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ALAT00ITA,EURA14,2009-03-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ALAT00ITA,EURA14,2009-03-26 11:59:00,0.001225,0.000775,-0.00176,0.001225,0.000775,-0.00176
ALAT00ITA,EURA14,2009-03-27 11:59:00,0.00245,0.00155,-0.00352,0.00245,0.00155,-0.00352
ALAT00ITA,EURA14,2009-03-28 11:59:00,0.00286,0.00063,-0.00489,0.00286,0.00063,-0.00489
ALAT00ITA,EURA14,2009-03-29 11:59:00,0.00452,-0.00394,-0.00069,0.00452,-0.00394,-0.00069
ALAT00ITA,EURA14,2009-03-30 11:59:00,0.00388,0.0038,-0.00122,0.00388,0.0038,-0.00122
ALAT00ITA,EURA14,2009-03-31 11:59:00,0.00297,0.00026,-0.00393,0.00297,0.00026,-0.00393
ALAT00ITA,EURA14,2009-04-01 11:59:00,0.0034,0.00067,0.00137,0.0034,0.00067,0.00137
ALAT00ITA,EURA14,2009-04-02 11:59:00,0.00443,0.00123,-0.00376,0.00443,0.00123,-0.00376
ALAT00ITA,EURA14,2009-04-03 11:59:00,0.00416,0.00133,-0.00829,0.00416,0.00133,-0.00829
ALAT00ITA,EURA14,2009-04-04 11:59:00,0.00528,0.00152,-0.00188,0.00528,0.00152,-0.00188
ALAT00ITA,EURA14,2009-04-05 11:59:00,0.00227,0.00101,-0.00332,0.00227,0.00101,-0.00332
ALAT00ITA,EURA14,2009-04-06 11:59:00,0.00202,0.0001,-0.00969,0.003251261862396204,0.004823500889679716,-0.005702028469750891
ALAT00ITA,EURA14,2009-04-07 11:59:00,0.00242,0.00055,-0.00424,0.0036512618623962038,0.005273500889679716,-0.0002520284697508897
ALAT00ITA,EURA14,2009-04-08 11:59:00,0.00214,-0.0009,-0.00838,0.003371261862396204,0.003823500889679716,-0.00439202846975089
ALAT00ITA,EURA14,2009-04-09 11:59:00,0.00137,-0.00137,-0.00708,0.0026012618623962036,0.003353500889679716,-0.0030920284697508902
ALAT00ITA,EURA14,2009-04-10 11:59:00,0.00229,-0.001125,-0.00733,0.003521261862396204,0.0035985008896797155,-0.0033420284697508896
ALAT00ITA,EURA14,2009-04-11 11:59:00,0.00321,-0.00088,-0.00758,0.004441261862396204,0.0038435008896797154,-0.00359202846975089
ALAT00ITA,EURA14,2009-04-12 11:59:00,0.00469,-0.0014,0.00025,0.005921261862396204,0.0033235008896797154,0.00423797153024911
ALAT00ITA,EURA14,2009-04-13 11:59:00,0.00059,0.00057,-0.00718,0.001821261862396204,0.005293500889679716,-0.0031920284697508896
ALAT00ITA,EURA14,2009-04-14 11:59:00,0.00152,-0.00138,-0.00148,0.002751261862396204,0.0033435008896797154,0.00250797153024911
ALAT00ITA,EURA14,2009-04-15 11:59:00,0.00237,-0.00246,-0.00678,0.003601261862396204,0.0022635008896797156,-0.0027920284697508894
ALAT00ITA,EURA14,2009-04-16 11:59:00,0.0047,-0.00085,-0.01039,0.005931261862396204,0.0038735008896797155,-0.00640202846975089
ALAT00ITA,EURA14,2009-04-17 11:59:00,0.00174,-0.00052,-0.00518,0.002971261862396204,0.004203500889679716,-0.0011920284697508896
ALAT00ITA,EURA14,2009-04-18 11:59:00,0.0041,-0.00293,-0.00438,0.005331261862396204,0.0017935008896797157,-0.0003920284697508901
ALAT00ITA,EURA14,2009-04-19 11:59:00,0.00352,-0.00171,-0.00458,0.0047512618623962045,0.003013500889679716,-0.0005920284697508897
ALAT00ITA,EURA14,2009-04-20 11:59:00,0.00477,-0.002,6e-05,0.006001261862396204,0.0027235008896797155,0.00404797153024911
ALAT00ITA,EURA14,2009-04-21 11:59:00,0.00316,-0.00173,-0.00243,0.0043912618623962035,0.002993500889679716,0.0015579715302491103
ALAT00ITA,EURA14,2009-04-22 11:59:00,0.00306,-0.00175,-0.00197,0.004291261862396204,0.0029735008896797158,0.00201797153024911
ALAT00ITA,EURA14,2009-04-23 11:59:00,0.00352,-0.0027,-0.00043,0.0047512618623962045,0.0020235008896797154,0.0035579715302491103
ALAT00ITA,EURA14,2009-04-24 11:59:00,0.00455,-0.00092,-0.01161,0.005781261862396204,0.0038035008896797158,-0.00762202846975089
ALAT00ITA,EURA14,2009-04-25 11:59:00,0.00289,-0.00245,-0.0057,0.004121261862396204,0.0022735008896797157,-0.00171202846975089
ALAT00ITA,EURA14,2009-04-26 11:59:00,0.00048,-0.00277,-0.00954,0.0017112618623962039,0.0019535008896797157,-0.00555202846975089
