marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ALIF00ITA,EURA14,2008-09-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ALIF00ITA,EURA14,2008-09-26 11:59:00,0.00107,-0.00015,0.00485,0.00107,-0.00015,0.00485
ALIF00ITA,EURA14,2008-09-27 11:59:00,0.00036,-0.00061,0.00219,0.00036,-0.00061,0.00219
ALIF00ITA,EURA14,2008-09-28 11:59:00,9e-05,-0.00093,-0.00025,9e-05,-0.00093,-0.00025
ALIF00ITA,EURA14,2008-09-29 11:59:00,0.00089,-0.00083,-0.00188,0.00089,-0.00083,-0.00188
ALIF00ITA,EURA14,2008-09-30 11:59:00,0.00113,5e-05,0.00062,0.00113,5e-05,0.00062
ALIF00ITA,EURA14,2008-10-01 11:59:00,0.00138,-0.00195,0.00944,0.00138,-0.00195,0.00944
ALIF00ITA,EURA14,2008-10-02 11:59:00,-0.00038,0.00077,0.00547,-0.00038,0.00077,0.00547
ALIF00ITA,EURA14,2008-10-03 11:59:00,0.00211,0.00054,-0.00249,0.00211,0.00054,-0.00249
ALIF00ITA,EURA14,2008-10-04 11:59:00,-0.00157,-0.00147,0.00823,-0.00157,-0.00147,0.00823
ALIF00ITA,EURA14,2008-10-05 11:59:00,0.00144,-0.00107,-0.00595,0.00144,-0.00107,-0.00595
ALIF00ITA,EURA14,2008-10-06 11:59:00,0.00084,-0.00029,-0.00413,0.00084,-0.00029,-0.00413
ALIF00ITA,EURA14,2008-10-07 11:59:00,0.00125,-0.00067,-0.00088,0.00125,-0.00067,-0.00088
ALIF00ITA,EURA14,2008-10-08 11:59:00,0.00157,0.00081,-0.00208,0.00157,0.00081,-0.00208
ALIF00ITA,EURA14,2008-10-09 11:59:00,0.0002,-0.00121,0.01061,0.0002,-0.00121,0.01061
ALIF00ITA,EURA14,2008-10-10 11:59:00,0.00021,0.00084,-0.00591,0.00021,0.00084,-0.00591
ALIF00ITA,EURA14,2008-10-11 11:59:00,-5e-05,0.00046,-0.00251,-5e-05,0.00046,-0.00251
ALIF00ITA,EURA14,2008-10-12 11:59:00,0.00195,0.00018,0.00217,0.00195,0.00018,0.00217
ALIF00ITA,EURA14,2008-10-13 11:59:00,0.00046,0.00046,0.00066,0.00046,0.00046,0.00066
ALIF00ITA,EURA14,2008-10-14 11:59:00,0.00235,1e-05,0.00145,0.00235,1e-05,0.00145
ALIF00ITA,EURA14,2008-10-15 11:59:00,3e-05,0.00069,0.00135,3e-05,0.00069,0.00135
ALIF00ITA,EURA14,2008-10-16 11:59:00,2e-05,-0.00066,0.00231,2e-05,-0.00066,0.00231
ALIF00ITA,EURA14,2008-10-17 11:59:00,0.00046,-0.00141,0.00517,0.00046,-0.00141,0.00517
ALIF00ITA,EURA14,2008-10-18 11:59:00,-7e-05,-0.00161,0.00044,-7e-05,-0.00161,0.00044
ALIF00ITA,EURA14,2008-10-19 11:59:00,0.00031,-0.00078,-0.00066,0.00031,-0.00078,-0.00066
ALIF00ITA,EURA14,2008-10-20 11:59:00,0.0012,0.00039,-0.00377,0.0012,0.00039,-0.00377
ALIF00ITA,EURA14,2008-10-21 11:59:00,0.00127,-0.00153,-0.00416,0.00127,-0.00153,-0.00416
ALIF00ITA,EURA14,2008-10-22 11:59:00,8e-05,-0.00071,0.00466,8e-05,-0.00071,0.00466
ALIF00ITA,EURA14,2008-10-23 11:59:00,-0.00069,-0.001,0.00223,-0.00069,-0.001,0.00223
ALIF00ITA,EURA14,2008-10-24 11:59:00,0.00043,0.00048,0.00377,0.00043,0.00048,0.00377
ALIF00ITA,EURA14,2008-10-25 11:59:00,0.00124,6e-05,0.00327,0.00124,6e-05,0.00327
ALIF00ITA,EURA14,2008-10-26 11:59:00,0.00114,-0.00013,0.0002,0.00114,-0.00013,0.0002
ALIF00ITA,EURA14,2008-10-27 11:59:00,0.00058,-0.00095,0.00592,0.00058,-0.00095,0.00592
ALIF00ITA,EURA14,2008-10-28 11:59:00,-0.00017,-0.00117,0.00609,-0.00017,-0.00117,0.00609
ALIF00ITA,EURA14,2008-10-29 11:59:00,-0.00097,-0.00625,-0.00135,-0.00097,-0.00625,-0.00135
ALIF00ITA,EURA14,2008-10-30 11:59:00,-0.00185,-0.0019,-0.0003,-0.00185,-0.0019,-0.0003
ALIF00ITA,EURA14,2008-10-31 11:59:00,0.00149,-0.00072,-0.00222,0.00149,-0.00072,-0.00222
ALIF00ITA,EURA14,2008-11-01 11:59:00,-0.00076,-0.00019,0.00029,-0.00076,-0.00019,0.00029
ALIF00ITA,EURA14,2008-11-02 11:59:00,0.00033,5e-05,0.00079,0.00033,5e-05,0.00079
ALIF00ITA,EURA14,2008-11-03 11:59:00,0.00068,0.00055,0.00478,0.00068,0.00055,0.00478
ALIF00ITA,EURA14,2008-11-04 11:59:00,0.00019,-0.00288,0.00134,0.00019,-0.00288,0.00134
ALIF00ITA,EURA14,2008-11-05 11:59:00,-0.00031,-0.00133,0.00171,-0.00031,-0.00133,0.00171
ALIF00ITA,EURA14,2008-11-06 11:59:00,0.00028,-0.00078,0.00142,0.00028,-0.00078,0.00142
ALIF00ITA,EURA14,2008-11-07 11:59:00,0.00109,-0.00078,0.00033,0.00109,-0.00078,0.00033
ALIF00ITA,EURA14,2008-11-08 11:59:00,0.00029,-0.00023,-0.00227,0.00029,-0.00023,-0.00227
ALIF00ITA,EURA14,2008-11-09 11:59:00,0.00132,-0.00025,-0.00516,0.00132,-0.00025,-0.00516
ALIF00ITA,EURA14,2008-11-10 11:59:00,0.00153,0.00088,-0.00663,0.00153,0.00088,-0.00663
ALIF00ITA,EURA14,2008-11-11 11:59:00,0.00064,0.00128,-0.00504,0.00064,0.00128,-0.00504
