marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ALPA00ITA,EURA14,2014-09-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ALPA00ITA,EURA14,2014-09-23 11:59:00,0.00057,-0.00355,-0.00314,0.00057,-0.00355,-0.00314
ALPA00ITA,EURA14,2014-09-24 11:59:00,0.00179,-0.0006,-0.00677,0.00179,-0.0006,-0.00677
ALPA00ITA,EURA14,2014-09-25 11:59:00,0.00063,-0.00281,-0.00253,0.00063,-0.00281,-0.00253
ALPA00ITA,EURA14,2014-09-26 11:59:00,0.00035,-0.0017,-0.00527,0.00035,-0.0017,-0.00527
ALPA00ITA,EURA14,2014-09-27 11:59:00,-0.00151,-0.0018,-0.00573,-0.00151,-0.0018,-0.00573
ALPA00ITA,EURA14,2014-09-28 11:59:00,0.00011,-0.00143,-0.00692,0.00011,-0.00143,-0.00692
ALPA00ITA,EURA14,2014-09-29 11:59:00,0.00092,-0.00208,-0.00998,0.00092,-0.00208,-0.00998
ALPA00ITA,EURA14,2014-09-30 11:59:00,0.00197,-0.0011,-0.00352,0.00197,-0.0011,-0.00352
ALPA00ITA,EURA14,2014-10-01 11:59:00,-0.00078,4e-05,-0.0094,-0.00078,4e-05,-0.0094
ALPA00ITA,EURA14,2014-10-02 11:59:00,1e-05,-0.00222,-0.00449,1e-05,-0.00222,-0.00449
ALPA00ITA,EURA14,2014-10-03 11:59:00,-0.00024,9e-05,0.00516,-0.00024,9e-05,0.00516
ALPA00ITA,EURA14,2014-10-04 11:59:00,0.00032,-0.00161,-0.00177,0.00032,-0.00161,-0.00177
ALPA00ITA,EURA14,2014-10-05 11:59:00,-0.00102,-0.00268,0.00451,-0.00102,-0.00268,0.00451
ALPA00ITA,EURA14,2014-10-06 11:59:00,0.00083,-0.0015,0.00208,0.00083,-0.0015,0.00208
ALPA00ITA,EURA14,2014-10-07 11:59:00,0.00124,-0.00031,0.00284,0.00124,-0.00031,0.00284
ALPA00ITA,EURA14,2014-10-08 11:59:00,0.00094,-0.00124,-0.00828,0.00094,-0.00124,-0.00828
ALPA00ITA,EURA14,2014-10-09 11:59:00,-0.0001,-0.00115,-0.00135,-0.0001,-0.00115,-0.00135
ALPA00ITA,EURA14,2014-10-10 11:59:00,0.00021,-0.0013,-0.00127,0.00021,-0.0013,-0.00127
ALPA00ITA,EURA14,2014-10-11 11:59:00,0.00165,-0.00164,-0.00235,0.00165,-0.00164,-0.00235
ALPA00ITA,EURA14,2014-10-12 11:59:00,0.00133,-0.0027,-0.0036,0.00133,-0.0027,-0.0036
ALPA00ITA,EURA14,2014-10-13 11:59:00,0.00054,-0.00184,-0.00668,0.00054,-0.00184,-0.00668
ALPA00ITA,EURA14,2014-10-14 11:59:00,0.00085,-0.00131,-0.0055,0.00085,-0.00131,-0.0055
ALPA00ITA,EURA14,2014-10-15 11:59:00,0.00244,-0.00089,-0.0016,0.00244,-0.00089,-0.0016
ALPA00ITA,EURA14,2014-10-16 11:59:00,0.00086,-0.00178,-0.00566,0.00086,-0.00178,-0.00566
ALPA00ITA,EURA14,2014-10-17 11:59:00,0.001,-0.00142,-0.0062,0.001,-0.00142,-0.0062
ALPA00ITA,EURA14,2014-10-18 11:59:00,0.00126,-0.00186,-0.00387,0.00126,-0.00186,-0.00387
ALPA00ITA,EURA14,2014-10-19 11:59:00,0.00024,-0.00119,-0.00828,0.00024,-0.00119,-0.00828
ALPA00ITA,EURA14,2014-10-20 11:59:00,0.00121,-0.00198,-0.00649,0.00121,-0.00198,-0.00649
ALPA00ITA,EURA14,2014-10-21 11:59:00,0.00198,-0.00214,-0.002,0.00198,-0.00214,-0.002
ALPA00ITA,EURA14,2014-10-22 11:59:00,0.0011,-0.00052,-0.00126,0.0011,-0.00052,-0.00126
ALPA00ITA,EURA14,2014-10-23 11:59:00,0.00276,-0.00256,-0.00818,0.00276,-0.00256,-0.00818
ALPA00ITA,EURA14,2014-10-24 11:59:00,0.0016,0.00156,-0.00337,0.0016,0.00156,-0.00337
ALPA00ITA,EURA14,2014-10-25 11:59:00,0.00134,-0.00043,-0.0049,0.00134,-0.00043,-0.0049
ALPA00ITA,EURA14,2014-10-26 11:59:00,0.00161,-0.00106,-0.00406,0.00161,-0.00106,-0.00406
ALPA00ITA,EURA14,2014-10-27 11:59:00,0.00095,-0.00042,-0.00346,0.00095,-0.00042,-0.00346
