marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AMAT00ITA,EURA14,2012-06-11 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AMAT00ITA,EURA14,2012-06-12 11:59:00,-0.00108,-0.00088,0.00723,-0.00108,-0.00088,0.00723
AMAT00ITA,EURA14,2012-06-13 11:59:00,0.0027,0.0028,0.00135,0.0027,0.0028,0.00135
AMAT00ITA,EURA14,2012-06-14 11:59:00,0.00405,0.00343,-0.01029,0.00405,0.00343,-0.01029
AMAT00ITA,EURA14,2012-06-15 11:59:00,0.00345,0.00302,-0.00846,0.00345,0.00302,-0.00846
AMAT00ITA,EURA14,2012-06-16 11:59:00,0.0044,0.00444,-0.01251,0.0044,0.00444,-0.01251
AMAT00ITA,EURA14,2012-06-17 11:59:00,0.00403,0.00321,-0.00592,0.00403,0.00321,-0.00592
AMAT00ITA,EURA14,2012-06-18 11:59:00,0.00457,0.00382,-0.007,0.00457,0.00382,-0.007
AMAT00ITA,EURA14,2012-06-19 11:59:00,0.00336,0.0041,-0.00724,0.00336,0.0041,-0.00724
AMAT00ITA,EURA14,2012-06-20 11:59:00,0.00367,0.00325,-0.00063,0.00367,0.00325,-0.00063
AMAT00ITA,EURA14,2012-06-21 11:59:00,0.00513,0.00176,0.00214,0.00513,0.00176,0.00214
AMAT00ITA,EURA14,2012-06-22 11:59:00,0.00625,0.00257,-0.00403,0.00625,0.00257,-0.00403
AMAT00ITA,EURA14,2012-06-23 11:59:00,0.00314,0.00445,-0.00253,0.00314,0.00445,-0.00253
AMAT00ITA,EURA14,2012-06-24 11:59:00,0.00357,0.00275,-0.00127,0.00357,0.00275,-0.00127
AMAT00ITA,EURA14,2012-06-25 11:59:00,0.00466,0.00297,-0.00447,0.00466,0.00297,-0.00447
AMAT00ITA,EURA14,2012-09-18 11:59:00,0.003,0.0003,-0.00275,0.002754594414893617,-0.0028990376773049653,0.00154912145390071
AMAT00ITA,EURA14,2012-09-19 11:59:00,0.00148,0.00175,0.00139,0.0012345944148936167,-0.0014490376773049652,0.00568912145390071
AMAT00ITA,EURA14,2012-09-20 11:59:00,0.00252,0.00033,-0.00507,0.002274594414893617,-0.002869037677304965,-0.0007708785460992899
AMAT00ITA,EURA14,2012-09-21 11:59:00,0.00226,0.00155,-0.01285,0.0020145944148936166,-0.0016490376773049653,-0.00855087854609929
AMAT00ITA,EURA14,2012-09-22 11:59:00,0.00282,0.00077,-0.00767,0.002574594414893617,-0.0024290376773049654,-0.00337087854609929
AMAT00ITA,EURA14,2012-09-23 11:59:00,0.00449,0.00194,-0.00773,0.004244594414893617,-0.0012590376773049651,-0.00343087854609929
AMAT00ITA,EURA14,2012-09-24 11:59:00,-0.00095,0.00251,-0.01277,-0.0011954055851063831,-0.0006890376773049651,-0.00847087854609929
AMAT00ITA,EURA14,2012-09-25 11:59:00,-0.00097,-0.0021,0.00682,-0.0012154055851063832,-0.005299037677304965,0.01111912145390071
AMAT00ITA,EURA14,2012-09-26 11:59:00,0.00341,0.00097,-0.00061,0.0031645944148936166,-0.0022290376773049653,0.00368912145390071
AMAT00ITA,EURA14,2012-09-27 11:59:00,0.00191,0.00016,-0.00719,0.0016645944148936168,-0.0030390376773049652,-0.0028908785460992903
AMAT00ITA,EURA14,2012-09-28 11:59:00,0.00229,0.00128,-0.00624,0.0020445944148936167,-0.001919037677304965,-0.00194087854609929
AMAT00ITA,EURA14,2012-09-29 11:59:00,0.00156,-0.00058,-0.00295,0.0013145944148936167,-0.0037790376773049654,0.00134912145390071
AMAT00ITA,EURA14,2012-09-30 11:59:00,0.00106,0.00012,0.00161,0.0008145944148936167,-0.0030790376773049653,0.00590912145390071
AMAT00ITA,EURA14,2012-10-01 11:59:00,0.00234,0.00156,-0.00328,0.002094594414893617,-0.0016390376773049652,0.00101912145390071
AMAT00ITA,EURA14,2012-10-02 11:59:00,0.00401,0.00146,-0.00584,0.0037645944148936164,-0.0017390376773049653,-0.0015408785460992898
AMAT00ITA,EURA14,2012-10-03 11:59:00,0.003,-0.00016,-0.00563,0.002754594414893617,-0.003359037677304965,-0.0013308785460992897
AMAT00ITA,EURA14,2012-10-04 11:59:00,0.00407,-0.00023,-0.00275,0.0038245944148936166,-0.0034290376773049654,0.00154912145390071
AMAT00ITA,EURA14,2012-10-05 11:59:00,0.00403,0.00097,-0.00556,0.0037845944148936165,-0.0022290376773049653,-0.00126087854609929
AMAT00ITA,EURA14,2012-10-06 11:59:00,0.0021,0.00016,0.00278,0.0018545944148936166,-0.0030390376773049652,0.007079121453900709
AMAT00ITA,EURA14,2012-10-07 11:59:00,0.00832,0.00138,-0.00142,0.008074594414893617,-0.0018190376773049653,0.0028791214539007097
AMAT00ITA,EURA14,2012-10-08 11:59:00,0.00172,0.0013,-0.00264,0.0014745944148936167,-0.0018990376773049653,0.00165912145390071
AMAT00ITA,EURA14,2012-10-09 11:59:00,0.003,0.00054,0.00237,0.002754594414893617,-0.002659037677304965,0.0066691214539007105
AMAT00ITA,EURA14,2012-10-10 11:59:00,0.00337,0.00267,0.00198,0.003124594414893617,-0.0005290376773049651,0.00627912145390071
AMAT00ITA,EURA14,2012-10-11 11:59:00,0.0019,0.00182,0.00742,0.0016545944148936168,-0.0013790376773049652,0.011719121453900711
AMAT00ITA,EURA14,2012-10-12 11:59:00,0.00505,-0.0002,0.00746,0.0048045944148936166,-0.0033990376773049653,0.01175912145390071
AMAT00ITA,EURA14,2012-10-13 11:59:00,0.00234,0.00025,-0.00064,0.002094594414893617,-0.0029490376773049654,0.00365912145390071
AMAT00ITA,EURA14,2012-10-14 11:59:00,0.00373,0.00152,-0.00187,0.0034845944148936166,-0.0016790376773049651,0.00242912145390071
AMAT00ITA,EURA14,2012-10-15 11:59:00,0.00042,-0.00529,-0.0013,0.00017459441489361678,-0.008489037677304965,0.00299912145390071
AMAT00ITA,EURA14,2012-10-16 11:59:00,0.00373,0.00136,-0.00872,0.0034845944148936166,-0.0018390376773049651,-0.00442087854609929
AMAT00ITA,EURA14,2012-10-17 11:59:00,0.00325,0.00052,-0.00469,0.0030045944148936166,-0.002679037677304965,-0.0003908785460992898
AMAT00ITA,EURA14,2012-10-18 11:59:00,0.00327,0.00092,-0.00192,0.0030245944148936167,-0.002279037677304965,0.00237912145390071
AMAT00ITA,EURA14,2012-10-19 11:59:00,0.00247,0.00036,-0.00208,0.0022245944148936167,-0.002839037677304965,0.00221912145390071
AMAT00ITA,EURA14,2012-10-20 11:59:00,0.00387,0.00167,-0.00366,0.003624594414893617,-0.0015290376773049652,0.0006391214539007099
AMAT00ITA,EURA14,2012-10-21 11:59:00,0.00318,0.00262,-0.00759,0.002934594414893617,-0.0005790376773049653,-0.0032908785460992905
AMAT00ITA,EURA14,2012-10-22 11:59:00,0.00294,0.00191,-0.0033,0.0026945944148936167,-0.0012890376773049652,0.00099912145390071
AMAT00ITA,EURA14,2012-10-23 11:59:00,0.00269,0.00081,-0.00111,0.002444594414893617,-0.0023890376773049653,0.00318912145390071
AMAT00ITA,EURA14,2012-10-24 11:59:00,0.00271,0.00079,-0.00179,0.002464594414893617,-0.0024090376773049653,0.00250912145390071
AMAT00ITA,EURA14,2012-10-25 11:59:00,0.00326,0.00059,0.00061,0.0030145944148936166,-0.0026090376773049654,0.00490912145390071
AMAT00ITA,EURA14,2012-10-26 11:59:00,0.00195,-0.00038,0.00168,0.0017045944148936167,-0.0035790376773049653,0.00597912145390071
AMAT00ITA,EURA14,2012-10-27 11:59:00,-0.00262,-0.00515,0.01535,-0.002865405585106383,-0.008349037677304966,0.01964912145390071
AMAT00ITA,EURA14,2012-10-28 11:59:00,0.00235,-0.00218,0.00267,0.002104594414893617,-0.005379037677304965,0.00696912145390071
AMAT00ITA,EURA14,2012-10-29 11:59:00,0.00265,0.00076,-0.00214,0.0024045944148936168,-0.0024390376773049654,0.00215912145390071
AMAT00ITA,EURA14,2012-10-30 11:59:00,0.00335,0.00099,0.00023,0.003104594414893617,-0.0022090376773049652,0.00452912145390071
AMAT00ITA,EURA14,2012-10-31 11:59:00,0.00205,-0.00069,0.00496,0.001804594414893617,-0.0038890376773049653,0.00925912145390071
AMAT00ITA,EURA14,2012-11-01 11:59:00,0.00359,-0.00089,0.00765,0.0033445944148936166,-0.004089037677304965,0.011949121453900709
AMAT00ITA,EURA14,2012-11-02 11:59:00,0.00137,-0.0014,0.00207,0.0011245944148936167,-0.004599037677304965,0.00636912145390071
AMAT00ITA,EURA14,2012-11-03 11:59:00,0.004,0.00079,-0.00441,0.003754594414893617,-0.0024090376773049653,-0.00011087854609928994
AMAT00ITA,EURA14,2012-11-04 11:59:00,0.00235,0.00105,-0.01167,0.002104594414893617,-0.002149037677304965,-0.00737087854609929
AMAT00ITA,EURA14,2012-11-05 11:59:00,-0.00139,-0.0024,-0.00035,-0.0016354055851063832,-0.005599037677304965,0.00394912145390071
AMAT00ITA,EURA14,2012-11-06 11:59:00,-0.00054,0.00078,-0.00306,-0.0007854055851063832,-0.0024190376773049653,0.0012391214539007101
