marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AN0100ITA,EURA14,2006-05-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AN0100ITA,EURA14,2006-05-02 11:59:00,-0.00044,0.00161,0.0046,-0.00044,0.00161,0.0046
AN0100ITA,EURA14,2006-05-03 11:59:00,-0.00042,0.00066,0.00441,-0.00042,0.00066,0.00441
AN0100ITA,EURA14,2006-05-04 11:59:00,-0.00061,0.00107,0.0001,-0.00061,0.00107,0.0001
AN0100ITA,EURA14,2006-05-05 11:59:00,-0.0011,0.00121,0.0017,-0.0011,0.00121,0.0017
AN0100ITA,EURA14,2006-05-06 11:59:00,-0.00076,0.00145,-0.00135,-0.00076,0.00145,-0.00135
AN0100ITA,EURA14,2006-05-07 11:59:00,-0.00042,0.00073,0.00123,-0.00042,0.00073,0.00123
AN0100ITA,EURA14,2006-05-08 11:59:00,0.00028,0.00152,0.00313,0.00028,0.00152,0.00313
AN0100ITA,EURA14,2006-05-09 11:59:00,-0.00065,0.00046,0.00391,-0.00065,0.00046,0.00391
AN0100ITA,EURA14,2006-05-10 11:59:00,-0.00103,0.00027,0.0023,-0.00103,0.00027,0.0023
AN0100ITA,EURA14,2006-05-11 11:59:00,-8e-05,0.0,0.00409,-8e-05,0.0,0.00409
AN0100ITA,EURA14,2006-05-12 11:59:00,-0.00088,0.00058,5e-05,-0.00088,0.00058,5e-05
AN0100ITA,EURA14,2006-05-13 11:59:00,-0.0017,-0.00079,0.00011,-0.0017,-0.00079,0.00011
AN0100ITA,EURA14,2006-05-14 11:59:00,-0.0018,-0.00049,-0.00124,-0.0018,-0.00049,-0.00124
AN0100ITA,EURA14,2006-05-15 11:59:00,-0.00233,0.00019,-0.00017,-0.00233,0.00019,-0.00017
AN0100ITA,EURA14,2006-05-16 11:59:00,-0.00018,-4e-05,-0.00377,-0.00018,-4e-05,-0.00377
AN0100ITA,EURA14,2006-05-17 11:59:00,-0.00123,-0.0001,-1e-05,-0.00123,-0.0001,-1e-05
AN0100ITA,EURA14,2006-05-18 11:59:00,-0.0008,-0.00052,0.00365,-0.0008,-0.00052,0.00365
AN0100ITA,EURA14,2006-05-19 11:59:00,0.000295,-0.000835,0.003245,0.000295,-0.000835,0.003245
AN0100ITA,EURA14,2006-05-20 11:59:00,0.00139,-0.00115,0.00284,0.00139,-0.00115,0.00284
AN0100ITA,EURA14,2006-05-21 11:59:00,-0.00119,-0.00103,0.00336,-0.00119,-0.00103,0.00336
