marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ANCG00ITA,EURA14,2008-01-17 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ANCG00ITA,EURA14,2008-01-18 11:59:00,3e-05,-0.00015,0.00502,3e-05,-0.00015,0.00502
ANCG00ITA,EURA14,2008-01-19 11:59:00,-0.00025,-0.00133,0.00213,-0.00025,-0.00133,0.00213
ANCG00ITA,EURA14,2008-01-20 11:59:00,-0.00013,-0.00088,-0.00186,-0.00013,-0.00088,-0.00186
ANCG00ITA,EURA14,2008-01-21 11:59:00,-0.00057,-0.00167,0.00154,-0.00057,-0.00167,0.00154
ANCG00ITA,EURA14,2008-01-22 11:59:00,-0.00039,-0.00073,0.00537,-0.00039,-0.00073,0.00537
ANCG00ITA,EURA14,2008-01-23 11:59:00,-0.0016,-0.00074,0.00551,-0.0016,-0.00074,0.00551
ANCG00ITA,EURA14,2008-01-24 11:59:00,-0.00026,-0.00047,0.00173,-0.00026,-0.00047,0.00173
ANCG00ITA,EURA14,2008-01-25 11:59:00,-0.00058,-0.00047,0.00379,-0.00058,-0.00047,0.00379
ANCG00ITA,EURA14,2008-01-26 11:59:00,-0.00114,-0.00048,0.00196,-0.00114,-0.00048,0.00196
ANCG00ITA,EURA14,2008-01-27 11:59:00,-0.00063,-0.00178,0.00662,-0.00063,-0.00178,0.00662
ANCG00ITA,EURA14,2008-01-28 11:59:00,-0.00096,-0.00116,0.00733,-0.00096,-0.00116,0.00733
ANCG00ITA,EURA14,2008-01-29 11:59:00,-0.00075,-0.00092,0.00464,-0.00075,-0.00092,0.00464
ANCG00ITA,EURA14,2008-01-30 11:59:00,-2e-05,-0.00064,0.00578,-2e-05,-0.00064,0.00578
ANCG00ITA,EURA14,2008-01-31 11:59:00,-0.00048,-0.00017,0.00494,-0.00048,-0.00017,0.00494
ANCG00ITA,EURA14,2008-02-01 11:59:00,0.00018,-0.00114,0.00674,0.00018,-0.00114,0.00674
ANCG00ITA,EURA14,2008-02-02 11:59:00,-0.00022,-0.00055,0.00598,-0.00022,-0.00055,0.00598
ANCG00ITA,EURA14,2008-02-03 11:59:00,-0.00041,-0.00049,0.00112,-0.00041,-0.00049,0.00112
ANCG00ITA,EURA14,2008-02-04 11:59:00,9e-05,-0.00075,0.00695,9e-05,-0.00075,0.00695
ANCG00ITA,EURA14,2008-02-05 11:59:00,-0.00071,-0.0007,0.00401,-0.00071,-0.0007,0.00401
