marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ANCN00ITA,EURA14,2011-08-02 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ANCN00ITA,EURA14,2011-08-03 11:59:00,-5e-05,0.00033,-0.01217,-5e-05,0.00033,-0.01217
ANCN00ITA,EURA14,2011-08-04 11:59:00,-0.00087,0.00023,-0.01346,-0.00087,0.00023,-0.01346
ANCN00ITA,EURA14,2011-08-05 11:59:00,-0.00221,-0.0004,-0.00859,-0.00221,-0.0004,-0.00859
ANCN00ITA,EURA14,2011-08-06 11:59:00,-0.00066,-0.00038,-0.00345,-0.00066,-0.00038,-0.00345
ANCN00ITA,EURA14,2011-08-07 11:59:00,-0.00091,-0.00205,-0.00394,-0.00091,-0.00205,-0.00394
ANCN00ITA,EURA14,2011-08-08 11:59:00,3e-05,0.00086,-0.00255,3e-05,0.00086,-0.00255
ANCN00ITA,EURA14,2011-08-09 11:59:00,-0.00177,-0.00031,-0.0052,-0.00177,-0.00031,-0.0052
ANCN00ITA,EURA14,2011-08-10 11:59:00,-0.00145,-0.00077,-0.00963,-0.00145,-0.00077,-0.00963
ANCN00ITA,EURA14,2011-08-11 11:59:00,-0.00115,-0.00067,-0.0098,-0.00115,-0.00067,-0.0098
ANCN00ITA,EURA14,2011-08-12 11:59:00,-0.00202,0.00037,-0.00989,-0.00202,0.00037,-0.00989
ANCN00ITA,EURA14,2011-08-13 11:59:00,-0.00084,-2e-05,-0.00954,-0.00084,-2e-05,-0.00954
ANCN00ITA,EURA14,2011-08-14 11:59:00,-0.00248,-0.00121,-0.00585,-0.00248,-0.00121,-0.00585
ANCN00ITA,EURA14,2011-08-15 11:59:00,-0.00197,-0.00071,-0.00536,-0.00197,-0.00071,-0.00536
ANCN00ITA,EURA14,2011-08-16 11:59:00,-0.00191,0.0001,-0.01051,-0.00191,0.0001,-0.01051
ANCN00ITA,EURA14,2011-08-17 11:59:00,-0.00234,-0.00137,-0.00605,-0.00234,-0.00137,-0.00605
ANCN00ITA,EURA14,2011-08-18 11:59:00,-0.00281,-0.00068,-0.0093,-0.00281,-0.00068,-0.0093
ANCN00ITA,EURA14,2011-08-19 11:59:00,-0.00307,0.00017,-0.00941,-0.00307,0.00017,-0.00941
ANCN00ITA,EURA14,2011-08-20 11:59:00,-0.00195,-0.00087,-0.01059,-0.00195,-0.00087,-0.01059
ANCN00ITA,EURA14,2011-08-21 11:59:00,-0.00227,-0.00111,-0.00618,-0.00227,-0.00111,-0.00618
ANCN00ITA,EURA14,2011-08-22 11:59:00,-0.00169,-0.0003,-0.00976,-0.00169,-0.0003,-0.00976
ANCN00ITA,EURA14,2011-08-23 11:59:00,-0.00034,-0.00111,-0.01215,-0.00034,-0.00111,-0.01215
ANCN00ITA,EURA14,2011-08-24 11:59:00,-0.00176,-0.002,-0.01068,-0.00176,-0.002,-0.01068
ANCN00ITA,EURA14,2011-08-25 11:59:00,-0.00216,-0.00189,-0.00837,-0.00216,-0.00189,-0.00837
ANCN00ITA,EURA14,2011-08-26 11:59:00,-0.00169,-0.00217,-0.00301,-0.00169,-0.00217,-0.00301
ANCN00ITA,EURA14,2011-08-27 11:59:00,-0.00411,-0.0005,-0.00407,-0.00411,-0.0005,-0.00407
ANCN00ITA,EURA14,2011-08-28 11:59:00,-0.00349,-0.0024,-0.00749,-0.00349,-0.0024,-0.00749
ANCN00ITA,EURA14,2011-08-29 11:59:00,-0.00284,-0.00297,-0.00905,-0.00284,-0.00297,-0.00905
