marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
APRI00ITA,EURA14,2008-04-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
APRI00ITA,EURA14,2008-04-25 11:59:00,-0.004,0.00054,0.00173,-0.004,0.00054,0.00173
APRI00ITA,EURA14,2008-04-26 11:59:00,-0.00276,0.0008,-0.00229,-0.00276,0.0008,-0.00229
APRI00ITA,EURA14,2008-04-27 11:59:00,-0.00536,0.00173,0.00209,-0.00536,0.00173,0.00209
APRI00ITA,EURA14,2008-04-28 11:59:00,-0.00277,0.0011,0.00271,-0.00277,0.0011,0.00271
APRI00ITA,EURA14,2008-04-29 11:59:00,-0.00503,0.00214,-0.00184,-0.00503,0.00214,-0.00184
APRI00ITA,EURA14,2008-04-30 11:59:00,-0.00307,0.00132,0.00149,-0.00307,0.00132,0.00149
APRI00ITA,EURA14,2008-05-01 11:59:00,-0.00389,0.00081,0.00594,-0.00389,0.00081,0.00594
APRI00ITA,EURA14,2008-05-02 11:59:00,-0.00389,0.00062,0.00864,-0.00389,0.00062,0.00864
APRI00ITA,EURA14,2008-05-03 11:59:00,-0.00362,0.00039,0.00561,-0.00362,0.00039,0.00561
APRI00ITA,EURA14,2008-05-04 11:59:00,-0.00309,0.00025,0.00555,-0.00309,0.00025,0.00555
APRI00ITA,EURA14,2008-05-05 11:59:00,-0.00302,-0.00043,0.01533,-0.00302,-0.00043,0.01533
APRI00ITA,EURA14,2008-05-06 11:59:00,-0.003085,-0.0008799999999999999,0.01407,-0.003085,-0.0008799999999999999,0.01407
APRI00ITA,EURA14,2008-05-07 11:59:00,-0.00315,-0.00133,0.01281,-0.00315,-0.00133,0.01281
APRI00ITA,EURA14,2008-05-08 11:59:00,-0.0018,0.00217,0.00642,-0.0018,0.00217,0.00642
APRI00ITA,EURA14,2008-05-09 11:59:00,-0.00323,0.0,0.0091,-0.00323,0.0,0.0091
APRI00ITA,EURA14,2008-05-10 11:59:00,-0.00352,-0.00117,0.01038,-0.00352,-0.00117,0.01038
APRI00ITA,EURA14,2008-05-11 11:59:00,-0.00485,0.00015,0.00934,-0.00485,0.00015,0.00934
APRI00ITA,EURA14,2008-05-12 11:59:00,-0.00386,0.00186,0.00738,-0.00386,0.00186,0.00738
APRI00ITA,EURA14,2008-05-13 11:59:00,-0.00118,0.00248,0.01056,-0.00118,0.00248,0.01056
APRI00ITA,EURA14,2008-05-14 11:59:00,-0.00282,-0.00033,0.00725,-0.00282,-0.00033,0.00725
APRI00ITA,EURA14,2008-05-15 11:59:00,-0.00222,-0.00101,0.00675,-0.00222,-0.00101,0.00675
APRI00ITA,EURA14,2008-05-16 11:59:00,-0.00307,5e-05,0.00833,-0.00307,5e-05,0.00833
APRI00ITA,EURA14,2008-05-17 11:59:00,-0.00317,0.00088,0.0093,-0.00317,0.00088,0.0093
APRI00ITA,EURA14,2008-05-18 11:59:00,-0.00279,-2e-05,0.01132,-0.00279,-2e-05,0.01132
APRI00ITA,EURA14,2008-05-19 11:59:00,-0.0025,0.00188,0.00964,-0.0025,0.00188,0.00964
APRI00ITA,EURA14,2008-05-20 11:59:00,-0.00171,0.00116,0.00904,-0.00171,0.00116,0.00904
APRI00ITA,EURA14,2008-05-21 11:59:00,-0.00248,0.00102,0.00992,-0.00248,0.00102,0.00992
APRI00ITA,EURA14,2008-05-22 11:59:00,-0.00133,0.00082,0.01142,-0.00133,0.00082,0.01142
APRI00ITA,EURA14,2008-05-23 11:59:00,-0.00257,-0.00036,0.01123,-0.00257,-0.00036,0.01123
APRI00ITA,EURA14,2008-05-24 11:59:00,-0.00217,-0.00075,0.01312,-0.00217,-0.00075,0.01312
APRI00ITA,EURA14,2008-05-25 11:59:00,-0.00211,-0.0001,0.00589,-0.00211,-0.0001,0.00589
APRI00ITA,EURA14,2008-05-26 11:59:00,-0.00232,-0.00038,0.0108,-0.00232,-0.00038,0.0108
APRI00ITA,EURA14,2008-05-27 11:59:00,-0.00187,0.00056,0.00696,-0.00187,0.00056,0.00696
APRI00ITA,EURA14,2008-05-28 11:59:00,-0.00075,-0.00043,0.00698,-0.00075,-0.00043,0.00698
APRI00ITA,EURA14,2008-05-29 11:59:00,-0.00047,-0.00248,0.01343,-0.00047,-0.00248,0.01343
APRI00ITA,EURA14,2008-05-30 11:59:00,-0.00176,-0.00065,0.0074,-0.00176,-0.00065,0.0074
APRI00ITA,EURA14,2008-05-31 11:59:00,-0.00284,-5e-05,0.00666,-0.00284,-5e-05,0.00666
APRI00ITA,EURA14,2008-06-01 11:59:00,-0.00323,-0.00015,0.00788,-0.00323,-0.00015,0.00788
APRI00ITA,EURA14,2008-06-02 11:59:00,-0.00319,-0.00057,0.01058,-0.00319,-0.00057,0.01058
APRI00ITA,EURA14,2008-06-03 11:59:00,-0.00276,0.001,0.01205,-0.00276,0.001,0.01205
APRI00ITA,EURA14,2008-06-04 11:59:00,-0.00256,-0.00157,0.00612,-0.00256,-0.00157,0.00612
APRI00ITA,EURA14,2008-06-05 11:59:00,-0.0004,0.00015,0.01774,-0.0004,0.00015,0.01774
