marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AQRA00ITA,EURA14,2006-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AQRA00ITA,EURA14,2006-06-13 11:59:00,-0.00161,-4e-05,0.00021,-0.00161,-4e-05,0.00021
AQRA00ITA,EURA14,2006-06-14 11:59:00,0.00025,0.0012,-0.00326,0.00025,0.0012,-0.00326
AQRA00ITA,EURA14,2006-06-15 11:59:00,0.00112,0.00112,-0.00267,0.00112,0.00112,-0.00267
AQRA00ITA,EURA14,2006-06-16 11:59:00,0.00074,0.00138,-0.00096,0.00074,0.00138,-0.00096
AQRA00ITA,EURA14,2006-06-17 11:59:00,0.00066,0.00026,-0.00683,0.00066,0.00026,-0.00683
AQRA00ITA,EURA14,2006-06-18 11:59:00,0.00135,0.00174,-0.00518,0.00135,0.00174,-0.00518
AQRA00ITA,EURA14,2006-06-19 11:59:00,0.00396,-0.00021,0.00836,0.00396,-0.00021,0.00836
AQRA00ITA,EURA14,2006-06-20 11:59:00,0.00057,0.00245,-0.0007,0.00057,0.00245,-0.0007
AQRA00ITA,EURA14,2006-06-21 11:59:00,0.00135,0.00146,-0.01143,0.00135,0.00146,-0.01143
AQRA00ITA,EURA14,2006-06-22 11:59:00,0.001,0.00232,-0.00765,0.001,0.00232,-0.00765
AQRA00ITA,EURA14,2006-06-23 11:59:00,-0.0024,0.00131,-0.00143,-0.0024,0.00131,-0.00143
AQRA00ITA,EURA14,2006-06-24 11:59:00,-0.00158,-0.00046,0.00596,-0.00158,-0.00046,0.00596
AQRA00ITA,EURA14,2006-06-25 11:59:00,0.00198,0.00016,-0.00062,0.00198,0.00016,-0.00062
AQRA00ITA,EURA14,2006-06-26 11:59:00,0.00389,0.00298,0.00137,0.00389,0.00298,0.00137
AQRA00ITA,EURA14,2006-06-27 11:59:00,-0.00021,0.00347,-0.00401,-0.00021,0.00347,-0.00401
AQRA00ITA,EURA14,2006-06-28 11:59:00,0.00327,-0.00029,0.00153,0.00327,-0.00029,0.00153
AQRA00ITA,EURA14,2006-06-29 11:59:00,0.00082,0.0032,0.00063,0.00082,0.0032,0.00063
AQRA00ITA,EURA14,2006-06-30 11:59:00,-0.00095,0.00067,-0.00111,-0.00095,0.00067,-0.00111
AQRA00ITA,EURA14,2006-07-01 11:59:00,-0.00052,0.00231,-0.00755,-0.00052,0.00231,-0.00755
AQRA00ITA,EURA14,2006-07-02 11:59:00,0.00317,0.00128,-0.00374,0.00317,0.00128,-0.00374
AQRA00ITA,EURA14,2006-07-03 11:59:00,-0.00525,0.00079,-0.01372,-0.00525,0.00079,-0.01372
AQRA00ITA,EURA14,2006-07-04 11:59:00,-0.00012,0.00175,-0.00278,-0.00012,0.00175,-0.00278
AQRA00ITA,EURA14,2006-07-05 11:59:00,0.00104,0.0015,-0.00085,0.00104,0.0015,-0.00085
AQRA00ITA,EURA14,2006-07-06 11:59:00,-0.0001,-0.00152,-0.00397,-0.0001,-0.00152,-0.00397
AQRA00ITA,EURA14,2006-07-07 11:59:00,0.00347,0.00026,0.00521,0.00347,0.00026,0.00521
AQRA00ITA,EURA14,2006-07-08 11:59:00,-0.00111,0.00038,-0.00846,-0.00111,0.00038,-0.00846
AQRA00ITA,EURA14,2006-07-09 11:59:00,0.00243,0.0018,-0.00498,0.00243,0.0018,-0.00498
AQRA00ITA,EURA14,2006-07-10 11:59:00,0.00181,0.00218,-0.00481,0.00181,0.00218,-0.00481
