marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AQUI00ITA,EURA14,1999-06-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AQUI00ITA,EURA14,1999-06-15 11:59:00,0.00046,0.00456,-0.01326,0.00046,0.00456,-0.01326
AQUI00ITA,EURA14,1999-06-16 11:59:00,-0.00102,0.00196,-0.00384,-0.00102,0.00196,-0.00384
AQUI00ITA,EURA14,1999-06-17 11:59:00,0.00084,0.00103,0.00072,0.00084,0.00103,0.00072
AQUI00ITA,EURA14,1999-06-18 11:59:00,-0.00115,0.00067,-1e-05,-0.00115,0.00067,-1e-05
AQUI00ITA,EURA14,1999-06-19 11:59:00,-0.00158,0.00236,-0.00416,-0.00158,0.00236,-0.00416
AQUI00ITA,EURA14,1999-06-20 11:59:00,-0.0012,0.00122,-0.00838,-0.0012,0.00122,-0.00838
AQUI00ITA,EURA14,1999-06-21 11:59:00,-0.00038,0.00825,-0.01619,-0.00038,0.00825,-0.01619
AQUI00ITA,EURA14,1999-06-22 11:59:00,-0.00193,0.00235,-0.00252,-0.00193,0.00235,-0.00252
AQUI00ITA,EURA14,1999-06-23 11:59:00,-0.00223,0.00219,-0.0076,-0.00223,0.00219,-0.0076
AQUI00ITA,EURA14,1999-06-24 11:59:00,-0.002,0.00094,-0.00326,-0.002,0.00094,-0.00326
AQUI00ITA,EURA14,1999-06-25 11:59:00,-0.00145,0.00229,-0.00702,-0.00145,0.00229,-0.00702
AQUI00ITA,EURA14,1999-06-26 11:59:00,-0.00068,0.0021,-0.00156,-0.00068,0.0021,-0.00156
AQUI00ITA,EURA14,1999-06-27 11:59:00,-0.00235,0.00017,-0.0034,-0.00235,0.00017,-0.0034
AQUI00ITA,EURA14,1999-06-28 11:59:00,-0.00124,-0.00057,0.00106,-0.00124,-0.00057,0.00106
AQUI00ITA,EURA14,1999-06-29 11:59:00,0.00217,-0.00144,-0.00039,0.00217,-0.00144,-0.00039
AQUI00ITA,EURA14,1999-06-30 11:59:00,0.00163,0.00016,-0.00671,0.00163,0.00016,-0.00671
AQUI00ITA,EURA14,1999-07-01 11:59:00,-0.00127,-0.00072,-0.0109,-0.00127,-0.00072,-0.0109
AQUI00ITA,EURA14,1999-07-02 11:59:00,-0.00073,0.00109,-0.01013,-0.00073,0.00109,-0.01013
AQUI00ITA,EURA14,1999-07-03 11:59:00,-0.00036,0.00124,-0.00656,-0.00036,0.00124,-0.00656
AQUI00ITA,EURA14,1999-07-04 11:59:00,-0.00355,0.00123,-0.00446,-0.00355,0.00123,-0.00446
AQUI00ITA,EURA14,1999-07-05 11:59:00,-0.00259,0.00026,-0.00751,-0.00259,0.00026,-0.00751
AQUI00ITA,EURA14,1999-07-06 11:59:00,-0.00421,0.00017,0.01271,-0.00421,0.00017,0.01271
AQUI00ITA,EURA14,1999-07-07 11:59:00,-0.00056,-0.0005,-0.00592,-0.00056,-0.0005,-0.00592
AQUI00ITA,EURA14,1999-07-08 11:59:00,-0.00231,0.00235,-0.00456,-0.00231,0.00235,-0.00456
AQUI00ITA,EURA14,1999-07-09 11:59:00,-0.0005,-5e-05,-0.00368,-0.0005,-5e-05,-0.00368
AQUI00ITA,EURA14,1999-07-10 11:59:00,0.00035,0.00211,-0.00945,0.00035,0.00211,-0.00945
AQUI00ITA,EURA14,1999-07-11 11:59:00,0.00077,0.00111,-0.00237,0.00077,0.00111,-0.00237
AQUI00ITA,EURA14,1999-07-12 11:59:00,-0.0022,0.00217,-0.00466,-0.0022,0.00217,-0.00466
AQUI00ITA,EURA14,1999-07-13 11:59:00,-0.00073,0.00511,-0.00363,-0.00073,0.00511,-0.00363
AQUI00ITA,EURA14,1999-07-14 11:59:00,0.00111,-0.00138,0.00212,0.00111,-0.00138,0.00212
AQUI00ITA,EURA14,1999-07-15 11:59:00,-0.00042,0.00344,-0.00834,-0.00042,0.00344,-0.00834
AQUI00ITA,EURA14,1999-07-16 11:59:00,-4e-05,0.00359,-0.0067,-4e-05,0.00359,-0.0067
AQUI00ITA,EURA14,1999-07-17 11:59:00,-0.0015,0.0025,-0.00521,-0.0015,0.0025,-0.00521
AQUI00ITA,EURA14,1999-07-18 11:59:00,-0.00191,0.00189,0.00015,-0.00191,0.00189,0.00015
AQUI00ITA,EURA14,1999-07-19 11:59:00,-0.00186,0.00078,-0.00289,-0.00186,0.00078,-0.00289
AQUI00ITA,EURA14,1999-07-20 11:59:00,-0.00047,0.00095,-0.00023,-0.00047,0.00095,-0.00023
AQUI00ITA,EURA14,1999-07-21 11:59:00,-0.00078,0.00195,-0.00543,-0.00078,0.00195,-0.00543
AQUI00ITA,EURA14,1999-07-22 11:59:00,-0.00251,0.00131,0.00367,-0.00251,0.00131,0.00367
AQUI00ITA,EURA14,1999-07-23 11:59:00,-0.00376,0.00221,0.00372,-0.00376,0.00221,0.00372
AQUI00ITA,EURA14,1999-07-24 11:59:00,-0.00139,0.00214,-0.00341,-0.00139,0.00214,-0.00341
AQUI00ITA,EURA14,1999-07-25 11:59:00,-0.00035,0.00256,-0.00594,-0.00035,0.00256,-0.00594
AQUI00ITA,EURA14,1999-07-26 11:59:00,-0.0008500000000000001,0.0022050000000000004,-0.00275,-0.0008500000000000001,0.0022050000000000004,-0.00275
AQUI00ITA,EURA14,1999-07-27 11:59:00,-0.00135,0.00185,0.00044,-0.00135,0.00185,0.00044
AQUI00ITA,EURA14,1999-07-28 11:59:00,-0.00039,0.0009,0.00071,-0.00039,0.0009,0.00071
