marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AQUM00ITA,EURA14,2011-07-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AQUM00ITA,EURA14,2011-07-13 11:59:00,-0.00017,0.00096,0.01178,-0.00017,0.00096,0.01178
AQUM00ITA,EURA14,2011-07-14 11:59:00,0.00298,0.0009,0.0128,0.00298,0.0009,0.0128
AQUM00ITA,EURA14,2011-07-15 11:59:00,-0.00052,0.00217,0.02972,-0.00052,0.00217,0.02972
AQUM00ITA,EURA14,2011-07-16 11:59:00,-0.00024,-0.00122,0.0138,-0.00024,-0.00122,0.0138
AQUM00ITA,EURA14,2011-07-17 11:59:00,-7e-05,-0.00185,0.00482,-7e-05,-0.00185,0.00482
AQUM00ITA,EURA14,2011-07-18 11:59:00,-0.0046,0.00044,-0.00469,-0.0046,0.00044,-0.00469
AQUM00ITA,EURA14,2011-07-19 11:59:00,-0.00618,0.00182,0.0071,-0.00618,0.00182,0.0071
AQUM00ITA,EURA14,2011-07-20 11:59:00,-0.00669,-0.00283,0.00441,-0.00669,-0.00283,0.00441
AQUM00ITA,EURA14,2011-07-21 11:59:00,-0.00189,-0.00012,0.01439,-0.00189,-0.00012,0.01439
AQUM00ITA,EURA14,2011-07-22 11:59:00,0.00014,0.00192,0.00938,0.00014,0.00192,0.00938
AQUM00ITA,EURA14,2011-07-23 11:59:00,-0.00217,-0.00191,0.01417,-0.00217,-0.00191,0.01417
AQUM00ITA,EURA14,2011-07-24 11:59:00,-0.00046,-0.00209,0.00731,-0.00046,-0.00209,0.00731
AQUM00ITA,EURA14,2011-07-25 11:59:00,-0.00033,-0.00041,0.00532,-0.00033,-0.00041,0.00532
AQUM00ITA,EURA14,2011-07-26 11:59:00,-0.00138,-0.00069,0.00537,-0.00138,-0.00069,0.00537
AQUM00ITA,EURA14,2011-07-27 11:59:00,-0.00264,0.00044,0.00652,-0.00264,0.00044,0.00652
AQUM00ITA,EURA14,2011-07-28 11:59:00,-0.0015,-0.00251,-0.00555,-0.0015,-0.00251,-0.00555
AQUM00ITA,EURA14,2011-07-29 11:59:00,-0.00088,-0.00149,0.00039,-0.00088,-0.00149,0.00039
AQUM00ITA,EURA14,2011-07-30 11:59:00,-5e-05,-0.00128,0.00083,-5e-05,-0.00128,0.00083
AQUM00ITA,EURA14,2011-07-31 11:59:00,-0.00191,0.00113,0.00801,-0.00191,0.00113,0.00801
AQUM00ITA,EURA14,2011-08-01 11:59:00,-0.00172,-0.00138,-0.00371,-0.00172,-0.00138,-0.00371
AQUM00ITA,EURA14,2011-08-02 11:59:00,-0.00271,7e-05,0.00381,-0.00271,7e-05,0.00381
AQUM00ITA,EURA14,2011-08-03 11:59:00,-0.0027,0.00046,0.0019,-0.0027,0.00046,0.0019
AQUM00ITA,EURA14,2011-08-04 11:59:00,-0.00142,-0.00067,0.00713,-0.00142,-0.00067,0.00713
AQUM00ITA,EURA14,2011-08-05 11:59:00,-0.00069,7e-05,0.00269,-0.00069,7e-05,0.00269
AQUM00ITA,EURA14,2011-08-06 11:59:00,-0.0014,-3e-05,0.00946,-0.0014,-3e-05,0.00946
AQUM00ITA,EURA14,2011-08-07 11:59:00,-0.00164,-0.00269,0.0067,-0.00164,-0.00269,0.0067
AQUM00ITA,EURA14,2011-08-08 11:59:00,0.00023,0.0039,0.00158,0.00023,0.0039,0.00158
AQUM00ITA,EURA14,2011-08-09 11:59:00,-0.0034,0.00025,0.01106,-0.0034,0.00025,0.01106
AQUM00ITA,EURA14,2011-08-10 11:59:00,-0.0015,-0.00105,0.00707,-0.0015,-0.00105,0.00707
AQUM00ITA,EURA14,2011-08-11 11:59:00,-0.0008,-0.00062,0.00098,-0.0008,-0.00062,0.00098
AQUM00ITA,EURA14,2011-08-12 11:59:00,-0.00118,-0.00012,-0.00468,-0.00118,-0.00012,-0.00468
AQUM00ITA,EURA14,2011-08-13 11:59:00,-0.00077,0.00015,-0.0008,-0.00077,0.00015,-0.0008
AQUM00ITA,EURA14,2011-08-14 11:59:00,-0.00236,-0.00206,-0.00234,-0.00236,-0.00206,-0.00234
AQUM00ITA,EURA14,2011-08-15 11:59:00,-0.00111,-0.001,-0.00016,-0.00111,-0.001,-0.00016
AQUM00ITA,EURA14,2011-08-16 11:59:00,-0.00255,-0.00074,0.00191,-0.00255,-0.00074,0.00191
AQUM00ITA,EURA14,2011-08-17 11:59:00,-0.00098,-0.00142,-0.00218,-0.00098,-0.00142,-0.00218
