marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AQUN00ITA,EURA14,2005-09-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AQUN00ITA,EURA14,2005-09-20 11:59:00,0.0007,-0.00522,-0.00805,0.0007,-0.00522,-0.00805
AQUN00ITA,EURA14,2005-09-21 11:59:00,0.00247,-0.00423,-0.00963,0.00247,-0.00423,-0.00963
AQUN00ITA,EURA14,2005-09-22 11:59:00,0.00271,-0.00316,-0.01305,0.00271,-0.00316,-0.01305
AQUN00ITA,EURA14,2005-09-23 11:59:00,0.00205,-0.00341,-0.01375,0.00205,-0.00341,-0.01375
AQUN00ITA,EURA14,2005-09-24 11:59:00,0.00247,-0.00458,-0.009,0.00247,-0.00458,-0.009
AQUN00ITA,EURA14,2005-09-25 11:59:00,0.00363,-0.00453,-0.01067,0.00363,-0.00453,-0.01067
AQUN00ITA,EURA14,2005-09-26 11:59:00,5e-05,-0.0026,-0.01674,5e-05,-0.0026,-0.01674
AQUN00ITA,EURA14,2005-09-27 11:59:00,0.00286,-0.00334,-0.01728,0.00286,-0.00334,-0.01728
AQUN00ITA,EURA14,2005-09-28 11:59:00,0.00211,-0.00282,-0.01156,0.00211,-0.00282,-0.01156
AQUN00ITA,EURA14,2005-09-29 11:59:00,0.00329,-0.00433,-0.01531,0.00329,-0.00433,-0.01531
AQUN00ITA,EURA14,2005-09-30 11:59:00,0.00032,-0.00281,-0.00996,0.00032,-0.00281,-0.00996
AQUN00ITA,EURA14,2005-10-01 11:59:00,0.00264,-0.00312,-0.00806,0.00264,-0.00312,-0.00806
AQUN00ITA,EURA14,2005-10-02 11:59:00,0.00204,-0.00239,0.00016,0.00204,-0.00239,0.00016
AQUN00ITA,EURA14,2005-10-03 11:59:00,0.00179,-0.0014,-0.01242,0.00179,-0.0014,-0.01242
AQUN00ITA,EURA14,2005-10-04 11:59:00,0.00254,-0.00415,-0.01354,0.00254,-0.00415,-0.01354
AQUN00ITA,EURA14,2005-10-05 11:59:00,-0.00209,-0.00124,-0.00685,-0.00209,-0.00124,-0.00685
AQUN00ITA,EURA14,2005-10-13 11:59:00,0.00218,-0.00391,-0.0255,0.00218,-0.00391,-0.0255
AQUN00ITA,EURA14,2005-10-14 11:59:00,0.00192,-0.00455,-0.01787,0.00192,-0.00455,-0.01787
AQUN00ITA,EURA14,2005-10-15 11:59:00,0.00214,-0.0031,-0.01769,0.00214,-0.0031,-0.01769
AQUN00ITA,EURA14,2005-10-16 11:59:00,-0.00298,-0.00459,-0.03665,-0.00298,-0.00459,-0.03665
AQUN00ITA,EURA14,2005-10-17 11:59:00,0.00247,-0.00402,-0.01765,0.00247,-0.00402,-0.01765
AQUN00ITA,EURA14,2005-10-18 11:59:00,0.00263,-0.00349,-0.018,0.00263,-0.00349,-0.018
AQUN00ITA,EURA14,2005-10-19 11:59:00,-0.00027,-0.00283,-0.01564,-0.00027,-0.00283,-0.01564
AQUN00ITA,EURA14,2005-10-24 11:59:00,0.00242,-0.00404,-0.0196,0.00242,-0.00404,-0.0196
AQUN00ITA,EURA14,2005-10-25 11:59:00,0.0027,-0.00312,-0.018,0.0027,-0.00312,-0.018
AQUN00ITA,EURA14,2005-10-26 11:59:00,0.00157,-0.00255,-0.02048,0.00157,-0.00255,-0.02048
AQUN00ITA,EURA14,2005-10-27 11:59:00,0.00151,-0.00399,-0.01474,0.00151,-0.00399,-0.01474
AQUN00ITA,EURA14,2005-10-28 11:59:00,0.00221,-0.00311,-0.01905,0.00221,-0.00311,-0.01905
AQUN00ITA,EURA14,2005-10-29 11:59:00,0.00258,-0.00302,-0.01224,0.00258,-0.00302,-0.01224
AQUN00ITA,EURA14,2005-10-30 11:59:00,0.00255,-0.00324,-0.0166,0.00255,-0.00324,-0.0166
AQUN00ITA,EURA14,2005-10-31 11:59:00,0.00296,-0.00306,-0.01591,0.00296,-0.00306,-0.01591
AQUN00ITA,EURA14,2005-11-01 11:59:00,0.00092,-0.00305,-0.01775,0.00092,-0.00305,-0.01775
AQUN00ITA,EURA14,2005-11-02 11:59:00,0.00142,-0.00254,-0.01692,0.00142,-0.00254,-0.01692
AQUN00ITA,EURA14,2005-11-03 11:59:00,0.00219,-0.0034,-0.01493,0.00219,-0.0034,-0.01493
AQUN00ITA,EURA14,2005-11-04 11:59:00,0.00139,-0.00314,-0.01402,0.00139,-0.00314,-0.01402
AQUN00ITA,EURA14,2005-11-05 11:59:00,-0.0002,-0.00322,-0.01921,-0.0002,-0.00322,-0.01921
AQUN00ITA,EURA14,2005-11-06 11:59:00,0.00226,-0.0016,-0.01152,0.00226,-0.0016,-0.01152
AQUN00ITA,EURA14,2005-11-07 11:59:00,0.00197,-0.00184,-0.02136,0.00197,-0.00184,-0.02136
AQUN00ITA,EURA14,2005-11-08 11:59:00,0.00156,-0.0021,-0.02003,0.00156,-0.0021,-0.02003
AQUN00ITA,EURA14,2005-11-09 11:59:00,0.00263,-0.004,-0.01654,0.00263,-0.004,-0.01654
AQUN00ITA,EURA14,2005-11-10 11:59:00,0.0015,-0.00349,-0.02311,0.0015,-0.00349,-0.02311
AQUN00ITA,EURA14,2005-11-11 11:59:00,0.00259,-0.00337,-0.01942,0.00259,-0.00337,-0.01942
AQUN00ITA,EURA14,2005-11-12 11:59:00,0.00186,-0.00352,-0.0172,0.00186,-0.00352,-0.0172
AQUN00ITA,EURA14,2005-11-13 11:59:00,0.00118,-0.00294,-0.01332,0.00118,-0.00294,-0.01332
AQUN00ITA,EURA14,2005-11-14 11:59:00,0.00182,-0.00104,-0.05977,0.00182,-0.00104,-0.05977
AQUN00ITA,EURA14,2005-11-15 11:59:00,-0.00315,-0.0107,-0.02508,-0.00315,-0.0107,-0.02508
AQUN00ITA,EURA14,2005-11-16 11:59:00,0.00242,-0.00367,-0.01185,0.00242,-0.00367,-0.01185
AQUN00ITA,EURA14,2005-11-17 11:59:00,3e-05,-0.00292,-0.00862,3e-05,-0.00292,-0.00862
AQUN00ITA,EURA14,2005-11-18 11:59:00,0.00163,-0.00325,-0.0075,0.00163,-0.00325,-0.0075
AQUN00ITA,EURA14,2005-11-19 11:59:00,0.00102,-0.00335,-0.01836,0.00102,-0.00335,-0.01836
AQUN00ITA,EURA14,2005-11-20 11:59:00,0.00062,-0.00413,-0.01662,0.00062,-0.00413,-0.01662
AQUN00ITA,EURA14,2005-11-21 11:59:00,0.00103,-0.00337,-0.01032,0.00103,-0.00337,-0.01032
AQUN00ITA,EURA14,2005-11-22 11:59:00,0.00141,-0.00425,-0.02074,0.00141,-0.00425,-0.02074
AQUN00ITA,EURA14,2005-11-23 11:59:00,0.0011250000000000001,-0.004825,-0.015245000000000002,0.0011250000000000001,-0.004825,-0.015245000000000002
AQUN00ITA,EURA14,2005-11-24 11:59:00,0.00084,-0.0054,-0.00975,0.00084,-0.0054,-0.00975
AQUN00ITA,EURA14,2005-11-25 11:59:00,0.00184,-0.00542,-0.01287,0.00184,-0.00542,-0.01287
AQUN00ITA,EURA14,2005-11-26 11:59:00,-0.00134,-0.01148,-0.02301,-0.00134,-0.01148,-0.02301
AQUN00ITA,EURA14,2005-11-27 11:59:00,0.00263,-0.00621,-0.02033,0.00263,-0.00621,-0.02033
AQUN00ITA,EURA14,2005-11-28 11:59:00,0.00204,-0.00505,-0.01237,0.00204,-0.00505,-0.01237
AQUN00ITA,EURA14,2005-11-29 11:59:00,0.00198,-0.00396,-0.01659,0.00198,-0.00396,-0.01659
AQUN00ITA,EURA14,2005-11-30 11:59:00,0.00164,-0.00256,-0.01031,0.00164,-0.00256,-0.01031
AQUN00ITA,EURA14,2005-12-01 11:59:00,0.00232,-0.00328,-0.01374,0.00232,-0.00328,-0.01374
AQUN00ITA,EURA14,2005-12-02 11:59:00,0.00265,-0.00453,-0.01437,0.00265,-0.00453,-0.01437
AQUN00ITA,EURA14,2005-12-03 11:59:00,0.00206,-0.00461,-0.0163,0.00206,-0.00461,-0.0163
AQUN00ITA,EURA14,2005-12-04 11:59:00,0.00134,-0.00406,-0.01804,0.00134,-0.00406,-0.01804
AQUN00ITA,EURA14,2005-12-05 11:59:00,0.00046,-0.00952,-0.00862,0.00046,-0.00952,-0.00862
AQUN00ITA,EURA14,2005-12-06 11:59:00,0.00374,-0.00306,-0.01331,0.00374,-0.00306,-0.01331
AQUN00ITA,EURA14,2005-12-07 11:59:00,0.00334,-0.00417,-0.01887,0.00334,-0.00417,-0.01887
AQUN00ITA,EURA14,2005-12-08 11:59:00,0.00147,-0.00361,-0.01655,0.00147,-0.00361,-0.01655
AQUN00ITA,EURA14,2005-12-09 11:59:00,0.00135,-0.00298,-0.0172,0.00135,-0.00298,-0.0172
AQUN00ITA,EURA14,2005-12-10 11:59:00,0.00173,-0.00356,-0.02133,0.00173,-0.00356,-0.02133
AQUN00ITA,EURA14,2005-12-11 11:59:00,0.00077,-0.00606,-0.01878,0.00077,-0.00606,-0.01878
AQUN00ITA,EURA14,2005-12-12 11:59:00,0.00208,-0.00366,-0.01694,0.00208,-0.00366,-0.01694
AQUN00ITA,EURA14,2005-12-13 11:59:00,0.00077,-0.00376,-0.01105,0.00077,-0.00376,-0.01105
AQUN00ITA,EURA14,2005-12-14 11:59:00,0.00201,-0.00358,-0.01381,0.00201,-0.00358,-0.01381
AQUN00ITA,EURA14,2005-12-15 11:59:00,0.00127,-0.00492,-0.01477,0.00127,-0.00492,-0.01477
AQUN00ITA,EURA14,2005-12-16 11:59:00,0.00166,-0.00458,-0.01836,0.00166,-0.00458,-0.01836
AQUN00ITA,EURA14,2005-12-17 11:59:00,0.00267,-0.00559,-0.01528,0.00267,-0.00559,-0.01528
AQUN00ITA,EURA14,2005-12-18 11:59:00,0.00238,-0.00703,-0.02028,0.00238,-0.00703,-0.02028
AQUN00ITA,EURA14,2005-12-19 11:59:00,0.00245,-0.0054,-0.02115,0.00245,-0.0054,-0.02115
AQUN00ITA,EURA14,2005-12-20 11:59:00,0.00173,-0.0058,-0.02043,0.00173,-0.0058,-0.02043
AQUN00ITA,EURA14,2005-12-21 11:59:00,0.00256,-0.00627,-0.01845,0.00256,-0.00627,-0.01845
AQUN00ITA,EURA14,2005-12-22 11:59:00,0.00103,-0.0062,-0.01373,0.00103,-0.0062,-0.01373
AQUN00ITA,EURA14,2005-12-23 11:59:00,0.00137,-0.00574,-0.01662,0.00137,-0.00574,-0.01662
AQUN00ITA,EURA14,2005-12-24 11:59:00,0.0012,-0.00626,-0.01561,0.0012,-0.00626,-0.01561
AQUN00ITA,EURA14,2005-12-25 11:59:00,-0.00195,-0.00553,-0.02171,-0.00195,-0.00553,-0.02171
AQUN00ITA,EURA14,2005-12-26 11:59:00,0.00267,-0.00134,-0.00669,0.00267,-0.00134,-0.00669
AQUN00ITA,EURA14,2005-12-27 11:59:00,0.00418,-0.00226,0.00013,0.00418,-0.00226,0.00013
AQUN00ITA,EURA14,2005-12-28 11:59:00,0.00055,-0.00633,-0.00912,0.00055,-0.00633,-0.00912
AQUN00ITA,EURA14,2005-12-29 11:59:00,0.00263,-0.00707,-0.01658,0.00263,-0.00707,-0.01658
AQUN00ITA,EURA14,2005-12-30 11:59:00,0.00277,-0.00688,-0.01602,0.00277,-0.00688,-0.01602
AQUN00ITA,EURA14,2005-12-31 11:59:00,0.00258,-0.00533,-0.01308,0.00258,-0.00533,-0.01308
AQUN00ITA,EURA14,2006-01-01 11:59:00,0.00089,-0.00559,-0.02043,0.00089,-0.00559,-0.02043
AQUN00ITA,EURA14,2006-01-02 11:59:00,0.00056,-0.00591,-0.00951,0.00056,-0.00591,-0.00951
AQUN00ITA,EURA14,2006-01-03 11:59:00,0.00254,-0.00471,-0.01434,0.00254,-0.00471,-0.01434
AQUN00ITA,EURA14,2006-01-04 11:59:00,0.00231,-0.00426,-0.01233,0.00231,-0.00426,-0.01233
AQUN00ITA,EURA14,2006-01-05 11:59:00,0.00299,-0.00556,-0.01174,0.00299,-0.00556,-0.01174
AQUN00ITA,EURA14,2006-01-06 11:59:00,0.00279,-0.00487,-0.01473,0.00279,-0.00487,-0.01473
AQUN00ITA,EURA14,2006-01-07 11:59:00,0.00355,-0.00441,-0.01605,0.00355,-0.00441,-0.01605
AQUN00ITA,EURA14,2006-01-08 11:59:00,0.00358,-0.0049,-0.01738,0.00358,-0.0049,-0.01738
AQUN00ITA,EURA14,2006-01-09 11:59:00,0.00271,-0.0048,-0.0203,0.00271,-0.0048,-0.0203
AQUN00ITA,EURA14,2006-01-10 11:59:00,0.00251,-0.00486,-0.02101,0.00251,-0.00486,-0.02101
AQUN00ITA,EURA14,2006-01-11 11:59:00,0.00264,-0.00558,-0.01984,0.00264,-0.00558,-0.01984
AQUN00ITA,EURA14,2006-01-12 11:59:00,0.00254,-0.00528,-0.01618,0.00254,-0.00528,-0.01618
AQUN00ITA,EURA14,2006-01-13 11:59:00,0.00304,-0.00488,-0.01584,0.00304,-0.00488,-0.01584
AQUN00ITA,EURA14,2006-01-14 11:59:00,0.00294,-0.00501,-0.01705,0.00294,-0.00501,-0.01705
AQUN00ITA,EURA14,2006-01-15 11:59:00,0.00303,-0.00546,-0.01537,0.00303,-0.00546,-0.01537
AQUN00ITA,EURA14,2006-01-16 11:59:00,0.00278,-0.00545,-0.01683,0.00278,-0.00545,-0.01683
AQUN00ITA,EURA14,2006-01-17 11:59:00,0.00193,-0.00563,-0.01366,0.00193,-0.00563,-0.01366
AQUN00ITA,EURA14,2006-01-18 11:59:00,0.00275,-0.00461,-0.01076,0.00275,-0.00461,-0.01076
AQUN00ITA,EURA14,2006-01-19 11:59:00,0.00264,-0.0042,-0.01423,0.00264,-0.0042,-0.01423
AQUN00ITA,EURA14,2006-01-20 11:59:00,0.00221,-0.0045,-0.0181,0.00221,-0.0045,-0.0181
AQUN00ITA,EURA14,2006-01-27 11:59:00,0.00363,-0.00417,-0.00892,0.00363,-0.00417,-0.00892
AQUN00ITA,EURA14,2006-01-28 11:59:00,0.00523,-0.00512,-0.01766,0.00523,-0.00512,-0.01766
AQUN00ITA,EURA14,2006-01-29 11:59:00,0.00266,-0.00501,-0.01772,0.00266,-0.00501,-0.01772
AQUN00ITA,EURA14,2006-01-30 11:59:00,0.00299,-0.00308,-0.01567,0.00299,-0.00308,-0.01567
AQUN00ITA,EURA14,2006-01-31 11:59:00,0.00236,-0.00508,-0.01483,0.00236,-0.00508,-0.01483
AQUN00ITA,EURA14,2006-02-01 11:59:00,0.00273,-0.00501,-0.01822,0.00273,-0.00501,-0.01822
AQUN00ITA,EURA14,2006-02-02 11:59:00,0.00324,-0.00346,-0.01245,0.00324,-0.00346,-0.01245
AQUN00ITA,EURA14,2006-02-03 11:59:00,0.00338,-0.00438,-0.01329,0.00338,-0.00438,-0.01329
