marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ARCE00ITA,EURA14,2007-12-29 11:59:00,0.02575,0.01429,-0.00904,0.02575,0.01429,-0.00904
ARCE00ITA,EURA14,2007-12-30 11:59:00,0.03656,0.01731,-0.00423,0.03656,0.01731,-0.00423
ARCE00ITA,EURA14,2007-12-31 11:59:00,0.03509,0.01904,0.00194,0.03509,0.01904,0.00194
ARCE00ITA,EURA14,2008-01-01 11:59:00,0.03452,0.01889,-0.00264,0.03452,0.01889,-0.00264
ARCE00ITA,EURA14,2008-01-02 11:59:00,0.03514,0.01832,-0.00019,0.03514,0.01832,-0.00019
ARCE00ITA,EURA14,2008-01-03 11:59:00,0.03523,0.01815,-0.00204,0.03523,0.01815,-0.00204
ARCE00ITA,EURA14,2008-01-04 11:59:00,0.03502,0.01819,-0.00384,0.03502,0.01819,-0.00384
ARCE00ITA,EURA14,2008-01-05 11:59:00,0.03503,0.01738,-0.00976,0.03503,0.01738,-0.00976
ARCE00ITA,EURA14,2008-01-14 11:59:00,0.03401,0.01733,-0.01099,0.03401,0.01733,-0.01099
ARCE00ITA,EURA14,2008-01-15 11:59:00,0.03643,0.01804,-0.01089,0.03643,0.01804,-0.01089
ARCE00ITA,EURA14,2008-01-16 11:59:00,0.03445,0.01734,-0.01738,0.03445,0.01734,-0.01738
ARCE00ITA,EURA14,2008-01-17 11:59:00,0.03439,0.01714,-0.00954,0.03439,0.01714,-0.00954
ARCE00ITA,EURA14,2008-01-18 11:59:00,0.03546,0.01805,-0.00872,0.03546,0.01805,-0.00872
ARCE00ITA,EURA14,2008-01-19 11:59:00,0.03557,0.01779,-0.0083,0.03557,0.01779,-0.0083
ARCE00ITA,EURA14,2008-01-20 11:59:00,0.03539,0.01748,-0.01456,0.03539,0.01748,-0.01456
ARCE00ITA,EURA14,2008-01-21 11:59:00,0.03245,0.01627,-0.00819,0.03245,0.01627,-0.00819
ARCE00ITA,EURA14,2008-01-22 11:59:00,0.03597,0.01861,-0.00517,0.03597,0.01861,-0.00517
ARCE00ITA,EURA14,2008-01-23 11:59:00,0.03486,0.01806,-0.00781,0.03486,0.01806,-0.00781
ARCE00ITA,EURA14,2008-01-24 11:59:00,0.03352,0.01868,-0.01309,0.03352,0.01868,-0.01309
ARCE00ITA,EURA14,2008-01-25 11:59:00,0.03332,0.0182,-0.01069,0.03332,0.0182,-0.01069
ARCE00ITA,EURA14,2008-01-26 11:59:00,0.03289,0.01809,-0.01202,0.03289,0.01809,-0.01202
ARCE00ITA,EURA14,2008-01-27 11:59:00,0.03383,0.01551,-0.01048,0.03383,0.01551,-0.01048
ARCE00ITA,EURA14,2008-01-28 11:59:00,0.03339,0.01748,-0.00579,0.03339,0.01748,-0.00579
ARCE00ITA,EURA14,2008-01-29 11:59:00,0.03383,0.01766,-0.00702,0.03383,0.01766,-0.00702
ARCE00ITA,EURA14,2008-01-30 11:59:00,0.03221,0.01497,-0.00245,0.03221,0.01497,-0.00245
ARCE00ITA,EURA14,2008-01-31 11:59:00,0.0332,0.01681,-0.00614,0.0332,0.01681,-0.00614
ARCE00ITA,EURA14,2008-02-01 11:59:00,0.03429,0.01634,-0.00882,0.03429,0.01634,-0.00882
