marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ARDE00ITA,EURA14,2012-06-13 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ARDE00ITA,EURA14,2012-06-14 11:59:00,-8e-05,-0.00066,-0.00096,-8e-05,-0.00066,-0.00096
ARDE00ITA,EURA14,2012-06-15 11:59:00,-0.00115,-0.00116,0.00558,-0.00115,-0.00116,0.00558
ARDE00ITA,EURA14,2012-06-16 11:59:00,-0.00211,-0.00173,0.00182,-0.00211,-0.00173,0.00182
ARDE00ITA,EURA14,2012-06-17 11:59:00,-0.00165,-0.00201,0.00272,-0.00165,-0.00201,0.00272
ARDE00ITA,EURA14,2012-06-18 11:59:00,-0.00162,-0.00059,-0.0055,-0.00162,-0.00059,-0.0055
ARDE00ITA,EURA14,2012-06-19 11:59:00,-0.00129,-0.0006,0.00345,-0.00129,-0.0006,0.00345
ARDE00ITA,EURA14,2012-06-20 11:59:00,-0.00185,7e-05,0.00071,-0.00185,7e-05,0.00071
ARDE00ITA,EURA14,2012-06-21 11:59:00,-0.001,-0.00193,0.00485,-0.001,-0.00193,0.00485
ARDE00ITA,EURA14,2012-06-22 11:59:00,-0.00214,-0.00154,0.00729,-0.00214,-0.00154,0.00729
ARDE00ITA,EURA14,2012-06-23 11:59:00,-0.00221,0.00013,-0.0011,-0.00221,0.00013,-0.0011
ARDE00ITA,EURA14,2012-06-24 11:59:00,-0.00152,-0.00081,0.00516,-0.00152,-0.00081,0.00516
ARDE00ITA,EURA14,2012-06-25 11:59:00,-0.00249,-0.00124,-0.00225,-0.00249,-0.00124,-0.00225
ARDE00ITA,EURA14,2012-06-26 11:59:00,-0.001,-0.0004,0.00798,-0.001,-0.0004,0.00798
ARDE00ITA,EURA14,2012-09-18 11:59:00,-0.00059,-0.00281,0.00015,-0.003304945812807882,-0.0009973004926108371,0.0005038620689655168
ARDE00ITA,EURA14,2012-09-19 11:59:00,-0.00226,-0.00351,0.01269,-0.0049749458128078815,-0.0016973004926108372,0.013043862068965517
ARDE00ITA,EURA14,2012-09-20 11:59:00,-0.00017,-0.00345,0.00426,-0.0028849458128078816,-0.001637300492610837,0.004613862068965517
