marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ARQT00ITA,EURA14,2016-09-13 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ARQT00ITA,EURA14,2016-09-14 11:59:00,-0.00025,-0.00247,0.00814,-0.00025,-0.00247,0.00814
ARQT00ITA,EURA14,2016-09-15 11:59:00,-0.00167,0.00017,0.00062,-0.00167,0.00017,0.00062
ARQT00ITA,EURA14,2016-09-16 11:59:00,0.00014,0.0014,-0.0014,0.00014,0.0014,-0.0014
ARQT00ITA,EURA14,2016-09-17 11:59:00,0.00055,-0.00125,0.00461,0.00055,-0.00125,0.00461
ARQT00ITA,EURA14,2016-09-18 11:59:00,0.00109,-0.00075,0.00319,0.00109,-0.00075,0.00319
ARQT00ITA,EURA14,2016-09-19 11:59:00,0.0021,0.00107,0.00583,0.0021,0.00107,0.00583
ARQT00ITA,EURA14,2016-09-20 11:59:00,-0.00018,-0.00027,0.00645,-0.00018,-0.00027,0.00645
ARQT00ITA,EURA14,2016-09-21 11:59:00,-0.00139,0.00255,-0.00069,-0.00139,0.00255,-0.00069
ARQT00ITA,EURA14,2016-09-22 11:59:00,-0.00023,0.0007,0.00177,-0.00023,0.0007,0.00177
ARQT00ITA,EURA14,2016-09-23 11:59:00,0.0007,0.00018,-0.00257,0.0007,0.00018,-0.00257
ARQT00ITA,EURA14,2016-09-24 11:59:00,-0.00066,0.00044,-0.00188,-0.00066,0.00044,-0.00188
ARQT00ITA,EURA14,2016-09-25 11:59:00,-0.00049,-0.00051,-0.00014,-0.00049,-0.00051,-0.00014
ARQT00ITA,EURA14,2016-09-26 11:59:00,0.0001,-0.00041,0.00512,0.0001,-0.00041,0.00512
ARQT00ITA,EURA14,2016-09-27 11:59:00,-0.00094,0.00175,0.00232,-0.00094,0.00175,0.00232
ARQT00ITA,EURA14,2016-09-28 11:59:00,0.00033,-2e-05,-0.00478,0.00033,-2e-05,-0.00478
ARQT00ITA,EURA14,2016-09-29 11:59:00,-1e-05,0.00054,-0.00289,-1e-05,0.00054,-0.00289
ARQT00ITA,EURA14,2016-09-30 11:59:00,0.00159,0.00084,-0.00174,0.00159,0.00084,-0.00174
ARQT00ITA,EURA14,2016-10-01 11:59:00,0.00029,-0.00078,0.00416,0.00029,-0.00078,0.00416
ARQT00ITA,EURA14,2016-10-02 11:59:00,0.00071,-0.00086,0.00758,0.00071,-0.00086,0.00758
ARQT00ITA,EURA14,2016-10-03 11:59:00,0.00208,0.0,0.00459,0.00208,0.0,0.00459
ARQT00ITA,EURA14,2016-10-04 11:59:00,-0.00041,0.00014,0.00367,-0.00041,0.00014,0.00367
ARQT00ITA,EURA14,2016-10-05 11:59:00,-0.00044,0.00058,0.00423,-0.00044,0.00058,0.00423
ARQT00ITA,EURA14,2016-10-06 11:59:00,0.00105,0.00056,0.00446,0.00105,0.00056,0.00446
ARQT00ITA,EURA14,2016-10-07 11:59:00,0.00046,0.00043,0.00541,0.00046,0.00043,0.00541
ARQT00ITA,EURA14,2016-10-08 11:59:00,0.00187,0.00064,0.0034,0.00187,0.00064,0.0034
ARQT00ITA,EURA14,2016-10-09 11:59:00,-0.00084,-0.00057,0.00488,-0.00084,-0.00057,0.00488
ARQT00ITA,EURA14,2016-10-10 11:59:00,0.0002,0.00032,0.00495,0.0002,0.00032,0.00495
ARQT00ITA,EURA14,2016-10-11 11:59:00,-0.00152,-0.00037,0.00036,-0.00152,-0.00037,0.00036
ARQT00ITA,EURA14,2016-10-12 11:59:00,0.00028,-0.00086,0.00313,0.00028,-0.00086,0.00313
ARQT00ITA,EURA14,2016-10-13 11:59:00,0.00194,0.00151,0.00026,0.00194,0.00151,0.00026
ARQT00ITA,EURA14,2016-10-14 11:59:00,0.00326,0.00062,0.0006,0.00326,0.00062,0.0006
ARQT00ITA,EURA14,2016-10-15 11:59:00,0.00238,0.00146,-0.0003,0.00238,0.00146,-0.0003
ARQT00ITA,EURA14,2016-10-16 11:59:00,-0.00035,0.00013,-0.00516,-0.00035,0.00013,-0.00516
ARQT00ITA,EURA14,2016-10-17 11:59:00,-6e-05,0.00151,-0.00674,-6e-05,0.00151,-0.00674
ARQT00ITA,EURA14,2016-10-18 11:59:00,-9e-05,0.00049,-0.00113,-9e-05,0.00049,-0.00113
ARQT00ITA,EURA14,2016-10-19 11:59:00,0.00065,-0.00052,-0.00486,0.00065,-0.00052,-0.00486
ARQT00ITA,EURA14,2016-10-20 11:59:00,9e-05,-0.00067,-0.00159,9e-05,-0.00067,-0.00159
ARQT00ITA,EURA14,2016-10-21 11:59:00,0.00143,0.00086,0.00342,0.00143,0.00086,0.00342
ARQT00ITA,EURA14,2016-10-22 11:59:00,-0.00098,-0.00083,-0.00079,-0.00098,-0.00083,-0.00079
ARQT00ITA,EURA14,2016-10-23 11:59:00,0.00177,0.00048,-0.0007,0.00177,0.00048,-0.0007
ARQT00ITA,EURA14,2016-10-24 11:59:00,0.00068,-0.00034,-0.00091,0.00068,-0.00034,-0.00091
ARQT00ITA,EURA14,2016-10-25 11:59:00,0.00132,0.00075,-0.00311,0.00132,0.00075,-0.00311
ARQT00ITA,EURA14,2016-10-26 11:59:00,0.00096,0.0003,-0.00174,0.00096,0.0003,-0.00174
ARQT00ITA,EURA14,2016-10-27 11:59:00,-0.00064,0.00231,-0.00552,-0.00064,0.00231,-0.00552
ARQT00ITA,EURA14,2016-10-28 11:59:00,0.00514,0.00061,-0.00346,0.00514,0.00061,-0.00346
ARQT00ITA,EURA14,2016-10-29 11:59:00,0.00055,0.00132,-0.0005,0.00055,0.00132,-0.0005
ARQT00ITA,EURA14,2016-10-30 11:59:00,-0.0425,0.05355,-0.37384,0.0003660545375570243,0.0004267984243458284,0.0915207676481849
ARQT00ITA,EURA14,2016-10-31 11:59:00,-0.04376,0.05432,-0.4601,-0.000893945462442973,0.0011967984243458282,0.005260767648184894
ARQT00ITA,EURA14,2016-11-01 11:59:00,-0.04416,0.05378,-0.46289,-0.0012939454624429705,0.0006567984243458294,0.0024707676481848795
ARQT00ITA,EURA14,2016-11-02 11:59:00,-0.04264,0.05378,-0.47194,0.00022605453755702998,0.0006567984243458294,-0.006579232351815123
ARQT00ITA,EURA14,2016-11-03 11:59:00,-0.04226,0.0539,-0.46503,0.0006060545375570284,0.0007767984243458315,0.00033076764818490423
ARQT00ITA,EURA14,2016-11-04 11:59:00,-0.0438,0.05383,-0.46894,-0.0009339454624429713,0.0007067984243458308,-0.0035792323518151203
ARQT00ITA,EURA14,2016-11-05 11:59:00,-0.03884,0.05428,-0.45947,0.004026054537557028,0.0011567984243458299,0.005890767648184914
ARQT00ITA,EURA14,2016-11-06 11:59:00,-0.04237,0.05134,-0.45953,0.0004960545375570294,-0.0017832015756541753,0.005830767648184909
ARQT00ITA,EURA14,2016-11-07 11:59:00,-0.04169,0.05347,-0.46202,0.0011760545375570294,0.0003467984243458247,0.003340767648184917
ARQT00ITA,EURA14,2016-11-08 11:59:00,-0.04252,0.05501,-0.46826,0.0003460545375570251,0.0018867984243458313,-0.0028992323518151064
ARQT00ITA,EURA14,2016-11-09 11:59:00,-0.04266,0.05554,-0.46981,0.0002060545375570308,0.002416798424345827,-0.004449232351815102
ARQT00ITA,EURA14,2016-11-10 11:59:00,-0.0412,0.05507,-0.47641,0.0016660545375570268,0.001946798424345829,-0.011049232351815097
ARQT00ITA,EURA14,2016-11-11 11:59:00,-0.03929,0.05444,-0.47143,0.003576054537557029,0.0013167984243458303,-0.0060692323518151126
ARQT00ITA,EURA14,2016-11-12 11:59:00,-0.03896,0.05087,-0.46838,0.0039060545375570258,-0.0022532015756541734,-0.0030192323518151154
ARQT00ITA,EURA14,2016-11-13 11:59:00,-0.04145,0.05375,-0.47521,0.0014160545375570266,0.0006267984243458272,-0.009849232351815118
ARQT00ITA,EURA14,2016-11-14 11:59:00,-0.04229,0.0554,-0.47419,0.0005760545375570261,0.002276798424345826,-0.008829232351815097
ARQT00ITA,EURA14,2016-11-15 11:59:00,-0.04187,0.05547,-0.47687,0.0009960545375570298,0.0023467984243458265,-0.011509232351815113
ARQT00ITA,EURA14,2016-11-16 11:59:00,-0.04188,0.05525,-0.47355,0.0009860545375570268,0.0021267984243458285,-0.008189232351815123
ARQT00ITA,EURA14,2016-11-17 11:59:00,-0.04034,0.0552,-0.47509,0.0025260545375570265,0.002076798424345827,-0.00972923235181511
ARQT00ITA,EURA14,2016-11-18 11:59:00,-0.04337,0.05329,-0.47326,-0.0005039454624429715,0.0001667984243458251,-0.00789923235181511
ARQT00ITA,EURA14,2016-11-19 11:59:00,-0.03831,0.05747,-0.47551,0.0045560545375570305,0.004346798424345828,-0.010149232351815085
ARQT00ITA,EURA14,2016-11-20 11:59:00,-0.04146,0.05537,-0.4775,0.0014060545375570305,0.0022467984243458305,-0.012139232351815077
ARQT00ITA,EURA14,2016-11-21 11:59:00,-0.04079,0.05544,-0.48248,0.0020760545375570275,0.002316798424345831,-0.017119232351815117
ARQT00ITA,EURA14,2016-11-22 11:59:00,-0.04014,0.05483,-0.47825,0.0027260545375570253,0.0017067984243458248,-0.012889232351815105
ARQT00ITA,EURA14,2016-11-23 11:59:00,-0.04036,0.05605,-0.48308,0.0025060545375570273,0.0029267984243458306,-0.017719232351815106
ARQT00ITA,EURA14,2016-11-24 11:59:00,-0.04137,0.05635,-0.47765,0.0014960545375570303,0.0032267984243458253,-0.012289232351815116
ARQT00ITA,EURA14,2016-11-25 11:59:00,-0.04033,0.05658,-0.47853,0.0025360545375570295,0.0034567984243458263,-0.013169232351815108
ARQT00ITA,EURA14,2016-11-26 11:59:00,-0.04042,0.05614,-0.48054,0.0024460545375570297,0.0030167984243458304,-0.01517923235181512
ARQT00ITA,EURA14,2016-11-27 11:59:00,-0.04098,0.05641,-0.47682,0.0018860545375570248,0.00328679842434583,-0.011459232351815118
ARQT00ITA,EURA14,2016-11-28 11:59:00,-0.04172,0.05661,-0.47487,0.0011460545375570272,0.0034867984243458286,-0.009509232351815111
ARQT00ITA,EURA14,2016-11-29 11:59:00,-0.04177,0.05831,-0.48312,0.0010960545375570258,0.005186798424345829,-0.01775923235181509
ARQT00ITA,EURA14,2016-11-30 11:59:00,-0.04274,0.05694,-0.48578,0.0001260545375570271,0.0038167984243458256,-0.020419232351815086
ARQT00ITA,EURA14,2016-12-01 11:59:00,-0.04074,0.05693,-0.47985,0.002126054537557029,0.0038067984243458294,-0.014489232351815096
ARQT00ITA,EURA14,2016-12-02 11:59:00,-0.03964,0.05489,-0.47985,0.0032260545375570257,0.0017667984243458293,-0.014489232351815096
ARQT00ITA,EURA14,2016-12-03 11:59:00,-0.04123,0.05648,-0.47918,0.0016360545375570246,0.0033567984243458304,-0.013819232351815092
ARQT00ITA,EURA14,2016-12-04 11:59:00,-0.04047,0.057,-0.47813,0.0023960545375570283,0.00387679842434583,-0.012769232351815096
ARQT00ITA,EURA14,2016-12-05 11:59:00,-0.04087,0.05746,-0.48131,0.0019960545375570307,0.004336798424345825,-0.015949232351815112
