marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ASCO01ITA,EURA14,2006-05-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ASCO01ITA,EURA14,2006-05-13 11:59:00,0.00053,-0.00662,0.00966,0.00053,-0.00662,0.00966
ASCO01ITA,EURA14,2006-05-14 11:59:00,-0.00079,-0.00342,0.00474,-0.00079,-0.00342,0.00474
ASCO01ITA,EURA14,2006-05-15 11:59:00,-0.00211,-0.00022,-0.00018,-0.00211,-0.00022,-0.00018
ASCO01ITA,EURA14,2006-05-16 11:59:00,-0.00112,-0.00212,0.0056,-0.00112,-0.00212,0.0056
ASCO01ITA,EURA14,2006-05-17 11:59:00,-0.00179,-0.00315,0.00561,-0.00179,-0.00315,0.00561
ASCO01ITA,EURA14,2006-05-18 11:59:00,-0.00245,-0.00245,0.00849,-0.00245,-0.00245,0.00849
ASCO01ITA,EURA14,2006-05-19 11:59:00,-0.00592,-0.002985,0.00686,-0.00592,-0.002985,0.00686
ASCO01ITA,EURA14,2006-05-20 11:59:00,-0.00939,-0.00352,0.00523,-0.00939,-0.00352,0.00523
ASCO01ITA,EURA14,2006-05-21 11:59:00,0.00105,0.00017,-0.00222,0.00105,0.00017,-0.00222
ASCO01ITA,EURA14,2006-05-22 11:59:00,-0.00134,-0.00198,0.01015,-0.00134,-0.00198,0.01015
ASCO01ITA,EURA14,2006-05-23 11:59:00,-0.00246,-0.00315,0.01364,-0.00246,-0.00315,0.01364
ASCO01ITA,EURA14,2006-05-24 11:59:00,-0.0029,-0.00276,0.01804,-0.0029,-0.00276,0.01804
ASCO01ITA,EURA14,2006-05-25 11:59:00,-0.00228,-0.0008,0.00837,-0.00228,-0.0008,0.00837
ASCO01ITA,EURA14,2006-05-26 11:59:00,-0.00091,-0.00117,0.00649,-0.00091,-0.00117,0.00649
ASCO01ITA,EURA14,2006-05-27 11:59:00,-0.00039,-0.00109,0.00639,-0.00039,-0.00109,0.00639
ASCO01ITA,EURA14,2006-05-28 11:59:00,-9e-05,-0.00141,0.0083,-9e-05,-0.00141,0.0083
ASCO01ITA,EURA14,2006-05-29 11:59:00,-0.00985,-0.00851,0.02279,-0.00985,-0.00851,0.02279
ASCO01ITA,EURA14,2006-05-30 11:59:00,-0.00589,0.00136,0.02001,-0.00589,0.00136,0.02001
ASCO01ITA,EURA14,2006-05-31 11:59:00,-0.00146,0.00014,0.00936,-0.00146,0.00014,0.00936
ASCO01ITA,EURA14,2006-06-01 11:59:00,-0.00363,-0.00203,0.01432,-0.00363,-0.00203,0.01432
ASCO01ITA,EURA14,2006-06-02 11:59:00,-0.00293,-0.00294,0.02029,-0.00293,-0.00294,0.02029
ASCO01ITA,EURA14,2006-06-03 11:59:00,-0.0034,-0.00168,0.01829,-0.0034,-0.00168,0.01829
ASCO01ITA,EURA14,2006-06-04 11:59:00,-0.00223,-0.00177,0.01399,-0.00223,-0.00177,0.01399
ASCO01ITA,EURA14,2006-06-05 11:59:00,-0.00226,-0.00268,0.00585,-0.00226,-0.00268,0.00585
ASCO01ITA,EURA14,2006-06-06 11:59:00,-0.00321,-0.00273,0.01535,-0.00321,-0.00273,0.01535
ASCO01ITA,EURA14,2006-06-07 11:59:00,-0.00092,-0.00239,0.00556,-0.00092,-0.00239,0.00556
ASCO01ITA,EURA14,2006-06-08 11:59:00,-0.00126,-0.00096,0.00551,-0.00126,-0.00096,0.00551
ASCO01ITA,EURA14,2006-06-09 11:59:00,-0.00208,-0.00189,0.00842,-0.00208,-0.00189,0.00842
ASCO01ITA,EURA14,2006-06-10 11:59:00,-0.00066,-0.00244,0.00366,-0.00066,-0.00244,0.00366
ASCO01ITA,EURA14,2006-06-11 11:59:00,0.00038,-0.00162,0.01127,0.00038,-0.00162,0.01127
