marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AT0200ITA,EURA14,2021-12-02 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AT0200ITA,EURA14,2021-12-03 11:59:00,0.00028,-0.0006,-0.00674,0.00028,-0.0006,-0.00674
AT0200ITA,EURA14,2021-12-04 11:59:00,-6e-05,0.0005,-0.00043,-6e-05,0.0005,-0.00043
AT0200ITA,EURA14,2021-12-05 11:59:00,-0.00126,-0.00029,0.00377,-0.00126,-0.00029,0.00377
AT0200ITA,EURA14,2021-12-06 11:59:00,0.00191,0.00012,-0.00039,0.00191,0.00012,-0.00039
AT0200ITA,EURA14,2021-12-07 11:59:00,0.00047,-0.00027,0.00346,0.00047,-0.00027,0.00346
AT0200ITA,EURA14,2021-12-08 11:59:00,0.00096,-0.00054,-0.0013,0.00096,-0.00054,-0.0013
AT0200ITA,EURA14,2021-12-09 11:59:00,0.00072,0.00103,0.00314,0.00072,0.00103,0.00314
AT0200ITA,EURA14,2021-12-10 11:59:00,0.0018,0.00047,-0.00295,0.0018,0.00047,-0.00295
AT0200ITA,EURA14,2021-12-11 11:59:00,0.00508,0.00683,-0.0123,0.00508,0.00683,-0.0123
AT0200ITA,EURA14,2021-12-12 11:59:00,0.00075,-0.00324,-0.00619,0.00075,-0.00324,-0.00619
AT0200ITA,EURA14,2021-12-13 11:59:00,0.00072,0.0007,-0.00415,0.00072,0.0007,-0.00415
AT0200ITA,EURA14,2021-12-14 11:59:00,0.00115,0.00066,0.00019,0.00115,0.00066,0.00019
AT0200ITA,EURA14,2021-12-15 11:59:00,0.00387,0.00141,-0.00056,0.00387,0.00141,-0.00056
AT0200ITA,EURA14,2021-12-16 11:59:00,0.00049,0.00104,0.00352,0.00049,0.00104,0.00352
AT0200ITA,EURA14,2021-12-17 11:59:00,0.00025,0.00017,-0.00034,0.00025,0.00017,-0.00034
AT0200ITA,EURA14,2021-12-18 11:59:00,0.00118,0.00269,-0.00225,0.00118,0.00269,-0.00225
AT0200ITA,EURA14,2021-12-19 11:59:00,-0.00044,0.0008,0.00037,-0.00044,0.0008,0.00037
AT0200ITA,EURA14,2021-12-20 11:59:00,5e-05,0.00024,0.0028,5e-05,0.00024,0.0028
AT0200ITA,EURA14,2021-12-21 11:59:00,0.00068,0.00035,0.00025,0.00068,0.00035,0.00025
AT0200ITA,EURA14,2021-12-22 11:59:00,0.00062,0.00266,-0.00709,0.00062,0.00266,-0.00709
AT0200ITA,EURA14,2021-12-27 11:59:00,0.00043,3e-05,-0.00235,0.00043,3e-05,-0.00235
AT0200ITA,EURA14,2021-12-28 11:59:00,-0.00091,-0.00258,-0.00543,-0.00091,-0.00258,-0.00543
AT0200ITA,EURA14,2021-12-29 11:59:00,0.00024,0.0008,-0.00206,0.00024,0.0008,-0.00206
AT0200ITA,EURA14,2021-12-30 11:59:00,0.00024,0.0001,-0.00396,0.00024,0.0001,-0.00396
AT0200ITA,EURA14,2021-12-31 11:59:00,-0.00082,0.00081,-0.00642,-0.00082,0.00081,-0.00642
AT0200ITA,EURA14,2022-01-01 11:59:00,-0.00094,0.00103,-0.00533,-0.00094,0.00103,-0.00533
