marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ATBU00ITA,EURA14,2010-04-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ATBU00ITA,EURA14,2010-04-29 11:59:00,0.00097,-0.00122,-0.006,0.00097,-0.00122,-0.006
ATBU00ITA,EURA14,2010-04-30 11:59:00,0.00386,0.0,-0.00748,0.00386,0.0,-0.00748
ATBU00ITA,EURA14,2010-05-01 11:59:00,0.00165,0.00033,-0.01378,0.00165,0.00033,-0.01378
ATBU00ITA,EURA14,2010-05-02 11:59:00,0.00177,-0.00039,-0.01282,0.00177,-0.00039,-0.01282
ATBU00ITA,EURA14,2010-05-03 11:59:00,0.00272,-0.00095,-0.01082,0.00272,-0.00095,-0.01082
ATBU00ITA,EURA14,2010-05-04 11:59:00,0.00012,-0.00195,-0.00849,0.00012,-0.00195,-0.00849
ATBU00ITA,EURA14,2010-05-05 11:59:00,0.00238,-0.00075,-0.01235,0.00238,-0.00075,-0.01235
ATBU00ITA,EURA14,2010-05-06 11:59:00,0.00229,0.00018,-0.00785,0.00229,0.00018,-0.00785
ATBU00ITA,EURA14,2010-05-07 11:59:00,0.00219,-1e-05,-0.00995,0.00219,-1e-05,-0.00995
ATBU00ITA,EURA14,2010-05-08 11:59:00,0.00315,0.00072,-0.00885,0.00315,0.00072,-0.00885
ATBU00ITA,EURA14,2010-05-09 11:59:00,0.00297,0.00041,-0.01619,0.00297,0.00041,-0.01619
ATBU00ITA,EURA14,2010-05-10 11:59:00,0.00081,0.0,-0.00747,0.00081,0.0,-0.00747
ATBU00ITA,EURA14,2010-05-11 11:59:00,0.00143,-0.00029,-0.00665,0.00143,-0.00029,-0.00665
ATBU00ITA,EURA14,2010-05-12 11:59:00,0.00256,0.00136,-0.01227,0.00256,0.00136,-0.01227
ATBU00ITA,EURA14,2010-05-13 11:59:00,0.00178,0.00068,-0.0111,0.00178,0.00068,-0.0111
ATBU00ITA,EURA14,2010-05-14 11:59:00,0.00161,0.00016,-0.01357,0.00161,0.00016,-0.01357
ATBU00ITA,EURA14,2010-05-15 11:59:00,0.00138,-0.00088,-0.00885,0.00138,-0.00088,-0.00885
ATBU00ITA,EURA14,2010-05-16 11:59:00,0.00157,-0.00025,-0.01229,0.00157,-0.00025,-0.01229
ATBU00ITA,EURA14,2010-05-17 11:59:00,0.00261,0.00155,-0.0136,0.00261,0.00155,-0.0136
ATBU00ITA,EURA14,2010-05-18 11:59:00,0.00187,0.00185,-0.01468,0.00187,0.00185,-0.01468
ATBU00ITA,EURA14,2010-05-19 11:59:00,-0.00086,0.00034,-0.00742,-0.00086,0.00034,-0.00742
ATBU00ITA,EURA14,2010-05-20 11:59:00,0.00244,0.00274,-0.01669,0.00244,0.00274,-0.01669
ATBU00ITA,EURA14,2010-05-21 11:59:00,0.00432,0.00503,-0.01891,0.00432,0.00503,-0.01891
ATBU00ITA,EURA14,2010-05-22 11:59:00,-0.00037,-0.00029,-0.01403,-0.00037,-0.00029,-0.01403
ATBU00ITA,EURA14,2010-05-23 11:59:00,2e-05,0.00083,-0.01429,2e-05,0.00083,-0.01429
ATBU00ITA,EURA14,2010-05-24 11:59:00,0.00253,0.00044,-0.01533,0.00253,0.00044,-0.01533
ATBU00ITA,EURA14,2010-05-25 11:59:00,0.00543,0.00228,-0.01445,0.00543,0.00228,-0.01445
ATBU00ITA,EURA14,2010-05-26 11:59:00,0.00315,0.00091,-0.01409,0.00315,0.00091,-0.01409
ATBU00ITA,EURA14,2010-05-27 11:59:00,0.00258,0.0021,-0.01373,0.00258,0.0021,-0.01373
ATBU00ITA,EURA14,2010-05-28 11:59:00,0.00234,0.00203,-0.01445,0.00234,0.00203,-0.01445
ATBU00ITA,EURA14,2010-05-29 11:59:00,0.00153,0.00121,-0.00487,0.00153,0.00121,-0.00487
ATBU00ITA,EURA14,2010-05-30 11:59:00,0.00286,0.00118,-0.00792,0.00286,0.00118,-0.00792
ATBU00ITA,EURA14,2010-05-31 11:59:00,0.00295,0.00254,-0.01342,0.00295,0.00254,-0.01342
ATBU00ITA,EURA14,2010-06-01 11:59:00,0.00235,0.0017,-0.00735,0.00235,0.0017,-0.00735
ATBU00ITA,EURA14,2010-06-02 11:59:00,0.00274,0.00231,-0.00977,0.00274,0.00231,-0.00977
ATBU00ITA,EURA14,2010-06-03 11:59:00,-8e-05,-0.00045,-0.00878,-8e-05,-0.00045,-0.00878
ATBU00ITA,EURA14,2010-06-04 11:59:00,-0.00226,-0.00267,-0.01104,-0.00226,-0.00267,-0.01104
ATBU00ITA,EURA14,2010-06-05 11:59:00,0.001,0.00015,-0.01775,0.001,0.00015,-0.01775
ATBU00ITA,EURA14,2010-06-06 11:59:00,0.00162,0.00297,-0.01772,0.00162,0.00297,-0.01772
ATBU00ITA,EURA14,2010-06-07 11:59:00,0.00396,0.00091,-0.01048,0.00396,0.00091,-0.01048
ATBU00ITA,EURA14,2010-06-08 11:59:00,0.00332,0.00108,-0.0133,0.00332,0.00108,-0.0133
ATBU00ITA,EURA14,2010-06-09 11:59:00,0.00283,0.00023,-0.00935,0.00283,0.00023,-0.00935
ATBU00ITA,EURA14,2010-06-10 11:59:00,0.00271,0.00087,-0.00842,0.00271,0.00087,-0.00842
ATBU00ITA,EURA14,2010-06-11 11:59:00,0.00313,0.00127,-0.01143,0.00313,0.00127,-0.01143
ATBU00ITA,EURA14,2010-06-12 11:59:00,0.00325,0.00076,-0.01261,0.00325,0.00076,-0.01261
ATBU00ITA,EURA14,2010-06-13 11:59:00,0.00434,0.00119,-0.01788,0.00434,0.00119,-0.01788
ATBU00ITA,EURA14,2010-06-14 11:59:00,0.0056,0.00298,-0.01713,0.0056,0.00298,-0.01713
ATBU00ITA,EURA14,2010-06-15 11:59:00,0.00209,0.00077,-0.01009,0.00209,0.00077,-0.01009
ATBU00ITA,EURA14,2010-06-16 11:59:00,0.00337,0.00199,-0.01642,0.00337,0.00199,-0.01642
ATBU00ITA,EURA14,2010-06-17 11:59:00,0.00165,0.00015,-0.00942,0.00165,0.00015,-0.00942
ATBU00ITA,EURA14,2010-06-18 11:59:00,0.0028,0.00108,-0.00227,0.0028,0.00108,-0.00227
ATBU00ITA,EURA14,2010-06-19 11:59:00,0.00318,-0.00013,-0.00757,0.00318,-0.00013,-0.00757
ATBU00ITA,EURA14,2010-06-20 11:59:00,0.00089,-0.00054,-0.00484,0.00089,-0.00054,-0.00484
ATBU00ITA,EURA14,2010-06-21 11:59:00,0.00174,0.00066,-0.00993,0.00174,0.00066,-0.00993
ATBU00ITA,EURA14,2010-06-22 11:59:00,-0.00074,-0.00064,-0.01341,-0.00074,-0.00064,-0.01341
ATBU00ITA,EURA14,2010-06-23 11:59:00,0.00179,0.00127,-0.0116,0.00179,0.00127,-0.0116
ATBU00ITA,EURA14,2010-06-24 11:59:00,0.00213,-4e-05,-0.01107,0.00213,-4e-05,-0.01107
ATBU00ITA,EURA14,2010-06-25 11:59:00,0.00599,0.00218,-0.01734,0.00599,0.00218,-0.01734
ATBU00ITA,EURA14,2010-06-26 11:59:00,0.00164,0.00073,-0.01321,0.00164,0.00073,-0.01321
ATBU00ITA,EURA14,2010-06-27 11:59:00,0.00149,0.00024,-0.00917,0.00149,0.00024,-0.00917
ATBU00ITA,EURA14,2010-06-28 11:59:00,0.00151,-0.0003,-0.00938,0.00151,-0.0003,-0.00938
ATBU00ITA,EURA14,2010-06-29 11:59:00,-0.00015,0.00021,-0.01479,-0.00015,0.00021,-0.01479
ATBU00ITA,EURA14,2010-06-30 11:59:00,0.00065,7e-05,-0.00978,0.00065,7e-05,-0.00978
ATBU00ITA,EURA14,2010-07-01 11:59:00,0.00029,0.00053,-0.01054,0.00029,0.00053,-0.01054
ATBU00ITA,EURA14,2010-07-02 11:59:00,0.00215,0.00108,-0.00617,0.00215,0.00108,-0.00617
ATBU00ITA,EURA14,2010-07-03 11:59:00,0.00279,0.00019,-0.00973,0.00279,0.00019,-0.00973
