marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ATCC00ITA,EURA14,2020-10-13 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ATCC00ITA,EURA14,2020-10-14 11:59:00,9e-05,0.00063,-0.00599,9e-05,0.00063,-0.00599
ATCC00ITA,EURA14,2020-10-15 11:59:00,-0.00133,-0.00012,-0.00929,-0.00133,-0.00012,-0.00929
ATCC00ITA,EURA14,2020-10-16 11:59:00,-0.00116,-0.00036,-0.00446,-0.00116,-0.00036,-0.00446
ATCC00ITA,EURA14,2020-10-17 11:59:00,-0.00169,0.00043,-0.00794,-0.00169,0.00043,-0.00794
ATCC00ITA,EURA14,2020-10-18 11:59:00,-0.00116,0.00052,-0.01235,-0.00116,0.00052,-0.01235
ATCC00ITA,EURA14,2020-10-19 11:59:00,-0.00205,0.00137,-0.01343,-0.00205,0.00137,-0.01343
ATCC00ITA,EURA14,2020-10-20 11:59:00,-0.00103,0.00031,-0.01153,-0.00103,0.00031,-0.01153
ATCC00ITA,EURA14,2020-10-21 11:59:00,-0.00031,-0.00013,-0.01073,-0.00031,-0.00013,-0.01073
ATCC00ITA,EURA14,2020-10-22 11:59:00,-0.0005,0.00097,-0.01114,-0.0005,0.00097,-0.01114
ATCC00ITA,EURA14,2020-10-23 11:59:00,-0.00215,0.00017,-0.01041,-0.00215,0.00017,-0.01041
ATCC00ITA,EURA14,2020-10-24 11:59:00,-0.00175,0.00045,-0.01535,-0.00175,0.00045,-0.01535
ATCC00ITA,EURA14,2020-10-25 11:59:00,-0.00107,-0.00032,-0.00718,-0.00107,-0.00032,-0.00718
ATCC00ITA,EURA14,2020-10-26 11:59:00,-0.00162,-0.00117,-0.00448,-0.00162,-0.00117,-0.00448
ATCC00ITA,EURA14,2020-10-27 11:59:00,-0.00011,0.00139,-0.014,-0.00011,0.00139,-0.014
ATCC00ITA,EURA14,2020-10-28 11:59:00,-0.00164,0.00016,-0.01268,-0.00164,0.00016,-0.01268
ATCC00ITA,EURA14,2020-10-29 11:59:00,-0.00198,0.00075,-0.0091,-0.00198,0.00075,-0.0091
ATCC00ITA,EURA14,2020-10-30 11:59:00,-0.00188,2e-05,-0.0104,-0.00188,2e-05,-0.0104
ATCC00ITA,EURA14,2020-10-31 11:59:00,-0.00238,0.00078,-0.01356,-0.00238,0.00078,-0.01356
ATCC00ITA,EURA14,2020-11-01 11:59:00,-0.00157,0.00029,-0.01109,-0.00157,0.00029,-0.01109
ATCC00ITA,EURA14,2020-11-02 11:59:00,-0.00179,7e-05,-0.00686,-0.00179,7e-05,-0.00686
ATCC00ITA,EURA14,2020-11-03 11:59:00,-0.00088,0.00054,-0.0089,-0.00088,0.00054,-0.0089
ATCC00ITA,EURA14,2020-11-04 11:59:00,-0.00123,0.00078,-0.00835,-0.00123,0.00078,-0.00835
