marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ATLO00ITA,EURA14,2010-03-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ATLO00ITA,EURA14,2010-03-25 11:59:00,0.00092,-0.00081,-0.0012,0.00092,-0.00081,-0.0012
ATLO00ITA,EURA14,2010-03-26 11:59:00,0.00149,-0.00067,0.00457,0.00149,-0.00067,0.00457
ATLO00ITA,EURA14,2010-03-27 11:59:00,0.0013,0.00022,-0.00153,0.0013,0.00022,-0.00153
ATLO00ITA,EURA14,2010-03-28 11:59:00,0.00106,-0.0004,0.00166,0.00106,-0.0004,0.00166
ATLO00ITA,EURA14,2010-03-29 11:59:00,0.00134,-0.00085,-0.0012,0.00134,-0.00085,-0.0012
ATLO00ITA,EURA14,2010-03-30 11:59:00,0.00103,-0.00125,0.00521,0.00103,-0.00125,0.00521
ATLO00ITA,EURA14,2010-03-31 11:59:00,0.00129,9e-05,0.00825,0.00129,9e-05,0.00825
ATLO00ITA,EURA14,2010-04-01 11:59:00,0.00125,-0.00106,0.00054,0.00125,-0.00106,0.00054
ATLO00ITA,EURA14,2010-04-02 11:59:00,0.00099,-7e-05,-0.00168,0.00099,-7e-05,-0.00168
ATLO00ITA,EURA14,2010-04-03 11:59:00,0.00073,-0.00075,-0.00035,0.00073,-0.00075,-0.00035
ATLO00ITA,EURA14,2010-04-04 11:59:00,0.00156,3e-05,-0.0014,0.00156,3e-05,-0.0014
ATLO00ITA,EURA14,2010-04-05 11:59:00,0.00089,-0.00024,9e-05,0.00089,-0.00024,9e-05
ATLO00ITA,EURA14,2010-04-06 11:59:00,0.00075,-0.00022,-0.00481,0.00075,-0.00022,-0.00481
ATLO00ITA,EURA14,2010-04-07 11:59:00,0.001,0.0002,-0.00111,0.001,0.0002,-0.00111
ATLO00ITA,EURA14,2010-04-08 11:59:00,0.00082,0.0002,-0.00058,0.00082,0.0002,-0.00058
ATLO00ITA,EURA14,2010-04-09 11:59:00,0.00013,-0.00151,-0.00191,0.00013,-0.00151,-0.00191
ATLO00ITA,EURA14,2010-04-10 11:59:00,0.00041,0.00052,0.00657,0.00041,0.00052,0.00657
ATLO00ITA,EURA14,2010-04-11 11:59:00,0.00026,0.00011,0.00311,0.00026,0.00011,0.00311
ATLO00ITA,EURA14,2010-04-12 11:59:00,0.00032,-0.00074,0.0041,0.00032,-0.00074,0.0041
ATLO00ITA,EURA14,2010-04-13 11:59:00,0.00158,-0.00105,-0.00167,0.00158,-0.00105,-0.00167
ATLO00ITA,EURA14,2010-04-14 11:59:00,0.00098,0.0002,0.00297,0.00098,0.0002,0.00297
ATLO00ITA,EURA14,2010-04-15 11:59:00,-0.00095,-0.00244,0.0028,-0.00095,-0.00244,0.0028
ATLO00ITA,EURA14,2010-04-16 11:59:00,0.00085,-0.00134,-0.00218,0.00085,-0.00134,-0.00218
ATLO00ITA,EURA14,2010-04-17 11:59:00,-3e-05,-0.00026,-0.00398,-3e-05,-0.00026,-0.00398
ATLO00ITA,EURA14,2010-04-18 11:59:00,0.00094,-0.00148,-0.00053,0.00094,-0.00148,-0.00053
ATLO00ITA,EURA14,2010-04-19 11:59:00,0.00052,-0.00133,-0.00448,0.00052,-0.00133,-0.00448
ATLO00ITA,EURA14,2010-04-20 11:59:00,0.00138,-0.00062,0.00133,0.00138,-0.00062,0.00133
ATLO00ITA,EURA14,2010-04-21 11:59:00,-6e-05,-0.00069,0.00117,-6e-05,-0.00069,0.00117
ATLO00ITA,EURA14,2010-04-22 11:59:00,0.00113,-0.0006,0.00125,0.00113,-0.0006,0.00125
