marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ATMI00ITA,EURA14,2012-01-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ATMI00ITA,EURA14,2012-01-27 11:59:00,0.00025,-0.001,0.00218,0.00025,-0.001,0.00218
ATMI00ITA,EURA14,2012-01-28 11:59:00,-8e-05,-0.00049,0.00193,-8e-05,-0.00049,0.00193
ATMI00ITA,EURA14,2012-01-29 11:59:00,-0.00054,-0.00128,0.00399,-0.00054,-0.00128,0.00399
ATMI00ITA,EURA14,2012-01-30 11:59:00,-0.00088,-0.00066,0.00355,-0.00088,-0.00066,0.00355
ATMI00ITA,EURA14,2012-01-31 11:59:00,-0.00025,-0.00095,0.00604,-0.00025,-0.00095,0.00604
ATMI00ITA,EURA14,2012-02-01 11:59:00,8e-05,-0.00115,0.01188,8e-05,-0.00115,0.01188
ATMI00ITA,EURA14,2012-02-02 11:59:00,0.00032,-0.00132,0.00766,0.00032,-0.00132,0.00766
ATMI00ITA,EURA14,2012-02-03 11:59:00,-0.00117,-0.0005,0.00707,-0.00117,-0.0005,0.00707
ATMI00ITA,EURA14,2012-02-04 11:59:00,-0.00038,-0.00085,0.0042,-0.00038,-0.00085,0.0042
ATMI00ITA,EURA14,2012-02-05 11:59:00,-0.00107,-0.00132,0.00309,-0.00107,-0.00132,0.00309
ATMI00ITA,EURA14,2012-02-06 11:59:00,-0.00129,-0.0008,0.00893,-0.00129,-0.0008,0.00893
ATMI00ITA,EURA14,2012-02-07 11:59:00,-0.00063,-0.00124,0.01095,-0.00063,-0.00124,0.01095
ATMI00ITA,EURA14,2012-02-08 11:59:00,0.00065,-0.00234,0.01243,0.00065,-0.00234,0.01243
ATMI00ITA,EURA14,2012-02-09 11:59:00,-0.00082,-0.00143,0.00473,-0.00082,-0.00143,0.00473
ATMI00ITA,EURA14,2012-02-10 11:59:00,-0.00114,-0.00213,0.00448,-0.00114,-0.00213,0.00448
ATMI00ITA,EURA14,2012-02-11 11:59:00,-0.00161,-0.00221,0.00604,-0.00161,-0.00221,0.00604
ATMI00ITA,EURA14,2012-02-12 11:59:00,-0.00077,-0.00158,0.00536,-0.00077,-0.00158,0.00536
ATMI00ITA,EURA14,2012-02-13 11:59:00,-0.00116,-0.0015,0.00562,-0.00116,-0.0015,0.00562
ATMI00ITA,EURA14,2012-02-14 11:59:00,-0.0017,-0.00193,0.00673,-0.0017,-0.00193,0.00673
ATMI00ITA,EURA14,2012-02-15 11:59:00,-0.00079,-0.00222,0.00315,-0.00079,-0.00222,0.00315
ATMI00ITA,EURA14,2012-02-16 11:59:00,-0.00196,-0.00078,0.00664,-0.00196,-0.00078,0.00664
ATMI00ITA,EURA14,2012-02-17 11:59:00,-0.00201,-0.00094,0.00349,-0.00201,-0.00094,0.00349
ATMI00ITA,EURA14,2012-02-18 11:59:00,-0.00134,-0.00154,0.00018,-0.00134,-0.00154,0.00018
ATMI00ITA,EURA14,2012-02-19 11:59:00,-0.00039,-0.00024,-0.00116,-0.00039,-0.00024,-0.00116
ATMI00ITA,EURA14,2012-02-20 11:59:00,-5e-05,-0.00063,-0.00138,-5e-05,-0.00063,-0.00138
ATMI00ITA,EURA14,2012-02-21 11:59:00,-0.0012,-0.00104,0.00168,-0.0012,-0.00104,0.00168
ATMI00ITA,EURA14,2012-02-22 11:59:00,-0.00078,-0.00385,0.00423,-0.00078,-0.00385,0.00423
ATMI00ITA,EURA14,2012-02-23 11:59:00,-0.00068,-0.0004,0.00178,-0.00068,-0.0004,0.00178
ATMI00ITA,EURA14,2012-02-24 11:59:00,-0.00062,-0.0014,0.00264,-0.00062,-0.0014,0.00264
ATMI00ITA,EURA14,2012-02-25 11:59:00,-0.00172,-0.00087,0.00338,-0.00172,-0.00087,0.00338
ATMI00ITA,EURA14,2012-02-26 11:59:00,-0.00162,-0.00141,0.00458,-0.00162,-0.00141,0.00458
ATMI00ITA,EURA14,2012-02-27 11:59:00,-0.00069,-0.00066,-0.00352,-0.00069,-0.00066,-0.00352
ATMI00ITA,EURA14,2012-02-28 11:59:00,-0.00074,-0.00077,0.00312,-0.00074,-0.00077,0.00312
ATMI00ITA,EURA14,2012-02-29 11:59:00,-0.0014,-0.0004,-0.0004,-0.0014,-0.0004,-0.0004
ATMI00ITA,EURA14,2012-03-01 11:59:00,-0.00024,-0.00187,-0.00092,-0.00024,-0.00187,-0.00092
ATMI00ITA,EURA14,2012-03-02 11:59:00,-0.00182,-0.00075,0.00358,-0.00182,-0.00075,0.00358
