marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ATTE00ITA,EURA14,2010-03-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ATTE00ITA,EURA14,2010-03-26 11:59:00,3e-05,-0.00022,-0.00126,3e-05,-0.00022,-0.00126
ATTE00ITA,EURA14,2010-03-27 11:59:00,0.00057,0.00052,0.00203,0.00057,0.00052,0.00203
ATTE00ITA,EURA14,2010-03-28 11:59:00,0.00057,-0.00019,0.00221,0.00057,-0.00019,0.00221
ATTE00ITA,EURA14,2010-03-29 11:59:00,0.00064,-0.00078,0.0051,0.00064,-0.00078,0.0051
ATTE00ITA,EURA14,2010-03-30 11:59:00,-0.00028,0.00114,0.00257,-0.00028,0.00114,0.00257
ATTE00ITA,EURA14,2010-03-31 11:59:00,-0.00035,-0.00044,-0.00088,-0.00035,-0.00044,-0.00088
ATTE00ITA,EURA14,2010-04-01 11:59:00,-1e-05,0.00037,0.00436,-1e-05,0.00037,0.00436
ATTE00ITA,EURA14,2010-04-02 11:59:00,0.00112,0.00046,-0.00038,0.00112,0.00046,-0.00038
ATTE00ITA,EURA14,2010-04-03 11:59:00,-0.00037,0.00083,0.0008,-0.00037,0.00083,0.0008
ATTE00ITA,EURA14,2010-04-04 11:59:00,-0.00028,6e-05,0.00081,-0.00028,6e-05,0.00081
ATTE00ITA,EURA14,2010-04-05 11:59:00,-0.00133,-0.00036,0.00175,-0.00133,-0.00036,0.00175
ATTE00ITA,EURA14,2010-04-06 11:59:00,-0.00133,0.00074,0.00048,-0.00133,0.00074,0.00048
ATTE00ITA,EURA14,2010-04-07 11:59:00,-0.00115,0.00073,0.0022,-0.00115,0.00073,0.0022
ATTE00ITA,EURA14,2010-04-08 11:59:00,-0.00199,0.00051,0.00287,-0.00199,0.00051,0.00287
ATTE00ITA,EURA14,2010-04-09 11:59:00,-0.00146,-0.00059,0.00255,-0.00146,-0.00059,0.00255
ATTE00ITA,EURA14,2010-04-10 11:59:00,-0.00116,0.00031,0.00727,-0.00116,0.00031,0.00727
ATTE00ITA,EURA14,2010-04-11 11:59:00,-0.00337,-0.00084,0.01023,-0.00337,-0.00084,0.01023
ATTE00ITA,EURA14,2010-04-12 11:59:00,-0.00213,-9e-05,0.00632,-0.00213,-9e-05,0.00632
ATTE00ITA,EURA14,2010-04-13 11:59:00,-0.00011,-0.00089,0.00256,-0.00011,-0.00089,0.00256
ATTE00ITA,EURA14,2010-04-14 11:59:00,-0.00014,-0.00072,0.00435,-0.00014,-0.00072,0.00435
ATTE00ITA,EURA14,2010-04-15 11:59:00,-0.00333,-0.00324,0.00626,-0.00333,-0.00324,0.00626
ATTE00ITA,EURA14,2010-04-16 11:59:00,-0.00146,-0.00163,0.00155,-0.00146,-0.00163,0.00155
ATTE00ITA,EURA14,2010-04-17 11:59:00,-0.00204,-0.00024,0.00294,-0.00204,-0.00024,0.00294
ATTE00ITA,EURA14,2010-04-18 11:59:00,-0.00196,-0.00179,0.007,-0.00196,-0.00179,0.007
ATTE00ITA,EURA14,2010-04-19 11:59:00,-0.00181,-0.002,0.00141,-0.00181,-0.002,0.00141
ATTE00ITA,EURA14,2010-04-20 11:59:00,0.00052,-0.0001,0.00588,0.00052,-0.0001,0.00588
ATTE00ITA,EURA14,2010-04-21 11:59:00,0.00014,-0.0003,0.00676,0.00014,-0.0003,0.00676
ATTE00ITA,EURA14,2010-04-22 11:59:00,-0.00127,0.00021,0.00649,-0.00127,0.00021,0.00649
ATTE00ITA,EURA14,2010-04-23 11:59:00,-0.00135,-0.00054,0.00336,-0.00135,-0.00054,0.00336
ATTE00ITA,EURA14,2010-04-24 11:59:00,-0.00152,-0.00122,0.00286,-0.00152,-0.00122,0.00286
ATTE00ITA,EURA14,2010-04-25 11:59:00,-0.00208,-0.00079,0.00171,-0.00208,-0.00079,0.00171
ATTE00ITA,EURA14,2010-04-26 11:59:00,-0.00044,-0.00036,0.00359,-0.00044,-0.00036,0.00359
ATTE00ITA,EURA14,2010-04-27 11:59:00,-0.00181,-0.0005,0.00179,-0.00181,-0.0005,0.00179
ATTE00ITA,EURA14,2010-04-28 11:59:00,-0.00202,-0.00192,0.00392,-0.00202,-0.00192,0.00392
ATTE00ITA,EURA14,2010-04-29 11:59:00,-0.00062,-0.00118,0.00097,-0.00062,-0.00118,0.00097
ATTE00ITA,EURA14,2010-04-30 11:59:00,0.00181,0.00036,-0.00148,0.00181,0.00036,-0.00148
ATTE00ITA,EURA14,2010-05-01 11:59:00,0.00104,0.00051,0.00345,0.00104,0.00051,0.00345
ATTE00ITA,EURA14,2010-05-02 11:59:00,-8e-05,-0.00075,0.00612,-8e-05,-0.00075,0.00612
ATTE00ITA,EURA14,2010-05-03 11:59:00,0.00032,0.00101,0.00304,0.00032,0.00101,0.00304
ATTE00ITA,EURA14,2010-05-04 11:59:00,-0.00077,0.00186,0.00262,-0.00077,0.00186,0.00262
ATTE00ITA,EURA14,2010-05-05 11:59:00,0.00089,0.00122,0.00822,0.00089,0.00122,0.00822
ATTE00ITA,EURA14,2010-05-06 11:59:00,-0.00011,0.00057,0.00793,-0.00011,0.00057,0.00793
ATTE00ITA,EURA14,2010-05-07 11:59:00,0.00033,0.00082,0.00463,0.00033,0.00082,0.00463
ATTE00ITA,EURA14,2010-05-08 11:59:00,-0.00016,-0.00028,0.00524,-0.00016,-0.00028,0.00524
ATTE00ITA,EURA14,2010-05-09 11:59:00,0.00094,-2e-05,0.00524,0.00094,-2e-05,0.00524
ATTE00ITA,EURA14,2010-05-10 11:59:00,0.00093,0.00167,0.00107,0.00093,0.00167,0.00107
ATTE00ITA,EURA14,2010-05-11 11:59:00,-0.00015,0.00024,0.00274,-0.00015,0.00024,0.00274
ATTE00ITA,EURA14,2010-05-12 11:59:00,5e-05,0.00099,0.00367,5e-05,0.00099,0.00367
ATTE00ITA,EURA14,2010-05-13 11:59:00,-0.00056,0.00261,0.00803,-0.00056,0.00261,0.00803
ATTE00ITA,EURA14,2010-05-14 11:59:00,-6e-05,0.00086,0.00184,-6e-05,0.00086,0.00184
ATTE00ITA,EURA14,2010-05-15 11:59:00,-0.00018,-0.00019,0.00059,-0.00018,-0.00019,0.00059
ATTE00ITA,EURA14,2010-05-16 11:59:00,-0.00028,-0.00043,4e-05,-0.00028,-0.00043,4e-05
ATTE00ITA,EURA14,2010-05-17 11:59:00,0.00018,0.00023,0.00061,0.00018,0.00023,0.00061
ATTE00ITA,EURA14,2010-05-18 11:59:00,0.00023,0.00077,0.00305,0.00023,0.00077,0.00305
ATTE00ITA,EURA14,2010-05-19 11:59:00,-0.0017,0.00027,-0.00283,-0.0017,0.00027,-0.00283
ATTE00ITA,EURA14,2010-05-20 11:59:00,-0.00153,0.00221,0.00139,-0.00153,0.00221,0.00139
ATTE00ITA,EURA14,2010-05-21 11:59:00,-0.00199,-0.00126,0.00676,-0.00199,-0.00126,0.00676
ATTE00ITA,EURA14,2010-05-22 11:59:00,-0.00138,-0.00023,0.00238,-0.00138,-0.00023,0.00238
ATTE00ITA,EURA14,2010-05-23 11:59:00,-0.00085,-0.00013,-0.00119,-0.00085,-0.00013,-0.00119
ATTE00ITA,EURA14,2010-05-24 11:59:00,0.00048,0.00057,-0.00259,0.00048,0.00057,-0.00259
ATTE00ITA,EURA14,2010-05-25 11:59:00,0.00079,-0.00063,0.00391,0.00079,-0.00063,0.00391
ATTE00ITA,EURA14,2010-05-26 11:59:00,0.00237,0.00049,0.00127,0.00237,0.00049,0.00127
ATTE00ITA,EURA14,2010-05-27 11:59:00,0.00205,0.00156,-0.00017,0.00205,0.00156,-0.00017
ATTE00ITA,EURA14,2010-05-28 11:59:00,-0.00129,0.00037,0.00271,-0.00129,0.00037,0.00271
ATTE00ITA,EURA14,2010-05-29 11:59:00,0.00022,0.0013,-0.00034,0.00022,0.0013,-0.00034
ATTE00ITA,EURA14,2010-05-30 11:59:00,0.00148,0.00132,-0.00011,0.00148,0.00132,-0.00011
ATTE00ITA,EURA14,2010-05-31 11:59:00,-0.00104,-0.00012,0.0026,-0.00104,-0.00012,0.0026
ATTE00ITA,EURA14,2010-06-01 11:59:00,-3e-05,3e-05,0.00462,-3e-05,3e-05,0.00462
ATTE00ITA,EURA14,2010-06-02 11:59:00,-0.00118,-0.00018,0.00216,-0.00118,-0.00018,0.00216
ATTE00ITA,EURA14,2010-06-03 11:59:00,-0.00134,-0.00065,0.00448,-0.00134,-0.00065,0.00448
ATTE00ITA,EURA14,2010-06-04 11:59:00,-0.00115,0.00016,0.00149,-0.00115,0.00016,0.00149
ATTE00ITA,EURA14,2010-06-05 11:59:00,1e-05,-0.00105,-0.00554,1e-05,-0.00105,-0.00554
ATTE00ITA,EURA14,2010-06-06 11:59:00,-0.00161,0.001,0.00468,-0.00161,0.001,0.00468
ATTE00ITA,EURA14,2010-06-07 11:59:00,0.00076,0.00061,0.00906,0.00076,0.00061,0.00906
ATTE00ITA,EURA14,2010-06-08 11:59:00,0.00093,0.00014,0.00597,0.00093,0.00014,0.00597
ATTE00ITA,EURA14,2010-06-09 11:59:00,0.0016,0.00024,0.00599,0.0016,0.00024,0.00599
ATTE00ITA,EURA14,2010-06-10 11:59:00,0.00044,0.00037,0.00468,0.00044,0.00037,0.00468
ATTE00ITA,EURA14,2010-06-11 11:59:00,0.00017,0.00132,0.00045,0.00017,0.00132,0.00045
ATTE00ITA,EURA14,2010-06-12 11:59:00,2e-05,0.00116,0.00649,2e-05,0.00116,0.00649
ATTE00ITA,EURA14,2010-06-13 11:59:00,-0.00061,-0.00017,-0.00063,-0.00061,-0.00017,-0.00063
ATTE00ITA,EURA14,2010-06-14 11:59:00,0.00058,0.00133,-0.00485,0.00058,0.00133,-0.00485
ATTE00ITA,EURA14,2010-06-15 11:59:00,-0.00243,0.00045,-0.00151,-0.00243,0.00045,-0.00151
ATTE00ITA,EURA14,2010-06-16 11:59:00,0.00042,0.00239,0.00511,0.00042,0.00239,0.00511
ATTE00ITA,EURA14,2010-06-17 11:59:00,-0.00168,-0.0009,0.00307,-0.00168,-0.0009,0.00307
ATTE00ITA,EURA14,2010-06-18 11:59:00,0.00051,0.00077,0.00892,0.00051,0.00077,0.00892
