marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
AZRA00ITA,EURA14,2019-08-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
AZRA00ITA,EURA14,2019-08-15 11:59:00,0.00376,0.0014,0.01144,0.00376,0.0014,0.01144
AZRA00ITA,EURA14,2019-08-16 11:59:00,0.00247,0.00097,-0.0068,0.00247,0.00097,-0.0068
AZRA00ITA,EURA14,2019-08-17 11:59:00,0.00093,-0.00132,0.00572,0.00093,-0.00132,0.00572
AZRA00ITA,EURA14,2019-08-18 11:59:00,0.00063,0.00025,0.00115,0.00063,0.00025,0.00115
AZRA00ITA,EURA14,2019-08-19 11:59:00,0.00387,0.0011,0.0032,0.00387,0.0011,0.0032
AZRA00ITA,EURA14,2019-08-20 11:59:00,0.00274,0.00022,0.00159,0.00274,0.00022,0.00159
AZRA00ITA,EURA14,2019-08-21 11:59:00,0.00442,0.0011,0.00231,0.00442,0.0011,0.00231
AZRA00ITA,EURA14,2019-08-22 11:59:00,0.00242,0.00569,0.00558,0.00242,0.00569,0.00558
AZRA00ITA,EURA14,2019-08-23 11:59:00,0.00157,0.00385,0.01255,0.00157,0.00385,0.01255
AZRA00ITA,EURA14,2019-08-24 11:59:00,0.00289,0.00096,-0.00381,0.00289,0.00096,-0.00381
AZRA00ITA,EURA14,2019-08-25 11:59:00,0.00272,0.00232,-0.00593,0.00272,0.00232,-0.00593
AZRA00ITA,EURA14,2019-08-26 11:59:00,0.00276,0.00432,0.0045,0.00276,0.00432,0.0045
AZRA00ITA,EURA14,2019-08-27 11:59:00,0.00205,0.00118,-0.00629,0.00205,0.00118,-0.00629
AZRA00ITA,EURA14,2019-08-28 11:59:00,0.00109,0.00212,0.00688,0.00109,0.00212,0.00688
AZRA00ITA,EURA14,2019-08-29 11:59:00,0.00138,0.00208,0.00479,0.00138,0.00208,0.00479
AZRA00ITA,EURA14,2019-08-30 11:59:00,0.00269,-0.0008,0.00138,0.00269,-0.0008,0.00138
AZRA00ITA,EURA14,2019-08-31 11:59:00,0.00046,0.00212,0.00417,0.00046,0.00212,0.00417
AZRA00ITA,EURA14,2019-09-01 11:59:00,0.00348,0.00145,0.00588,0.00348,0.00145,0.00588
AZRA00ITA,EURA14,2019-09-02 11:59:00,0.00419,0.00051,-0.00019,0.00419,0.00051,-0.00019
AZRA00ITA,EURA14,2019-09-03 11:59:00,0.0018,0.00251,0.00213,0.0018,0.00251,0.00213
AZRA00ITA,EURA14,2019-09-04 11:59:00,0.0029,0.00061,0.0046,0.0029,0.00061,0.0046
AZRA00ITA,EURA14,2019-09-05 11:59:00,0.00243,0.00226,0.00208,0.00243,0.00226,0.00208
AZRA00ITA,EURA14,2019-09-06 11:59:00,0.00464,0.00265,0.01564,0.00464,0.00265,0.01564
AZRA00ITA,EURA14,2019-09-07 11:59:00,0.00317,0.00086,0.00701,0.00317,0.00086,0.00701
AZRA00ITA,EURA14,2019-09-08 11:59:00,-0.00054,0.00131,0.00889,-0.00054,0.00131,0.00889
AZRA00ITA,EURA14,2019-09-09 11:59:00,0.00202,0.00514,0.00946,0.00202,0.00514,0.00946
AZRA00ITA,EURA14,2019-09-10 11:59:00,0.00412,0.0026,0.0077,0.00412,0.0026,0.0077
AZRA00ITA,EURA14,2019-09-11 11:59:00,0.00384,0.00086,-0.00449,0.00384,0.00086,-0.00449
