marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
BSSO00ITA,EURA14,2005-01-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
BSSO00ITA,EURA14,2005-01-15 11:59:00,-0.00323,-0.00086,-0.00345,-0.00323,-0.00086,-0.00345
BSSO00ITA,EURA14,2005-01-16 11:59:00,0.00057,-0.00049,-0.0055,0.00057,-0.00049,-0.0055
BSSO00ITA,EURA14,2005-01-17 11:59:00,0.00032,-0.00138,-0.00315,0.00032,-0.00138,-0.00315
BSSO00ITA,EURA14,2005-01-18 11:59:00,-0.00058,-0.00139,0.00279,-0.00058,-0.00139,0.00279
BSSO00ITA,EURA14,2005-01-19 11:59:00,4e-05,-0.00143,-0.00159,4e-05,-0.00143,-0.00159
BSSO00ITA,EURA14,2005-01-20 11:59:00,-0.00011,-0.0014,-0.00116,-0.00011,-0.0014,-0.00116
BSSO00ITA,EURA14,2005-01-21 11:59:00,0.00136,-0.00044,0.00833,0.00136,-0.00044,0.00833
BSSO00ITA,EURA14,2005-01-22 11:59:00,0.00056,-0.0011,-0.0023,0.00056,-0.0011,-0.0023
BSSO00ITA,EURA14,2005-01-23 11:59:00,0.00088,-0.00043,-0.00154,0.00088,-0.00043,-0.00154
BSSO00ITA,EURA14,2005-01-24 11:59:00,-0.00026,0.001,0.00295,-0.00026,0.001,0.00295
BSSO00ITA,EURA14,2005-01-25 11:59:00,0.00132,-0.00036,0.0007,0.00132,-0.00036,0.0007
BSSO00ITA,EURA14,2005-01-26 11:59:00,0.00181,-0.00071,-0.00088,0.00181,-0.00071,-0.00088
BSSO00ITA,EURA14,2005-01-27 11:59:00,0.00133,-0.00044,-0.0161,0.00133,-0.00044,-0.0161
BSSO00ITA,EURA14,2005-01-28 11:59:00,0.00174,-0.00027,-0.00082,0.00174,-0.00027,-0.00082
BSSO00ITA,EURA14,2005-01-29 11:59:00,0.00235,-0.00041,-0.00807,0.00235,-0.00041,-0.00807
BSSO00ITA,EURA14,2005-01-30 11:59:00,0.00487,0.00113,-0.02538,0.00487,0.00113,-0.02538
BSSO00ITA,EURA14,2005-01-31 11:59:00,0.00117,-0.00085,-0.0076,0.00117,-0.00085,-0.0076
BSSO00ITA,EURA14,2005-02-01 11:59:00,0.0008,-0.00019,-0.00014,0.0008,-0.00019,-0.00014
BSSO00ITA,EURA14,2005-02-02 11:59:00,0.00078,0.00196,-0.00303,0.00078,0.00196,-0.00303
BSSO00ITA,EURA14,2005-02-03 11:59:00,0.00155,0.00073,-0.00058,0.00155,0.00073,-0.00058
BSSO00ITA,EURA14,2005-02-04 11:59:00,0.00049,0.00022,-0.00064,0.00049,0.00022,-0.00064
BSSO00ITA,EURA14,2005-02-05 11:59:00,0.0011,-0.00149,-0.00094,0.0011,-0.00149,-0.00094
BSSO00ITA,EURA14,2005-02-06 11:59:00,0.0013,0.00059,-0.00151,0.0013,0.00059,-0.00151
BSSO00ITA,EURA14,2005-02-07 11:59:00,0.00074,0.00053,-0.00191,0.00074,0.00053,-0.00191
BSSO00ITA,EURA14,2005-02-08 11:59:00,0.00074,0.0012,-0.00158,0.00074,0.0012,-0.00158
BSSO00ITA,EURA14,2005-02-09 11:59:00,-0.00121,0.00201,-0.01529,-0.00121,0.00201,-0.01529
BSSO00ITA,EURA14,2005-02-10 11:59:00,0.00067,0.00119,-0.01057,0.00067,0.00119,-0.01057
BSSO00ITA,EURA14,2005-02-11 11:59:00,0.00038,0.00067,-0.00076,0.00038,0.00067,-0.00076
