marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CABA00ITA,EURA14,2008-01-17 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CABA00ITA,EURA14,2008-01-22 11:59:00,-0.00599,-0.00189,-0.00606,-0.00599,-0.00189,-0.00606
CABA00ITA,EURA14,2008-01-23 11:59:00,0.00109,-0.00403,-0.0038,0.00109,-0.00403,-0.0038
CABA00ITA,EURA14,2008-01-30 11:59:00,-0.00054,-0.00035,0.00206,-0.00054,-0.00035,0.00206
CABA00ITA,EURA14,2008-02-09 11:59:00,-0.00244,-0.00158,0.00219,-0.00244,-0.00158,0.00219
CABA00ITA,EURA14,2008-02-12 11:59:00,-0.00068,-0.00266,0.00148,-0.00068,-0.00266,0.00148
CABA00ITA,EURA14,2008-02-13 11:59:00,-0.0005,-0.00233,0.00313,-0.0005,-0.00233,0.00313
CABA00ITA,EURA14,2008-02-14 11:59:00,-0.0010999999999999998,-0.0015050000000000003,0.003295,-0.0010999999999999998,-0.0015050000000000003,0.003295
CABA00ITA,EURA14,2008-02-15 11:59:00,-0.0017,-0.00068,0.00346,-0.0017,-0.00068,0.00346
CABA00ITA,EURA14,2008-02-18 11:59:00,-0.00307,-0.0011,-0.0005,-0.00307,-0.0011,-0.0005
CABA00ITA,EURA14,2008-02-23 11:59:00,-0.00242,-0.0016,0.00123,-0.00242,-0.0016,0.00123
CABA00ITA,EURA14,2008-02-27 11:59:00,-0.00023,-0.00191,-0.00116,-0.00023,-0.00191,-0.00116
CABA00ITA,EURA14,2008-03-07 11:59:00,-0.00141,-0.00092,-0.00438,-0.00141,-0.00092,-0.00438
CABA00ITA,EURA14,2008-04-03 11:59:00,-6e-05,0.00299,0.00724,-6e-05,0.00299,0.00724
CABA00ITA,EURA14,2008-04-04 11:59:00,-0.0011499999999999998,0.000745,-0.0003950000000000004,-0.0011499999999999998,0.000745,-0.0003950000000000004
CABA00ITA,EURA14,2008-04-05 11:59:00,-0.00224,-0.0015,-0.00803,-0.00224,-0.0015,-0.00803
CABA00ITA,EURA14,2008-04-08 11:59:00,-0.00031,0.00636,-0.00518,-0.00031,0.00636,-0.00518
CABA00ITA,EURA14,2008-04-09 11:59:00,-0.00172,-0.00157,0.00237,-0.00172,-0.00157,0.00237
CABA00ITA,EURA14,2008-04-10 11:59:00,0.00944,0.00638,-0.00923,0.00944,0.00638,-0.00923
CABA00ITA,EURA14,2008-04-11 11:59:00,-0.00059,-0.00549,0.00639,-0.00059,-0.00549,0.00639
CABA00ITA,EURA14,2008-04-12 11:59:00,0.00029,0.0014,0.01743,0.00029,0.0014,0.01743
CABA00ITA,EURA14,2008-04-15 11:59:00,-0.0013,-0.00276,0.00173,-0.0013,-0.00276,0.00173
CABA00ITA,EURA14,2008-04-16 11:59:00,-0.00336,-0.00173,-0.00154,-0.00336,-0.00173,-0.00154
CABA00ITA,EURA14,2008-04-21 11:59:00,0.00044,-0.00072,-0.00396,0.00044,-0.00072,-0.00396
CABA00ITA,EURA14,2008-04-22 11:59:00,-0.00301,-0.00082,0.00489,-0.00301,-0.00082,0.00489
CABA00ITA,EURA14,2008-04-23 11:59:00,-0.00157,-0.00107,-0.00277,-0.00157,-0.00107,-0.00277
CABA00ITA,EURA14,2008-04-24 11:59:00,-0.00112,-0.0009,-0.00785,-0.00112,-0.0009,-0.00785
CABA00ITA,EURA14,2008-04-25 11:59:00,-0.00206,-0.00083,-0.00657,-0.00206,-0.00083,-0.00657
CABA00ITA,EURA14,2008-04-26 11:59:00,-0.0013,-0.00042,-0.00664,-0.0013,-0.00042,-0.00664
CABA00ITA,EURA14,2008-04-27 11:59:00,-0.00037,0.00125,0.00098,-0.00037,0.00125,0.00098
CABA00ITA,EURA14,2008-04-28 11:59:00,-0.00128,-0.00022,-0.00253,-0.00128,-0.00022,-0.00253
CABA00ITA,EURA14,2008-04-29 11:59:00,-2e-05,-0.00087,0.00078,-2e-05,-0.00087,0.00078
CABA00ITA,EURA14,2008-04-30 11:59:00,0.0011,-0.00145,0.00396,0.0011,-0.00145,0.00396
CABA00ITA,EURA14,2008-05-01 11:59:00,-0.00117,0.0017,-0.0002,-0.00117,0.0017,-0.0002
CABA00ITA,EURA14,2008-05-02 11:59:00,-0.00085,0.00029,-0.00021,-0.00085,0.00029,-0.00021
CABA00ITA,EURA14,2008-05-03 11:59:00,-0.00104,-0.00099,-0.00138,-0.00104,-0.00099,-0.00138
CABA00ITA,EURA14,2008-05-04 11:59:00,-0.00033,-0.00159,0.00091,-0.00033,-0.00159,0.00091
CABA00ITA,EURA14,2008-05-05 11:59:00,-0.00208,3e-05,-7e-05,-0.00208,3e-05,-7e-05
CABA00ITA,EURA14,2008-05-06 11:59:00,-0.00129,-0.00117,-0.00329,-0.00129,-0.00117,-0.00329
CABA00ITA,EURA14,2008-05-07 11:59:00,-0.00107,-0.00059,-0.00502,-0.00107,-0.00059,-0.00502
CABA00ITA,EURA14,2008-05-08 11:59:00,-0.00203,4e-05,0.00183,-0.00203,4e-05,0.00183
CABA00ITA,EURA14,2008-05-09 11:59:00,-0.00141,-0.0001,-0.00203,-0.00141,-0.0001,-0.00203
CABA00ITA,EURA14,2008-05-10 11:59:00,-0.00234,-0.00049,-0.0002,-0.00234,-0.00049,-0.0002
CABA00ITA,EURA14,2008-05-11 11:59:00,-0.00183,0.00021,0.00139,-0.00183,0.00021,0.00139
CABA00ITA,EURA14,2008-05-12 11:59:00,-0.00177,0.00042,0.00191,-0.00177,0.00042,0.00191
CABA00ITA,EURA14,2008-05-13 11:59:00,-0.00019,0.0,-0.00148,-0.00019,0.0,-0.00148
CABA00ITA,EURA14,2008-05-14 11:59:00,-0.00069,-0.001,-0.00611,-0.00069,-0.001,-0.00611
CABA00ITA,EURA14,2008-05-15 11:59:00,-0.00021,-0.00031,0.00182,-0.00021,-0.00031,0.00182
CABA00ITA,EURA14,2008-05-16 11:59:00,-4e-05,-0.00079,0.00329,-4e-05,-0.00079,0.00329
CABA00ITA,EURA14,2008-05-17 11:59:00,-0.00148,-0.00075,0.00637,-0.00148,-0.00075,0.00637
CABA00ITA,EURA14,2008-05-18 11:59:00,2e-05,-0.00488,0.00179,2e-05,-0.00488,0.00179
CABA00ITA,EURA14,2008-05-19 11:59:00,-0.00013,-0.00086,0.00707,-0.00013,-0.00086,0.00707
CABA00ITA,EURA14,2008-05-20 11:59:00,-0.00255,-0.0053,-0.00246,-0.00255,-0.0053,-0.00246
CABA00ITA,EURA14,2008-05-21 11:59:00,-0.00204,-0.00048,-0.00574,-0.00204,-0.00048,-0.00574
CABA00ITA,EURA14,2008-05-22 11:59:00,-0.00091,-0.00189,0.00182,-0.00091,-0.00189,0.00182
CABA00ITA,EURA14,2008-05-23 11:59:00,-0.00058,-0.00168,0.00737,-0.00058,-0.00168,0.00737
CABA00ITA,EURA14,2008-05-24 11:59:00,0.0021,-0.00113,0.00366,0.0021,-0.00113,0.00366
