marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CAIA00ITA,EURA14,2016-02-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CAIA00ITA,EURA14,2016-02-09 11:59:00,-0.00191,-0.00108,-0.00401,-0.00191,-0.00108,-0.00401
CAIA00ITA,EURA14,2016-02-10 11:59:00,-0.00182,-0.00156,-0.01388,-0.00182,-0.00156,-0.01388
CAIA00ITA,EURA14,2016-02-11 11:59:00,-0.00105,-0.00131,-0.00483,-0.00105,-0.00131,-0.00483
CAIA00ITA,EURA14,2016-02-12 11:59:00,-0.0002,-0.00158,0.00075,-0.0002,-0.00158,0.00075
CAIA00ITA,EURA14,2016-02-13 11:59:00,-0.00023,0.00045,-0.00073,-0.00023,0.00045,-0.00073
CAIA00ITA,EURA14,2016-02-14 11:59:00,-0.00265,-0.00435,-0.00612,-0.00265,-0.00435,-0.00612
CAIA00ITA,EURA14,2016-02-15 11:59:00,0.00036,-0.00087,-0.00272,0.00036,-0.00087,-0.00272
CAIA00ITA,EURA14,2016-02-16 11:59:00,-0.0003,-0.00125,-0.00327,-0.0003,-0.00125,-0.00327
CAIA00ITA,EURA14,2016-02-17 11:59:00,-0.00059,-0.00055,-0.01113,-0.00059,-0.00055,-0.01113
CAIA00ITA,EURA14,2016-02-18 11:59:00,0.00105,-0.00019,-0.00789,0.00105,-0.00019,-0.00789
CAIA00ITA,EURA14,2016-02-19 11:59:00,-0.00151,-0.00068,-0.00579,-0.00151,-0.00068,-0.00579
CAIA00ITA,EURA14,2016-02-20 11:59:00,-9e-05,-0.00253,-0.00393,-9e-05,-0.00253,-0.00393
CAIA00ITA,EURA14,2016-02-21 11:59:00,-0.00153,-0.00168,-0.00931,-0.00153,-0.00168,-0.00931
CAIA00ITA,EURA14,2016-02-22 11:59:00,0.0059,0.00166,-0.01384,0.0059,0.00166,-0.01384
CAIA00ITA,EURA14,2016-02-23 11:59:00,0.00621,0.00154,-0.00945,0.00621,0.00154,-0.00945
CAIA00ITA,EURA14,2016-02-24 11:59:00,0.00606,0.00122,-0.01413,0.00606,0.00122,-0.01413
CAIA00ITA,EURA14,2016-02-25 11:59:00,0.00687,-4e-05,-0.00964,0.00687,-4e-05,-0.00964
CAIA00ITA,EURA14,2016-02-26 11:59:00,0.00814,0.00232,-0.01068,0.00814,0.00232,-0.01068
CAIA00ITA,EURA14,2016-02-27 11:59:00,0.00601,0.00109,-0.00773,0.00601,0.00109,-0.00773
CAIA00ITA,EURA14,2016-02-28 11:59:00,0.0076,0.00358,-0.01214,0.0076,0.00358,-0.01214
CAIA00ITA,EURA14,2016-02-29 11:59:00,0.00555,0.00154,-0.0139,0.00555,0.00154,-0.0139
