marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CAME00ITA,EURA14,2000-04-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CAME00ITA,EURA14,2000-04-28 11:59:00,0.00185,0.0017,-0.00683,0.00185,0.0017,-0.00683
CAME00ITA,EURA14,2000-04-29 11:59:00,0.00201,-0.00026,0.00271,0.00201,-0.00026,0.00271
CAME00ITA,EURA14,2000-04-30 11:59:00,0.00228,0.00083,0.00113,0.00228,0.00083,0.00113
CAME00ITA,EURA14,2000-05-01 11:59:00,0.0013,0.00149,0.002275,0.0013,0.00149,0.002275
CAME00ITA,EURA14,2000-05-02 11:59:00,0.00032,0.00215,0.00342,0.00032,0.00215,0.00342
CAME00ITA,EURA14,2000-05-10 11:59:00,0.00153,0.00033,0.0059,0.00153,0.00033,0.0059
CAME00ITA,EURA14,2000-05-11 11:59:00,0.00439,-0.00037,0.00189,0.00439,-0.00037,0.00189
CAME00ITA,EURA14,2000-05-12 11:59:00,0.00561,-0.00037,0.00524,0.00561,-0.00037,0.00524
CAME00ITA,EURA14,2000-05-13 11:59:00,0.00379,0.0022,-0.00392,0.00379,0.0022,-0.00392
CAME00ITA,EURA14,2000-05-14 11:59:00,0.00235,-0.00017,0.00032,0.00235,-0.00017,0.00032
CAME00ITA,EURA14,2000-05-15 11:59:00,0.00234,0.00194,-0.00199,0.00234,0.00194,-0.00199
CAME00ITA,EURA14,2000-05-16 11:59:00,0.00316,0.00148,-0.00422,0.00316,0.00148,-0.00422
CAME00ITA,EURA14,2000-05-17 11:59:00,0.00276,-0.00115,0.00242,0.00276,-0.00115,0.00242
CAME00ITA,EURA14,2000-05-18 11:59:00,0.00272,-0.00242,0.00081,0.00272,-0.00242,0.00081
CAME00ITA,EURA14,2000-05-19 11:59:00,-0.00023,-0.00043,0.00619,-0.00023,-0.00043,0.00619
CAME00ITA,EURA14,2000-05-20 11:59:00,-0.00089,0.0011,0.00063,-0.00089,0.0011,0.00063
CAME00ITA,EURA14,2000-05-21 11:59:00,-0.00241,-0.00252,0.00723,-0.00241,-0.00252,0.00723
CAME00ITA,EURA14,2000-05-22 11:59:00,0.00633,0.0015,0.01022,0.00633,0.0015,0.01022
CAME00ITA,EURA14,2000-05-23 11:59:00,0.00405,0.00132,0.00077,0.00405,0.00132,0.00077
CAME00ITA,EURA14,2000-05-24 11:59:00,0.00263,0.00206,0.00314,0.00263,0.00206,0.00314
CAME00ITA,EURA14,2000-05-25 11:59:00,0.00438,0.00096,-0.00406,0.00438,0.00096,-0.00406
