marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CAOC00ITA,EURA14,2010-09-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CAOC00ITA,EURA14,2010-09-29 11:59:00,-0.00035,-0.00615,0.00825,-0.00035,-0.00615,0.00825
CAOC00ITA,EURA14,2010-09-30 11:59:00,-0.00073,-0.006,0.00029,-0.00073,-0.006,0.00029
CAOC00ITA,EURA14,2010-10-01 11:59:00,-0.00094,-0.00621,0.00399,-0.00094,-0.00621,0.00399
CAOC00ITA,EURA14,2010-10-02 11:59:00,-1e-05,-0.00602,0.00186,-1e-05,-0.00602,0.00186
CAOC00ITA,EURA14,2010-10-03 11:59:00,-0.00096,-0.00534,0.00169,-0.00096,-0.00534,0.00169
CAOC00ITA,EURA14,2010-10-04 11:59:00,-0.00291,-0.00963,-0.00116,-0.00291,-0.00963,-0.00116
CAOC00ITA,EURA14,2010-10-05 11:59:00,0.00076,-0.00856,0.00721,0.00076,-0.00856,0.00721
CAOC00ITA,EURA14,2010-10-06 11:59:00,-0.00054,-0.0056,0.00306,-0.00054,-0.0056,0.00306
CAOC00ITA,EURA14,2010-10-07 11:59:00,-0.00143,-0.00741,0.00144,-0.00143,-0.00741,0.00144
CAOC00ITA,EURA14,2010-10-08 11:59:00,-0.00107,-0.00625,0.00222,-0.00107,-0.00625,0.00222
CAOC00ITA,EURA14,2010-10-09 11:59:00,-0.00145,-0.00679,0.00583,-0.00145,-0.00679,0.00583
CAOC00ITA,EURA14,2010-10-10 11:59:00,-0.00061,-0.00556,0.00475,-0.00061,-0.00556,0.00475
CAOC00ITA,EURA14,2010-10-11 11:59:00,-0.00029,-0.0061,0.00506,-0.00029,-0.0061,0.00506
CAOC00ITA,EURA14,2010-10-12 11:59:00,0.00042,-0.00669,0.00655,0.00042,-0.00669,0.00655
CAOC00ITA,EURA14,2010-10-13 11:59:00,-0.00172,-0.00611,0.00347,-0.00172,-0.00611,0.00347
CAOC00ITA,EURA14,2010-10-14 11:59:00,-0.00079,-0.00694,-0.00237,-0.00079,-0.00694,-0.00237
CAOC00ITA,EURA14,2010-10-15 11:59:00,-0.00108,-0.00791,5e-05,-0.00108,-0.00791,5e-05
CAOC00ITA,EURA14,2010-10-16 11:59:00,-0.00094,-0.00681,0.00556,-0.00094,-0.00681,0.00556
CAOC00ITA,EURA14,2010-10-17 11:59:00,-0.00115,-0.00576,0.00315,-0.00115,-0.00576,0.00315
CAOC00ITA,EURA14,2010-10-18 11:59:00,-0.00094,-0.00503,0.00196,-0.00094,-0.00503,0.00196
CAOC00ITA,EURA14,2010-10-19 11:59:00,-0.00036,-0.00753,0.00062,-0.00036,-0.00753,0.00062
CAOC00ITA,EURA14,2010-10-20 11:59:00,0.00169,-0.00641,0.00249,0.00169,-0.00641,0.00249
CAOC00ITA,EURA14,2010-10-21 11:59:00,-0.00061,-0.00625,-0.00215,-0.00061,-0.00625,-0.00215
CAOC00ITA,EURA14,2010-10-22 11:59:00,-0.00021,-0.00663,-0.0008,-0.00021,-0.00663,-0.0008
CAOC00ITA,EURA14,2010-10-23 11:59:00,-0.00018,-0.0066,-0.00055,-0.00018,-0.0066,-0.00055
CAOC00ITA,EURA14,2010-10-24 11:59:00,-0.00351,-0.00415,9e-05,-0.00351,-0.00415,9e-05
CAOC00ITA,EURA14,2010-10-25 11:59:00,-0.00398,-0.00984,0.00915,-0.00398,-0.00984,0.00915
CAOC00ITA,EURA14,2010-10-26 11:59:00,4e-05,-0.00633,0.0039,4e-05,-0.00633,0.0039
CAOC00ITA,EURA14,2010-10-27 11:59:00,-0.00141,-0.00645,0.00214,-0.00141,-0.00645,0.00214
CAOC00ITA,EURA14,2010-10-28 11:59:00,-0.00066,-0.00677,0.00108,-0.00066,-0.00677,0.00108
CAOC00ITA,EURA14,2010-10-29 11:59:00,-0.00097,-0.00647,0.00168,-0.00097,-0.00647,0.00168
CAOC00ITA,EURA14,2010-10-30 11:59:00,0.00015,-0.00618,0.00682,0.00015,-0.00618,0.00682
CAOC00ITA,EURA14,2010-10-31 11:59:00,-0.00503,-0.01037,0.00437,-0.00503,-0.01037,0.00437
CAOC00ITA,EURA14,2010-11-01 11:59:00,-0.00052,-0.00462,0.0085,-0.00052,-0.00462,0.0085
CAOC00ITA,EURA14,2010-11-02 11:59:00,-0.00026,-0.00645,7e-05,-0.00026,-0.00645,7e-05
CAOC00ITA,EURA14,2010-11-03 11:59:00,-0.00088,-0.00576,-0.00212,-0.00088,-0.00576,-0.00212
CAOC00ITA,EURA14,2010-11-04 11:59:00,-0.00046,-0.00658,-0.00284,-0.00046,-0.00658,-0.00284
CAOC00ITA,EURA14,2010-11-05 11:59:00,-0.00114,-0.00692,0.00202,-0.00114,-0.00692,0.00202
CAOC00ITA,EURA14,2010-11-06 11:59:00,-0.00288,-0.00808,-0.00053,-0.00288,-0.00808,-0.00053
CAOC00ITA,EURA14,2010-11-07 11:59:00,-0.00123,-0.00565,-0.00176,-0.00123,-0.00565,-0.00176
CAOC00ITA,EURA14,2010-11-08 11:59:00,-0.00128,-0.01043,0.01331,-0.00128,-0.01043,0.01331
CAOC00ITA,EURA14,2010-11-09 11:59:00,-0.00255,-0.01449,0.0036,-0.00255,-0.01449,0.0036
CAOC00ITA,EURA14,2010-11-10 11:59:00,-0.00072,-0.01008,-0.00776,-0.00072,-0.01008,-0.00776
CAOC00ITA,EURA14,2010-11-11 11:59:00,-0.00159,-0.00609,-0.00138,-0.00159,-0.00609,-0.00138
CAOC00ITA,EURA14,2010-11-12 11:59:00,-0.00121,-0.00794,-0.00117,-0.00121,-0.00794,-0.00117
CAOC00ITA,EURA14,2010-11-13 11:59:00,-0.00051,-0.0069,0.00124,-0.00051,-0.0069,0.00124
CAOC00ITA,EURA14,2010-11-14 11:59:00,-0.00031,-0.00702,0.00217,-0.00031,-0.00702,0.00217
CAOC00ITA,EURA14,2010-11-15 11:59:00,-0.00086,-0.00687,0.00073,-0.00086,-0.00687,0.00073
CAOC00ITA,EURA14,2010-11-16 11:59:00,-0.00184,-0.0054,0.00296,-0.00184,-0.0054,0.00296
CAOC00ITA,EURA14,2010-11-17 11:59:00,-0.00102,-0.00546,0.00264,-0.00102,-0.00546,0.00264
CAOC00ITA,EURA14,2010-11-18 11:59:00,-0.00204,-0.00686,0.00198,-0.00204,-0.00686,0.00198
CAOC00ITA,EURA14,2010-11-19 11:59:00,-0.00092,-0.00679,-0.00193,-0.00092,-0.00679,-0.00193
CAOC00ITA,EURA14,2010-11-20 11:59:00,-0.00151,-0.00754,-0.00065,-0.00151,-0.00754,-0.00065
CAOC00ITA,EURA14,2010-11-21 11:59:00,0.00084,-0.00678,-0.00132,0.00084,-0.00678,-0.00132
CAOC00ITA,EURA14,2010-11-22 11:59:00,-0.00278,-0.00878,-0.00016,-0.00278,-0.00878,-0.00016
CAOC00ITA,EURA14,2010-11-23 11:59:00,0.00111,-0.00533,0.0114,0.00111,-0.00533,0.0114
CAOC00ITA,EURA14,2010-11-24 11:59:00,-0.00121,-0.00686,0.00301,-0.00121,-0.00686,0.00301
CAOC00ITA,EURA14,2010-11-25 11:59:00,-0.00107,-0.00585,0.00439,-0.00107,-0.00585,0.00439
CAOC00ITA,EURA14,2010-11-26 11:59:00,-0.00052,-0.01001,-0.00284,-0.00052,-0.01001,-0.00284
CAOC00ITA,EURA14,2010-11-27 11:59:00,-0.00109,-0.00635,0.00689,-0.00109,-0.00635,0.00689
CAOC00ITA,EURA14,2010-11-28 11:59:00,-0.00134,-0.01022,0.00896,-0.00134,-0.01022,0.00896
CAOC00ITA,EURA14,2010-11-29 11:59:00,-0.00046,-0.01007,-0.00503,-0.00046,-0.01007,-0.00503
