marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CAPR00ITA,EURA14,2007-10-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CAPR00ITA,EURA14,2007-10-17 11:59:00,-0.00046,0.00303,0.00279,-0.00046,0.00303,0.00279
CAPR00ITA,EURA14,2007-10-18 11:59:00,0.0028,0.00985,0.02355,0.0028,0.00985,0.02355
CAPR00ITA,EURA14,2007-10-22 11:59:00,-0.00235,0.0017,0.0122,-0.00235,0.0017,0.0122
CAPR00ITA,EURA14,2007-10-23 11:59:00,0.00148,0.00597,0.01534,0.00148,0.00597,0.01534
CAPR00ITA,EURA14,2007-12-20 11:59:00,-0.00126,0.00607,0.00293,-0.0018028243243243245,0.003978783783783784,0.011347790540540541
CAPR00ITA,EURA14,2007-12-21 11:59:00,0.00054,0.0051,-7e-05,-2.8243243243243534e-06,0.0030087837837837845,0.00834779054054054
CAPR00ITA,EURA14,2007-12-22 11:59:00,0.00054,0.00456,-0.0011,-2.8243243243243534e-06,0.002468783783783784,0.0073177905405405405
CAPR00ITA,EURA14,2007-12-23 11:59:00,-0.00142,0.00504,0.00175,-0.0019628243243243245,0.0029487837837837844,0.01016779054054054
CAPR00ITA,EURA14,2007-12-24 11:59:00,0.00131,0.00647,-0.00177,0.0007671756756756756,0.004378783783783784,0.006647790540540541
CAPR00ITA,EURA14,2007-12-25 11:59:00,0.00034,0.00414,0.00532,-0.00020282432432432434,0.0020487837837837837,0.013737790540540541
CAPR00ITA,EURA14,2007-12-26 11:59:00,0.00111,0.00444,0.00804,0.0005671756756756757,0.0023487837837837845,0.016457790540540543
CAPR00ITA,EURA14,2007-12-27 11:59:00,2e-05,0.00514,0.00531,-0.0005228243243243243,0.0030487837837837838,0.01372779054054054
CAPR00ITA,EURA14,2007-12-28 11:59:00,-0.0005,0.00589,-0.00078,-0.0010428243243243243,0.0037987837837837844,0.0076377905405405405
CAPR00ITA,EURA14,2007-12-29 11:59:00,-0.00034,0.00602,0.00397,-0.0008828243243243244,0.003928783783783784,0.01238779054054054
CAPR00ITA,EURA14,2007-12-30 11:59:00,-0.00094,0.0046,0.0091,-0.0014828243243243243,0.002508783783783784,0.01751779054054054
CAPR00ITA,EURA14,2007-12-31 11:59:00,-0.0026,0.00713,0.01041,-0.003142824324324324,0.005038783783783784,0.01882779054054054
CAPR00ITA,EURA14,2008-01-01 11:59:00,-0.00138,0.00623,0.00173,-0.0019228243243243244,0.0041387837837837844,0.010147790540540541
CAPR00ITA,EURA14,2008-01-02 11:59:00,-0.00123,0.00553,0.00656,-0.0017728243243243244,0.0034387837837837843,0.01497779054054054
CAPR00ITA,EURA14,2008-01-03 11:59:00,-0.00088,0.00632,0.0039,-0.0014228243243243244,0.004228783783783784,0.012317790540540541
CAPR00ITA,EURA14,2008-01-04 11:59:00,-0.00076,0.00539,0.00356,-0.0013028243243243245,0.003298783783783784,0.011977790540540541
CAPR00ITA,EURA14,2008-01-05 11:59:00,0.00012,0.00401,0.0068,-0.00042282432432432437,0.0019187837837837838,0.015217790540540541
CAPR00ITA,EURA14,2008-01-06 11:59:00,0.00305,0.00414,0.01112,0.002507175675675676,0.0020487837837837837,0.019537790540540542
CAPR00ITA,EURA14,2008-01-07 11:59:00,-2e-05,0.00188,0.00771,-0.0005628243243243244,-0.0002112162162162159,0.01612779054054054
CAPR00ITA,EURA14,2008-01-08 11:59:00,0.00287,0.00657,0.0065,0.002327175675675676,0.0044787837837837845,0.01491779054054054
CAPR00ITA,EURA14,2008-01-09 11:59:00,0.00049,0.00503,0.00606,-5.2824324324324376e-05,0.002938783783783784,0.01447779054054054
CAPR00ITA,EURA14,2008-01-10 11:59:00,0.00133,0.00374,0.00624,0.0007871756756756757,0.001648783783783784,0.01465779054054054
CAPR00ITA,EURA14,2008-01-11 11:59:00,0.0011,0.00296,0.00909,0.0005571756756756757,0.0008687837837837841,0.01750779054054054
CAPR00ITA,EURA14,2008-01-12 11:59:00,0.00056,0.0034,0.00216,1.717567567567559e-05,0.001308783783783784,0.010577790540540541
CAPR00ITA,EURA14,2008-01-13 11:59:00,0.00215,0.00319,0.00647,0.0016071756756756757,0.0010987837837837843,0.01488779054054054
CAPR00ITA,EURA14,2008-01-14 11:59:00,0.00066,0.00434,0.00727,0.00011717567567567564,0.0022487837837837843,0.015687790540540543
CAPR00ITA,EURA14,2008-01-15 11:59:00,0.00181,0.00551,0.00401,0.0012671756756756757,0.0034187837837837843,0.01242779054054054
CAPR00ITA,EURA14,2008-01-16 11:59:00,0.00182,0.00506,-0.00177,0.0012771756756756758,0.0029687837837837844,0.006647790540540541
CAPR00ITA,EURA14,2008-01-17 11:59:00,8e-05,0.00371,0.00798,-0.00046282432432432437,0.0016187837837837843,0.01639779054054054
CAPR00ITA,EURA14,2008-01-18 11:59:00,-0.00051,0.0023,0.00416,-0.0010528243243243243,0.00020878378378378411,0.012577790540540541
CAPR00ITA,EURA14,2008-01-19 11:59:00,0.00141,0.00512,-0.0001,0.0008671756756756757,0.0030287837837837846,0.008317790540540541
CAPR00ITA,EURA14,2008-01-20 11:59:00,0.00185,0.00554,-0.0033,0.0013071756756756758,0.003448783783783784,0.005117790540540541
CAPR00ITA,EURA14,2008-01-21 11:59:00,0.00074,0.00463,0.00109,0.00019717567567567563,0.0025387837837837837,0.009507790540540541
CAPR00ITA,EURA14,2008-01-22 11:59:00,0.00104,0.00447,0.00899,0.0004971756756756755,0.002378783783783784,0.017407790540540542
CAPR00ITA,EURA14,2008-01-23 11:59:00,0.0019,0.00869,-0.00393,0.0013571756756756755,0.006598783783783784,0.0044877905405405405
CAPR00ITA,EURA14,2008-01-24 11:59:00,0.00058,0.00373,0.00285,3.717567567567564e-05,0.001638783783783784,0.011267790540540541
CAPR00ITA,EURA14,2008-01-25 11:59:00,-0.00111,0.00698,0.00191,-0.0016528243243243246,0.004888783783783784,0.010327790540540541
CAPR00ITA,EURA14,2008-01-26 11:59:00,-0.00017,0.00439,-0.00093,-0.0007128243243243244,0.002298783783783784,0.0074877905405405405
CAPR00ITA,EURA14,2008-01-27 11:59:00,-0.00058,0.00544,-0.00127,-0.0011228243243243245,0.0033487837837837845,0.0071477905405405405
CAPR00ITA,EURA14,2008-01-28 11:59:00,-6e-05,0.00585,0.00149,-0.0006028243243243244,0.0037587837837837843,0.00990779054054054
CAPR00ITA,EURA14,2008-01-29 11:59:00,0.00049,0.00441,-0.00384,-5.2824324324324376e-05,0.002318783783783784,0.004577790540540541
CAPR00ITA,EURA14,2008-01-30 11:59:00,0.00061,0.00486,-0.00156,6.717567567567561e-05,0.002768783783783784,0.006857790540540541
CAPR00ITA,EURA14,2008-01-31 11:59:00,0.00049,0.0051,0.0027,-5.2824324324324376e-05,0.0030087837837837845,0.011117790540540542
CAPR00ITA,EURA14,2008-02-01 11:59:00,0.00182,0.00362,0.00653,0.0012771756756756758,0.001528783783783784,0.014947790540540542
CAPR00ITA,EURA14,2008-02-02 11:59:00,0.00087,0.00412,0.00722,0.00032717567567567564,0.0020287837837837846,0.01563779054054054
CAPR00ITA,EURA14,2008-02-03 11:59:00,-8e-05,0.00647,0.00117,-0.0006228243243243244,0.004378783783783784,0.009587790540540542
CAPR00ITA,EURA14,2008-02-04 11:59:00,0.0046,0.00316,0.00905,0.004057175675675676,0.0010687837837837842,0.01746779054054054
CAPR00ITA,EURA14,2008-02-05 11:59:00,0.00025,0.00633,-0.00171,-0.00029282432432432436,0.004238783783783784,0.006707790540540541
CAPR00ITA,EURA14,2008-02-06 11:59:00,0.00053,0.00617,-0.00396,-1.282432432432438e-05,0.004078783783783784,0.004457790540540541
CAPR00ITA,EURA14,2008-02-07 11:59:00,0.00394,0.01043,0.00326,0.0033971756756756757,0.008338783783783783,0.01167779054054054
CAPR00ITA,EURA14,2008-02-08 11:59:00,0.00066,0.00867,-0.00491,0.00011717567567567564,0.006578783783783785,0.0035077905405405405
CAPR00ITA,EURA14,2008-02-09 11:59:00,0.00062,0.00703,0.00472,7.717567567567564e-05,0.004938783783783784,0.013137790540540541
CAPR00ITA,EURA14,2008-02-10 11:59:00,0.00027,0.00677,0.00061,-0.00027282432432432436,0.004678783783783784,0.00902779054054054
