marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CASF00ITA,EURA14,2005-10-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CASF00ITA,EURA14,2005-10-21 11:59:00,0.00145,0.00171,-0.00223,0.00145,0.00171,-0.00223
CASF00ITA,EURA14,2005-10-22 11:59:00,0.00275,0.00204,-0.00736,0.00275,0.00204,-0.00736
CASF00ITA,EURA14,2005-10-23 11:59:00,0.00268,0.0025,-0.01125,0.00268,0.0025,-0.01125
CASF00ITA,EURA14,2005-10-24 11:59:00,0.00064,0.00207,-0.01135,0.00064,0.00207,-0.01135
CASF00ITA,EURA14,2005-10-25 11:59:00,0.003,0.00183,-0.01462,0.003,0.00183,-0.01462
CASF00ITA,EURA14,2005-10-26 11:59:00,0.00247,0.00092,-0.01124,0.00247,0.00092,-0.01124
CASF00ITA,EURA14,2005-10-27 11:59:00,0.00124,0.00072,-0.0082,0.00124,0.00072,-0.0082
CASF00ITA,EURA14,2005-10-28 11:59:00,0.00752,0.00251,-0.01299,0.00752,0.00251,-0.01299
CASF00ITA,EURA14,2005-11-02 11:59:00,0.00311,0.00018,-0.01444,0.00311,0.00018,-0.01444
CASF00ITA,EURA14,2005-11-03 11:59:00,0.00392,0.00115,-0.01474,0.00392,0.00115,-0.01474
CASF00ITA,EURA14,2005-11-04 11:59:00,0.00373,0.00191,-0.01476,0.00373,0.00191,-0.01476
CASF00ITA,EURA14,2005-11-05 11:59:00,0.00359,0.00246,-0.0126,0.00359,0.00246,-0.0126
CASF00ITA,EURA14,2005-11-06 11:59:00,0.0016,0.00324,-0.00681,0.0016,0.00324,-0.00681
CASF00ITA,EURA14,2005-11-07 11:59:00,0.00336,0.00111,-0.01233,0.00336,0.00111,-0.01233
CASF00ITA,EURA14,2005-11-08 11:59:00,0.00334,0.00234,-0.01716,0.00334,0.00234,-0.01716
CASF00ITA,EURA14,2005-11-09 11:59:00,0.00227,0.00205,-0.01618,0.00227,0.00205,-0.01618
CASF00ITA,EURA14,2005-11-10 11:59:00,0.00358,-0.00124,-0.02408,0.00358,-0.00124,-0.02408
CASF00ITA,EURA14,2005-11-11 11:59:00,0.00183,0.00161,-0.01256,0.00183,0.00161,-0.01256
