marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CASS00ITA,EURA14,2012-09-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CASS00ITA,EURA14,2012-09-21 11:59:00,-0.00128,0.00098,-0.01012,-0.00128,0.00098,-0.01012
CASS00ITA,EURA14,2012-09-22 11:59:00,-0.00132,0.0,-0.00648,-0.00132,0.0,-0.00648
CASS00ITA,EURA14,2012-09-23 11:59:00,-0.00066,0.00172,-0.01033,-0.00066,0.00172,-0.01033
CASS00ITA,EURA14,2012-09-24 11:59:00,-0.00147,-0.00073,0.00199,-0.00147,-0.00073,0.00199
CASS00ITA,EURA14,2012-09-25 11:59:00,-0.00011,0.00092,-0.00425,-0.00011,0.00092,-0.00425
CASS00ITA,EURA14,2012-09-26 11:59:00,0.00068,-0.00029,-0.00476,0.00068,-0.00029,-0.00476
CASS00ITA,EURA14,2012-09-27 11:59:00,-0.00012,0.00073,-0.01202,-0.00012,0.00073,-0.01202
CASS00ITA,EURA14,2012-09-28 11:59:00,-0.00241,0.00061,-0.01085,-0.00241,0.00061,-0.01085
CASS00ITA,EURA14,2012-09-29 11:59:00,-0.00115,0.00286,-0.00875,-0.00115,0.00286,-0.00875
CASS00ITA,EURA14,2012-09-30 11:59:00,-0.00229,0.00138,-0.01536,-0.00229,0.00138,-0.01536
CASS00ITA,EURA14,2012-10-01 11:59:00,0.00095,0.00144,-0.01393,0.00095,0.00144,-0.01393
CASS00ITA,EURA14,2012-10-02 11:59:00,-0.0004,-0.00226,-0.01019,-0.0004,-0.00226,-0.01019
CASS00ITA,EURA14,2012-10-03 11:59:00,-0.00132,-0.00121,-0.01386,-0.00132,-0.00121,-0.01386
CASS00ITA,EURA14,2012-10-04 11:59:00,-5e-05,-0.00082,-0.01332,-5e-05,-0.00082,-0.01332
CASS00ITA,EURA14,2012-10-05 11:59:00,0.00093,-0.00142,-0.01042,0.00093,-0.00142,-0.01042
CASS00ITA,EURA14,2012-10-06 11:59:00,-0.00104,-0.00022,-0.01137,-0.00104,-0.00022,-0.01137
CASS00ITA,EURA14,2012-10-07 11:59:00,0.00027,0.00056,-0.01269,0.00027,0.00056,-0.01269
CASS00ITA,EURA14,2012-10-08 11:59:00,0.00097,0.00118,-0.01033,0.00097,0.00118,-0.01033
CASS00ITA,EURA14,2012-10-09 11:59:00,-0.00105,-0.00075,-0.00356,-0.00105,-0.00075,-0.00356
CASS00ITA,EURA14,2012-10-10 11:59:00,0.00088,0.0006,-0.00384,0.00088,0.0006,-0.00384
CASS00ITA,EURA14,2012-10-11 11:59:00,-0.00074,0.00224,-0.00679,-0.00074,0.00224,-0.00679
CASS00ITA,EURA14,2012-10-12 11:59:00,-0.00244,0.00148,-0.00717,-0.00244,0.00148,-0.00717
CASS00ITA,EURA14,2012-10-13 11:59:00,-0.00148,-0.00056,-0.00579,-0.00148,-0.00056,-0.00579
CASS00ITA,EURA14,2012-10-14 11:59:00,-0.00076,0.00044,0.00015,-0.00076,0.00044,0.00015
CASS00ITA,EURA14,2012-10-15 11:59:00,0.00238,0.0036,0.00069,0.00238,0.0036,0.00069
CASS00ITA,EURA14,2012-10-16 11:59:00,-0.0006,0.00274,-0.00732,-0.0006,0.00274,-0.00732
CASS00ITA,EURA14,2012-10-17 11:59:00,0.00111,0.00058,-0.01203,0.00111,0.00058,-0.01203
CASS00ITA,EURA14,2012-10-18 11:59:00,-0.00019,0.00157,-0.01483,-0.00019,0.00157,-0.01483
CASS00ITA,EURA14,2012-10-19 11:59:00,-7e-05,0.00091,-0.01413,-7e-05,0.00091,-0.01413
CASS00ITA,EURA14,2012-10-20 11:59:00,0.00061,0.00071,-0.01566,0.00061,0.00071,-0.01566
CASS00ITA,EURA14,2012-10-21 11:59:00,-0.00063,0.00217,-0.01233,-0.00063,0.00217,-0.01233
CASS00ITA,EURA14,2012-10-22 11:59:00,3e-05,0.00225,-0.01394,3e-05,0.00225,-0.01394
CASS00ITA,EURA14,2012-10-23 11:59:00,0.00114,0.0003,-0.01677,0.00114,0.0003,-0.01677
CASS00ITA,EURA14,2012-10-24 11:59:00,-0.00249,0.00149,-0.0099,-0.00249,0.00149,-0.0099
CASS00ITA,EURA14,2012-10-25 11:59:00,-0.00081,0.00089,-0.01452,-0.00081,0.00089,-0.01452
CASS00ITA,EURA14,2012-10-26 11:59:00,0.00064,-0.00114,-0.0017,0.00064,-0.00114,-0.0017
CASS00ITA,EURA14,2012-10-27 11:59:00,0.00055,0.00163,0.00232,0.00055,0.00163,0.00232
CASS00ITA,EURA14,2012-10-28 11:59:00,-0.00129,-9e-05,0.00321,-0.00129,-9e-05,0.00321
CASS00ITA,EURA14,2012-10-29 11:59:00,-0.00031,0.0008,-0.00633,-0.00031,0.0008,-0.00633
CASS00ITA,EURA14,2012-10-30 11:59:00,-0.00025,0.00047,-0.00421,-0.00025,0.00047,-0.00421
CASS00ITA,EURA14,2012-10-31 11:59:00,0.00019,-0.00147,-0.0095,0.00019,-0.00147,-0.0095
CASS00ITA,EURA14,2012-11-01 11:59:00,0.00382,-0.00034,-0.00573,0.00382,-0.00034,-0.00573
CASS00ITA,EURA14,2012-11-02 11:59:00,0.00201,0.00137,-0.01541,0.00201,0.00137,-0.01541
CASS00ITA,EURA14,2012-11-03 11:59:00,0.00016,0.00027,-0.01157,0.00016,0.00027,-0.01157
CASS00ITA,EURA14,2012-11-04 11:59:00,-0.00054,0.00207,-0.00285,-0.00054,0.00207,-0.00285
CASS00ITA,EURA14,2012-11-05 11:59:00,-0.00275,0.00098,0.00902,-0.00275,0.00098,0.00902
CASS00ITA,EURA14,2012-11-06 11:59:00,-0.00235,0.00239,-0.03611,-0.00235,0.00239,-0.03611
CASS00ITA,EURA14,2012-11-07 11:59:00,-0.001,0.00059,-0.03245,-0.001,0.00059,-0.03245
CASS00ITA,EURA14,2012-11-08 11:59:00,-0.0009,0.00015,-0.03525,-0.0009,0.00015,-0.03525
CASS00ITA,EURA14,2012-11-09 11:59:00,-0.0005,0.00063,-0.02847,-0.0005,0.00063,-0.02847
CASS00ITA,EURA14,2012-11-10 11:59:00,-0.00023,0.00118,-0.0383,-0.00023,0.00118,-0.0383
CASS00ITA,EURA14,2012-11-11 11:59:00,-0.0017,-0.00261,-0.02335,-0.0017,-0.00261,-0.02335
CASS00ITA,EURA14,2012-11-12 11:59:00,-0.00079,0.00235,-0.03271,-0.00079,0.00235,-0.03271
CASS00ITA,EURA14,2012-11-13 11:59:00,-0.00028,0.00249,-0.03693,-0.00028,0.00249,-0.03693
CASS00ITA,EURA14,2012-11-14 11:59:00,-0.00169,0.00295,-0.03376,-0.00169,0.00295,-0.03376
CASS00ITA,EURA14,2012-11-15 11:59:00,-0.0014,0.00283,-0.03085,-0.0014,0.00283,-0.03085
CASS00ITA,EURA14,2012-11-16 11:59:00,-0.00119,0.00123,-0.02926,-0.00119,0.00123,-0.02926
CASS00ITA,EURA14,2012-11-17 11:59:00,0.00015,0.00086,-0.03194,0.00015,0.00086,-0.03194
CASS00ITA,EURA14,2012-11-18 11:59:00,-0.00295,0.00137,-0.03067,-0.00295,0.00137,-0.03067
CASS00ITA,EURA14,2012-11-19 11:59:00,-0.00136,0.00191,-0.03007,-0.00136,0.00191,-0.03007
CASS00ITA,EURA14,2012-11-20 11:59:00,-0.00156,0.0008,-0.03078,-0.00156,0.0008,-0.03078
CASS00ITA,EURA14,2012-11-21 11:59:00,-0.00212,0.00133,-0.03327,-0.00212,0.00133,-0.03327
CASS00ITA,EURA14,2012-11-22 11:59:00,-0.00196,0.00216,-0.03393,-0.00196,0.00216,-0.03393
CASS00ITA,EURA14,2012-11-23 11:59:00,-0.00123,0.00109,-0.03964,-0.00123,0.00109,-0.03964
CASS00ITA,EURA14,2012-11-24 11:59:00,-0.00077,0.00119,-0.03695,-0.00077,0.00119,-0.03695
CASS00ITA,EURA14,2012-11-25 11:59:00,-0.00044,0.00073,-0.03483,-0.00044,0.00073,-0.03483
CASS00ITA,EURA14,2012-11-26 11:59:00,-0.0011,0.00085,-0.03508,-0.0011,0.00085,-0.03508
CASS00ITA,EURA14,2012-11-27 11:59:00,0.00083,0.00013,-0.02297,0.00083,0.00013,-0.02297
CASS00ITA,EURA14,2012-11-28 11:59:00,0.00075,0.00183,-0.03244,0.00075,0.00183,-0.03244
CASS00ITA,EURA14,2012-11-29 11:59:00,-0.00015,0.00056,-0.0233,-0.00015,0.00056,-0.0233
CASS00ITA,EURA14,2012-11-30 11:59:00,-0.00021,0.00142,-0.03046,-0.00021,0.00142,-0.03046
CASS00ITA,EURA14,2012-12-01 11:59:00,4e-05,0.0012,-0.03114,4e-05,0.0012,-0.03114
CASS00ITA,EURA14,2012-12-02 11:59:00,-0.00251,7e-05,-0.03169,-0.00251,7e-05,-0.03169
CASS00ITA,EURA14,2012-12-03 11:59:00,-0.00208,0.00159,-0.03129,-0.00208,0.00159,-0.03129
