marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CDRA00ITA,EURA14,2006-11-23 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CDRA00ITA,EURA14,2006-11-24 11:59:00,-0.0003,0.00127,-0.00014,-0.0003,0.00127,-0.00014
CDRA00ITA,EURA14,2006-11-25 11:59:00,-0.00035999999999999997,0.0013050000000000002,-0.005190000000000001,-0.00035999999999999997,0.0013050000000000002,-0.005190000000000001
CDRA00ITA,EURA14,2006-11-26 11:59:00,-0.00042,0.00134,-0.01024,-0.00042,0.00134,-0.01024
CDRA00ITA,EURA14,2006-11-27 11:59:00,-0.00122,0.0018,-0.00813,-0.00122,0.0018,-0.00813
CDRA00ITA,EURA14,2006-11-28 11:59:00,-0.00039,0.00131,-0.0061,-0.00039,0.00131,-0.0061
CDRA00ITA,EURA14,2006-11-29 11:59:00,-0.00231,0.00201,-0.00431,-0.00231,0.00201,-0.00431
CDRA00ITA,EURA14,2006-11-30 11:59:00,-0.00183,0.00155,-0.0039,-0.00183,0.00155,-0.0039
CDRA00ITA,EURA14,2006-12-01 11:59:00,-0.00037,0.00165,-0.01181,-0.00037,0.00165,-0.01181
CDRA00ITA,EURA14,2006-12-02 11:59:00,-0.00141,0.00094,-0.0058,-0.00141,0.00094,-0.0058
CDRA00ITA,EURA14,2006-12-03 11:59:00,-0.00124,0.00014,-0.00591,-0.00124,0.00014,-0.00591
CDRA00ITA,EURA14,2006-12-04 11:59:00,0.00069,-0.00082,-0.00306,0.00069,-0.00082,-0.00306
CDRA00ITA,EURA14,2006-12-05 11:59:00,-0.00069,0.00072,-0.00738,-0.00069,0.00072,-0.00738
CDRA00ITA,EURA14,2006-12-06 11:59:00,-0.00033,0.00183,-0.00358,-0.00033,0.00183,-0.00358
CDRA00ITA,EURA14,2006-12-07 11:59:00,-0.00119,0.00141,-0.0064,-0.00119,0.00141,-0.0064
CDRA00ITA,EURA14,2006-12-08 11:59:00,-0.00183,-0.00051,-0.00665,-0.00183,-0.00051,-0.00665
CDRA00ITA,EURA14,2006-12-09 11:59:00,-0.00162,-0.00235,-0.00046,-0.00162,-0.00235,-0.00046
CDRA00ITA,EURA14,2006-12-10 11:59:00,-0.00135,0.00112,-0.00921,-0.00135,0.00112,-0.00921
CDRA00ITA,EURA14,2006-12-11 11:59:00,-0.00063,0.00054,-0.00859,-0.00063,0.00054,-0.00859
CDRA00ITA,EURA14,2006-12-12 11:59:00,-0.0011,0.00171,-0.00653,-0.0011,0.00171,-0.00653
CDRA00ITA,EURA14,2006-12-13 11:59:00,-0.00245,0.00192,-0.00897,-0.00245,0.00192,-0.00897
CDRA00ITA,EURA14,2006-12-14 11:59:00,-0.00205,0.00086,-0.00401,-0.00205,0.00086,-0.00401
CDRA00ITA,EURA14,2006-12-15 11:59:00,-0.00142,0.00137,-0.00624,-0.00142,0.00137,-0.00624
CDRA00ITA,EURA14,2006-12-16 11:59:00,-0.00145,0.00032,-0.00462,-0.00145,0.00032,-0.00462
CDRA00ITA,EURA14,2006-12-17 11:59:00,-0.00176,0.00022,-0.00166,-0.00176,0.00022,-0.00166
CDRA00ITA,EURA14,2006-12-18 11:59:00,-0.00156,0.00123,0.00043,-0.00156,0.00123,0.00043
CDRA00ITA,EURA14,2006-12-19 11:59:00,-0.00101,0.00144,0.00266,-0.00101,0.00144,0.00266
CDRA00ITA,EURA14,2006-12-20 11:59:00,-0.00128,0.00166,-0.00307,-0.00128,0.00166,-0.00307
CDRA00ITA,EURA14,2006-12-21 11:59:00,-0.00191,0.00151,-0.00652,-0.00191,0.00151,-0.00652
CDRA00ITA,EURA14,2006-12-22 11:59:00,0.00076,0.00397,-0.00878,0.00076,0.00397,-0.00878
CDRA00ITA,EURA14,2006-12-23 11:59:00,-0.00072,0.00123,0.00259,-0.00072,0.00123,0.00259
CDRA00ITA,EURA14,2006-12-24 11:59:00,-0.00135,0.00191,-0.00101,-0.00135,0.00191,-0.00101
CDRA00ITA,EURA14,2006-12-25 11:59:00,-0.00156,0.00187,-0.00635,-0.00156,0.00187,-0.00635
CDRA00ITA,EURA14,2006-12-26 11:59:00,-0.00158,0.00086,-0.00443,-0.00158,0.00086,-0.00443
CDRA00ITA,EURA14,2006-12-27 11:59:00,-0.00088,0.00139,-0.00744,-0.00088,0.00139,-0.00744
CDRA00ITA,EURA14,2006-12-28 11:59:00,-0.00123,0.00118,-0.00553,-0.00123,0.00118,-0.00553
CDRA00ITA,EURA14,2006-12-29 11:59:00,-0.00181,0.00157,-0.0034,-0.00181,0.00157,-0.0034
CDRA00ITA,EURA14,2006-12-30 11:59:00,-0.00165,0.00157,-0.01065,-0.00165,0.00157,-0.01065
CDRA00ITA,EURA14,2006-12-31 11:59:00,-0.00167,0.001,-0.00872,-0.00167,0.001,-0.00872
CDRA00ITA,EURA14,2007-01-01 11:59:00,-0.00581,0.00203,-0.00127,-0.00581,0.00203,-0.00127
CDRA00ITA,EURA14,2007-01-02 11:59:00,-0.00284,0.00354,-0.00867,-0.00284,0.00354,-0.00867
