marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CERA00ITA,EURA14,2006-07-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CERA00ITA,EURA14,2006-07-21 11:59:00,2e-05,0.00018,-0.00195,2e-05,0.00018,-0.00195
CERA00ITA,EURA14,2006-07-22 11:59:00,-0.00209,-0.00075,0.00793,-0.00209,-0.00075,0.00793
CERA00ITA,EURA14,2006-07-23 11:59:00,-0.00201,-0.00127,0.00601,-0.00201,-0.00127,0.00601
CERA00ITA,EURA14,2006-07-24 11:59:00,-0.00066,-0.00174,-0.00206,-0.00066,-0.00174,-0.00206
CERA00ITA,EURA14,2006-07-25 11:59:00,0.00123,0.00068,0.00212,0.00123,0.00068,0.00212
CERA00ITA,EURA14,2006-07-26 11:59:00,-0.00109,-0.00213,0.00637,-0.00109,-0.00213,0.00637
CERA00ITA,EURA14,2006-07-27 11:59:00,-0.0014,-0.00249,-0.00455,-0.0014,-0.00249,-0.00455
CERA00ITA,EURA14,2006-07-28 11:59:00,-0.002,-0.00109,0.00898,-0.002,-0.00109,0.00898
CERA00ITA,EURA14,2006-07-29 11:59:00,-0.00407,-0.00268,0.00364,-0.00407,-0.00268,0.00364
CERA00ITA,EURA14,2006-07-30 11:59:00,-0.0011,-0.00211,0.00245,-0.0011,-0.00211,0.00245
CERA00ITA,EURA14,2006-07-31 11:59:00,0.00218,-0.00101,0.00781,0.00218,-0.00101,0.00781
CERA00ITA,EURA14,2006-08-01 11:59:00,-0.00231,-0.00346,-0.00314,-0.00231,-0.00346,-0.00314
CERA00ITA,EURA14,2006-08-02 11:59:00,-0.00336,0.00192,-0.00178,-0.00336,0.00192,-0.00178
CERA00ITA,EURA14,2006-08-03 11:59:00,0.00081,-0.00146,0.00326,0.00081,-0.00146,0.00326
CERA00ITA,EURA14,2006-08-04 11:59:00,-0.00184,0.00042,0.01246,-0.00184,0.00042,0.01246
CERA00ITA,EURA14,2006-08-05 11:59:00,-0.0011,-0.00068,0.00846,-0.0011,-0.00068,0.00846
CERA00ITA,EURA14,2006-08-06 11:59:00,-0.00303,-0.00197,0.00219,-0.00303,-0.00197,0.00219
CERA00ITA,EURA14,2006-08-07 11:59:00,-0.00271,-0.00235,0.00503,-0.00271,-0.00235,0.00503
CERA00ITA,EURA14,2006-08-08 11:59:00,0.00047,-0.00129,0.00277,0.00047,-0.00129,0.00277
CERA00ITA,EURA14,2006-08-09 11:59:00,-0.00546,-0.00083,0.00027,-0.00546,-0.00083,0.00027
CERA00ITA,EURA14,2006-08-10 11:59:00,-0.00315,-0.00222,-0.0027,-0.00315,-0.00222,-0.0027
CERA00ITA,EURA14,2006-08-11 11:59:00,-0.00278,0.00229,-0.01379,-0.00278,0.00229,-0.01379
CERA00ITA,EURA14,2006-08-12 11:59:00,-0.00613,0.00235,-0.01334,-0.00613,0.00235,-0.01334
CERA00ITA,EURA14,2006-08-13 11:59:00,-0.00236,-0.00205,0.00104,-0.00236,-0.00205,0.00104
CERA00ITA,EURA14,2006-08-14 11:59:00,-0.00504,0.00016,-0.01041,-0.00504,0.00016,-0.01041
CERA00ITA,EURA14,2006-08-15 11:59:00,-0.00405,-0.00371,0.00846,-0.00405,-0.00371,0.00846
CERA00ITA,EURA14,2006-08-16 11:59:00,-0.00325,-0.00134,0.0015,-0.00325,-0.00134,0.0015
CERA00ITA,EURA14,2006-08-17 11:59:00,-0.00139,-0.00212,0.00182,-0.00139,-0.00212,0.00182
CERA00ITA,EURA14,2006-08-18 11:59:00,-0.00418,-0.00088,-0.00579,-0.00418,-0.00088,-0.00579
CERA00ITA,EURA14,2006-08-19 11:59:00,-0.00328,-0.00168,0.00161,-0.00328,-0.00168,0.00161
CERA00ITA,EURA14,2006-08-20 11:59:00,-0.00345,-0.00047,0.00125,-0.00345,-0.00047,0.00125
CERA00ITA,EURA14,2006-08-21 11:59:00,-0.00252,-0.00064,0.0064,-0.00252,-0.00064,0.0064
CERA00ITA,EURA14,2006-08-22 11:59:00,-0.00517,-0.00159,0.00414,-0.00517,-0.00159,0.00414
CERA00ITA,EURA14,2006-08-23 11:59:00,-0.00309,-0.0017,0.00078,-0.00309,-0.0017,0.00078
CERA00ITA,EURA14,2006-08-24 11:59:00,-0.0026,-0.00265,0.00103,-0.0026,-0.00265,0.00103
CERA00ITA,EURA14,2006-08-25 11:59:00,-0.00599,-0.00151,0.0004,-0.00599,-0.00151,0.0004
CERA00ITA,EURA14,2006-08-26 11:59:00,-0.00355,-0.00239,0.00921,-0.00355,-0.00239,0.00921
CERA00ITA,EURA14,2006-08-27 11:59:00,-0.0045,-0.00326,-0.00103,-0.0045,-0.00326,-0.00103
