marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CERT00ITA,EURA14,2006-04-03 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CERT00ITA,EURA14,2006-04-04 11:59:00,-0.00498,0.00025,0.00706,-0.00498,0.00025,0.00706
CERT00ITA,EURA14,2006-04-05 11:59:00,-0.00387,0.00164,0.01206,-0.00387,0.00164,0.01206
CERT00ITA,EURA14,2006-04-06 11:59:00,-0.00406,-0.00045,0.01158,-0.00406,-0.00045,0.01158
CERT00ITA,EURA14,2006-04-07 11:59:00,-0.0038,0.00098,0.00318,-0.0038,0.00098,0.00318
CERT00ITA,EURA14,2006-04-08 11:59:00,-0.0042,1e-05,0.00414,-0.0042,1e-05,0.00414
CERT00ITA,EURA14,2006-04-09 11:59:00,-0.00322,0.00111,0.00575,-0.00322,0.00111,0.00575
CERT00ITA,EURA14,2006-04-10 11:59:00,-0.00494,0.00136,0.00589,-0.00494,0.00136,0.00589
CERT00ITA,EURA14,2006-04-11 11:59:00,-0.00781,-0.0018,0.00123,-0.00781,-0.0018,0.00123
CERT00ITA,EURA14,2006-04-12 11:59:00,-0.00448,0.00045,0.00485,-0.00448,0.00045,0.00485
CERT00ITA,EURA14,2006-04-13 11:59:00,-0.00375,0.00215,0.00466,-0.00375,0.00215,0.00466
CERT00ITA,EURA14,2006-04-14 11:59:00,-0.00478,0.0015,0.00369,-0.00478,0.0015,0.00369
CERT00ITA,EURA14,2006-04-15 11:59:00,-0.00266,-0.00102,0.00316,-0.00266,-0.00102,0.00316
CERT00ITA,EURA14,2006-04-16 11:59:00,-0.00316,0.00189,0.00472,-0.00316,0.00189,0.00472
CERT00ITA,EURA14,2006-04-17 11:59:00,-0.00419,0.00074,0.00452,-0.00419,0.00074,0.00452
CERT00ITA,EURA14,2006-04-18 11:59:00,-0.00348,0.00171,0.00663,-0.00348,0.00171,0.00663
CERT00ITA,EURA14,2006-04-19 11:59:00,-0.00567,0.0001,0.01244,-0.00567,0.0001,0.01244
CERT00ITA,EURA14,2006-04-20 11:59:00,-0.00327,0.00015,0.00567,-0.00327,0.00015,0.00567
CERT00ITA,EURA14,2006-04-21 11:59:00,-0.00533,0.00013,-0.00238,-0.00533,0.00013,-0.00238
CERT00ITA,EURA14,2006-04-22 11:59:00,-0.00506,0.00077,0.00587,-0.00506,0.00077,0.00587
CERT00ITA,EURA14,2006-04-23 11:59:00,-0.00387,5e-05,0.00105,-0.00387,5e-05,0.00105
CERT00ITA,EURA14,2006-04-24 11:59:00,-0.004,0.00249,0.00853,-0.004,0.00249,0.00853
CERT00ITA,EURA14,2006-04-25 11:59:00,-0.00387,0.00064,0.01293,-0.00387,0.00064,0.01293
CERT00ITA,EURA14,2006-04-26 11:59:00,-0.0037,0.00086,0.013,-0.0037,0.00086,0.013
CERT00ITA,EURA14,2006-04-27 11:59:00,-0.00319,-3e-05,0.01267,-0.00319,-3e-05,0.01267
CERT00ITA,EURA14,2006-04-28 11:59:00,-0.00448,0.00046,0.0127,-0.00448,0.00046,0.0127
CERT00ITA,EURA14,2006-04-29 11:59:00,-0.00376,-0.00069,0.01194,-0.00376,-0.00069,0.01194
CERT00ITA,EURA14,2006-04-30 11:59:00,-0.00397,0.00135,0.01115,-0.00397,0.00135,0.01115
CERT00ITA,EURA14,2006-05-01 11:59:00,-0.00259,0.00014,0.0086,-0.00259,0.00014,0.0086
CERT00ITA,EURA14,2006-05-02 11:59:00,-0.00246,0.00179,0.00663,-0.00246,0.00179,0.00663
CERT00ITA,EURA14,2006-05-03 11:59:00,-0.00285,0.0011,0.00938,-0.00285,0.0011,0.00938
CERT00ITA,EURA14,2006-05-04 11:59:00,-0.00348,-0.00014,0.00967,-0.00348,-0.00014,0.00967
CERT00ITA,EURA14,2006-05-05 11:59:00,-0.0048,-0.00118,0.00289,-0.0048,-0.00118,0.00289
CERT00ITA,EURA14,2006-05-06 11:59:00,-0.00548,0.00144,0.01225,-0.00548,0.00144,0.01225
CERT00ITA,EURA14,2006-05-07 11:59:00,-0.00309,0.00215,0.00422,-0.00309,0.00215,0.00422
CERT00ITA,EURA14,2006-05-08 11:59:00,-0.003,0.00035,0.00746,-0.003,0.00035,0.00746
CERT00ITA,EURA14,2006-05-09 11:59:00,-0.00494,-0.0016,0.01374,-0.00494,-0.0016,0.01374
CERT00ITA,EURA14,2006-05-10 11:59:00,-0.00455,-6e-05,0.0099,-0.00455,-6e-05,0.0099
CERT00ITA,EURA14,2006-05-11 11:59:00,-0.00383,-0.00021,0.00649,-0.00383,-0.00021,0.00649
CERT00ITA,EURA14,2006-05-12 11:59:00,-0.00349,0.00116,0.00259,-0.00349,0.00116,0.00259
CERT00ITA,EURA14,2006-05-13 11:59:00,-0.00255,0.00092,0.00919,-0.00255,0.00092,0.00919
CERT00ITA,EURA14,2006-05-14 11:59:00,-0.00419,0.00084,0.01833,-0.00419,0.00084,0.01833
CERT00ITA,EURA14,2006-05-15 11:59:00,-0.00592,0.00045,0.00704,-0.00592,0.00045,0.00704
CERT00ITA,EURA14,2006-05-16 11:59:00,-0.00389,-0.00063,0.01037,-0.00389,-0.00063,0.01037
CERT00ITA,EURA14,2006-05-17 11:59:00,-0.00518,0.0011,0.01377,-0.00518,0.0011,0.01377
CERT00ITA,EURA14,2006-05-18 11:59:00,-0.00548,0.00077,0.01271,-0.00548,0.00077,0.01271
CERT00ITA,EURA14,2006-05-19 11:59:00,-0.00407,0.00054,0.014369999999999999,-0.00407,0.00054,0.014369999999999999
CERT00ITA,EURA14,2006-05-20 11:59:00,-0.00266,0.00031,0.01603,-0.00266,0.00031,0.01603
CERT00ITA,EURA14,2006-05-21 11:59:00,-0.00539,-1e-05,0.01106,-0.00539,-1e-05,0.01106
CERT00ITA,EURA14,2006-05-22 11:59:00,-0.00613,-0.00085,0.01164,-0.00613,-0.00085,0.01164
CERT00ITA,EURA14,2006-05-23 11:59:00,-0.0045,-6e-05,0.01183,-0.0045,-6e-05,0.01183
CERT00ITA,EURA14,2006-05-24 11:59:00,-0.00518,-3e-05,0.01213,-0.00518,-3e-05,0.01213
CERT00ITA,EURA14,2006-05-25 11:59:00,-0.005,0.00017,0.01218,-0.005,0.00017,0.01218
CERT00ITA,EURA14,2006-05-26 11:59:00,-0.00471,0.0007,0.01175,-0.00471,0.0007,0.01175
CERT00ITA,EURA14,2006-05-27 11:59:00,-0.00526,0.0008,0.00556,-0.00526,0.0008,0.00556
CERT00ITA,EURA14,2006-05-28 11:59:00,-0.00334,0.00038,0.01347,-0.00334,0.00038,0.01347
CERT00ITA,EURA14,2006-05-29 11:59:00,-0.00562,-0.00073,0.0212,-0.00562,-0.00073,0.0212
CERT00ITA,EURA14,2006-05-30 11:59:00,-0.00798,-0.00142,0.02589,-0.00798,-0.00142,0.02589
CERT00ITA,EURA14,2006-05-31 11:59:00,-0.00383,-0.00131,0.01784,-0.00383,-0.00131,0.01784
CERT00ITA,EURA14,2006-06-01 11:59:00,-0.00503,0.00089,0.0109,-0.00503,0.00089,0.0109
CERT00ITA,EURA14,2006-06-02 11:59:00,-0.00496,-0.00026,0.02067,-0.00496,-0.00026,0.02067
CERT00ITA,EURA14,2006-06-03 11:59:00,-0.00337,0.00066,0.0088,-0.00337,0.00066,0.0088
CERT00ITA,EURA14,2006-06-04 11:59:00,-0.00374,0.00031,0.01129,-0.00374,0.00031,0.01129
CERT00ITA,EURA14,2006-06-05 11:59:00,-0.00343,-0.00028,0.0071,-0.00343,-0.00028,0.0071
CERT00ITA,EURA14,2006-06-06 11:59:00,-0.00582,0.00068,0.00854,-0.00582,0.00068,0.00854
CERT00ITA,EURA14,2006-06-07 11:59:00,-0.00469,-0.00031,0.01056,-0.00469,-0.00031,0.01056
CERT00ITA,EURA14,2006-06-08 11:59:00,-0.00455,-0.00037,0.0063,-0.00455,-0.00037,0.0063
CERT00ITA,EURA14,2006-06-09 11:59:00,-0.00661,-0.00031,0.01241,-0.00661,-0.00031,0.01241
CERT00ITA,EURA14,2006-06-10 11:59:00,-0.00476,-0.00104,0.00791,-0.00476,-0.00104,0.00791
CERT00ITA,EURA14,2006-06-11 11:59:00,-0.00177,0.00158,0.00203,-0.00177,0.00158,0.00203
CERT00ITA,EURA14,2006-06-12 11:59:00,-0.00475,-0.001,0.00714,-0.00475,-0.001,0.00714
CERT00ITA,EURA14,2006-06-13 11:59:00,-0.00449,-0.00069,0.00829,-0.00449,-0.00069,0.00829
CERT00ITA,EURA14,2006-06-14 11:59:00,-0.00442,-0.0023,0.014,-0.00442,-0.0023,0.014
CERT00ITA,EURA14,2006-06-15 11:59:00,-0.00456,-0.00207,0.01633,-0.00456,-0.00207,0.01633
CERT00ITA,EURA14,2006-06-16 11:59:00,-0.00323,-0.0008,0.01346,-0.00323,-0.0008,0.01346
CERT00ITA,EURA14,2006-06-17 11:59:00,-0.00314,-0.00084,0.01255,-0.00314,-0.00084,0.01255
CERT00ITA,EURA14,2006-06-18 11:59:00,-0.00574,-0.00224,0.01183,-0.00574,-0.00224,0.01183
CERT00ITA,EURA14,2006-06-19 11:59:00,-0.00404,-0.00225,0.01351,-0.00404,-0.00225,0.01351
CERT00ITA,EURA14,2006-06-20 11:59:00,-0.00344,-0.0013,0.00928,-0.00344,-0.0013,0.00928
CERT00ITA,EURA14,2006-06-21 11:59:00,-0.00362,-0.00153,0.01133,-0.00362,-0.00153,0.01133
CERT00ITA,EURA14,2006-06-22 11:59:00,-0.00343,-0.00078,0.0122,-0.00343,-0.00078,0.0122
CERT00ITA,EURA14,2006-06-23 11:59:00,-0.00317,-0.001,0.01166,-0.00317,-0.001,0.01166
CERT00ITA,EURA14,2006-06-24 11:59:00,-0.0014,0.00035,0.01032,-0.0014,0.00035,0.01032
CERT00ITA,EURA14,2006-06-25 11:59:00,-0.00351,-0.00201,0.01648,-0.00351,-0.00201,0.01648
CERT00ITA,EURA14,2006-06-26 11:59:00,-0.00373,-0.00251,0.01037,-0.00373,-0.00251,0.01037
CERT00ITA,EURA14,2006-06-27 11:59:00,-0.00317,-0.00119,0.00777,-0.00317,-0.00119,0.00777
CERT00ITA,EURA14,2006-06-28 11:59:00,-0.00321,-0.00094,0.00605,-0.00321,-0.00094,0.00605
CERT00ITA,EURA14,2006-06-29 11:59:00,-0.0031,-0.0022,0.01022,-0.0031,-0.0022,0.01022
CERT00ITA,EURA14,2006-06-30 11:59:00,-0.00351,-0.00078,0.0145,-0.00351,-0.00078,0.0145
CERT00ITA,EURA14,2006-07-01 11:59:00,-0.00581,-0.00221,0.01303,-0.00581,-0.00221,0.01303
CERT00ITA,EURA14,2006-07-02 11:59:00,-0.00446,-0.00139,0.01093,-0.00446,-0.00139,0.01093
CERT00ITA,EURA14,2006-07-03 11:59:00,-0.00085,-0.00223,0.01605,-0.00085,-0.00223,0.01605
CERT00ITA,EURA14,2006-07-04 11:59:00,-0.00484,-0.00143,0.01484,-0.00484,-0.00143,0.01484
CERT00ITA,EURA14,2006-07-05 11:59:00,-0.0031,-0.0016,0.00607,-0.0031,-0.0016,0.00607
CERT00ITA,EURA14,2006-07-06 11:59:00,-0.00188,-0.00186,0.00714,-0.00188,-0.00186,0.00714
CERT00ITA,EURA14,2006-07-07 11:59:00,-0.00195,-0.00041,0.00951,-0.00195,-0.00041,0.00951
CERT00ITA,EURA14,2006-07-08 11:59:00,-0.00213,-0.00346,0.01117,-0.00213,-0.00346,0.01117
CERT00ITA,EURA14,2006-07-09 11:59:00,-0.00129,0.00024,0.00813,-0.00129,0.00024,0.00813
CERT00ITA,EURA14,2006-07-10 11:59:00,-0.00355,-0.0026,0.00925,-0.00355,-0.0026,0.00925
CERT00ITA,EURA14,2006-07-11 11:59:00,-0.00225,-0.00036,0.00462,-0.00225,-0.00036,0.00462
CERT00ITA,EURA14,2006-07-12 11:59:00,-0.00524,-0.00117,0.01914,-0.00524,-0.00117,0.01914
CERT00ITA,EURA14,2006-07-13 11:59:00,-0.00634,-0.00233,0.00878,-0.00634,-0.00233,0.00878
CERT00ITA,EURA14,2006-07-14 11:59:00,-0.00351,-0.00124,0.00815,-0.00351,-0.00124,0.00815
CERT00ITA,EURA14,2006-07-15 11:59:00,-0.00593,0.00011,0.01438,-0.00593,0.00011,0.01438
CERT00ITA,EURA14,2006-07-16 11:59:00,-0.00167,-0.002,0.01138,-0.00167,-0.002,0.01138
