marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CESI00ITA,EURA14,2007-02-23 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CESI00ITA,EURA14,2007-02-24 11:59:00,-0.00022,-0.00134,-0.00111,-0.00022,-0.00134,-0.00111
CESI00ITA,EURA14,2007-02-25 11:59:00,0.00015,0.00021,-0.00127,0.00015,0.00021,-0.00127
CESI00ITA,EURA14,2007-02-26 11:59:00,0.0,-0.00014,0.00175,0.0,-0.00014,0.00175
CESI00ITA,EURA14,2007-02-27 11:59:00,-0.00036,0.0009,0.00104,-0.00036,0.0009,0.00104
CESI00ITA,EURA14,2007-02-28 11:59:00,-0.00267,0.00122,0.00229,-0.00267,0.00122,0.00229
CESI00ITA,EURA14,2007-03-01 11:59:00,0.00029,-0.0016,0.00059,0.00029,-0.0016,0.00059
CESI00ITA,EURA14,2007-03-02 11:59:00,0.00258,-0.00058,-0.00245,0.00258,-0.00058,-0.00245
CESI00ITA,EURA14,2007-03-03 11:59:00,-0.00292,-0.00175,0.00277,-0.00292,-0.00175,0.00277
CESI00ITA,EURA14,2007-03-04 11:59:00,0.00042,0.0007,-0.00072,0.00042,0.0007,-0.00072
CESI00ITA,EURA14,2007-03-05 11:59:00,0.00084,0.00016,-0.00401,0.00084,0.00016,-0.00401
CESI00ITA,EURA14,2007-03-06 11:59:00,0.00131,-0.00021,-0.00526,0.00131,-0.00021,-0.00526
CESI00ITA,EURA14,2007-03-07 11:59:00,0.00077,-0.00051,-0.00345,0.00077,-0.00051,-0.00345
CESI00ITA,EURA14,2007-03-08 11:59:00,-0.00105,-0.00023,0.00429,-0.00105,-0.00023,0.00429
CESI00ITA,EURA14,2007-03-09 11:59:00,-0.00097,-0.00245,-0.00377,-0.00097,-0.00245,-0.00377
CESI00ITA,EURA14,2007-03-10 11:59:00,0.00157,-0.00141,-0.00576,0.00157,-0.00141,-0.00576
CESI00ITA,EURA14,2007-03-11 11:59:00,0.00138,-0.00028,-0.00725,0.00138,-0.00028,-0.00725
CESI00ITA,EURA14,2007-03-12 11:59:00,0.00124,0.00083,-0.00364,0.00124,0.00083,-0.00364
CESI00ITA,EURA14,2007-03-13 11:59:00,0.00114,0.00133,-0.00155,0.00114,0.00133,-0.00155
CESI00ITA,EURA14,2007-03-14 11:59:00,-3e-05,0.0003,-0.00013,-3e-05,0.0003,-0.00013
CESI00ITA,EURA14,2007-03-15 11:59:00,0.00099,0.00078,-0.00099,0.00099,0.00078,-0.00099
CESI00ITA,EURA14,2007-03-16 11:59:00,0.00017,0.00018,-0.00337,0.00017,0.00018,-0.00337
