marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CHIE00ITA,EURA14,2006-06-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CHIE00ITA,EURA14,2006-06-07 11:59:00,0.00117,-0.00075,0.011,0.00117,-0.00075,0.011
CHIE00ITA,EURA14,2006-06-08 11:59:00,0.0023,0.00236,0.00051,0.0023,0.00236,0.00051
CHIE00ITA,EURA14,2006-06-09 11:59:00,0.00223,0.0016,-0.00579,0.00223,0.0016,-0.00579
CHIE00ITA,EURA14,2006-06-10 11:59:00,0.00214,-0.00014,-0.0014,0.00214,-0.00014,-0.0014
CHIE00ITA,EURA14,2006-06-11 11:59:00,0.00202,-0.00069,0.00345,0.00202,-0.00069,0.00345
CHIE00ITA,EURA14,2006-06-12 11:59:00,0.00179,5e-05,0.00383,0.00179,5e-05,0.00383
CHIE00ITA,EURA14,2006-06-13 11:59:00,0.00058,-0.00156,0.00159,0.00058,-0.00156,0.00159
CHIE00ITA,EURA14,2006-06-14 11:59:00,0.00441,-0.00011,0.00437,0.00441,-0.00011,0.00437
CHIE00ITA,EURA14,2006-06-15 11:59:00,0.00582,0.00086,0.0071,0.00582,0.00086,0.0071
CHIE00ITA,EURA14,2006-06-16 11:59:00,0.00344,0.00092,0.00331,0.00344,0.00092,0.00331
CHIE00ITA,EURA14,2006-06-17 11:59:00,0.00395,0.00085,0.00303,0.00395,0.00085,0.00303
CHIE00ITA,EURA14,2006-06-18 11:59:00,0.00443,-0.00114,0.00129,0.00443,-0.00114,0.00129
CHIE00ITA,EURA14,2006-06-19 11:59:00,0.00523,4e-05,0.00658,0.00523,4e-05,0.00658
CHIE00ITA,EURA14,2006-06-20 11:59:00,0.00572,0.00139,-0.00103,0.00572,0.00139,-0.00103
CHIE00ITA,EURA14,2006-06-21 11:59:00,0.00781,0.00129,-0.00247,0.00781,0.00129,-0.00247
CHIE00ITA,EURA14,2006-06-22 11:59:00,0.00601,0.00145,-0.00091,0.00601,0.00145,-0.00091
CHIE00ITA,EURA14,2006-06-23 11:59:00,0.00705,0.00032,0.00237,0.00705,0.00032,0.00237
CHIE00ITA,EURA14,2006-06-24 11:59:00,0.00554,-0.00011,0.00398,0.00554,-0.00011,0.00398
CHIE00ITA,EURA14,2006-06-25 11:59:00,0.00415,0.00035,-0.00664,0.00415,0.00035,-0.00664
CHIE00ITA,EURA14,2006-06-26 11:59:00,0.0071,-0.00065,0.00173,0.0071,-0.00065,0.00173
CHIE00ITA,EURA14,2006-06-27 11:59:00,0.00513,-9e-05,0.00154,0.00513,-9e-05,0.00154
CHIE00ITA,EURA14,2006-06-28 11:59:00,0.00636,0.00127,-0.00022,0.00636,0.00127,-0.00022
CHIE00ITA,EURA14,2006-06-29 11:59:00,0.00532,0.00171,0.00865,0.00532,0.00171,0.00865
CHIE00ITA,EURA14,2006-06-30 11:59:00,0.00433,-0.00162,0.0094,0.00433,-0.00162,0.0094
CHIE00ITA,EURA14,2006-07-01 11:59:00,0.00754,0.00058,-0.00656,0.00754,0.00058,-0.00656
CHIE00ITA,EURA14,2006-07-02 11:59:00,0.00528,-0.00089,-0.00543,0.00528,-0.00089,-0.00543
CHIE00ITA,EURA14,2006-07-03 11:59:00,0.0068,0.00133,0.00296,0.0068,0.00133,0.00296
CHIE00ITA,EURA14,2006-07-04 11:59:00,0.0046,0.00082,-0.00228,0.0046,0.00082,-0.00228
CHIE00ITA,EURA14,2006-07-05 11:59:00,0.00557,0.00071,-0.00047,0.00557,0.00071,-0.00047
CHIE00ITA,EURA14,2006-07-06 11:59:00,0.0049,0.00208,-0.00275,0.0049,0.00208,-0.00275
CHIE00ITA,EURA14,2006-07-07 11:59:00,0.00441,-0.00028,0.00927,0.00441,-0.00028,0.00927
CHIE00ITA,EURA14,2006-07-08 11:59:00,0.00498,0.00048,-0.00016,0.00498,0.00048,-0.00016
CHIE00ITA,EURA14,2006-07-09 11:59:00,0.00523,0.00027,-0.00033,0.00523,0.00027,-0.00033
CHIE00ITA,EURA14,2006-07-10 11:59:00,0.00791,0.00234,0.00374,0.00791,0.00234,0.00374
CHIE00ITA,EURA14,2006-07-11 11:59:00,0.00631,0.00043,0.00033,0.00631,0.00043,0.00033
CHIE00ITA,EURA14,2006-07-12 11:59:00,0.00595,0.00111,-0.00141,0.00595,0.00111,-0.00141
CHIE00ITA,EURA14,2006-07-13 11:59:00,0.00674,0.0012,5e-05,0.00674,0.0012,5e-05
CHIE00ITA,EURA14,2006-07-14 11:59:00,0.00519,0.00179,-0.00011,0.00519,0.00179,-0.00011
CHIE00ITA,EURA14,2006-07-15 11:59:00,0.00532,0.00012,-0.00136,0.00532,0.00012,-0.00136
CHIE00ITA,EURA14,2006-07-16 11:59:00,0.00483,0.00069,-0.00155,0.00483,0.00069,-0.00155
CHIE00ITA,EURA14,2006-07-17 11:59:00,0.00543,0.00043,0.00283,0.00543,0.00043,0.00283
CHIE00ITA,EURA14,2006-07-18 11:59:00,0.00473,0.00218,-0.00345,0.00473,0.00218,-0.00345
CHIE00ITA,EURA14,2006-07-19 11:59:00,0.00451,-0.0002,-0.00038,0.00451,-0.0002,-0.00038
CHIE00ITA,EURA14,2006-07-20 11:59:00,0.00492,0.00025,0.00285,0.00492,0.00025,0.00285
CHIE00ITA,EURA14,2006-07-21 11:59:00,0.00573,7e-05,0.00177,0.00573,7e-05,0.00177
CHIE00ITA,EURA14,2006-07-22 11:59:00,0.0057,5e-05,0.00171,0.0057,5e-05,0.00171
CHIE00ITA,EURA14,2006-07-23 11:59:00,0.0051,-0.00013,-0.00149,0.0051,-0.00013,-0.00149
CHIE00ITA,EURA14,2006-07-24 11:59:00,0.00671,0.0001,0.00207,0.00671,0.0001,0.00207
CHIE00ITA,EURA14,2006-07-25 11:59:00,0.00696,3e-05,0.00065,0.00696,3e-05,0.00065
CHIE00ITA,EURA14,2006-07-26 11:59:00,0.00431,-0.00101,0.00038,0.00431,-0.00101,0.00038
CHIE00ITA,EURA14,2006-07-27 11:59:00,0.00552,0.00139,-0.00206,0.00552,0.00139,-0.00206
CHIE00ITA,EURA14,2006-07-28 11:59:00,0.00544,0.00144,-0.00665,0.00544,0.00144,-0.00665
CHIE00ITA,EURA14,2006-07-29 11:59:00,0.00173,0.00295,-0.00027,0.00173,0.00295,-0.00027
CHIE00ITA,EURA14,2006-07-30 11:59:00,0.00461,-0.00064,0.00725,0.00461,-0.00064,0.00725
CHIE00ITA,EURA14,2006-07-31 11:59:00,0.00621,-0.00071,-0.00034,0.00621,-0.00071,-0.00034
CHIE00ITA,EURA14,2006-08-01 11:59:00,0.00874,0.00195,-0.00265,0.00874,0.00195,-0.00265
CHIE00ITA,EURA14,2006-08-02 11:59:00,0.00517,0.0022,-0.00091,0.00517,0.0022,-0.00091
CHIE00ITA,EURA14,2006-08-03 11:59:00,0.00679,0.00358,-0.01506,0.00679,0.00358,-0.01506
