marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CIGN00ITA,EURA14,2005-09-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CIGN00ITA,EURA14,2005-09-16 11:59:00,-0.00319,0.00061,-0.01,-0.00319,0.00061,-0.01
CIGN00ITA,EURA14,2005-09-17 11:59:00,-0.0015,0.00051,0.0171,-0.0015,0.00051,0.0171
CIGN00ITA,EURA14,2005-09-18 11:59:00,-0.00748,-0.00271,-0.01017,-0.00748,-0.00271,-0.01017
CIGN00ITA,EURA14,2005-09-19 11:59:00,-0.00093,0.0019,-0.01192,-0.00093,0.0019,-0.01192
CIGN00ITA,EURA14,2005-09-20 11:59:00,-0.00229,0.00353,-0.01556,-0.00229,0.00353,-0.01556
CIGN00ITA,EURA14,2005-09-21 11:59:00,-0.00031,0.00144,-0.00111,-0.00031,0.00144,-0.00111
CIGN00ITA,EURA14,2005-09-22 11:59:00,-0.00082,0.00197,-0.00736,-0.00082,0.00197,-0.00736
CIGN00ITA,EURA14,2005-09-23 11:59:00,-0.00069,0.00302,-0.00814,-0.00069,0.00302,-0.00814
CIGN00ITA,EURA14,2005-09-24 11:59:00,-0.00062,0.00079,-0.00168,-0.00062,0.00079,-0.00168
CIGN00ITA,EURA14,2005-09-25 11:59:00,-0.00074,0.00153,-0.01297,-0.00074,0.00153,-0.01297
CIGN00ITA,EURA14,2005-09-26 11:59:00,-0.00247,0.00321,-0.01601,-0.00247,0.00321,-0.01601
CIGN00ITA,EURA14,2005-09-27 11:59:00,-0.00148,0.00156,-0.01076,-0.00148,0.00156,-0.01076
CIGN00ITA,EURA14,2005-09-28 11:59:00,-0.00169,0.00304,-0.01397,-0.00169,0.00304,-0.01397
CIGN00ITA,EURA14,2005-09-29 11:59:00,-0.00169,0.00075,0.00357,-0.00169,0.00075,0.00357
CIGN00ITA,EURA14,2005-09-30 11:59:00,-0.00212,0.00587,-0.00716,-0.00212,0.00587,-0.00716
CIGN00ITA,EURA14,2005-10-01 11:59:00,0.00041,0.00532,-0.00443,0.00041,0.00532,-0.00443
CIGN00ITA,EURA14,2005-10-02 11:59:00,-0.00097,0.00205,0.00184,-0.00097,0.00205,0.00184
CIGN00ITA,EURA14,2005-10-03 11:59:00,-0.00397,0.00115,-0.01356,-0.00397,0.00115,-0.01356
CIGN00ITA,EURA14,2005-10-04 11:59:00,-0.00286,-0.00026,-0.01758,-0.00286,-0.00026,-0.01758
CIGN00ITA,EURA14,2005-10-05 11:59:00,-0.00094,0.00414,-0.00224,-0.00094,0.00414,-0.00224
CIGN00ITA,EURA14,2005-10-06 11:59:00,-0.00102,0.00339,-0.00866,-0.00102,0.00339,-0.00866
CIGN00ITA,EURA14,2005-10-07 11:59:00,-0.00335,0.00436,-0.01189,-0.00335,0.00436,-0.01189
CIGN00ITA,EURA14,2005-10-08 11:59:00,-0.00023,0.00469,-0.01031,-0.00023,0.00469,-0.01031
CIGN00ITA,EURA14,2005-10-09 11:59:00,0.0011,0.00296,-0.00698,0.0011,0.00296,-0.00698
CIGN00ITA,EURA14,2005-10-10 11:59:00,-0.00044,0.00502,-0.02033,-0.00044,0.00502,-0.02033
CIGN00ITA,EURA14,2005-10-11 11:59:00,-0.00067,0.00351,-0.0174,-0.00067,0.00351,-0.0174
CIGN00ITA,EURA14,2005-10-12 11:59:00,0.00061,0.00293,-0.00239,0.00061,0.00293,-0.00239
CIGN00ITA,EURA14,2005-10-13 11:59:00,-0.0004,0.00182,-0.013,-0.0004,0.00182,-0.013
CIGN00ITA,EURA14,2005-10-14 11:59:00,0.00015,0.00166,-0.00246,0.00015,0.00166,-0.00246
CIGN00ITA,EURA14,2005-10-15 11:59:00,-0.00031,0.00341,-0.01209,-0.00031,0.00341,-0.01209
CIGN00ITA,EURA14,2005-10-16 11:59:00,0.00131,0.00118,-0.00041,0.00131,0.00118,-0.00041
CIGN00ITA,EURA14,2005-10-17 11:59:00,-0.00211,0.00328,-0.00349,-0.00211,0.00328,-0.00349
CIGN00ITA,EURA14,2005-10-18 11:59:00,-0.00055,0.00189,-0.00554,-0.00055,0.00189,-0.00554
CIGN00ITA,EURA14,2005-10-19 11:59:00,-0.00217,0.00155,-0.01138,-0.00217,0.00155,-0.01138
CIGN00ITA,EURA14,2005-10-20 11:59:00,-0.00057,0.00188,0.00354,-0.00057,0.00188,0.00354
CIGN00ITA,EURA14,2005-10-21 11:59:00,-6e-05,0.00233,-0.00507,-6e-05,0.00233,-0.00507
CIGN00ITA,EURA14,2005-10-22 11:59:00,0.00031,0.00262,-0.00274,0.00031,0.00262,-0.00274
CIGN00ITA,EURA14,2005-10-23 11:59:00,0.00036,0.00251,-0.0056,0.00036,0.00251,-0.0056
CIGN00ITA,EURA14,2005-10-24 11:59:00,0.00193,0.00167,-0.00758,0.00193,0.00167,-0.00758
CIGN00ITA,EURA14,2005-10-25 11:59:00,0.00042,0.00306,-0.00851,0.00042,0.00306,-0.00851
CIGN00ITA,EURA14,2005-10-26 11:59:00,0.00038,0.00184,-0.01463,0.00038,0.00184,-0.01463
CIGN00ITA,EURA14,2005-11-03 11:59:00,0.00076,0.00275,-0.00681,0.00076,0.00275,-0.00681
CIGN00ITA,EURA14,2005-11-04 11:59:00,-0.0001,0.00244,-0.00856,-0.0001,0.00244,-0.00856
CIGN00ITA,EURA14,2005-11-05 11:59:00,-0.00103,0.00267,-0.01004,-0.00103,0.00267,-0.01004
CIGN00ITA,EURA14,2005-11-06 11:59:00,0.00025,0.00278,-0.00434,0.00025,0.00278,-0.00434
CIGN00ITA,EURA14,2005-11-07 11:59:00,-0.00304,0.00272,-0.001,-0.00304,0.00272,-0.001
CIGN00ITA,EURA14,2005-11-08 11:59:00,0.00077,0.00164,-0.00707,0.00077,0.00164,-0.00707
CIGN00ITA,EURA14,2005-11-09 11:59:00,-6e-05,0.00172,-0.00867,-6e-05,0.00172,-0.00867
CIGN00ITA,EURA14,2005-11-10 11:59:00,-0.00116,0.00203,-0.00813,-0.00116,0.00203,-0.00813
CIGN00ITA,EURA14,2005-11-13 11:59:00,-0.00018,0.00198,-0.01057,-0.00018,0.00198,-0.01057
CIGN00ITA,EURA14,2005-11-14 11:59:00,-0.0004,0.00232,-0.00903,-0.0004,0.00232,-0.00903
CIGN00ITA,EURA14,2005-11-15 11:59:00,0.0003,0.00069,-0.00926,0.0003,0.00069,-0.00926
CIGN00ITA,EURA14,2005-11-16 11:59:00,-0.00106,0.00052,-0.01173,-0.00106,0.00052,-0.01173
CIGN00ITA,EURA14,2005-11-17 11:59:00,-0.0014,-0.00017,-0.00161,-0.0014,-0.00017,-0.00161
CIGN00ITA,EURA14,2005-11-18 11:59:00,-0.00053,0.00213,0.00208,-0.00053,0.00213,0.00208
CIGN00ITA,EURA14,2005-11-19 11:59:00,8e-05,0.00411,-0.00431,8e-05,0.00411,-0.00431
CIGN00ITA,EURA14,2005-11-20 11:59:00,-0.00115,0.00305,-0.00835,-0.00115,0.00305,-0.00835
CIGN00ITA,EURA14,2005-11-21 11:59:00,-0.00085,0.003,-0.00344,-0.00085,0.003,-0.00344
CIGN00ITA,EURA14,2005-11-22 11:59:00,-5e-05,0.00326,-0.00883,-5e-05,0.00326,-0.00883
CIGN00ITA,EURA14,2005-11-23 11:59:00,-0.00207,0.00227,-0.02017,-0.00207,0.00227,-0.02017
CIGN00ITA,EURA14,2005-11-24 11:59:00,-0.00179,0.00299,-0.00566,-0.00179,0.00299,-0.00566
CIGN00ITA,EURA14,2005-11-25 11:59:00,-0.00362,0.00053,-0.0092,-0.00362,0.00053,-0.0092
CIGN00ITA,EURA14,2005-11-26 11:59:00,-0.0035,0.00247,-0.01854,-0.0035,0.00247,-0.01854
CIGN00ITA,EURA14,2005-11-27 11:59:00,-0.00669,-0.00018,-0.01452,-0.00669,-0.00018,-0.01452
CIGN00ITA,EURA14,2005-11-28 11:59:00,-0.0044,0.00112,-0.01932,-0.0044,0.00112,-0.01932
CIGN00ITA,EURA14,2005-11-29 11:59:00,-0.00313,-0.00305,-0.00853,-0.00313,-0.00305,-0.00853
CIGN00ITA,EURA14,2005-11-30 11:59:00,-0.00271,-0.00021,-0.01317,-0.00271,-0.00021,-0.01317
CIGN00ITA,EURA14,2005-12-01 11:59:00,-0.00122,0.00286,-0.00679,-0.00122,0.00286,-0.00679
CIGN00ITA,EURA14,2005-12-02 11:59:00,0.00023,0.00152,-0.00784,0.00023,0.00152,-0.00784
CIGN00ITA,EURA14,2005-12-03 11:59:00,-0.00415,0.00087,-0.02272,-0.00415,0.00087,-0.02272
CIGN00ITA,EURA14,2005-12-04 11:59:00,0.00172,0.0035,0.00186,0.00172,0.0035,0.00186
CIGN00ITA,EURA14,2005-12-05 11:59:00,-0.00621,-0.00185,-0.00865,-0.00621,-0.00185,-0.00865
CIGN00ITA,EURA14,2005-12-06 11:59:00,-0.00273,1e-05,-0.015,-0.00273,1e-05,-0.015
CIGN00ITA,EURA14,2005-12-07 11:59:00,-0.00396,0.0025,-0.00244,-0.00396,0.0025,-0.00244
CIGN00ITA,EURA14,2005-12-08 11:59:00,0.00052,0.00357,-0.00621,0.00052,0.00357,-0.00621
CIGN00ITA,EURA14,2005-12-09 11:59:00,8e-05,0.00428,-0.00781,8e-05,0.00428,-0.00781
CIGN00ITA,EURA14,2005-12-10 11:59:00,0.0,0.00529,-0.00771,0.0,0.00529,-0.00771
CIGN00ITA,EURA14,2005-12-11 11:59:00,0.00029,0.00386,-0.00859,0.00029,0.00386,-0.00859
CIGN00ITA,EURA14,2005-12-12 11:59:00,-0.00099,0.00308,-0.00596,-0.00099,0.00308,-0.00596
CIGN00ITA,EURA14,2005-12-13 11:59:00,-0.00069,0.00319,-0.00407,-0.00069,0.00319,-0.00407
CIGN00ITA,EURA14,2005-12-14 11:59:00,-0.00024,0.00291,0.00018,-0.00024,0.00291,0.00018
CIGN00ITA,EURA14,2005-12-15 11:59:00,-0.00053,0.00126,-0.0025,-0.00053,0.00126,-0.0025
CIGN00ITA,EURA14,2005-12-16 11:59:00,-0.0047,-0.00044,0.00462,-0.0047,-0.00044,0.00462
CIGN00ITA,EURA14,2005-12-17 11:59:00,0.00039,0.0012,0.00518,0.00039,0.0012,0.00518
CIGN00ITA,EURA14,2005-12-18 11:59:00,-0.00187,0.00115,-0.00496,-0.00187,0.00115,-0.00496
CIGN00ITA,EURA14,2005-12-19 11:59:00,-0.00082,0.00147,-0.00714,-0.00082,0.00147,-0.00714
CIGN00ITA,EURA14,2005-12-20 11:59:00,-0.00073,0.00168,-0.00738,-0.00073,0.00168,-0.00738
CIGN00ITA,EURA14,2005-12-21 11:59:00,-0.00021,0.00058,-0.00515,-0.00021,0.00058,-0.00515
CIGN00ITA,EURA14,2005-12-22 11:59:00,-0.00135,0.00141,-0.00195,-0.00135,0.00141,-0.00195
CIGN00ITA,EURA14,2005-12-23 11:59:00,-0.00016,0.00329,-0.00316,-0.00016,0.00329,-0.00316
CIGN00ITA,EURA14,2005-12-24 11:59:00,-0.00105,0.00136,-0.00633,-0.00105,0.00136,-0.00633
CIGN00ITA,EURA14,2005-12-25 11:59:00,-0.00065,0.00202,0.00675,-0.00065,0.00202,0.00675
CIGN00ITA,EURA14,2005-12-26 11:59:00,-0.00158,0.00029,-0.00404,-0.00158,0.00029,-0.00404
CIGN00ITA,EURA14,2005-12-27 11:59:00,-0.00335,-0.00173,-0.00441,-0.00335,-0.00173,-0.00441
CIGN00ITA,EURA14,2005-12-28 11:59:00,-0.00482,-0.0012,-0.00054,-0.00482,-0.0012,-0.00054
CIGN00ITA,EURA14,2005-12-29 11:59:00,-0.00052,0.00063,0.00359,-0.00052,0.00063,0.00359
CIGN00ITA,EURA14,2005-12-30 11:59:00,-0.00148,0.00304,-0.00907,-0.00148,0.00304,-0.00907
CIGN00ITA,EURA14,2005-12-31 11:59:00,0.00264,0.00351,-0.00533,0.00264,0.00351,-0.00533
CIGN00ITA,EURA14,2006-01-01 11:59:00,-0.00697,-0.00124,-0.00474,-0.00697,-0.00124,-0.00474
CIGN00ITA,EURA14,2006-01-02 11:59:00,-0.00068,0.0026,-0.00656,-0.00068,0.0026,-0.00656
CIGN00ITA,EURA14,2006-01-03 11:59:00,-1e-05,0.004,-0.00186,-1e-05,0.004,-0.00186
CIGN00ITA,EURA14,2006-01-04 11:59:00,0.00011,0.00496,-0.00403,0.00011,0.00496,-0.00403
CIGN00ITA,EURA14,2006-01-05 11:59:00,3e-05,0.00279,-0.00357,3e-05,0.00279,-0.00357
CIGN00ITA,EURA14,2006-01-06 11:59:00,-0.00023,0.00331,-0.0066,-0.00023,0.00331,-0.0066
CIGN00ITA,EURA14,2006-01-07 11:59:00,-0.00053,0.0045,-0.01193,-0.00053,0.0045,-0.01193
CIGN00ITA,EURA14,2006-01-08 11:59:00,-0.00034,0.00425,-0.00899,-0.00034,0.00425,-0.00899
CIGN00ITA,EURA14,2006-01-09 11:59:00,4e-05,0.00542,-0.01582,4e-05,0.00542,-0.01582
CIGN00ITA,EURA14,2006-01-10 11:59:00,-0.00138,0.00273,-0.0092,-0.00138,0.00273,-0.0092
CIGN00ITA,EURA14,2006-01-11 11:59:00,-0.00038,0.00273,-0.0091,-0.00038,0.00273,-0.0091
CIGN00ITA,EURA14,2006-01-12 11:59:00,0.00025,0.00418,-0.01047,0.00025,0.00418,-0.01047
CIGN00ITA,EURA14,2006-01-13 11:59:00,0.00012,0.00319,-0.01051,0.00012,0.00319,-0.01051
CIGN00ITA,EURA14,2006-01-14 11:59:00,0.00021,0.00196,-0.00472,0.00021,0.00196,-0.00472
CIGN00ITA,EURA14,2006-01-15 11:59:00,-0.00102,0.00223,-0.00584,-0.00102,0.00223,-0.00584
CIGN00ITA,EURA14,2006-01-16 11:59:00,-0.00027,0.00207,-0.00873,-0.00027,0.00207,-0.00873
CIGN00ITA,EURA14,2006-01-17 11:59:00,2e-05,0.00125,-0.00437,2e-05,0.00125,-0.00437
CIGN00ITA,EURA14,2006-01-18 11:59:00,-0.00384,0.00231,-0.00196,-0.00384,0.00231,-0.00196
CIGN00ITA,EURA14,2006-01-19 11:59:00,0.00057,0.00396,-0.00278,0.00057,0.00396,-0.00278
CIGN00ITA,EURA14,2006-01-20 11:59:00,-0.0012,0.00366,-0.00692,-0.0012,0.00366,-0.00692
CIGN00ITA,EURA14,2006-01-21 11:59:00,-0.00116,0.00415,-0.00296,-0.00116,0.00415,-0.00296
CIGN00ITA,EURA14,2006-01-22 11:59:00,-0.00062,0.00355,-0.00363,-0.00062,0.00355,-0.00363
CIGN00ITA,EURA14,2006-01-23 11:59:00,0.00095,0.00382,-0.0062,0.00095,0.00382,-0.0062
CIGN00ITA,EURA14,2006-01-24 11:59:00,0.00066,0.00435,-0.00881,0.00066,0.00435,-0.00881
CIGN00ITA,EURA14,2006-01-25 11:59:00,-0.00055,0.00414,-0.00433,-0.00055,0.00414,-0.00433
CIGN00ITA,EURA14,2006-01-26 11:59:00,0.00109,0.00266,-0.00023,0.00109,0.00266,-0.00023
CIGN00ITA,EURA14,2006-01-27 11:59:00,0.00064,0.00207,-0.00227,0.00064,0.00207,-0.00227
CIGN00ITA,EURA14,2006-01-28 11:59:00,0.00124,0.00267,-0.00327,0.00124,0.00267,-0.00327
CIGN00ITA,EURA14,2006-01-29 11:59:00,0.0007,0.00313,-0.00111,0.0007,0.00313,-0.00111
CIGN00ITA,EURA14,2006-01-30 11:59:00,0.00175,0.00276,-0.00218,0.00175,0.00276,-0.00218
CIGN00ITA,EURA14,2006-01-31 11:59:00,-0.00037,0.00185,0.0054,-0.00037,0.00185,0.0054
CIGN00ITA,EURA14,2006-02-01 11:59:00,-0.00172,0.00312,-0.00729,-0.00172,0.00312,-0.00729
CIGN00ITA,EURA14,2006-02-02 11:59:00,0.00046,0.00221,-0.00676,0.00046,0.00221,-0.00676
CIGN00ITA,EURA14,2006-02-03 11:59:00,0.00107,0.00134,-0.0074,0.00107,0.00134,-0.0074
CIGN00ITA,EURA14,2006-02-04 11:59:00,0.00032,0.00322,-0.0045,0.00032,0.00322,-0.0045
CIGN00ITA,EURA14,2006-02-05 11:59:00,0.00136,0.00347,0.00182,0.00136,0.00347,0.00182
CIGN00ITA,EURA14,2006-02-06 11:59:00,0.00224,0.00492,-0.00492,0.00224,0.00492,-0.00492
CIGN00ITA,EURA14,2006-02-07 11:59:00,0.00102,0.00361,-0.0052,0.00102,0.00361,-0.0052
CIGN00ITA,EURA14,2006-02-08 11:59:00,0.00034,0.00224,0.00317,0.00034,0.00224,0.00317
CIGN00ITA,EURA14,2006-02-09 11:59:00,6e-05,0.00227,-5e-05,6e-05,0.00227,-5e-05
CIGN00ITA,EURA14,2006-02-10 11:59:00,0.00126,0.00284,-0.00419,0.00126,0.00284,-0.00419
CIGN00ITA,EURA14,2006-02-11 11:59:00,0.00108,0.00338,-0.00575,0.00108,0.00338,-0.00575
CIGN00ITA,EURA14,2006-02-12 11:59:00,0.00049,0.0029,-0.00434,0.00049,0.0029,-0.00434
CIGN00ITA,EURA14,2006-02-13 11:59:00,6e-05,0.00243,-0.00259,6e-05,0.00243,-0.00259
CIGN00ITA,EURA14,2006-02-14 11:59:00,0.00071,0.00241,-0.00615,0.00071,0.00241,-0.00615
CIGN00ITA,EURA14,2006-02-15 11:59:00,-0.00033,0.00254,-0.00652,-0.00033,0.00254,-0.00652
CIGN00ITA,EURA14,2006-02-16 11:59:00,-0.00207,0.0036,-0.00156,-0.00207,0.0036,-0.00156
CIGN00ITA,EURA14,2006-02-17 11:59:00,-0.00287,0.00031,4e-05,-0.00287,0.00031,4e-05
CIGN00ITA,EURA14,2006-02-18 11:59:00,-0.00364,-0.00231,0.00227,-0.00364,-0.00231,0.00227
CIGN00ITA,EURA14,2006-02-19 11:59:00,0.00311,0.00067,0.01964,0.00311,0.00067,0.01964
CIGN00ITA,EURA14,2006-02-20 11:59:00,2e-05,5e-05,0.00089,2e-05,5e-05,0.00089
CIGN00ITA,EURA14,2006-02-21 11:59:00,-0.00428,-0.00161,-0.00823,-0.00428,-0.00161,-0.00823
CIGN00ITA,EURA14,2006-02-22 11:59:00,-0.00242,0.00378,-0.0077,-0.00242,0.00378,-0.0077
CIGN00ITA,EURA14,2006-02-23 11:59:00,0.00076,0.00427,0.00087,0.00076,0.00427,0.00087
CIGN00ITA,EURA14,2006-02-24 11:59:00,0.0003,0.00337,-0.00262,0.0003,0.00337,-0.00262
CIGN00ITA,EURA14,2006-02-25 11:59:00,0.00192,0.00251,-0.00074,0.00192,0.00251,-0.00074
CIGN00ITA,EURA14,2006-02-26 11:59:00,0.00088,0.00275,-0.00515,0.00088,0.00275,-0.00515
CIGN00ITA,EURA14,2006-02-27 11:59:00,0.00077,0.00222,-0.00522,0.00077,0.00222,-0.00522
CIGN00ITA,EURA14,2006-02-28 11:59:00,-0.00012,0.00272,-0.00128,-0.00012,0.00272,-0.00128
CIGN00ITA,EURA14,2006-03-01 11:59:00,0.00023,0.00157,-0.0009,0.00023,0.00157,-0.0009
CIGN00ITA,EURA14,2006-03-02 11:59:00,0.00116,0.0012,0.00399,0.00116,0.0012,0.00399
CIGN00ITA,EURA14,2006-03-03 11:59:00,-0.00222,0.0005,-0.01475,-0.00222,0.0005,-0.01475
CIGN00ITA,EURA14,2006-03-04 11:59:00,-0.00738,-0.00275,-0.01104,-0.00738,-0.00275,-0.01104
CIGN00ITA,EURA14,2006-03-05 11:59:00,-0.00023,-0.00012,-0.00996,-0.00023,-0.00012,-0.00996
CIGN00ITA,EURA14,2006-03-06 11:59:00,-7e-05,0.00323,-0.00533,-7e-05,0.00323,-0.00533
CIGN00ITA,EURA14,2006-03-07 11:59:00,-0.00046,0.00455,-0.01703,-0.00046,0.00455,-0.01703
CIGN00ITA,EURA14,2006-03-08 11:59:00,0.00141,0.00241,-0.01482,0.00141,0.00241,-0.01482
CIGN00ITA,EURA14,2006-03-09 11:59:00,0.00376,8e-05,0.00046,0.00376,8e-05,0.00046
CIGN00ITA,EURA14,2006-03-10 11:59:00,-0.00331,-0.00253,-0.00634,-0.00331,-0.00253,-0.00634
CIGN00ITA,EURA14,2006-03-11 11:59:00,0.00151,0.00427,-0.00998,0.00151,0.00427,-0.00998
CIGN00ITA,EURA14,2006-03-12 11:59:00,0.00143,0.00424,-0.00727,0.00143,0.00424,-0.00727
CIGN00ITA,EURA14,2006-03-13 11:59:00,0.0011,0.00364,-0.01423,0.0011,0.00364,-0.01423
CIGN00ITA,EURA14,2006-03-14 11:59:00,-0.0004,0.00275,-0.00723,-0.0004,0.00275,-0.00723
CIGN00ITA,EURA14,2006-03-15 11:59:00,0.00037,0.00273,-0.00978,0.00037,0.00273,-0.00978
CIGN00ITA,EURA14,2006-03-16 11:59:00,0.00114,0.00309,-0.00744,0.00114,0.00309,-0.00744
CIGN00ITA,EURA14,2006-03-17 11:59:00,7e-05,0.0017,0.00233,7e-05,0.0017,0.00233
CIGN00ITA,EURA14,2006-03-18 11:59:00,-0.00038,0.00299,-0.00755,-0.00038,0.00299,-0.00755
CIGN00ITA,EURA14,2006-03-19 11:59:00,-0.00062,0.00243,-0.00921,-0.00062,0.00243,-0.00921
