marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CIPV00ITA,EURA14,2011-01-13 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CIPV00ITA,EURA14,2011-01-14 11:59:00,-0.00013,1e-05,-0.0011,-0.00013,1e-05,-0.0011
CIPV00ITA,EURA14,2011-01-15 11:59:00,-0.0002,0.00111,-0.00038,-0.0002,0.00111,-0.00038
CIPV00ITA,EURA14,2011-01-16 11:59:00,-0.0005,0.0012,-0.00072,-0.0005,0.0012,-0.00072
CIPV00ITA,EURA14,2011-01-17 11:59:00,-0.00161,0.0014,-0.001,-0.00161,0.0014,-0.001
CIPV00ITA,EURA14,2011-01-18 11:59:00,0.00089,0.00059,0.00355,0.00089,0.00059,0.00355
CIPV00ITA,EURA14,2011-01-19 11:59:00,9e-05,0.00048,0.00513,9e-05,0.00048,0.00513
CIPV00ITA,EURA14,2011-01-20 11:59:00,-0.0016,0.00263,0.01252,-0.0016,0.00263,0.01252
CIPV00ITA,EURA14,2011-01-21 11:59:00,-0.00019,0.00257,0.00152,-0.00019,0.00257,0.00152
CIPV00ITA,EURA14,2011-01-22 11:59:00,-0.00211,0.00199,0.00093,-0.00211,0.00199,0.00093
CIPV00ITA,EURA14,2011-01-23 11:59:00,-0.00123,0.00109,0.0066,-0.00123,0.00109,0.0066
CIPV00ITA,EURA14,2011-01-24 11:59:00,0.0004,0.00031,0.00516,0.0004,0.00031,0.00516
CIPV00ITA,EURA14,2011-01-25 11:59:00,-0.00066,-0.00085,0.00355,-0.00066,-0.00085,0.00355
CIPV00ITA,EURA14,2011-01-26 11:59:00,0.00029,-0.00021,0.00043,0.00029,-0.00021,0.00043
CIPV00ITA,EURA14,2011-01-27 11:59:00,3.9999999999999996e-05,0.0009250000000000001,0.00518,3.9999999999999996e-05,0.0009250000000000001,0.00518
CIPV00ITA,EURA14,2011-01-28 11:59:00,-0.00021,0.00206,0.00993,-0.00021,0.00206,0.00993
CIPV00ITA,EURA14,2011-01-29 11:59:00,0.00091,0.00037,0.00394,0.00091,0.00037,0.00394
CIPV00ITA,EURA14,2011-01-30 11:59:00,-0.00182,0.00156,0.00937,-0.00182,0.00156,0.00937
CIPV00ITA,EURA14,2011-01-31 11:59:00,0.00028,0.00224,0.00074,0.00028,0.00224,0.00074
CIPV00ITA,EURA14,2011-02-01 11:59:00,-0.00022,0.00032,-6e-05,-0.00022,0.00032,-6e-05
CIPV00ITA,EURA14,2011-02-02 11:59:00,-0.00226,0.00075,-0.00032,-0.00226,0.00075,-0.00032
CIPV00ITA,EURA14,2011-02-03 11:59:00,-0.0012,0.00113,-0.00072,-0.0012,0.00113,-0.00072
CIPV00ITA,EURA14,2011-02-04 11:59:00,-0.00086,0.00129,-0.00201,-0.00086,0.00129,-0.00201
CIPV00ITA,EURA14,2011-02-05 11:59:00,0.00026,0.00047,-0.00318,0.00026,0.00047,-0.00318
CIPV00ITA,EURA14,2011-02-06 11:59:00,-0.00069,0.00063,0.00033,-0.00069,0.00063,0.00033
CIPV00ITA,EURA14,2011-02-07 11:59:00,0.00042,0.00055,-0.00038,0.00042,0.00055,-0.00038
CIPV00ITA,EURA14,2011-02-08 11:59:00,5e-05,0.00069,0.00173,5e-05,0.00069,0.00173
CIPV00ITA,EURA14,2011-02-09 11:59:00,0.00055,0.00074,0.00218,0.00055,0.00074,0.00218
