marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CIST00ITA,EURA14,2012-03-07 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CIST00ITA,EURA14,2012-03-08 11:59:00,-9e-05,0.00023,0.00548,-9e-05,0.00023,0.00548
CIST00ITA,EURA14,2012-03-09 11:59:00,0.00194,0.00145,-0.00087,0.00194,0.00145,-0.00087
CIST00ITA,EURA14,2012-03-10 11:59:00,0.00022,0.00075,0.00342,0.00022,0.00075,0.00342
CIST00ITA,EURA14,2012-03-11 11:59:00,0.00117,0.00024,0.00439,0.00117,0.00024,0.00439
CIST00ITA,EURA14,2012-03-12 11:59:00,0.00036,-8e-05,0.00234,0.00036,-8e-05,0.00234
CIST00ITA,EURA14,2012-03-13 11:59:00,0.0003,0.0004,-0.00194,0.0003,0.0004,-0.00194
CIST00ITA,EURA14,2012-03-14 11:59:00,0.00152,-0.00048,-0.00451,0.00152,-0.00048,-0.00451
CIST00ITA,EURA14,2012-03-15 11:59:00,0.0013,-0.00022,-0.00436,0.0013,-0.00022,-0.00436
CIST00ITA,EURA14,2012-03-16 11:59:00,0.00178,0.00021,-0.00755,0.00178,0.00021,-0.00755
CIST00ITA,EURA14,2012-03-17 11:59:00,0.00257,-0.00067,-0.00781,0.00257,-0.00067,-0.00781
CIST00ITA,EURA14,2012-03-18 11:59:00,0.00058,-0.00031,-0.00352,0.00058,-0.00031,-0.00352
CIST00ITA,EURA14,2012-03-19 11:59:00,0.00141,-0.00079,-0.00052,0.00141,-0.00079,-0.00052
CIST00ITA,EURA14,2012-03-27 11:59:00,0.00085,-0.00017,0.00156,0.00085,-0.00017,0.00156
CIST00ITA,EURA14,2012-03-28 11:59:00,0.00026,0.00052,0.00273,0.00026,0.00052,0.00273
CIST00ITA,EURA14,2012-03-29 11:59:00,0.0005,9e-05,0.00206,0.0005,9e-05,0.00206
CIST00ITA,EURA14,2012-03-30 11:59:00,0.0005,2e-05,0.00325,0.0005,2e-05,0.00325
CIST00ITA,EURA14,2012-03-31 11:59:00,0.00031,-0.0001,0.00303,0.00031,-0.0001,0.00303
CIST00ITA,EURA14,2012-04-01 11:59:00,0.00142,0.00136,-0.0027,0.00142,0.00136,-0.0027
CIST00ITA,EURA14,2012-04-02 11:59:00,0.00061,0.00158,3e-05,0.00061,0.00158,3e-05
CIST00ITA,EURA14,2012-04-03 11:59:00,0.00222,0.00062,-0.00024,0.00222,0.00062,-0.00024
CIST00ITA,EURA14,2012-04-04 11:59:00,0.0023,0.00121,0.00606,0.0023,0.00121,0.00606
CIST00ITA,EURA14,2012-04-05 11:59:00,0.00139,0.0009499999999999999,0.005355,0.00139,0.0009499999999999999,0.005355
CIST00ITA,EURA14,2012-04-06 11:59:00,0.00048,0.00069,0.00465,0.00048,0.00069,0.00465
CIST00ITA,EURA14,2012-04-07 11:59:00,0.00093,0.00025,0.00165,0.00093,0.00025,0.00165
CIST00ITA,EURA14,2012-04-08 11:59:00,0.00128,-0.00056,0.00978,0.00128,-0.00056,0.00978
CIST00ITA,EURA14,2012-04-09 11:59:00,0.00096,0.00108,-0.0028,0.00096,0.00108,-0.0028
CIST00ITA,EURA14,2012-04-10 11:59:00,0.00149,0.00048,-0.00247,0.00149,0.00048,-0.00247
CIST00ITA,EURA14,2012-04-11 11:59:00,0.00125,0.00028,0.00064,0.00125,0.00028,0.00064
CIST00ITA,EURA14,2012-04-12 11:59:00,0.00095,0.00048,-0.00438,0.00095,0.00048,-0.00438
CIST00ITA,EURA14,2012-04-13 11:59:00,0.00213,4e-05,0.00046,0.00213,4e-05,0.00046
CIST00ITA,EURA14,2012-04-14 11:59:00,0.00051,-0.00039,0.00032,0.00051,-0.00039,0.00032
CIST00ITA,EURA14,2012-04-17 11:59:00,0.00238,0.00087,-0.00467,0.00238,0.00087,-0.00467
CIST00ITA,EURA14,2012-04-18 11:59:00,0.00164,0.00012,-0.00159,0.00164,0.00012,-0.00159
CIST00ITA,EURA14,2012-04-19 11:59:00,0.00035,0.00179,0.00031,0.00035,0.00179,0.00031
CIST00ITA,EURA14,2012-04-20 11:59:00,0.00146,0.00013,-0.00349,0.00146,0.00013,-0.00349
CIST00ITA,EURA14,2012-04-21 11:59:00,0.00066,0.00216,-0.0013,0.00066,0.00216,-0.0013
CIST00ITA,EURA14,2012-04-22 11:59:00,5e-05,0.00132,-0.00236,5e-05,0.00132,-0.00236
CIST00ITA,EURA14,2012-04-23 11:59:00,1e-05,0.00214,-0.00047,1e-05,0.00214,-0.00047
CIST00ITA,EURA14,2012-04-24 11:59:00,0.0027,-0.00072,0.00437,0.0027,-0.00072,0.00437
CIST00ITA,EURA14,2012-04-25 11:59:00,0.00121,0.00177,-0.00527,0.00121,0.00177,-0.00527
CIST00ITA,EURA14,2012-04-26 11:59:00,0.00139,0.00183,-0.00542,0.00139,0.00183,-0.00542
CIST00ITA,EURA14,2012-04-27 11:59:00,0.00123,0.00149,-0.00384,0.00123,0.00149,-0.00384
CIST00ITA,EURA14,2012-04-28 11:59:00,0.00081,0.00333,-0.00309,0.00081,0.00333,-0.00309
CIST00ITA,EURA14,2012-04-29 11:59:00,0.00109,0.0,0.00413,0.00109,0.0,0.00413
CIST00ITA,EURA14,2012-04-30 11:59:00,0.0015,0.00131,0.00038,0.0015,0.00131,0.00038
CIST00ITA,EURA14,2012-05-03 11:59:00,0.00088,-0.00016,0.00148,0.00088,-0.00016,0.00148
CIST00ITA,EURA14,2012-05-04 11:59:00,0.00077,0.00075,-0.00152,0.00077,0.00075,-0.00152
CIST00ITA,EURA14,2012-05-08 11:59:00,0.00112,0.00163,-0.00385,0.00112,0.00163,-0.00385
CIST00ITA,EURA14,2012-05-09 11:59:00,0.00025,-0.00037,0.00093,0.00025,-0.00037,0.00093
CIST00ITA,EURA14,2012-05-10 11:59:00,0.00168,-0.00048,0.00154,0.00168,-0.00048,0.00154
CIST00ITA,EURA14,2012-05-11 11:59:00,0.001,-0.00061,-0.00477,0.001,-0.00061,-0.00477
CIST00ITA,EURA14,2012-05-12 11:59:00,0.00181,0.00141,-0.00361,0.00181,0.00141,-0.00361
CIST00ITA,EURA14,2012-05-13 11:59:00,0.00119,0.00155,-0.00264,0.00119,0.00155,-0.00264
CIST00ITA,EURA14,2012-05-14 11:59:00,0.00195,-0.0005,0.00162,0.00195,-0.0005,0.00162
CIST00ITA,EURA14,2012-05-15 11:59:00,0.0,6e-05,-0.00065,0.0,6e-05,-0.00065
CIST00ITA,EURA14,2012-05-16 11:59:00,0.00224,-0.00066,0.00643,0.00224,-0.00066,0.00643
CIST00ITA,EURA14,2012-05-17 11:59:00,0.00113,-0.00073,3e-05,0.00113,-0.00073,3e-05
CIST00ITA,EURA14,2012-05-26 11:59:00,0.00313,-0.0005,0.00157,0.0029515051386804305,-0.0010133109332401756,0.002348677985212587
CIST00ITA,EURA14,2012-05-27 11:59:00,0.00146,0.00203,-0.00148,0.0012815051386804305,0.0015166890667598245,-0.0007013220147874133
CIST00ITA,EURA14,2012-05-28 11:59:00,0.00036,-0.0004,-0.00336,0.00018150513868043063,-0.0009133109332401755,-0.0025813220147874135
CIST00ITA,EURA14,2012-05-29 11:59:00,0.00030500000000000004,0.00025499999999999996,-0.0024200000000000003,0.00012650513868043065,-0.0002583109332401755,-0.0016413220147874137
CIST00ITA,EURA14,2012-05-30 11:59:00,0.00025,0.00091,-0.00148,7.150513868043061e-05,0.00039668906675982454,-0.0007013220147874133
CIST00ITA,EURA14,2012-05-31 11:59:00,0.000625,0.00101,-0.0019,0.0004465051386804306,0.0004966890667598246,-0.0011213220147874132
CIST00ITA,EURA14,2012-06-01 11:59:00,0.001,0.00111,-0.00232,0.0008215051386804306,0.0005966890667598246,-0.0015413220147874134
CIST00ITA,EURA14,2012-06-02 11:59:00,0.0022,0.00095,1e-05,0.0020215051386804307,0.00043668906675982454,0.0007886779852125867
CIST00ITA,EURA14,2012-06-06 11:59:00,0.00196,0.00033,-0.00426,0.0017815051386804305,-0.00018331093324017546,-0.0034813220147874133
CIST00ITA,EURA14,2012-06-07 11:59:00,0.0023,0.00157,0.00235,0.0021215051386804305,0.0010566890667598246,0.0031286779852125867
CIST00ITA,EURA14,2012-06-08 11:59:00,0.00097,0.00069,-0.00018,0.0007915051386804307,0.0001766890667598245,0.0005986779852125867
CIST00ITA,EURA14,2012-06-09 11:59:00,-0.00012,0.00344,0.00443,-0.0002984948613195694,0.0029266890667598243,0.005208677985212587
CIST00ITA,EURA14,2012-06-10 11:59:00,0.00259,5e-05,-0.00606,0.0024115051386804304,-0.00046331093324017544,-0.005281322014787413
CIST00ITA,EURA14,2012-06-11 11:59:00,0.00304,0.00056,-0.00058,0.0028615051386804307,4.668906675982449e-05,0.00019867798521258672
CIST00ITA,EURA14,2012-06-12 11:59:00,0.00452,0.00122,0.01467,0.004341505138680431,0.0007066890667598245,0.015448677985212588
CIST00ITA,EURA14,2012-06-13 11:59:00,0.00097,0.00123,-0.00363,0.0007915051386804307,0.0007166890667598245,-0.0028513220147874134
CIST00ITA,EURA14,2012-06-14 11:59:00,0.00176,0.00258,0.00085,0.0015815051386804306,0.0020666890667598243,0.0016286779852125867
