marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CIVI00ITA,EURA14,2008-12-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CIVI00ITA,EURA14,2008-12-23 11:59:00,-0.001365,0.00014,-0.00053,-0.001365,0.00014,-0.00053
CIVI00ITA,EURA14,2008-12-24 11:59:00,-0.00273,0.00028,-0.00106,-0.00273,0.00028,-0.00106
CIVI00ITA,EURA14,2008-12-27 11:59:00,-0.00302,0.00054,0.00173,-0.00302,0.00054,0.00173
CIVI00ITA,EURA14,2009-01-08 11:59:00,-0.00011,0.00167,-0.00257,-0.00011,0.00167,-0.00257
CIVI00ITA,EURA14,2009-01-09 11:59:00,-0.00382,0.00084,0.00297,-0.00382,0.00084,0.00297
CIVI00ITA,EURA14,2009-01-10 11:59:00,-0.00321,0.00019,0.00111,-0.00321,0.00019,0.00111
CIVI00ITA,EURA14,2009-01-14 11:59:00,-0.0042,0.00085,0.0033,-0.0042,0.00085,0.0033
CIVI00ITA,EURA14,2009-06-19 11:59:00,-0.00282,-0.0033,0.00784,0.000793515625,-3.1406250000000184e-05,0.004883671874999999
CIVI00ITA,EURA14,2009-06-20 11:59:00,-0.0055,-0.00163,0.00576,-0.0018864843749999997,0.0016385937499999999,0.0028036718749999997
CIVI00ITA,EURA14,2009-06-21 11:59:00,-0.00545,-0.00058,0.01563,-0.001836484375,0.00268859375,0.012673671875
CIVI00ITA,EURA14,2009-06-22 11:59:00,-0.00688,-0.00239,0.00998,-0.003266484375,0.0008785937499999996,0.007023671874999998
CIVI00ITA,EURA14,2009-06-23 11:59:00,-0.00564,-0.0012,0.00611,-0.002026484375,0.00206859375,0.0031536718749999994
CIVI00ITA,EURA14,2009-06-24 11:59:00,-0.00629,-0.00283,0.00413,-0.0026764843749999996,0.00043859374999999975,0.0011736718749999994
CIVI00ITA,EURA14,2009-06-25 11:59:00,-0.00488,-0.00267,-0.00032,-0.0012664843749999998,0.0005985937499999997,-0.0032763281250000006
CIVI00ITA,EURA14,2009-06-26 11:59:00,-0.0042,-0.00228,0.00639,-0.0005864843749999998,0.0009885937499999999,0.0034336718749999992
CIVI00ITA,EURA14,2009-06-27 11:59:00,-0.00527,-0.00338,0.00373,-0.0016564843750000004,-0.0001114062500000004,0.0007736718749999992
CIVI00ITA,EURA14,2009-06-28 11:59:00,-0.00528,-0.00298,0.00624,-0.001666484375,0.0002885937499999998,0.0032836718749999993
CIVI00ITA,EURA14,2009-06-29 11:59:00,-0.00585,-0.00262,0.00177,-0.002236484375,0.0006485937499999999,-0.0011863281250000005
CIVI00ITA,EURA14,2009-06-30 11:59:00,-0.00537,-0.00313,0.00415,-0.0017564843749999998,0.00013859374999999983,0.0011936718749999994
CIVI00ITA,EURA14,2009-07-01 11:59:00,-0.00589,-0.00185,-0.00105,-0.0022764843750000003,0.0014185937499999997,-0.004006328125000001
CIVI00ITA,EURA14,2009-07-02 11:59:00,-0.00756,-0.00495,0.00153,-0.003946484375,-0.0016814062500000006,-0.0014263281250000007
