marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CMRA00ITA,EURA14,2006-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CMRA00ITA,EURA14,2006-06-13 11:59:00,-0.00112,0.00086,0.00046,-0.00112,0.00086,0.00046
CMRA00ITA,EURA14,2006-06-14 11:59:00,0.00199,0.00073,0.00199,0.00199,0.00073,0.00199
CMRA00ITA,EURA14,2006-06-15 11:59:00,-1e-05,0.001,-0.00398,-1e-05,0.001,-0.00398
CMRA00ITA,EURA14,2006-06-16 11:59:00,0.00125,-0.00159,0.00439,0.00125,-0.00159,0.00439
CMRA00ITA,EURA14,2006-06-17 11:59:00,0.00061,-0.00093,0.0115,0.00061,-0.00093,0.0115
CMRA00ITA,EURA14,2006-06-18 11:59:00,-0.00047,0.00051,0.00554,-0.00047,0.00051,0.00554
CMRA00ITA,EURA14,2006-06-19 11:59:00,-0.00023,-7e-05,0.00125,-0.00023,-7e-05,0.00125
CMRA00ITA,EURA14,2006-06-20 11:59:00,-0.00136,0.00019,0.00434,-0.00136,0.00019,0.00434
CMRA00ITA,EURA14,2006-06-21 11:59:00,-0.00178,-0.0019,0.00648,-0.00178,-0.0019,0.00648
CMRA00ITA,EURA14,2006-06-22 11:59:00,-0.00087,0.00072,0.00607,-0.00087,0.00072,0.00607
CMRA00ITA,EURA14,2006-06-23 11:59:00,-0.00036,-0.00092,0.00519,-0.00036,-0.00092,0.00519
CMRA00ITA,EURA14,2006-06-24 11:59:00,0.00198,-0.00051,0.00667,0.00198,-0.00051,0.00667
CMRA00ITA,EURA14,2006-06-25 11:59:00,0.00078,0.00091,0.00541,0.00078,0.00091,0.00541
CMRA00ITA,EURA14,2006-06-26 11:59:00,0.00258,0.00011,0.00593,0.00258,0.00011,0.00593
CMRA00ITA,EURA14,2006-06-27 11:59:00,0.00085,-0.00132,-0.00129,0.00085,-0.00132,-0.00129
CMRA00ITA,EURA14,2006-06-28 11:59:00,-0.00125,0.00189,0.00212,-0.00125,0.00189,0.00212
CMRA00ITA,EURA14,2006-06-29 11:59:00,0.00111,0.00103,0.0173,0.00111,0.00103,0.0173
CMRA00ITA,EURA14,2006-06-30 11:59:00,-0.00172,-0.00025,0.01048,-0.00172,-0.00025,0.01048
CMRA00ITA,EURA14,2006-07-01 11:59:00,-0.00358,0.00499,-0.0094,-0.00358,0.00499,-0.0094
CMRA00ITA,EURA14,2006-07-02 11:59:00,-0.00345,0.00517,-0.00305,-0.00345,0.00517,-0.00305
CMRA00ITA,EURA14,2006-07-03 11:59:00,-0.0044,0.00521,-0.00174,-0.0044,0.00521,-0.00174
