marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CSGP00ITA,EURA14,2004-11-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CSGP00ITA,EURA14,2004-11-21 11:59:00,0.00113,-0.0004,-0.00082,0.00113,-0.0004,-0.00082
CSGP00ITA,EURA14,2004-11-22 11:59:00,0.00121,-0.00036,-0.00174,0.00121,-0.00036,-0.00174
CSGP00ITA,EURA14,2004-11-23 11:59:00,0.00106,-0.00017,-0.00389,0.00106,-0.00017,-0.00389
CSGP00ITA,EURA14,2004-11-24 11:59:00,0.00084,-0.00018,-0.00301,0.00084,-0.00018,-0.00301
CSGP00ITA,EURA14,2004-11-25 11:59:00,0.0013,-0.0005,-0.00532,0.0013,-0.0005,-0.00532
CSGP00ITA,EURA14,2004-11-26 11:59:00,0.00061,-2e-05,-0.00073,0.00061,-2e-05,-0.00073
CSGP00ITA,EURA14,2004-11-27 11:59:00,0.0007,-0.00129,0.00021,0.0007,-0.00129,0.00021
CSGP00ITA,EURA14,2004-11-28 11:59:00,0.00103,-0.00058,0.00148,0.00103,-0.00058,0.00148
CSGP00ITA,EURA14,2004-11-29 11:59:00,-0.00083,-0.00099,-0.00108,-0.00083,-0.00099,-0.00108
CSGP00ITA,EURA14,2004-11-30 11:59:00,0.00231,-0.00084,0.00397,0.00231,-0.00084,0.00397
CSGP00ITA,EURA14,2004-12-01 11:59:00,0.00252,0.00307,-0.00556,0.00252,0.00307,-0.00556
CSGP00ITA,EURA14,2004-12-02 11:59:00,0.00428,0.00665,-0.01566,0.00428,0.00665,-0.01566
CSGP00ITA,EURA14,2004-12-03 11:59:00,0.0031,0.00074,-0.00271,0.0031,0.00074,-0.00271
CSGP00ITA,EURA14,2004-12-04 11:59:00,0.00195,-5e-05,-0.0006,0.00195,-5e-05,-0.0006
CSGP00ITA,EURA14,2004-12-05 11:59:00,0.00108,0.00117,-0.00747,0.00108,0.00117,-0.00747
CSGP00ITA,EURA14,2004-12-06 11:59:00,0.00158,0.00144,-0.00541,0.00158,0.00144,-0.00541
CSGP00ITA,EURA14,2004-12-07 11:59:00,0.00105,0.00088,-0.00179,0.00105,0.00088,-0.00179
CSGP00ITA,EURA14,2004-12-08 11:59:00,0.00079,0.00113,-0.00205,0.00079,0.00113,-0.00205
CSGP00ITA,EURA14,2004-12-09 11:59:00,0.00032,0.00135,-0.00052,0.00032,0.00135,-0.00052
CSGP00ITA,EURA14,2004-12-10 11:59:00,0.00131,0.00093,-0.00098,0.00131,0.00093,-0.00098
CSGP00ITA,EURA14,2004-12-11 11:59:00,0.00094,0.00172,-0.00627,0.00094,0.00172,-0.00627
CSGP00ITA,EURA14,2004-12-12 11:59:00,0.00061,0.00137,-0.00493,0.00061,0.00137,-0.00493
CSGP00ITA,EURA14,2004-12-13 11:59:00,0.00122,0.0006,-0.00486,0.00122,0.0006,-0.00486
CSGP00ITA,EURA14,2004-12-14 11:59:00,0.00075,0.00182,-0.00453,0.00075,0.00182,-0.00453
CSGP00ITA,EURA14,2004-12-15 11:59:00,0.001,0.00111,-0.00297,0.001,0.00111,-0.00297
CSGP00ITA,EURA14,2004-12-16 11:59:00,0.00125,0.00014,-0.00449,0.00125,0.00014,-0.00449
CSGP00ITA,EURA14,2004-12-17 11:59:00,0.00119,0.0,0.00191,0.00119,0.0,0.00191
