marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CSNO00ITA,EURA14,2021-03-27 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CSNO00ITA,EURA14,2021-03-28 11:59:00,0.00051,-5e-05,-0.00173,0.00051,-5e-05,-0.00173
CSNO00ITA,EURA14,2021-03-29 11:59:00,0.00114,0.00062,-0.0022,0.00114,0.00062,-0.0022
CSNO00ITA,EURA14,2021-03-30 11:59:00,0.00065,0.00054,0.00482,0.00065,0.00054,0.00482
CSNO00ITA,EURA14,2021-03-31 11:59:00,6e-05,0.00058,0.00441,6e-05,0.00058,0.00441
CSNO00ITA,EURA14,2021-04-01 11:59:00,0.00025,0.00052,0.00274,0.00025,0.00052,0.00274
CSNO00ITA,EURA14,2021-04-02 11:59:00,-1e-05,-5e-05,0.00586,-1e-05,-5e-05,0.00586
CSNO00ITA,EURA14,2021-04-03 11:59:00,-0.00064,0.00016,0.00679,-0.00064,0.00016,0.00679
CSNO00ITA,EURA14,2021-04-04 11:59:00,0.00018,0.00055,0.00433,0.00018,0.00055,0.00433
CSNO00ITA,EURA14,2021-04-05 11:59:00,-0.0001,-0.00073,0.00286,-0.0001,-0.00073,0.00286
CSNO00ITA,EURA14,2021-04-06 11:59:00,-0.00038,-0.002,0.00803,-0.00038,-0.002,0.00803
CSNO00ITA,EURA14,2021-04-07 11:59:00,-0.00142,-0.00097,0.00547,-0.00142,-0.00097,0.00547
CSNO00ITA,EURA14,2021-04-08 11:59:00,1e-05,-0.00065,0.00068,1e-05,-0.00065,0.00068
CSNO00ITA,EURA14,2021-04-09 11:59:00,-3e-05,-0.00083,0.00296,-3e-05,-0.00083,0.00296
CSNO00ITA,EURA14,2021-04-10 11:59:00,-0.00154,-0.00135,0.00028,-0.00154,-0.00135,0.00028
CSNO00ITA,EURA14,2021-04-11 11:59:00,-0.0012599999999999998,-0.00106,-0.002135,-0.0012599999999999998,-0.00106,-0.002135
CSNO00ITA,EURA14,2021-04-12 11:59:00,-0.00098,-0.00077,-0.00455,-0.00098,-0.00077,-0.00455
CSNO00ITA,EURA14,2021-04-13 11:59:00,-0.00039,0.00058,0.00434,-0.00039,0.00058,0.00434
CSNO00ITA,EURA14,2021-04-14 11:59:00,-0.00094,0.00028,0.00764,-0.00094,0.00028,0.00764
CSNO00ITA,EURA14,2021-04-15 11:59:00,-0.00053,0.00016,0.00394,-0.00053,0.00016,0.00394
CSNO00ITA,EURA14,2021-04-16 11:59:00,-0.00016,0.00023,0.00789,-0.00016,0.00023,0.00789
CSNO00ITA,EURA14,2021-04-17 11:59:00,-0.00054,-0.00065,0.01041,-0.00054,-0.00065,0.01041
CSNO00ITA,EURA14,2021-04-18 11:59:00,-0.00028,-0.00076,0.00278,-0.00028,-0.00076,0.00278
CSNO00ITA,EURA14,2021-04-19 11:59:00,-0.00082,-0.00037,-0.00063,-0.00082,-0.00037,-0.00063
