marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CSSB00ITA,EURA14,2006-06-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CSSB00ITA,EURA14,2006-06-29 11:59:00,0.00145,0.00387,0.01558,0.00145,0.00387,0.01558
CSSB00ITA,EURA14,2006-06-30 11:59:00,-0.00195,0.00122,0.01485,-0.00195,0.00122,0.01485
CSSB00ITA,EURA14,2006-07-01 11:59:00,0.00102,0.00387,0.01408,0.00102,0.00387,0.01408
CSSB00ITA,EURA14,2006-07-02 11:59:00,-0.00052,-3e-05,0.01118,-0.00052,-3e-05,0.01118
CSSB00ITA,EURA14,2006-07-03 11:59:00,0.0019,0.00123,0.01056,0.0019,0.00123,0.01056
CSSB00ITA,EURA14,2006-07-04 11:59:00,0.00079,0.00104,0.01338,0.00079,0.00104,0.01338
CSSB00ITA,EURA14,2006-07-05 11:59:00,0.00198,0.00347,0.00803,0.00198,0.00347,0.00803
CSSB00ITA,EURA14,2006-07-06 11:59:00,-0.00141,0.00356,0.00914,-0.00141,0.00356,0.00914
CSSB00ITA,EURA14,2006-07-07 11:59:00,-0.0009,0.00527,0.00963,-0.0009,0.00527,0.00963
CSSB00ITA,EURA14,2006-07-08 11:59:00,0.0013,0.00242,0.00436,0.0013,0.00242,0.00436
CSSB00ITA,EURA14,2006-07-09 11:59:00,0.00184,0.00332,0.01664,0.00184,0.00332,0.01664
CSSB00ITA,EURA14,2006-07-10 11:59:00,0.00113,0.00356,0.00645,0.00113,0.00356,0.00645
CSSB00ITA,EURA14,2006-07-11 11:59:00,-0.00189,0.00341,0.01061,-0.00189,0.00341,0.01061
CSSB00ITA,EURA14,2006-07-12 11:59:00,-0.00291,0.00251,-0.00202,-0.00291,0.00251,-0.00202
CSSB00ITA,EURA14,2006-07-13 11:59:00,0.00032,0.00245,0.00438,0.00032,0.00245,0.00438
CSSB00ITA,EURA14,2006-07-14 11:59:00,0.00159,0.00323,0.01383,0.00159,0.00323,0.01383
CSSB00ITA,EURA14,2006-07-15 11:59:00,-0.00025,0.00459,0.01237,-0.00025,0.00459,0.01237
CSSB00ITA,EURA14,2006-07-16 11:59:00,0.00094,0.00369,0.01422,0.00094,0.00369,0.01422
CSSB00ITA,EURA14,2006-07-17 11:59:00,-0.00024,0.0034,0.0146,-0.00024,0.0034,0.0146
CSSB00ITA,EURA14,2006-07-18 11:59:00,-0.00147,0.00203,0.00736,-0.00147,0.00203,0.00736
CSSB00ITA,EURA14,2006-07-19 11:59:00,0.00172,0.00205,0.00856,0.00172,0.00205,0.00856
CSSB00ITA,EURA14,2006-07-20 11:59:00,-0.00124,0.00358,0.00922,-0.00124,0.00358,0.00922
CSSB00ITA,EURA14,2006-07-21 11:59:00,-6e-05,0.00289,0.01245,-6e-05,0.00289,0.01245
CSSB00ITA,EURA14,2006-07-22 11:59:00,-0.00016,0.00298,0.00702,-0.00016,0.00298,0.00702
CSSB00ITA,EURA14,2006-07-23 11:59:00,0.00142,0.00393,0.00522,0.00142,0.00393,0.00522
CSSB00ITA,EURA14,2006-07-24 11:59:00,-0.00108,0.00279,0.01705,-0.00108,0.00279,0.01705
CSSB00ITA,EURA14,2006-07-25 11:59:00,-0.00155,0.00259,0.01379,-0.00155,0.00259,0.01379
CSSB00ITA,EURA14,2006-07-26 11:59:00,-0.00055,0.0023,0.00559,-0.00055,0.0023,0.00559
CSSB00ITA,EURA14,2006-07-27 11:59:00,-0.00044,0.00196,0.00283,-0.00044,0.00196,0.00283
CSSB00ITA,EURA14,2006-07-28 11:59:00,0.00042,0.00275,0.0072,0.00042,0.00275,0.0072
CSSB00ITA,EURA14,2006-07-29 11:59:00,-0.00111,0.00223,0.00956,-0.00111,0.00223,0.00956
CSSB00ITA,EURA14,2006-07-30 11:59:00,-0.00092,0.00221,0.00852,-0.00092,0.00221,0.00852
CSSB00ITA,EURA14,2006-07-31 11:59:00,0.00157,0.00309,0.00738,0.00157,0.00309,0.00738
CSSB00ITA,EURA14,2006-08-01 11:59:00,0.00311,0.00396,0.01312,0.00311,0.00396,0.01312
CSSB00ITA,EURA14,2006-08-02 11:59:00,0.00036,0.0016,0.01572,0.00036,0.0016,0.01572
CSSB00ITA,EURA14,2006-08-03 11:59:00,0.00325,0.00183,0.01378,0.00325,0.00183,0.01378
CSSB00ITA,EURA14,2006-08-04 11:59:00,0.00022,0.00183,0.01157,0.00022,0.00183,0.01157
CSSB00ITA,EURA14,2006-08-05 11:59:00,0.00161,0.00521,0.00804,0.00161,0.00521,0.00804
CSSB00ITA,EURA14,2006-08-06 11:59:00,-0.0008,0.00397,0.01342,-0.0008,0.00397,0.01342
CSSB00ITA,EURA14,2006-08-07 11:59:00,0.002,0.00284,0.01161,0.002,0.00284,0.01161
CSSB00ITA,EURA14,2006-08-08 11:59:00,-0.0004,0.00277,0.01308,-0.0004,0.00277,0.01308
CSSB00ITA,EURA14,2006-08-09 11:59:00,0.00182,0.00422,0.01111,0.00182,0.00422,0.01111
CSSB00ITA,EURA14,2006-08-10 11:59:00,-0.00172,0.0022,0.01302,-0.00172,0.0022,0.01302
CSSB00ITA,EURA14,2006-08-11 11:59:00,-0.0005,0.00335,0.00884,-0.0005,0.00335,0.00884
CSSB00ITA,EURA14,2006-08-12 11:59:00,-0.00315,0.00244,0.00946,-0.00315,0.00244,0.00946
CSSB00ITA,EURA14,2006-08-13 11:59:00,-0.00028,0.00281,0.01271,-0.00028,0.00281,0.01271
CSSB00ITA,EURA14,2006-08-14 11:59:00,-0.00012,0.00259,0.00507,-0.00012,0.00259,0.00507
CSSB00ITA,EURA14,2006-08-15 11:59:00,-0.00025,0.00238,0.00633,-0.00025,0.00238,0.00633
CSSB00ITA,EURA14,2006-08-16 11:59:00,-0.00332,0.00217,0.01252,-0.00332,0.00217,0.01252
CSSB00ITA,EURA14,2006-08-17 11:59:00,-0.00225,0.00445,0.00811,-0.00225,0.00445,0.00811
CSSB00ITA,EURA14,2006-08-18 11:59:00,-0.00065,0.0046,0.00678,-0.00065,0.0046,0.00678
CSSB00ITA,EURA14,2006-08-19 11:59:00,-0.00059,0.00343,0.012,-0.00059,0.00343,0.012
CSSB00ITA,EURA14,2006-08-20 11:59:00,-0.00097,0.00427,0.00715,-0.00097,0.00427,0.00715
CSSB00ITA,EURA14,2006-08-21 11:59:00,-0.00039,0.00326,0.01084,-0.00039,0.00326,0.01084
CSSB00ITA,EURA14,2006-08-22 11:59:00,-0.00027,0.00392,0.0068,-0.00027,0.00392,0.0068
CSSB00ITA,EURA14,2006-08-23 11:59:00,-0.00055,0.0024,0.01532,-0.00055,0.0024,0.01532
