marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
CVTV00ITA,EURA14,2012-05-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
CVTV00ITA,EURA14,2012-05-25 11:59:00,0.00107,-0.00109,-0.00344,0.00107,-0.00109,-0.00344
CVTV00ITA,EURA14,2012-05-26 11:59:00,0.00063,-0.00218,0.00683,0.00063,-0.00218,0.00683
CVTV00ITA,EURA14,2012-05-27 11:59:00,0.00107,0.0003,0.00281,0.00107,0.0003,0.00281
CVTV00ITA,EURA14,2012-05-28 11:59:00,0.00157,-0.00231,0.00292,0.00157,-0.00231,0.00292
CVTV00ITA,EURA14,2012-05-29 11:59:00,0.00183,-0.0018,0.00344,0.00183,-0.0018,0.00344
CVTV00ITA,EURA14,2012-05-30 11:59:00,0.00145,-0.00176,0.00303,0.00145,-0.00176,0.00303
CVTV00ITA,EURA14,2012-05-31 11:59:00,0.0012,-0.0015,0.00056,0.0012,-0.0015,0.00056
CVTV00ITA,EURA14,2012-06-01 11:59:00,0.00065,-0.00139,0.00922,0.00065,-0.00139,0.00922
CVTV00ITA,EURA14,2012-06-02 11:59:00,0.00214,-0.00176,-0.00169,0.00214,-0.00176,-0.00169
CVTV00ITA,EURA14,2012-06-03 11:59:00,0.0019,-0.00195,0.00576,0.0019,-0.00195,0.00576
CVTV00ITA,EURA14,2012-06-04 11:59:00,0.00142,-0.00164,0.00407,0.00142,-0.00164,0.00407
CVTV00ITA,EURA14,2012-06-05 11:59:00,0.00135,-0.00189,0.00899,0.00135,-0.00189,0.00899
CVTV00ITA,EURA14,2012-06-06 11:59:00,0.00327,-0.00096,-0.00666,0.00327,-0.00096,-0.00666
CVTV00ITA,EURA14,2012-06-07 11:59:00,0.00169,-0.00097,-0.00234,0.00169,-0.00097,-0.00234
CVTV00ITA,EURA14,2012-06-08 11:59:00,0.00183,-0.00086,0.00498,0.00183,-0.00086,0.00498
CVTV00ITA,EURA14,2012-06-09 11:59:00,-0.00039,-0.00033,0.00585,-0.00039,-0.00033,0.00585
CVTV00ITA,EURA14,2012-06-10 11:59:00,0.00086,-0.00043,0.00199,0.00086,-0.00043,0.00199
CVTV00ITA,EURA14,2012-06-11 11:59:00,0.00272,-0.00235,0.01095,0.00272,-0.00235,0.01095
CVTV00ITA,EURA14,2012-06-12 11:59:00,0.00044,-0.00112,0.01246,0.00044,-0.00112,0.01246
CVTV00ITA,EURA14,2012-06-13 11:59:00,0.00107,-0.00133,0.00629,0.00107,-0.00133,0.00629
CVTV00ITA,EURA14,2012-06-14 11:59:00,0.00265,0.00065,0.00453,0.00265,0.00065,0.00453
CVTV00ITA,EURA14,2012-06-15 11:59:00,0.00116,-0.00149,0.00683,0.00116,-0.00149,0.00683
CVTV00ITA,EURA14,2012-06-16 11:59:00,0.00134,-0.00064,0.00624,0.00134,-0.00064,0.00624
CVTV00ITA,EURA14,2012-06-17 11:59:00,0.0001,-0.00015,0.00438,0.0001,-0.00015,0.00438
CVTV00ITA,EURA14,2012-06-18 11:59:00,-0.00122,-0.00167,-0.00098,-0.00122,-0.00167,-0.00098
CVTV00ITA,EURA14,2012-06-19 11:59:00,-0.00023,-0.00094,0.00194,-0.00023,-0.00094,0.00194
CVTV00ITA,EURA14,2012-06-20 11:59:00,-0.00037,-0.00085,0.00273,-0.00037,-0.00085,0.00273
CVTV00ITA,EURA14,2012-06-21 11:59:00,-0.00015,-0.00138,0.00723,-0.00015,-0.00138,0.00723
CVTV00ITA,EURA14,2012-06-22 11:59:00,0.0012,-0.00104,0.00445,0.0012,-0.00104,0.00445
CVTV00ITA,EURA14,2012-06-23 11:59:00,-0.00026,-0.00112,0.00711,-0.00026,-0.00112,0.00711
CVTV00ITA,EURA14,2012-06-24 11:59:00,0.00124,-0.00134,0.00717,0.00124,-0.00134,0.00717
CVTV00ITA,EURA14,2012-06-25 11:59:00,5e-05,-0.00157,0.00713,5e-05,-0.00157,0.00713
CVTV00ITA,EURA14,2012-06-26 11:59:00,0.00018,-0.00195,0.00187,0.00018,-0.00195,0.00187
CVTV00ITA,EURA14,2012-06-27 11:59:00,-0.0003,-0.00152,0.00487,-0.0003,-0.00152,0.00487
CVTV00ITA,EURA14,2012-06-28 11:59:00,-0.00116,-0.0003,0.00411,-0.00116,-0.0003,0.00411
CVTV00ITA,EURA14,2012-06-29 11:59:00,0.00013,-0.00333,0.00361,0.00013,-0.00333,0.00361
CVTV00ITA,EURA14,2012-06-30 11:59:00,-0.00037,-0.0019,0.00081,-0.00037,-0.0019,0.00081
CVTV00ITA,EURA14,2012-09-18 11:59:00,0.00073,-0.00313,0.0025,0.0006735262319919298,-0.0002470314788690364,-0.0006814813970548116
CVTV00ITA,EURA14,2012-09-19 11:59:00,-0.0007,-0.00283,0.00663,-0.0007564737680080701,5.2968521130963495e-05,0.003448518602945188
CVTV00ITA,EURA14,2012-09-20 11:59:00,0.00088,-0.00288,0.0012,0.0008235262319919299,2.9685211309633634e-06,-0.001981481397054812
CVTV00ITA,EURA14,2012-09-21 11:59:00,0.00069,-0.00165,0.00327,0.0006335262319919298,0.0012329685211309636,8.851860294518824e-05
CVTV00ITA,EURA14,2012-09-22 11:59:00,0.00017,-0.00289,0.00427,0.0001135262319919299,-7.031478869036663e-06,0.0010885186029451887
CVTV00ITA,EURA14,2012-09-23 11:59:00,0.00039,-0.00227,0.00521,0.0003335262319919299,0.0006129685211309637,0.0020285186029451886
CVTV00ITA,EURA14,2012-09-24 11:59:00,-0.00176,-0.00377,0.01285,-0.0018164737680080702,-0.0008870314788690364,0.009668518602945188
CVTV00ITA,EURA14,2012-09-25 11:59:00,-0.00034,-0.00298,0.00618,-0.0003964737680080701,-9.703147886903647e-05,0.002998518602945188
CVTV00ITA,EURA14,2012-09-26 11:59:00,0.00127,-0.00214,0.00551,0.00121352623199193,0.0007429685211309636,0.0023285186029451885
CVTV00ITA,EURA14,2012-09-27 11:59:00,0.00076,-0.00332,0.00163,0.0007035262319919299,-0.0004370314788690365,-0.0015514813970548117
CVTV00ITA,EURA14,2012-09-28 11:59:00,-0.0002,-0.00324,0.00306,-0.0002564737680080701,-0.0003570314788690363,-0.00012148139705481188
CVTV00ITA,EURA14,2012-09-29 11:59:00,6e-05,-0.00215,0.00661,3.5262319919298913e-06,0.0007329685211309635,0.0034285186029451888
CVTV00ITA,EURA14,2012-09-30 11:59:00,-0.00129,-0.00224,0.01532,-0.00134647376800807,0.0006429685211309637,0.012138518602945188
CVTV00ITA,EURA14,2012-10-01 11:59:00,0.00152,-0.00249,0.00498,0.00146352623199193,0.0003929685211309635,0.0017985186029451884
CVTV00ITA,EURA14,2012-10-02 11:59:00,0.00025,-0.00173,0.00339,0.0001935262319919299,0.0011529685211309636,0.00020851860294518812
CVTV00ITA,EURA14,2012-10-03 11:59:00,0.00085,-0.00245,0.00425,0.0007935262319919298,0.0004329685211309636,0.0010685186029451886
CVTV00ITA,EURA14,2012-10-04 11:59:00,0.00103,-0.00269,0.00701,0.00097352623199193,0.00019296852113096343,0.003828518602945188
CVTV00ITA,EURA14,2012-10-05 11:59:00,0.00066,-0.00279,-0.00015,0.0006035262319919299,9.29685211309636e-05,-0.0033314813970548116
CVTV00ITA,EURA14,2012-10-06 11:59:00,0.00087,-0.00296,0.00528,0.0008135262319919299,-7.703147886903641e-05,0.0020985186029451883
CVTV00ITA,EURA14,2012-10-07 11:59:00,0.00044,-0.00222,0.00899,0.0003835262319919299,0.0006629685211309634,0.005808518602945188
CVTV00ITA,EURA14,2012-10-08 11:59:00,8e-05,-0.00288,0.0028,2.3526231991929896e-05,2.9685211309633634e-06,-0.0003814813970548117
CVTV00ITA,EURA14,2012-10-09 11:59:00,0.00056,-0.00172,0.00415,0.0005035262319919298,0.0011629685211309636,0.0009685186029451884
CVTV00ITA,EURA14,2012-10-10 11:59:00,0.00083,-0.00232,0.00699,0.0007735262319919299,0.0005629685211309635,0.003808518602945188
CVTV00ITA,EURA14,2012-10-11 11:59:00,0.00049,-0.00165,0.00897,0.0004335262319919299,0.0012329685211309636,0.005788518602945189
CVTV00ITA,EURA14,2012-10-12 11:59:00,0.00165,-0.00316,0.00661,0.0015935262319919298,-0.0002770314788690365,0.0034285186029451888
CVTV00ITA,EURA14,2012-10-13 11:59:00,0.00047,-0.00079,0.00644,0.0004135262319919299,0.0020929685211309636,0.0032585186029451887
CVTV00ITA,EURA14,2012-10-14 11:59:00,0.00219,-0.00083,0.00332,0.00213352623199193,0.0020529685211309635,0.00013851860294518837
CVTV00ITA,EURA14,2012-10-15 11:59:00,1e-05,-0.00238,0.00457,-4.647376800807011e-05,0.0005029685211309634,0.0013885186029451886
CVTV00ITA,EURA14,2012-10-16 11:59:00,0.00092,-0.00168,-0.00089,0.0008635262319919299,0.0012029685211309635,-0.004071481397054812
CVTV00ITA,EURA14,2012-10-17 11:59:00,0.00219,-0.00186,0.00235,0.00213352623199193,0.0010229685211309634,-0.0008314813970548116
CVTV00ITA,EURA14,2012-10-18 11:59:00,0.00112,-0.00245,0.00143,0.0010635262319919298,0.0004329685211309636,-0.0017514813970548116
CVTV00ITA,EURA14,2012-10-19 11:59:00,0.00139,-0.00226,0.00048,0.0013335262319919298,0.0006229685211309637,-0.0027014813970548117
