marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ELPD00ITA,EURA14,2015-10-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ELPD00ITA,EURA14,2015-10-29 11:59:00,0.00039,4e-05,-0.00387,0.00039,4e-05,-0.00387
ELPD00ITA,EURA14,2015-10-30 11:59:00,-0.00075,0.00131,-0.0014,-0.00075,0.00131,-0.0014
ELPD00ITA,EURA14,2015-10-31 11:59:00,0.00017,0.00114,-0.00174,0.00017,0.00114,-0.00174
ELPD00ITA,EURA14,2015-11-01 11:59:00,0.00135,0.00145,-0.00428,0.00135,0.00145,-0.00428
ELPD00ITA,EURA14,2015-11-02 11:59:00,0.00088,0.0014,-0.00355,0.00088,0.0014,-0.00355
ELPD00ITA,EURA14,2015-11-03 11:59:00,-0.00025,0.00083,-8e-05,-0.00025,0.00083,-8e-05
ELPD00ITA,EURA14,2015-11-04 11:59:00,-0.00031,0.00086,-0.0012,-0.00031,0.00086,-0.0012
ELPD00ITA,EURA14,2015-11-07 11:59:00,-0.00144,0.00219,-0.00095,-0.00144,0.00219,-0.00095
ELPD00ITA,EURA14,2015-11-08 11:59:00,-0.00031,0.00153,-0.00502,-0.00031,0.00153,-0.00502
ELPD00ITA,EURA14,2015-11-09 11:59:00,0.0001,0.00211,4e-05,0.0001,0.00211,4e-05
ELPD00ITA,EURA14,2015-11-10 11:59:00,-1e-05,0.0016,0.00176,-1e-05,0.0016,0.00176
ELPD00ITA,EURA14,2015-11-11 11:59:00,-0.0017,0.00227,0.00073,-0.0017,0.00227,0.00073
ELPD00ITA,EURA14,2015-11-12 11:59:00,-0.00133,0.00255,0.00153,-0.00133,0.00255,0.00153
ELPD00ITA,EURA14,2015-11-13 11:59:00,-0.0016,0.00188,0.00439,-0.0016,0.00188,0.00439
ELPD00ITA,EURA14,2015-11-14 11:59:00,-0.0027,0.00272,0.00487,-0.0027,0.00272,0.00487
ELPD00ITA,EURA14,2015-11-15 11:59:00,-0.00091,0.00171,0.00502,-0.00091,0.00171,0.00502
ELPD00ITA,EURA14,2015-11-16 11:59:00,-0.00189,0.0037,0.00788,-0.00189,0.0037,0.00788
ELPD00ITA,EURA14,2015-11-17 11:59:00,-0.00057,0.00255,0.00323,-0.00057,0.00255,0.00323
ELPD00ITA,EURA14,2015-11-18 11:59:00,-0.00113,0.0018,0.00483,-0.00113,0.0018,0.00483
ELPD00ITA,EURA14,2015-11-19 11:59:00,-0.0014,0.00225,0.00491,-0.0014,0.00225,0.00491
ELPD00ITA,EURA14,2015-11-20 11:59:00,0.00016,0.00205,0.00454,0.00016,0.00205,0.00454
