marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FALL00ITA,EURA14,2016-06-29 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FALL00ITA,EURA14,2016-06-30 11:59:00,-0.00074,0.00183,0.00348,-0.00074,0.00183,0.00348
FALL00ITA,EURA14,2016-07-01 11:59:00,-0.00098,0.00102,0.00808,-0.00098,0.00102,0.00808
FALL00ITA,EURA14,2016-07-02 11:59:00,-0.00521,0.006,0.00236,-0.00521,0.006,0.00236
FALL00ITA,EURA14,2016-07-03 11:59:00,-0.00253,0.00315,0.00141,-0.00253,0.00315,0.00141
FALL00ITA,EURA14,2016-07-04 11:59:00,-0.00266,-6e-05,0.00081,-0.00266,-6e-05,0.00081
FALL00ITA,EURA14,2016-07-05 11:59:00,9e-05,0.00017,-0.01008,9e-05,0.00017,-0.01008
FALL00ITA,EURA14,2016-07-06 11:59:00,-0.00074,0.00142,0.00651,-0.00074,0.00142,0.00651
FALL00ITA,EURA14,2016-07-07 11:59:00,0.00099,0.00208,-0.00461,0.00099,0.00208,-0.00461
FALL00ITA,EURA14,2016-07-08 11:59:00,-0.00163,0.00343,-0.00243,-0.00163,0.00343,-0.00243
FALL00ITA,EURA14,2016-07-09 11:59:00,-0.00115,0.00045,0.00102,-0.00115,0.00045,0.00102
FALL00ITA,EURA14,2016-07-10 11:59:00,-0.00012,0.00177,-0.01006,-0.00012,0.00177,-0.01006
FALL00ITA,EURA14,2016-07-11 11:59:00,0.00063,0.00135,0.00349,0.00063,0.00135,0.00349
FALL00ITA,EURA14,2016-07-12 11:59:00,-0.00296,0.00059,0.02215,-0.00296,0.00059,0.02215
FALL00ITA,EURA14,2016-07-13 11:59:00,-0.0015,-0.00243,-0.0022,-0.0015,-0.00243,-0.0022
FALL00ITA,EURA14,2016-07-14 11:59:00,-0.0016,0.00155,0.00774,-0.0016,0.00155,0.00774
FALL00ITA,EURA14,2016-07-15 11:59:00,-0.00124,0.00202,0.01221,-0.00124,0.00202,0.01221
FALL00ITA,EURA14,2016-07-16 11:59:00,-0.00378,0.0025,0.00572,-0.00378,0.0025,0.00572
FALL00ITA,EURA14,2016-07-17 11:59:00,-0.00183,0.00256,0.00453,-0.00183,0.00256,0.00453
FALL00ITA,EURA14,2016-07-18 11:59:00,-0.0015,0.0014,-0.0006,-0.0015,0.0014,-0.0006
FALL00ITA,EURA14,2016-07-19 11:59:00,-0.00304,0.00326,-0.00153,-0.00304,0.00326,-0.00153
FALL00ITA,EURA14,2016-07-20 11:59:00,-0.00021,0.00132,-0.00192,-0.00021,0.00132,-0.00192
FALL00ITA,EURA14,2016-07-21 11:59:00,-0.00214,0.00205,-0.00579,-0.00214,0.00205,-0.00579
FALL00ITA,EURA14,2016-07-22 11:59:00,-0.00238,0.00242,-0.00279,-0.00238,0.00242,-0.00279
FALL00ITA,EURA14,2016-07-23 11:59:00,-0.00546,0.00224,0.00365,-0.00546,0.00224,0.00365
FALL00ITA,EURA14,2016-07-24 11:59:00,-0.00287,0.00188,0.00208,-0.00287,0.00188,0.00208
FALL00ITA,EURA14,2016-07-25 11:59:00,-0.00287,0.00177,-0.00344,-0.00287,0.00177,-0.00344
FALL00ITA,EURA14,2016-07-26 11:59:00,-0.00012,0.00207,-0.00474,-0.00012,0.00207,-0.00474
FALL00ITA,EURA14,2016-07-27 11:59:00,-0.00171,0.00098,1e-05,-0.00171,0.00098,1e-05
FALL00ITA,EURA14,2016-07-28 11:59:00,-0.00188,0.00098,-0.00028,-0.00188,0.00098,-0.00028
FALL00ITA,EURA14,2016-07-29 11:59:00,-0.00032,-0.00145,-0.00181,-0.00032,-0.00145,-0.00181
FALL00ITA,EURA14,2016-07-30 11:59:00,0.00035,0.00034,-0.00136,0.00035,0.00034,-0.00136
FALL00ITA,EURA14,2016-07-31 11:59:00,0.00474,-0.00296,0.01425,0.00474,-0.00296,0.01425
FALL00ITA,EURA14,2016-08-01 11:59:00,-0.00266,0.00136,0.01549,-0.00266,0.00136,0.01549
FALL00ITA,EURA14,2016-08-02 11:59:00,-0.00125,0.00103,0.00825,-0.00125,0.00103,0.00825
FALL00ITA,EURA14,2016-08-03 11:59:00,-0.00055,-0.00064,0.00773,-0.00055,-0.00064,0.00773
FALL00ITA,EURA14,2016-08-04 11:59:00,-0.00169,0.00094,-0.00176,-0.00169,0.00094,-0.00176
