marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FIAN00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FIAN00ITA,EURA14,2012-01-21 11:59:00,0.0006,1e-05,-0.00253,0.0006,1e-05,-0.00253
FIAN00ITA,EURA14,2012-01-22 11:59:00,0.00148,-0.00033,0.00124,0.00148,-0.00033,0.00124
FIAN00ITA,EURA14,2012-01-23 11:59:00,0.00145,-0.00021,-0.00053,0.00145,-0.00021,-0.00053
FIAN00ITA,EURA14,2012-01-24 11:59:00,0.00124,0.00064,-0.00063,0.00124,0.00064,-0.00063
FIAN00ITA,EURA14,2012-01-25 11:59:00,-0.00122,0.00189,-0.00443,-0.00122,0.00189,-0.00443
FIAN00ITA,EURA14,2012-01-26 11:59:00,0.00126,0.00017,-0.0073,0.00126,0.00017,-0.0073
FIAN00ITA,EURA14,2012-01-27 11:59:00,0.00119,0.000375,-0.005765,0.00119,0.000375,-0.005765
FIAN00ITA,EURA14,2012-01-28 11:59:00,0.00112,0.00058,-0.00423,0.00112,0.00058,-0.00423
FIAN00ITA,EURA14,2012-01-29 11:59:00,0.00134,0.00136,-0.00202,0.00134,0.00136,-0.00202
FIAN00ITA,EURA14,2012-01-30 11:59:00,-0.00042,0.00096,-0.00219,-0.00042,0.00096,-0.00219
FIAN00ITA,EURA14,2012-01-31 11:59:00,0.00142,0.00039,-0.00079,0.00142,0.00039,-0.00079
FIAN00ITA,EURA14,2012-02-01 11:59:00,-5e-05,0.00041,0.00022,-5e-05,0.00041,0.00022
FIAN00ITA,EURA14,2012-02-02 11:59:00,0.00223,0.00011,-0.0002,0.00223,0.00011,-0.0002
FIAN00ITA,EURA14,2012-02-03 11:59:00,-0.0006049999999999996,-0.0038800000000000006,0.00064,-0.0006049999999999996,-0.0038800000000000006,0.00064
FIAN00ITA,EURA14,2012-02-04 11:59:00,-0.00344,-0.00787,0.00148,-0.00344,-0.00787,0.00148
FIAN00ITA,EURA14,2012-02-05 11:59:00,-0.00035,-0.0033,-0.00047,-0.00035,-0.0033,-0.00047
FIAN00ITA,EURA14,2012-02-06 11:59:00,0.00136,0.00136,0.00021,0.00136,0.00136,0.00021
FIAN00ITA,EURA14,2012-02-07 11:59:00,0.00046,0.00113,0.00382,0.00046,0.00113,0.00382
FIAN00ITA,EURA14,2012-02-08 11:59:00,0.00131,0.00078,-0.0023,0.00131,0.00078,-0.0023
FIAN00ITA,EURA14,2012-02-09 11:59:00,0.00197,0.00018,-0.00436,0.00197,0.00018,-0.00436
FIAN00ITA,EURA14,2012-02-10 11:59:00,-0.00177,0.00121,-0.00463,-0.00177,0.00121,-0.00463
FIAN00ITA,EURA14,2012-02-11 11:59:00,0.00499,-0.00053,-0.00652,0.00499,-0.00053,-0.00652
FIAN00ITA,EURA14,2012-02-12 11:59:00,0.00276,-0.00134,-0.004,0.00276,-0.00134,-0.004
FIAN00ITA,EURA14,2012-02-13 11:59:00,0.00205,-0.00064,-0.00435,0.00205,-0.00064,-0.00435
FIAN00ITA,EURA14,2012-02-16 11:59:00,0.00038,-0.00053,-0.00388,0.00038,-0.00053,-0.00388
FIAN00ITA,EURA14,2012-02-17 11:59:00,0.0001,0.00022,-0.00501,0.0001,0.00022,-0.00501
FIAN00ITA,EURA14,2012-02-18 11:59:00,0.00181,-0.00088,-0.00884,0.00181,-0.00088,-0.00884
FIAN00ITA,EURA14,2012-02-19 11:59:00,0.00173,-0.00161,-0.00384,0.00173,-0.00161,-0.00384
FIAN00ITA,EURA14,2012-02-20 11:59:00,0.00174,-0.00106,0.00039,0.00174,-0.00106,0.00039
FIAN00ITA,EURA14,2012-02-21 11:59:00,0.00073,-0.00066,-0.00454,0.00073,-0.00066,-0.00454
FIAN00ITA,EURA14,2012-02-22 11:59:00,0.00085,-0.00036,-0.00875,0.00085,-0.00036,-0.00875
FIAN00ITA,EURA14,2012-02-23 11:59:00,-0.00017,4e-05,-0.00203,-0.00017,4e-05,-0.00203
FIAN00ITA,EURA14,2012-02-24 11:59:00,0.00143,-0.00141,-0.00021,0.00143,-0.00141,-0.00021
FIAN00ITA,EURA14,2012-02-25 11:59:00,0.00141,-0.00102,-3e-05,0.00141,-0.00102,-3e-05
FIAN00ITA,EURA14,2012-02-26 11:59:00,0.00192,-0.00042,0.00095,0.00192,-0.00042,0.00095
FIAN00ITA,EURA14,2012-02-27 11:59:00,0.00105,0.00084,-0.00571,0.00105,0.00084,-0.00571
FIAN00ITA,EURA14,2012-02-28 11:59:00,0.00105,-0.00031,-0.00258,0.00105,-0.00031,-0.00258
FIAN00ITA,EURA14,2012-02-29 11:59:00,0.00145,-0.00086,0.00079,0.00145,-0.00086,0.00079
FIAN00ITA,EURA14,2012-03-01 11:59:00,0.00066,-0.00027,0.00081,0.00066,-0.00027,0.00081
FIAN00ITA,EURA14,2012-03-02 11:59:00,0.00165,-0.0017,-0.00203,0.00165,-0.0017,-0.00203
FIAN00ITA,EURA14,2012-03-03 11:59:00,0.00107,-0.00129,-0.00542,0.00107,-0.00129,-0.00542
FIAN00ITA,EURA14,2012-03-04 11:59:00,2e-05,-0.00019,-0.0016,2e-05,-0.00019,-0.0016
FIAN00ITA,EURA14,2012-03-05 11:59:00,4e-05,-0.00049,-0.0025,4e-05,-0.00049,-0.0025
FIAN00ITA,EURA14,2012-03-06 11:59:00,0.00061,-0.00053,-0.00229,0.00061,-0.00053,-0.00229
FIAN00ITA,EURA14,2012-03-07 11:59:00,0.000915,-0.00047999999999999996,-0.002885,0.000915,-0.00047999999999999996,-0.002885
FIAN00ITA,EURA14,2012-03-08 11:59:00,0.00122,-0.00043,-0.00348,0.00122,-0.00043,-0.00348
FIAN00ITA,EURA14,2012-03-09 11:59:00,0.00147,-0.00071,-0.00353,0.00147,-0.00071,-0.00353
FIAN00ITA,EURA14,2012-03-10 11:59:00,0.00189,-0.00048,-0.00603,0.00189,-0.00048,-0.00603
FIAN00ITA,EURA14,2012-03-11 11:59:00,0.000405,0.0010150000000000003,-0.0049499999999999995,0.000405,0.0010150000000000003,-0.0049499999999999995
FIAN00ITA,EURA14,2012-03-12 11:59:00,-0.00108,0.00251,-0.00387,-0.00108,0.00251,-0.00387
FIAN00ITA,EURA14,2012-03-13 11:59:00,0.00092,-0.00063,-0.00547,0.00092,-0.00063,-0.00547
FIAN00ITA,EURA14,2012-03-14 11:59:00,0.00184,-0.00051,-0.00418,0.00184,-0.00051,-0.00418
FIAN00ITA,EURA14,2012-03-15 11:59:00,0.00215,-0.00107,-0.0046,0.00215,-0.00107,-0.0046
FIAN00ITA,EURA14,2012-03-16 11:59:00,0.00199,-0.00041,-0.00951,0.00199,-0.00041,-0.00951
FIAN00ITA,EURA14,2012-03-17 11:59:00,0.002155,-0.000985,-0.007634999999999999,0.002155,-0.000985,-0.007634999999999999
FIAN00ITA,EURA14,2012-03-18 11:59:00,0.00232,-0.00156,-0.00576,0.00232,-0.00156,-0.00576
FIAN00ITA,EURA14,2012-03-19 11:59:00,0.00201,-0.00073,-0.00246,0.00201,-0.00073,-0.00246
FIAN00ITA,EURA14,2012-04-05 11:59:00,0.00078,-0.00173,0.00209,0.00017356321839080474,-0.0017985919540229884,0.0024574233716475103
FIAN00ITA,EURA14,2012-04-06 11:59:00,0.00228,-0.0012,0.00317,0.0016735632183908047,-0.0012685919540229883,0.0035374233716475106
FIAN00ITA,EURA14,2012-04-07 11:59:00,0.0011,-0.0022,-0.00501,0.0004935632183908048,-0.0022685919540229886,-0.004642576628352489
FIAN00ITA,EURA14,2012-04-08 11:59:00,0.0019,6e-05,-0.00198,0.0012935632183908048,-8.591954022988436e-06,-0.0016125766283524895
FIAN00ITA,EURA14,2012-04-09 11:59:00,0.00124,-0.00143,-0.00376,0.0006335632183908048,-0.0014985919540229885,-0.0033925766283524894
FIAN00ITA,EURA14,2012-04-14 11:59:00,0.00132,-0.00049,-0.00326,0.0007135632183908047,-0.0005585919540229884,-0.0028925766283524894
FIAN00ITA,EURA14,2012-04-15 11:59:00,0.00175,0.00028,-0.00843,0.0011435632183908048,0.00021140804597701154,-0.00806257662835249
FIAN00ITA,EURA14,2012-04-16 11:59:00,0.00103,0.00083,-0.00478,0.00042356321839080485,0.0007614080459770116,-0.0044125766283524895
