marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FIUM00ITA,EURA14,2012-09-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FIUM00ITA,EURA14,2012-09-19 11:59:00,-0.00207,-0.00089,-0.00375,-0.00207,-0.00089,-0.00375
FIUM00ITA,EURA14,2012-09-20 11:59:00,-0.00119,-0.00101,-0.00661,-0.00119,-0.00101,-0.00661
FIUM00ITA,EURA14,2012-09-21 11:59:00,-0.0007,0.00023,-0.00418,-0.0007,0.00023,-0.00418
FIUM00ITA,EURA14,2012-09-22 11:59:00,-0.00057,-0.00044,-0.00137,-0.00057,-0.00044,-0.00137
FIUM00ITA,EURA14,2012-09-23 11:59:00,-0.0007,-0.00039,-0.0042,-0.0007,-0.00039,-0.0042
FIUM00ITA,EURA14,2012-09-24 11:59:00,-0.00239,-0.00223,0.00293,-0.00239,-0.00223,0.00293
FIUM00ITA,EURA14,2012-09-25 11:59:00,-0.00082,0.00047,0.00407,-0.00082,0.00047,0.00407
FIUM00ITA,EURA14,2012-09-26 11:59:00,-0.00073,-0.00116,-0.00296,-0.00073,-0.00116,-0.00296
FIUM00ITA,EURA14,2012-09-27 11:59:00,0.0002,-0.00103,-0.00107,0.0002,-0.00103,-0.00107
FIUM00ITA,EURA14,2012-09-28 11:59:00,-0.00089,0.00014,0.00014,-0.00089,0.00014,0.00014
FIUM00ITA,EURA14,2012-09-29 11:59:00,-0.00108,-0.00053,-0.00161,-0.00108,-0.00053,-0.00161
FIUM00ITA,EURA14,2012-09-30 11:59:00,-0.00044,-0.00111,-0.00902,-0.00044,-0.00111,-0.00902
FIUM00ITA,EURA14,2012-10-01 11:59:00,0.00064,-0.0002,-0.00893,0.00064,-0.0002,-0.00893
FIUM00ITA,EURA14,2012-10-02 11:59:00,-0.00069,-0.00085,-0.00565,-0.00069,-0.00085,-0.00565
FIUM00ITA,EURA14,2012-10-03 11:59:00,-0.00055,-0.00034,-0.0084,-0.00055,-0.00034,-0.0084
FIUM00ITA,EURA14,2012-10-04 11:59:00,-0.00091,-0.00027,-0.00939,-0.00091,-0.00027,-0.00939
FIUM00ITA,EURA14,2012-10-05 11:59:00,-0.00018,-0.00066,-0.00836,-0.00018,-0.00066,-0.00836
FIUM00ITA,EURA14,2012-10-06 11:59:00,-0.00055,-0.00089,-0.00795,-0.00055,-0.00089,-0.00795
FIUM00ITA,EURA14,2012-10-07 11:59:00,-0.0006,0.00088,-0.01446,-0.0006,0.00088,-0.01446
FIUM00ITA,EURA14,2012-10-08 11:59:00,-0.0001,-0.00017,-0.00455,-0.0001,-0.00017,-0.00455
FIUM00ITA,EURA14,2012-10-09 11:59:00,-0.00036,-0.00186,-0.00735,-0.00036,-0.00186,-0.00735
FIUM00ITA,EURA14,2012-10-10 11:59:00,-0.00083,-0.00103,-0.00681,-0.00083,-0.00103,-0.00681
FIUM00ITA,EURA14,2012-10-11 11:59:00,-0.00053,-0.00039,-0.00881,-0.00053,-0.00039,-0.00881
FIUM00ITA,EURA14,2012-10-12 11:59:00,0.00025,-0.00076,-0.00834,0.00025,-0.00076,-0.00834
FIUM00ITA,EURA14,2012-10-13 11:59:00,-0.00102,0.00031,-0.00399,-0.00102,0.00031,-0.00399
FIUM00ITA,EURA14,2012-10-14 11:59:00,-0.00018,-0.00075,-0.00704,-0.00018,-0.00075,-0.00704
FIUM00ITA,EURA14,2012-10-15 11:59:00,-0.00037,-0.00118,0.0059,-0.00037,-0.00118,0.0059
FIUM00ITA,EURA14,2012-10-16 11:59:00,-0.00054,-5e-05,-0.00379,-0.00054,-5e-05,-0.00379
FIUM00ITA,EURA14,2012-10-17 11:59:00,0.00036,-0.00058,-0.01066,0.00036,-0.00058,-0.01066
FIUM00ITA,EURA14,2012-10-18 11:59:00,0.00016,0.0004,-0.0145,0.00016,0.0004,-0.0145
FIUM00ITA,EURA14,2012-10-19 11:59:00,-0.00085,-0.00073,-0.0117,-0.00085,-0.00073,-0.0117
FIUM00ITA,EURA14,2012-10-20 11:59:00,0.00067,-0.00012,-0.01244,0.00067,-0.00012,-0.01244
FIUM00ITA,EURA14,2012-10-21 11:59:00,-0.00012,0.00128,-0.013,-0.00012,0.00128,-0.013
FIUM00ITA,EURA14,2012-10-22 11:59:00,-0.0008,2e-05,-0.0044,-0.0008,2e-05,-0.0044
FIUM00ITA,EURA14,2012-10-23 11:59:00,0.00021,9e-05,-0.01203,0.00021,9e-05,-0.01203
FIUM00ITA,EURA14,2012-10-24 11:59:00,0.00104,0.00012,-0.0145,0.00104,0.00012,-0.0145
FIUM00ITA,EURA14,2012-10-25 11:59:00,-0.00031,-0.00113,-0.00543,-0.00031,-0.00113,-0.00543
FIUM00ITA,EURA14,2012-10-26 11:59:00,0.00038,-0.00118,-0.00875,0.00038,-0.00118,-0.00875
FIUM00ITA,EURA14,2012-10-27 11:59:00,-0.00261,-0.0006,0.00751,-0.00261,-0.0006,0.00751
FIUM00ITA,EURA14,2012-10-28 11:59:00,4e-05,6e-05,0.00696,4e-05,6e-05,0.00696
FIUM00ITA,EURA14,2012-10-29 11:59:00,0.00045,0.00132,-0.00454,0.00045,0.00132,-0.00454
FIUM00ITA,EURA14,2012-10-30 11:59:00,0.00104,0.00067,-0.00644,0.00104,0.00067,-0.00644
FIUM00ITA,EURA14,2012-10-31 11:59:00,-0.00087,-0.0023,-0.00165,-0.00087,-0.0023,-0.00165
FIUM00ITA,EURA14,2012-11-01 11:59:00,0.00197,-0.00042,-0.00219,0.00197,-0.00042,-0.00219
FIUM00ITA,EURA14,2012-11-02 11:59:00,0.00081,7e-05,-0.00517,0.00081,7e-05,-0.00517
FIUM00ITA,EURA14,2012-11-03 11:59:00,-0.00185,-0.00029,-0.01022,-0.00185,-0.00029,-0.01022
FIUM00ITA,EURA14,2012-11-04 11:59:00,-0.00221,-5.499999999999998e-05,-0.008165,-0.00221,-5.499999999999998e-05,-0.008165
FIUM00ITA,EURA14,2012-11-05 11:59:00,-0.00257,0.00018,-0.00611,-0.00257,0.00018,-0.00611
FIUM00ITA,EURA14,2012-11-06 11:59:00,6e-05,0.00074,-0.00735,6e-05,0.00074,-0.00735
FIUM00ITA,EURA14,2012-11-07 11:59:00,0.00078,0.00173,-0.01022,0.00078,0.00173,-0.01022
FIUM00ITA,EURA14,2012-11-08 11:59:00,-0.00028,9e-05,-0.00748,-0.00028,9e-05,-0.00748
FIUM00ITA,EURA14,2012-11-09 11:59:00,-0.00054,0.00084,-0.00451,-0.00054,0.00084,-0.00451
FIUM00ITA,EURA14,2012-11-10 11:59:00,0.00012,0.00025,-0.0136,0.00012,0.00025,-0.0136
FIUM00ITA,EURA14,2012-11-11 11:59:00,-0.00023,-0.00048,-0.0097,-0.00023,-0.00048,-0.0097
FIUM00ITA,EURA14,2012-11-12 11:59:00,0.00011,0.00073,-0.00403,0.00011,0.00073,-0.00403
FIUM00ITA,EURA14,2012-11-13 11:59:00,0.00034,-0.0001,-0.00658,0.00034,-0.0001,-0.00658
FIUM00ITA,EURA14,2012-11-14 11:59:00,-0.00074,0.00079,-0.00839,-0.00074,0.00079,-0.00839
FIUM00ITA,EURA14,2012-11-15 11:59:00,0.00046,0.00145,-0.00616,0.00046,0.00145,-0.00616
FIUM00ITA,EURA14,2012-11-16 11:59:00,-0.00028,0.00068,-0.00484,-0.00028,0.00068,-0.00484
FIUM00ITA,EURA14,2012-11-17 11:59:00,-6e-05,0.0001,-0.0038,-6e-05,0.0001,-0.0038
FIUM00ITA,EURA14,2012-11-18 11:59:00,0.00223,0.00102,-0.00557,0.00223,0.00102,-0.00557
FIUM00ITA,EURA14,2012-11-19 11:59:00,-0.001,0.00045,-0.01077,-0.001,0.00045,-0.01077
FIUM00ITA,EURA14,2012-11-20 11:59:00,-0.00016,0.00124,-0.00518,-0.00016,0.00124,-0.00518
FIUM00ITA,EURA14,2012-11-21 11:59:00,-7e-05,0.00051,-0.00834,-7e-05,0.00051,-0.00834
FIUM00ITA,EURA14,2012-11-22 11:59:00,-0.00065,0.0015,-0.00772,-0.00065,0.0015,-0.00772
FIUM00ITA,EURA14,2012-11-23 11:59:00,-0.0001,-0.00026,-0.01035,-0.0001,-0.00026,-0.01035
FIUM00ITA,EURA14,2012-11-24 11:59:00,-2e-05,0.00126,-0.00968,-2e-05,0.00126,-0.00968
FIUM00ITA,EURA14,2012-11-25 11:59:00,0.00073,0.00085,-0.01388,0.00073,0.00085,-0.01388
FIUM00ITA,EURA14,2012-11-26 11:59:00,0.00031,0.0002,-0.0092,0.00031,0.0002,-0.0092
