marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FOL100ITA,EURA14,2007-11-21 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FOL100ITA,EURA14,2007-11-22 11:59:00,0.0005,-0.00056,-0.00123,0.0005,-0.00056,-0.00123
FOL100ITA,EURA14,2007-11-23 11:59:00,0.00068,-0.00106,0.00608,0.00068,-0.00106,0.00608
FOL100ITA,EURA14,2007-11-24 11:59:00,-0.00013,-0.0018,0.00207,-0.00013,-0.0018,0.00207
FOL100ITA,EURA14,2007-11-25 11:59:00,0.00113,-0.00028,0.01514,0.00113,-0.00028,0.01514
FOL100ITA,EURA14,2007-11-26 11:59:00,0.00051,0.00024,-0.00166,0.00051,0.00024,-0.00166
FOL100ITA,EURA14,2007-11-27 11:59:00,0.00021,8e-05,0.0029,0.00021,8e-05,0.0029
FOL100ITA,EURA14,2007-11-28 11:59:00,-0.00093,0.00131,0.00466,-0.00093,0.00131,0.00466
FOL100ITA,EURA14,2007-11-29 11:59:00,-0.00064,-0.00099,0.00767,-0.00064,-0.00099,0.00767
FOL100ITA,EURA14,2007-11-30 11:59:00,-0.00044,-0.0008,0.00769,-0.00044,-0.0008,0.00769
FOL100ITA,EURA14,2007-12-01 11:59:00,-0.00089,0.0001,0.00506,-0.00089,0.0001,0.00506
FOL100ITA,EURA14,2007-12-02 11:59:00,-2e-05,-0.00043,0.00185,-2e-05,-0.00043,0.00185
FOL100ITA,EURA14,2007-12-03 11:59:00,-0.00254,-0.00089,0.01402,-0.00254,-0.00089,0.01402
FOL100ITA,EURA14,2007-12-04 11:59:00,-0.00038,0.00029,0.00618,-0.00038,0.00029,0.00618
FOL100ITA,EURA14,2007-12-05 11:59:00,-0.00069,-0.00037,0.00448,-0.00069,-0.00037,0.00448
FOL100ITA,EURA14,2007-12-06 11:59:00,0.00037,-8e-05,0.00504,0.00037,-8e-05,0.00504
FOL100ITA,EURA14,2007-12-07 11:59:00,-0.00065,-0.00145,0.01161,-0.00065,-0.00145,0.01161
FOL100ITA,EURA14,2007-12-08 11:59:00,0.00013,-0.00021,0.02351,0.00013,-0.00021,0.02351
FOL100ITA,EURA14,2007-12-09 11:59:00,0.00139,-0.0023,0.01484,0.00139,-0.0023,0.01484
FOL100ITA,EURA14,2007-12-10 11:59:00,0.00233,-0.0015,0.01869,0.00233,-0.0015,0.01869
FOL100ITA,EURA14,2007-12-11 11:59:00,0.00142,-0.00109,0.01368,0.00142,-0.00109,0.01368
FOL100ITA,EURA14,2007-12-12 11:59:00,0.00164,0.00152,0.00914,0.00164,0.00152,0.00914
FOL100ITA,EURA14,2007-12-13 11:59:00,0.008,0.00345,0.018,0.008,0.00345,0.018
FOL100ITA,EURA14,2007-12-14 11:59:00,0.0022,-9e-05,0.00548,0.0022,-9e-05,0.00548
FOL100ITA,EURA14,2007-12-15 11:59:00,0.00022,7e-05,0.00541,0.00022,7e-05,0.00541
FOL100ITA,EURA14,2007-12-16 11:59:00,0.00665,0.00283,-0.00285,0.00665,0.00283,-0.00285
FOL100ITA,EURA14,2007-12-17 11:59:00,0.0014799999999999995,0.002615,0.000755,0.0014799999999999995,0.002615,0.000755
FOL100ITA,EURA14,2007-12-18 11:59:00,-0.00369,0.0024,0.00436,-0.00369,0.0024,0.00436
FOL100ITA,EURA14,2007-12-22 11:59:00,0.00173,0.00042,0.00395,0.00173,0.00042,0.00395
FOL100ITA,EURA14,2007-12-23 11:59:00,0.00172,0.00026,0.00427,0.00172,0.00026,0.00427
FOL100ITA,EURA14,2007-12-24 11:59:00,0.00068,0.00111,-0.00015,0.00068,0.00111,-0.00015
FOL100ITA,EURA14,2007-12-25 11:59:00,0.00098,0.00033,0.00242,0.00098,0.00033,0.00242
FOL100ITA,EURA14,2007-12-26 11:59:00,0.00144,0.00056,0.00893,0.00144,0.00056,0.00893
FOL100ITA,EURA14,2007-12-27 11:59:00,0.0007,-0.0001,0.00033,0.0007,-0.0001,0.00033
FOL100ITA,EURA14,2007-12-28 11:59:00,0.0005,0.00043,0.003,0.0005,0.00043,0.003
FOL100ITA,EURA14,2007-12-29 11:59:00,0.00086,0.00037,0.00422,0.00086,0.00037,0.00422
FOL100ITA,EURA14,2007-12-30 11:59:00,0.00119,0.0003,0.00807,0.00119,0.0003,0.00807
FOL100ITA,EURA14,2007-12-31 11:59:00,0.00036,0.00026,0.00823,0.00036,0.00026,0.00823
FOL100ITA,EURA14,2008-01-01 11:59:00,0.00084,0.00271,0.00768,0.00084,0.00271,0.00768
FOL100ITA,EURA14,2008-01-02 11:59:00,0.00125,0.00076,0.00795,0.00125,0.00076,0.00795
FOL100ITA,EURA14,2008-01-03 11:59:00,0.0015,0.00027,0.00486,0.0015,0.00027,0.00486
FOL100ITA,EURA14,2008-01-04 11:59:00,0.0009,0.0003,0.00511,0.0009,0.0003,0.00511
