marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FOMU00ITA,EURA14,2016-03-22 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FOMU00ITA,EURA14,2016-03-23 11:59:00,-0.00206,-0.00028,0.01258,-0.00206,-0.00028,0.01258
FOMU00ITA,EURA14,2016-03-24 11:59:00,-0.0038,0.00061,0.00094,-0.0038,0.00061,0.00094
FOMU00ITA,EURA14,2016-03-25 11:59:00,-0.00352,0.00157,-0.00509,-0.00352,0.00157,-0.00509
FOMU00ITA,EURA14,2016-03-26 11:59:00,-0.00292,0.00167,-0.00743,-0.00292,0.00167,-0.00743
FOMU00ITA,EURA14,2016-03-27 11:59:00,-0.00364,0.00057,-0.01102,-0.00364,0.00057,-0.01102
FOMU00ITA,EURA14,2016-03-28 11:59:00,-0.0038,0.00041,-0.00496,-0.0038,0.00041,-0.00496
FOMU00ITA,EURA14,2016-03-29 11:59:00,-0.00338,0.00095,-0.00583,-0.00338,0.00095,-0.00583
FOMU00ITA,EURA14,2016-03-30 11:59:00,-0.0043,0.00108,-0.00835,-0.0043,0.00108,-0.00835
FOMU00ITA,EURA14,2016-03-31 11:59:00,-0.00248,0.00023,-0.00411,-0.00248,0.00023,-0.00411
FOMU00ITA,EURA14,2016-04-01 11:59:00,-0.00428,0.00015,-0.0001,-0.00428,0.00015,-0.0001
FOMU00ITA,EURA14,2016-04-02 11:59:00,-0.00241,-0.00012,0.00367,-0.00241,-0.00012,0.00367
FOMU00ITA,EURA14,2016-04-03 11:59:00,-0.00424,0.0003,0.00205,-0.00424,0.0003,0.00205
FOMU00ITA,EURA14,2016-04-04 11:59:00,-0.00328,0.00083,0.00051,-0.00328,0.00083,0.00051
FOMU00ITA,EURA14,2016-04-05 11:59:00,-0.00366,0.0002,-0.00404,-0.00366,0.0002,-0.00404
FOMU00ITA,EURA14,2016-04-06 11:59:00,-0.00273,0.0011,-0.00063,-0.00273,0.0011,-0.00063
FOMU00ITA,EURA14,2016-04-07 11:59:00,-0.00324,0.00071,0.00148,-0.00324,0.00071,0.00148
FOMU00ITA,EURA14,2016-04-08 11:59:00,-0.00311,-0.00052,0.00207,-0.00311,-0.00052,0.00207
FOMU00ITA,EURA14,2016-04-09 11:59:00,-0.00438,-0.00079,0.0028,-0.00438,-0.00079,0.0028
FOMU00ITA,EURA14,2016-04-10 11:59:00,-0.00299,0.00084,-0.00177,-0.00299,0.00084,-0.00177
FOMU00ITA,EURA14,2016-04-11 11:59:00,-0.00236,0.00059,0.00021,-0.00236,0.00059,0.00021
FOMU00ITA,EURA14,2016-04-12 11:59:00,-0.00322,0.0001,-0.00663,-0.00322,0.0001,-0.00663
FOMU00ITA,EURA14,2016-04-13 11:59:00,-0.00373,0.00037,3e-05,-0.00373,0.00037,3e-05
FOMU00ITA,EURA14,2016-04-14 11:59:00,-0.00329,0.001,0.00256,-0.00329,0.001,0.00256
FOMU00ITA,EURA14,2016-04-15 11:59:00,-0.00349,6e-05,-0.00149,-0.00349,6e-05,-0.00149
FOMU00ITA,EURA14,2016-04-16 11:59:00,-0.00301,0.00011,-0.00212,-0.00301,0.00011,-0.00212
FOMU00ITA,EURA14,2016-04-17 11:59:00,-0.00386,0.00085,-0.00245,-0.00386,0.00085,-0.00245
FOMU00ITA,EURA14,2016-04-18 11:59:00,-0.00317,0.00025,-0.00138,-0.00317,0.00025,-0.00138
FOMU00ITA,EURA14,2016-04-19 11:59:00,-0.00345,-0.00114,0.00568,-0.00345,-0.00114,0.00568
FOMU00ITA,EURA14,2016-04-20 11:59:00,-0.00308,0.00089,-0.00551,-0.00308,0.00089,-0.00551
FOMU00ITA,EURA14,2016-04-21 11:59:00,-0.00328,0.00083,-0.00122,-0.00328,0.00083,-0.00122
FOMU00ITA,EURA14,2016-04-22 11:59:00,-0.00402,-0.00044,0.00628,-0.00402,-0.00044,0.00628
FOMU00ITA,EURA14,2016-04-23 11:59:00,-0.00439,-0.00116,0.00636,-0.00439,-0.00116,0.00636
FOMU00ITA,EURA14,2016-04-24 11:59:00,-0.00252,-0.00143,0.00274,-0.00252,-0.00143,0.00274
FOMU00ITA,EURA14,2016-04-25 11:59:00,-0.00578,0.00243,0.00872,-0.00578,0.00243,0.00872
FOMU00ITA,EURA14,2016-04-26 11:59:00,-0.00363,-0.00067,0.00439,-0.00363,-0.00067,0.00439
FOMU00ITA,EURA14,2016-04-27 11:59:00,-0.00262,0.00076,-0.00098,-0.00262,0.00076,-0.00098
