marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FOND01ITA,EURA14,2012-05-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FOND01ITA,EURA14,2012-05-25 11:59:00,0.00245,-0.00122,0.01081,0.00245,-0.00122,0.01081
FOND01ITA,EURA14,2012-05-26 11:59:00,0.00119,-0.00363,0.01703,0.00119,-0.00363,0.01703
FOND01ITA,EURA14,2012-05-27 11:59:00,0.00316,-0.00106,0.00892,0.00316,-0.00106,0.00892
FOND01ITA,EURA14,2012-05-28 11:59:00,0.00319,-0.00324,0.00833,0.00319,-0.00324,0.00833
FOND01ITA,EURA14,2012-05-29 11:59:00,0.00169,-0.0028,0.00066,0.00169,-0.0028,0.00066
FOND01ITA,EURA14,2012-05-30 11:59:00,0.00283,-3e-05,0.00372,0.00283,-3e-05,0.00372
FOND01ITA,EURA14,2012-05-31 11:59:00,0.0009,-0.00078,0.00391,0.0009,-0.00078,0.00391
FOND01ITA,EURA14,2012-06-01 11:59:00,0.0021,-0.00197,0.00572,0.0021,-0.00197,0.00572
FOND01ITA,EURA14,2012-06-02 11:59:00,0.0033,-0.00131,0.0057,0.0033,-0.00131,0.0057
FOND01ITA,EURA14,2012-06-03 11:59:00,0.00236,-0.00276,-0.0025,0.00236,-0.00276,-0.0025
FOND01ITA,EURA14,2012-06-04 11:59:00,0.00151,-0.00235,0.00515,0.00151,-0.00235,0.00515
FOND01ITA,EURA14,2012-06-05 11:59:00,0.00225,-0.00177,0.00696,0.00225,-0.00177,0.00696
FOND01ITA,EURA14,2012-06-06 11:59:00,0.00399,-0.0013,0.00542,0.00399,-0.0013,0.00542
FOND01ITA,EURA14,2012-06-07 11:59:00,0.00349,-0.00275,0.01107,0.00349,-0.00275,0.01107
FOND01ITA,EURA14,2012-06-08 11:59:00,0.00284,-0.00221,0.00437,0.00284,-0.00221,0.00437
FOND01ITA,EURA14,2012-06-09 11:59:00,0.00182,-0.00198,0.01518,0.00182,-0.00198,0.01518
FOND01ITA,EURA14,2012-06-10 11:59:00,0.00414,-0.00326,0.01644,0.00414,-0.00326,0.01644
FOND01ITA,EURA14,2012-06-11 11:59:00,0.00195,-0.00344,0.01944,0.00195,-0.00344,0.01944
FOND01ITA,EURA14,2012-06-12 11:59:00,0.00371,-0.00156,0.01388,0.00371,-0.00156,0.01388
FOND01ITA,EURA14,2012-06-13 11:59:00,0.00277,-0.00156,0.00989,0.00277,-0.00156,0.00989
FOND01ITA,EURA14,2012-06-14 11:59:00,0.00261,-0.00109,0.00309,0.00261,-0.00109,0.00309
FOND01ITA,EURA14,2012-06-15 11:59:00,0.00285,-0.00051,0.00352,0.00285,-0.00051,0.00352
FOND01ITA,EURA14,2012-06-16 11:59:00,0.00145,-0.00155,-0.00145,0.00145,-0.00155,-0.00145
FOND01ITA,EURA14,2012-06-17 11:59:00,0.00108,-0.00187,-0.00038,0.00108,-0.00187,-0.00038
FOND01ITA,EURA14,2012-06-18 11:59:00,0.00304,-0.00135,0.00281,0.00304,-0.00135,0.00281
FOND01ITA,EURA14,2012-06-19 11:59:00,0.00332,-0.00217,0.01029,0.00332,-0.00217,0.01029
FOND01ITA,EURA14,2012-06-20 11:59:00,0.00244,-0.00142,0.00446,0.00244,-0.00142,0.00446
FOND01ITA,EURA14,2012-06-21 11:59:00,0.00248,-0.00322,0.00843,0.00248,-0.00322,0.00843
FOND01ITA,EURA14,2012-06-22 11:59:00,0.00159,-0.00284,0.01002,0.00159,-0.00284,0.01002
FOND01ITA,EURA14,2012-06-23 11:59:00,0.00291,-0.00219,0.00522,0.00291,-0.00219,0.00522
FOND01ITA,EURA14,2012-06-24 11:59:00,0.00432,-0.00135,0.008,0.00432,-0.00135,0.008
FOND01ITA,EURA14,2012-06-25 11:59:00,0.00389,-0.00109,0.00359,0.00389,-0.00109,0.00359
FOND01ITA,EURA14,2012-06-26 11:59:00,0.00553,-0.00263,0.004,0.00553,-0.00263,0.004
FOND01ITA,EURA14,2012-09-18 11:59:00,0.00353,-0.00282,0.0052,0.006637653589703698,-7.939106036875931e-05,0.0012138302194211331
FOND01ITA,EURA14,2012-09-19 11:59:00,0.00334,-0.00271,0.01049,0.006447653589703697,3.060893963124055e-05,0.006503830219421133
FOND01ITA,EURA14,2012-09-20 11:59:00,0.00194,-0.00276,0.008,0.005047653589703697,-1.939106036875915e-05,0.0040138302194211335
FOND01ITA,EURA14,2012-09-21 11:59:00,0.00342,-0.0015,0.00124,0.006527653589703697,0.0012406089396312407,-0.002746169780578867
FOND01ITA,EURA14,2012-09-22 11:59:00,0.00284,-0.00296,0.00352,0.005947653589703697,-0.00021939106036875924,-0.0004661697805788665
FOND01ITA,EURA14,2012-09-23 11:59:00,0.00324,-0.00044,0.00034,0.006347653589703697,0.002300608939631241,-0.0036461697805788666
FOND01ITA,EURA14,2012-09-24 11:59:00,0.00132,-0.00335,0.00977,0.0044276535897036975,-0.0006093910603687594,0.0057838302194211325
FOND01ITA,EURA14,2012-09-25 11:59:00,0.00411,-0.00047,0.00229,0.0072176535897036966,0.002270608939631241,-0.0016961697805788667
FOND01ITA,EURA14,2012-09-26 11:59:00,0.00374,-0.00152,0.00642,0.006847653589703697,0.0012206089396312406,0.0024338302194211337
FOND01ITA,EURA14,2012-09-27 11:59:00,0.00398,-0.00191,0.00345,0.007087653589703697,0.0008306089396312407,-0.0005361697805788667
FOND01ITA,EURA14,2012-09-28 11:59:00,0.00355,-0.00065,0.00294,0.006657653589703697,0.0020906089396312407,-0.0010461697805788667
