marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FORM00ITA,EURA14,2007-11-07 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FORM00ITA,EURA14,2007-11-08 11:59:00,-0.00226,-0.00104,-0.00444,-0.00226,-0.00104,-0.00444
FORM00ITA,EURA14,2007-11-09 11:59:00,-0.00484,0.00202,-0.02406,-0.00484,0.00202,-0.02406
FORM00ITA,EURA14,2007-11-10 11:59:00,-0.00574,0.003,-0.00391,-0.00574,0.003,-0.00391
FORM00ITA,EURA14,2007-11-11 11:59:00,-0.00221,-0.00288,0.00105,-0.00221,-0.00288,0.00105
FORM00ITA,EURA14,2007-11-12 11:59:00,-0.00276,-0.00253,0.00359,-0.00276,-0.00253,0.00359
FORM00ITA,EURA14,2007-11-13 11:59:00,-0.00258,-0.00234,-0.00091,-0.00258,-0.00234,-0.00091
FORM00ITA,EURA14,2007-11-14 11:59:00,-0.00215,5e-05,-0.00713,-0.00215,5e-05,-0.00713
FORM00ITA,EURA14,2007-11-15 11:59:00,-0.00244,-0.002,-0.0024,-0.00244,-0.002,-0.0024
FORM00ITA,EURA14,2007-11-16 11:59:00,-0.00258,-0.00324,-0.00544,-0.00258,-0.00324,-0.00544
FORM00ITA,EURA14,2007-11-17 11:59:00,-0.00175,-0.00314,-0.00481,-0.00175,-0.00314,-0.00481
FORM00ITA,EURA14,2007-11-18 11:59:00,-0.00171,-0.00263,-0.00342,-0.00171,-0.00263,-0.00342
FORM00ITA,EURA14,2007-11-22 11:59:00,-0.00044,-0.00226,-0.00778,-0.00044,-0.00226,-0.00778
FORM00ITA,EURA14,2007-11-23 11:59:00,-0.00162,-0.00111,-0.00442,-0.00162,-0.00111,-0.00442
FORM00ITA,EURA14,2007-11-24 11:59:00,-0.00275,-0.0007,-0.00403,-0.00275,-0.0007,-0.00403
FORM00ITA,EURA14,2007-11-25 11:59:00,-0.00164,-0.00067,-0.00501,-0.00164,-0.00067,-0.00501
FORM00ITA,EURA14,2007-11-26 11:59:00,-0.0014,0.00016,-0.00794,-0.0014,0.00016,-0.00794
FORM00ITA,EURA14,2007-11-27 11:59:00,-0.00274,-0.00132,-0.00447,-0.00274,-0.00132,-0.00447
FORM00ITA,EURA14,2007-11-28 11:59:00,-0.00198,-0.00163,-0.00487,-0.00198,-0.00163,-0.00487
FORM00ITA,EURA14,2007-11-29 11:59:00,-0.00276,-0.0018,-0.00278,-0.00276,-0.0018,-0.00278
