marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FRMO00ITA,EURA14,2009-09-17 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FRMO00ITA,EURA14,2009-09-18 11:59:00,0.00158,0.00429,0.00908,0.00158,0.00429,0.00908
FRMO00ITA,EURA14,2009-09-19 11:59:00,0.00071,0.00356,0.00351,0.00071,0.00356,0.00351
FRMO00ITA,EURA14,2009-09-20 11:59:00,0.00078,0.00296,0.00931,0.00078,0.00296,0.00931
FRMO00ITA,EURA14,2009-09-21 11:59:00,0.00085,0.00468,0.00522,0.00085,0.00468,0.00522
FRMO00ITA,EURA14,2009-09-22 11:59:00,0.00144,0.00392,0.00095,0.00144,0.00392,0.00095
FRMO00ITA,EURA14,2009-09-23 11:59:00,0.00114,0.00371,0.00434,0.00114,0.00371,0.00434
FRMO00ITA,EURA14,2009-09-24 11:59:00,-0.00054,0.00239,0.00594,-0.00054,0.00239,0.00594
FRMO00ITA,EURA14,2009-09-25 11:59:00,6e-05,0.00492,0.00464,6e-05,0.00492,0.00464
FRMO00ITA,EURA14,2009-09-26 11:59:00,0.00014,0.00318,0.00445,0.00014,0.00318,0.00445
FRMO00ITA,EURA14,2009-09-27 11:59:00,0.00162,0.0034,0.00039,0.00162,0.0034,0.00039
FRMO00ITA,EURA14,2009-09-28 11:59:00,0.00097,0.00401,0.004,0.00097,0.00401,0.004
FRMO00ITA,EURA14,2009-09-29 11:59:00,-0.00033,0.00378,0.00451,-0.00033,0.00378,0.00451
FRMO00ITA,EURA14,2009-09-30 11:59:00,-0.0003,0.0032,0.00096,-0.0003,0.0032,0.00096
FRMO00ITA,EURA14,2009-10-01 11:59:00,0.00023,0.00494,0.00545,0.00023,0.00494,0.00545
FRMO00ITA,EURA14,2009-10-02 11:59:00,0.00148,0.00496,0.00196,0.00148,0.00496,0.00196
FRMO00ITA,EURA14,2009-10-03 11:59:00,0.001015,0.0038,0.00429,0.001015,0.0038,0.00429
FRMO00ITA,EURA14,2009-10-04 11:59:00,0.00055,0.00264,0.00662,0.00055,0.00264,0.00662
FRMO00ITA,EURA14,2009-10-05 11:59:00,0.00134,0.00247,0.00448,0.00134,0.00247,0.00448
FRMO00ITA,EURA14,2009-10-06 11:59:00,0.00118,0.0026,0.004829999999999999,0.00118,0.0026,0.004829999999999999
FRMO00ITA,EURA14,2009-10-07 11:59:00,0.00102,0.00273,0.00518,0.00102,0.00273,0.00518
FRMO00ITA,EURA14,2009-10-08 11:59:00,0.0012,0.00375,0.00772,0.0012,0.00375,0.00772
FRMO00ITA,EURA14,2009-10-09 11:59:00,0.00246,0.00365,0.00587,0.00246,0.00365,0.00587
FRMO00ITA,EURA14,2009-10-10 11:59:00,0.00121,0.00278,0.00891,0.00121,0.00278,0.00891
FRMO00ITA,EURA14,2009-10-11 11:59:00,0.00188,0.00174,0.0098,0.00188,0.00174,0.0098
FRMO00ITA,EURA14,2009-10-12 11:59:00,0.00252,0.00261,0.01207,0.00252,0.00261,0.01207
FRMO00ITA,EURA14,2009-10-13 11:59:00,0.00162,0.00273,0.01002,0.00162,0.00273,0.01002
FRMO00ITA,EURA14,2009-10-14 11:59:00,0.00306,0.00336,0.00353,0.00306,0.00336,0.00353
FRMO00ITA,EURA14,2009-10-15 11:59:00,0.00072,0.00357,0.0071,0.00072,0.00357,0.0071
FRMO00ITA,EURA14,2009-10-16 11:59:00,0.00115,0.00233,0.00573,0.00115,0.00233,0.00573
FRMO00ITA,EURA14,2009-10-17 11:59:00,0.00281,0.00398,0.00856,0.00281,0.00398,0.00856
FRMO00ITA,EURA14,2009-10-18 11:59:00,0.00174,0.00227,0.00698,0.00174,0.00227,0.00698
FRMO00ITA,EURA14,2009-10-19 11:59:00,0.00173,0.00175,0.00341,0.00173,0.00175,0.00341
FRMO00ITA,EURA14,2009-10-20 11:59:00,0.00231,0.00272,-0.00055,0.00231,0.00272,-0.00055
FRMO00ITA,EURA14,2009-10-21 11:59:00,0.00416,0.0022,0.00098,0.00416,0.0022,0.00098
FRMO00ITA,EURA14,2009-10-22 11:59:00,0.00071,0.00294,0.00286,0.00071,0.00294,0.00286
FRMO00ITA,EURA14,2009-10-23 11:59:00,0.00306,0.00289,0.00879,0.00306,0.00289,0.00879
FRMO00ITA,EURA14,2009-10-24 11:59:00,0.00328,0.00301,0.01169,0.00328,0.00301,0.01169
FRMO00ITA,EURA14,2009-10-25 11:59:00,-0.00094,0.0025,0.00078,-0.00094,0.0025,0.00078
FRMO00ITA,EURA14,2009-10-26 11:59:00,0.00292,0.00311,0.00341,0.00292,0.00311,0.00341
FRMO00ITA,EURA14,2009-10-27 11:59:00,0.00186,0.00415,-0.00076,0.00186,0.00415,-0.00076
FRMO00ITA,EURA14,2009-10-28 11:59:00,0.00174,0.00348,0.0009999999999999998,0.00174,0.00348,0.0009999999999999998
FRMO00ITA,EURA14,2009-10-29 11:59:00,0.00162,0.00281,0.00276,0.00162,0.00281,0.00276
FRMO00ITA,EURA14,2009-10-30 11:59:00,0.00217,0.00318,0.00192,0.00217,0.00318,0.00192
FRMO00ITA,EURA14,2009-10-31 11:59:00,0.00268,0.0032,-0.00159,0.00268,0.0032,-0.00159
FRMO00ITA,EURA14,2009-11-01 11:59:00,0.00112,0.00209,0.00044,0.00112,0.00209,0.00044
FRMO00ITA,EURA14,2009-11-02 11:59:00,0.00215,0.00302,0.00825,0.00215,0.00302,0.00825
FRMO00ITA,EURA14,2009-11-03 11:59:00,0.00259,0.00217,0.01623,0.00259,0.00217,0.01623
FRMO00ITA,EURA14,2009-11-04 11:59:00,0.00199,0.00204,0.00103,0.00199,0.00204,0.00103
FRMO00ITA,EURA14,2009-11-05 11:59:00,0.00279,0.00322,0.0069,0.00279,0.00322,0.0069
FRMO00ITA,EURA14,2009-11-06 11:59:00,0.00428,0.00405,0.00554,0.00428,0.00405,0.00554
FRMO00ITA,EURA14,2009-11-07 11:59:00,0.00278,0.00255,0.00574,0.00278,0.00255,0.00574
FRMO00ITA,EURA14,2009-11-08 11:59:00,0.00287,0.00347,0.0063,0.00287,0.00347,0.0063
FRMO00ITA,EURA14,2009-11-09 11:59:00,0.00201,0.00308,0.00956,0.00201,0.00308,0.00956
FRMO00ITA,EURA14,2009-11-10 11:59:00,0.005,0.00282,0.01377,0.005,0.00282,0.01377
FRMO00ITA,EURA14,2009-11-11 11:59:00,0.00236,0.00314,0.00457,0.00236,0.00314,0.00457
FRMO00ITA,EURA14,2009-11-12 11:59:00,0.00225,0.00362,0.00081,0.00225,0.00362,0.00081
FRMO00ITA,EURA14,2009-11-13 11:59:00,0.00268,0.0033,0.00494,0.00268,0.0033,0.00494
FRMO00ITA,EURA14,2009-11-14 11:59:00,0.00289,0.00286,0.00334,0.00289,0.00286,0.00334
FRMO00ITA,EURA14,2009-11-15 11:59:00,0.00267,0.00479,-0.0015,0.00267,0.00479,-0.0015
FRMO00ITA,EURA14,2009-11-16 11:59:00,0.00197,0.00376,0.00359,0.00197,0.00376,0.00359
FRMO00ITA,EURA14,2009-11-17 11:59:00,0.0034,0.00426,0.00189,0.0034,0.00426,0.00189
FRMO00ITA,EURA14,2009-11-18 11:59:00,0.00367,0.00277,0.00304,0.00367,0.00277,0.00304
FRMO00ITA,EURA14,2009-11-19 11:59:00,0.00252,0.00325,0.00098,0.00252,0.00325,0.00098
FRMO00ITA,EURA14,2009-11-20 11:59:00,0.00158,0.00462,-0.00358,0.00158,0.00462,-0.00358
FRMO00ITA,EURA14,2009-11-21 11:59:00,0.00131,0.00304,0.00296,0.00131,0.00304,0.00296
FRMO00ITA,EURA14,2009-11-22 11:59:00,0.00245,0.00338,-0.00041,0.00245,0.00338,-0.00041
FRMO00ITA,EURA14,2009-11-23 11:59:00,0.00308,0.00399,0.0,0.00308,0.00399,0.0
FRMO00ITA,EURA14,2009-11-24 11:59:00,0.00175,0.003,0.00256,0.00175,0.003,0.00256
FRMO00ITA,EURA14,2009-11-25 11:59:00,0.00224,0.00291,0.006,0.00224,0.00291,0.006
FRMO00ITA,EURA14,2009-11-26 11:59:00,0.00278,0.00206,0.0035,0.00278,0.00206,0.0035
FRMO00ITA,EURA14,2009-11-27 11:59:00,0.00298,0.00259,0.00788,0.00298,0.00259,0.00788
FRMO00ITA,EURA14,2009-11-28 11:59:00,0.00344,0.00136,0.0028,0.00344,0.00136,0.0028
FRMO00ITA,EURA14,2009-11-29 11:59:00,0.0022,0.0028,0.00557,0.0022,0.0028,0.00557
FRMO00ITA,EURA14,2009-11-30 11:59:00,-0.00024,0.00254,0.0127,-0.00024,0.00254,0.0127
FRMO00ITA,EURA14,2009-12-01 11:59:00,0.00157,0.00298,0.00328,0.00157,0.00298,0.00328
FRMO00ITA,EURA14,2009-12-02 11:59:00,0.00222,0.0041,-0.00055,0.00222,0.0041,-0.00055
FRMO00ITA,EURA14,2009-12-03 11:59:00,0.00157,0.00409,0.00272,0.00157,0.00409,0.00272
FRMO00ITA,EURA14,2009-12-04 11:59:00,0.002385,0.004475,0.003855,0.002385,0.004475,0.003855
FRMO00ITA,EURA14,2009-12-05 11:59:00,0.0032,0.00486,0.00499,0.0032,0.00486,0.00499
FRMO00ITA,EURA14,2009-12-06 11:59:00,0.00215,0.00385,0.00198,0.00215,0.00385,0.00198
FRMO00ITA,EURA14,2009-12-07 11:59:00,0.0023,0.00495,0.00475,0.0023,0.00495,0.00475
FRMO00ITA,EURA14,2009-12-08 11:59:00,0.00242,0.00415,0.00474,0.00242,0.00415,0.00474
FRMO00ITA,EURA14,2009-12-09 11:59:00,0.0032,0.00481,0.00825,0.0032,0.00481,0.00825
FRMO00ITA,EURA14,2009-12-10 11:59:00,0.00214,0.00436,0.00603,0.00214,0.00436,0.00603
