marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
FRRA00ITA,EURA14,2006-06-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
FRRA00ITA,EURA14,2006-06-21 11:59:00,0.00088,0.00052,0.00045,0.00088,0.00052,0.00045
FRRA00ITA,EURA14,2006-06-22 11:59:00,0.00098,0.00174,0.00452,0.00098,0.00174,0.00452
FRRA00ITA,EURA14,2006-06-23 11:59:00,-0.00028,0.00158,0.00302,-0.00028,0.00158,0.00302
FRRA00ITA,EURA14,2006-06-24 11:59:00,0.00049,0.00145,0.00037,0.00049,0.00145,0.00037
FRRA00ITA,EURA14,2006-06-25 11:59:00,-0.00022,0.0014,-0.00036,-0.00022,0.0014,-0.00036
FRRA00ITA,EURA14,2006-06-26 11:59:00,0.00083,0.00257,-0.00358,0.00083,0.00257,-0.00358
FRRA00ITA,EURA14,2006-06-27 11:59:00,0.00125,0.0032,-0.00374,0.00125,0.0032,-0.00374
FRRA00ITA,EURA14,2006-06-28 11:59:00,0.00143,0.00298,-0.00416,0.00143,0.00298,-0.00416
FRRA00ITA,EURA14,2006-06-29 11:59:00,-0.00068,0.00253,0.00081,-0.00068,0.00253,0.00081
FRRA00ITA,EURA14,2006-06-30 11:59:00,0.00037,0.00207,0.00285,0.00037,0.00207,0.00285
FRRA00ITA,EURA14,2006-07-01 11:59:00,0.00126,0.00248,-0.0052,0.00126,0.00248,-0.0052
FRRA00ITA,EURA14,2006-07-02 11:59:00,0.00243,0.00217,0.00412,0.00243,0.00217,0.00412
FRRA00ITA,EURA14,2006-07-03 11:59:00,0.00244,0.00432,-0.00461,0.00244,0.00432,-0.00461
FRRA00ITA,EURA14,2006-07-04 11:59:00,0.00749,0.00019,0.00242,0.00749,0.00019,0.00242
FRRA00ITA,EURA14,2006-07-05 11:59:00,0.01102,-0.00565,-0.00239,0.01102,-0.00565,-0.00239
FRRA00ITA,EURA14,2006-07-06 11:59:00,0.00844,-0.00542,-0.00564,0.00844,-0.00542,-0.00564
