marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GEOT00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GEOT00ITA,EURA14,2012-01-21 11:59:00,0.00034,0.00064,-0.00468,0.00034,0.00064,-0.00468
GEOT00ITA,EURA14,2012-01-22 11:59:00,0.00133,4e-05,-0.00384,0.00133,4e-05,-0.00384
GEOT00ITA,EURA14,2012-01-23 11:59:00,0.0004,-6e-05,-0.00315,0.0004,-6e-05,-0.00315
GEOT00ITA,EURA14,2012-01-24 11:59:00,0.00062,0.00025,-0.00747,0.00062,0.00025,-0.00747
GEOT00ITA,EURA14,2012-01-25 11:59:00,0.00028,-0.0006,-0.00123,0.00028,-0.0006,-0.00123
GEOT00ITA,EURA14,2012-01-26 11:59:00,0.00173,0.00106,-0.01207,0.00173,0.00106,-0.01207
GEOT00ITA,EURA14,2012-01-27 11:59:00,0.00075,0.00046,-0.00913,0.00075,0.00046,-0.00913
GEOT00ITA,EURA14,2012-01-31 11:59:00,-5e-05,0.00078,-0.01073,-5e-05,0.00078,-0.01073
GEOT00ITA,EURA14,2012-02-01 11:59:00,-0.00118,0.00304,-0.02198,-0.00118,0.00304,-0.02198
GEOT00ITA,EURA14,2012-02-02 11:59:00,-0.00052,0.00085,-0.00787,-0.00052,0.00085,-0.00787
GEOT00ITA,EURA14,2012-02-03 11:59:00,-0.0059,-0.00205,-0.00315,-0.0059,-0.00205,-0.00315
GEOT00ITA,EURA14,2012-02-04 11:59:00,-0.00272,0.00203,-0.00421,-0.00272,0.00203,-0.00421
GEOT00ITA,EURA14,2012-02-05 11:59:00,-0.00245,0.00049,-0.00496,-0.00245,0.00049,-0.00496
GEOT00ITA,EURA14,2012-02-06 11:59:00,-0.00046,0.00054,-0.00126,-0.00046,0.00054,-0.00126
GEOT00ITA,EURA14,2012-02-07 11:59:00,-0.0025,0.00282,-0.00991,-0.0025,0.00282,-0.00991
GEOT00ITA,EURA14,2012-02-08 11:59:00,-0.0003,2e-05,0.00145,-0.0003,2e-05,0.00145
GEOT00ITA,EURA14,2012-02-09 11:59:00,0.00106,-0.00012,0.0073,0.00106,-0.00012,0.0073
GEOT00ITA,EURA14,2012-02-16 11:59:00,0.00024,-0.00134,0.00685,0.00024,-0.00134,0.00685
GEOT00ITA,EURA14,2012-02-17 11:59:00,-7e-05,-0.00106,0.00325,-7e-05,-0.00106,0.00325
GEOT00ITA,EURA14,2012-02-18 11:59:00,0.00148,-0.00087,-0.00624,0.00148,-0.00087,-0.00624
GEOT00ITA,EURA14,2012-02-19 11:59:00,0.00053,-0.00083,-0.00942,0.00053,-0.00083,-0.00942
GEOT00ITA,EURA14,2012-02-20 11:59:00,0.00114,0.00053,-0.01617,0.00114,0.00053,-0.01617
GEOT00ITA,EURA14,2012-02-21 11:59:00,-0.00074,0.00148,-0.01681,-0.00074,0.00148,-0.01681
GEOT00ITA,EURA14,2012-02-22 11:59:00,0.00103,0.00046,-0.01723,0.00103,0.00046,-0.01723
GEOT00ITA,EURA14,2012-02-23 11:59:00,0.0004,0.00026,-0.01109,0.0004,0.00026,-0.01109
GEOT00ITA,EURA14,2012-02-24 11:59:00,0.00044,-0.00099,-0.00846,0.00044,-0.00099,-0.00846
GEOT00ITA,EURA14,2012-02-25 11:59:00,0.00025,-0.00038,-0.00566,0.00025,-0.00038,-0.00566
GEOT00ITA,EURA14,2012-02-26 11:59:00,-0.0006,-0.00071,-0.01139,-0.0006,-0.00071,-0.01139
GEOT00ITA,EURA14,2012-02-27 11:59:00,1e-05,-0.00038,-0.01223,1e-05,-0.00038,-0.01223
GEOT00ITA,EURA14,2012-02-28 11:59:00,0.00082,-0.00017,-0.0122,0.00082,-0.00017,-0.0122
GEOT00ITA,EURA14,2012-02-29 11:59:00,0.00074,-0.00022,-0.00532,0.00074,-0.00022,-0.00532
GEOT00ITA,EURA14,2012-03-01 11:59:00,-0.00185,-0.00021,-0.00827,-0.00185,-0.00021,-0.00827
GEOT00ITA,EURA14,2012-03-02 11:59:00,0.00086,-0.00072,-0.00876,0.00086,-0.00072,-0.00876
GEOT00ITA,EURA14,2012-03-03 11:59:00,-0.00039,-0.00055,-0.01008,-0.00039,-0.00055,-0.01008
GEOT00ITA,EURA14,2012-03-04 11:59:00,-0.00076,0.00109,-0.01185,-0.00076,0.00109,-0.01185
GEOT00ITA,EURA14,2012-03-05 11:59:00,0.00057,-0.00108,-0.00605,0.00057,-0.00108,-0.00605
GEOT00ITA,EURA14,2012-03-06 11:59:00,-0.00053,0.00289,-0.0164,-0.00053,0.00289,-0.0164
GEOT00ITA,EURA14,2012-03-07 11:59:00,0.00126,0.00035,-0.01373,0.00126,0.00035,-0.01373
GEOT00ITA,EURA14,2012-03-08 11:59:00,0.00036,0.00076,-0.00995,0.00036,0.00076,-0.00995
GEOT00ITA,EURA14,2012-03-09 11:59:00,0.00071,0.00134,-0.01088,0.00071,0.00134,-0.01088
GEOT00ITA,EURA14,2012-03-10 11:59:00,0.00026,0.00029,-0.01409,0.00026,0.00029,-0.01409
GEOT00ITA,EURA14,2012-03-11 11:59:00,-0.00034,0.00067,-0.01323,-0.00034,0.00067,-0.01323
GEOT00ITA,EURA14,2012-03-12 11:59:00,8e-05,-0.00084,-0.00545,8e-05,-0.00084,-0.00545
GEOT00ITA,EURA14,2012-03-13 11:59:00,7e-05,0.00055,-0.0123,7e-05,0.00055,-0.0123
GEOT00ITA,EURA14,2012-03-14 11:59:00,0.00168,-0.00039,-0.01338,0.00168,-0.00039,-0.01338
GEOT00ITA,EURA14,2012-03-15 11:59:00,0.00033,-0.00078,-0.01167,0.00033,-0.00078,-0.01167
GEOT00ITA,EURA14,2012-03-16 11:59:00,0.00134,-0.0015,-0.0172,0.00134,-0.0015,-0.0172
GEOT00ITA,EURA14,2012-03-17 11:59:00,0.00212,-0.00118,-0.01909,0.00212,-0.00118,-0.01909
GEOT00ITA,EURA14,2012-03-18 11:59:00,-4e-05,-0.00094,-0.01245,-4e-05,-0.00094,-0.01245
GEOT00ITA,EURA14,2012-03-19 11:59:00,0.00081,-0.00216,-0.01098,0.00081,-0.00216,-0.01098
GEOT00ITA,EURA14,2012-03-20 11:59:00,0.00066,-0.00104,-0.0192,0.00066,-0.00104,-0.0192
GEOT00ITA,EURA14,2012-03-21 11:59:00,0.00097,0.00019,-0.01028,0.00097,0.00019,-0.01028
GEOT00ITA,EURA14,2012-03-22 11:59:00,0.00262,-0.00117,-0.01253,0.00262,-0.00117,-0.01253
GEOT00ITA,EURA14,2012-03-23 11:59:00,0.00141,-0.00077,-0.00791,0.00141,-0.00077,-0.00791
GEOT00ITA,EURA14,2012-03-24 11:59:00,0.00182,-0.00046,-0.00679,0.00182,-0.00046,-0.00679
GEOT00ITA,EURA14,2012-03-25 11:59:00,0.00121,0.0003,-0.01051,0.00121,0.0003,-0.01051
GEOT00ITA,EURA14,2012-03-26 11:59:00,0.00076,-0.001,-0.01072,0.00076,-0.001,-0.01072
GEOT00ITA,EURA14,2012-03-27 11:59:00,0.00052,0.00019,-0.01081,0.00052,0.00019,-0.01081
GEOT00ITA,EURA14,2012-03-28 11:59:00,0.00128,0.00022,-0.01092,0.00128,0.00022,-0.01092
GEOT00ITA,EURA14,2012-04-03 11:59:00,0.00091,-0.0001,-0.0144,0.00091,-0.0001,-0.0144
GEOT00ITA,EURA14,2012-04-04 11:59:00,0.0021,-0.00056,-0.00695,0.0021,-0.00056,-0.00695
GEOT00ITA,EURA14,2012-04-05 11:59:00,0.00144,0.00019,-0.01135,0.00144,0.00019,-0.01135
GEOT00ITA,EURA14,2012-04-06 11:59:00,-0.00026,0.00118,-0.0077,-0.00026,0.00118,-0.0077
GEOT00ITA,EURA14,2012-04-07 11:59:00,0.00134,0.00062,-0.00885,0.00134,0.00062,-0.00885
GEOT00ITA,EURA14,2012-04-08 11:59:00,0.00191,0.00085,-0.00747,0.00191,0.00085,-0.00747
GEOT00ITA,EURA14,2012-04-09 11:59:00,0.0029,-0.0005,-0.01014,0.0029,-0.0005,-0.01014
GEOT00ITA,EURA14,2012-04-10 11:59:00,0.00341,0.0005,-0.01171,0.00341,0.0005,-0.01171
GEOT00ITA,EURA14,2012-04-11 11:59:00,0.00313,0.00047,-0.00926,0.00313,0.00047,-0.00926
GEOT00ITA,EURA14,2012-04-12 11:59:00,0.00351,0.00021,-0.01481,0.00351,0.00021,-0.01481
GEOT00ITA,EURA14,2012-04-13 11:59:00,0.00124,0.00167,-0.01696,0.00124,0.00167,-0.01696
GEOT00ITA,EURA14,2012-04-14 11:59:00,0.00123,0.00164,-0.02165,0.00123,0.00164,-0.02165
GEOT00ITA,EURA14,2012-04-15 11:59:00,0.00048,0.00148,-0.00722,0.00048,0.00148,-0.00722
GEOT00ITA,EURA14,2012-04-16 11:59:00,0.00197,0.00363,-0.01992,0.00197,0.00363,-0.01992
GEOT00ITA,EURA14,2012-04-19 11:59:00,-0.00012,0.00172,-0.00997,-0.00012,0.00172,-0.00997
GEOT00ITA,EURA14,2012-04-20 11:59:00,0.00015,0.00182,-0.01368,0.00015,0.00182,-0.01368
GEOT00ITA,EURA14,2012-04-21 11:59:00,0.0033,0.00178,-0.01563,0.0033,0.00178,-0.01563
GEOT00ITA,EURA14,2012-04-22 11:59:00,0.0024,0.0009,-0.01277,0.0024,0.0009,-0.01277
GEOT00ITA,EURA14,2012-04-23 11:59:00,0.00159,0.00203,-0.01309,0.00159,0.00203,-0.01309
GEOT00ITA,EURA14,2012-04-24 11:59:00,0.00356,0.00182,-0.01671,0.00356,0.00182,-0.01671
GEOT00ITA,EURA14,2012-04-25 11:59:00,0.00289,0.00139,-0.0153,0.00289,0.00139,-0.0153
GEOT00ITA,EURA14,2012-04-26 11:59:00,0.00244,0.00116,-0.01327,0.00244,0.00116,-0.01327
GEOT00ITA,EURA14,2012-04-27 11:59:00,0.00151,0.00201,-0.01697,0.00151,0.00201,-0.01697
GEOT00ITA,EURA14,2012-04-28 11:59:00,0.00259,0.00099,-0.01518,0.00259,0.00099,-0.01518
GEOT00ITA,EURA14,2012-04-29 11:59:00,0.00246,0.0012,-0.00693,0.00246,0.0012,-0.00693
GEOT00ITA,EURA14,2012-04-30 11:59:00,0.00172,0.00154,-0.00749,0.00172,0.00154,-0.00749
GEOT00ITA,EURA14,2012-05-01 11:59:00,0.0012,0.0017,-0.01158,0.0012,0.0017,-0.01158
GEOT00ITA,EURA14,2012-05-02 11:59:00,-0.00104,0.00141,-0.00214,-0.00104,0.00141,-0.00214
GEOT00ITA,EURA14,2012-05-03 11:59:00,0.00253,0.00152,-0.01085,0.00253,0.00152,-0.01085
GEOT00ITA,EURA14,2012-05-04 11:59:00,0.00094,0.00092,-0.00955,0.00094,0.00092,-0.00955
GEOT00ITA,EURA14,2012-05-05 11:59:00,0.00051,0.0027,-0.01055,0.00051,0.0027,-0.01055
GEOT00ITA,EURA14,2012-05-06 11:59:00,-0.00036,0.0008,-0.01425,-0.00036,0.0008,-0.01425
