marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GINE00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GINE00ITA,EURA14,2012-01-21 11:59:00,-0.00065,0.00106,-0.00102,-0.00065,0.00106,-0.00102
GINE00ITA,EURA14,2012-01-22 11:59:00,-8e-05,0.00066,0.00103,-8e-05,0.00066,0.00103
GINE00ITA,EURA14,2012-01-27 11:59:00,-0.00077,0.001,-0.00403,-0.00077,0.001,-0.00403
GINE00ITA,EURA14,2012-01-31 11:59:00,-0.00045,0.00044,-0.00607,-0.00045,0.00044,-0.00607
GINE00ITA,EURA14,2012-02-01 11:59:00,-0.00158,-0.00037,-0.00384,-0.00158,-0.00037,-0.00384
GINE00ITA,EURA14,2012-02-02 11:59:00,-0.0021,0.00045,-0.00333,-0.0021,0.00045,-0.00333
GINE00ITA,EURA14,2012-02-03 11:59:00,-0.00026,0.00141,-0.00642,-0.00026,0.00141,-0.00642
GINE00ITA,EURA14,2012-02-04 11:59:00,-0.00021,0.00042,-0.00616,-0.00021,0.00042,-0.00616
GINE00ITA,EURA14,2012-02-05 11:59:00,-0.00091,0.00026,-0.00466,-0.00091,0.00026,-0.00466
GINE00ITA,EURA14,2012-02-06 11:59:00,-0.00127,0.00065,-0.0012,-0.00127,0.00065,-0.0012
GINE00ITA,EURA14,2012-02-07 11:59:00,-0.001865,0.000735,-0.00268,-0.001865,0.000735,-0.00268
GINE00ITA,EURA14,2012-02-08 11:59:00,-0.00246,0.00082,-0.00416,-0.00246,0.00082,-0.00416
GINE00ITA,EURA14,2012-02-09 11:59:00,0.00039,0.00041,-0.00723,0.00039,0.00041,-0.00723
GINE00ITA,EURA14,2012-02-10 11:59:00,-0.0017,-9e-05,-0.01067,-0.0017,-9e-05,-0.01067
GINE00ITA,EURA14,2012-02-18 11:59:00,7e-05,-0.00079,-0.00825,7e-05,-0.00079,-0.00825
GINE00ITA,EURA14,2012-02-19 11:59:00,8e-05,-0.00074,-0.00444,8e-05,-0.00074,-0.00444
GINE00ITA,EURA14,2012-02-20 11:59:00,-0.00358,0.00021,-0.01146,-0.00358,0.00021,-0.01146
GINE00ITA,EURA14,2012-02-21 11:59:00,-0.00395,-0.00066,-0.00218,-0.00395,-0.00066,-0.00218
GINE00ITA,EURA14,2012-02-22 11:59:00,-0.00394,-0.00248,-0.00413,-0.00394,-0.00248,-0.00413
GINE00ITA,EURA14,2012-02-23 11:59:00,-0.00131,0.00089,-0.01059,-0.00131,0.00089,-0.01059
