marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GNAL00ITA,EURA14,2010-09-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GNAL00ITA,EURA14,2010-09-16 11:59:00,-0.00851,1e-05,0.01531,-0.00851,1e-05,0.01531
GNAL00ITA,EURA14,2010-09-17 11:59:00,0.00835,0.0032,-0.00497,0.00835,0.0032,-0.00497
GNAL00ITA,EURA14,2010-09-18 11:59:00,-0.0033,-0.00119,-0.00388,-0.0033,-0.00119,-0.00388
GNAL00ITA,EURA14,2010-09-19 11:59:00,-0.00418,-0.00112,-0.0052,-0.00418,-0.00112,-0.0052
GNAL00ITA,EURA14,2010-09-20 11:59:00,-0.00056,0.00086,0.00043,-0.00056,0.00086,0.00043
GNAL00ITA,EURA14,2010-09-21 11:59:00,5e-05,-0.00083,0.00577,5e-05,-0.00083,0.00577
GNAL00ITA,EURA14,2010-09-22 11:59:00,-3e-05,0.00022,0.00368,-3e-05,0.00022,0.00368
GNAL00ITA,EURA14,2010-09-23 11:59:00,-0.00052,-0.00031,0.00517,-0.00052,-0.00031,0.00517
GNAL00ITA,EURA14,2010-09-24 11:59:00,9e-05,-0.00039,0.00462,9e-05,-0.00039,0.00462
GNAL00ITA,EURA14,2010-09-25 11:59:00,-0.00167,-0.00039,0.00097,-0.00167,-0.00039,0.00097
GNAL00ITA,EURA14,2010-09-26 11:59:00,-0.00016,0.00159,0.02547,-0.00016,0.00159,0.02547
GNAL00ITA,EURA14,2010-09-27 11:59:00,0.00532,0.00045,0.02657,0.00532,0.00045,0.02657
GNAL00ITA,EURA14,2010-09-28 11:59:00,-0.00123,-0.00109,0.00768,-0.00123,-0.00109,0.00768
GNAL00ITA,EURA14,2010-09-29 11:59:00,-0.00035,0.00057,0.00443,-0.00035,0.00057,0.00443
GNAL00ITA,EURA14,2010-09-30 11:59:00,0.00218,0.00029,-0.00336,0.00218,0.00029,-0.00336
GNAL00ITA,EURA14,2010-10-01 11:59:00,-0.00013,0.00022,0.00407,-0.00013,0.00022,0.00407
GNAL00ITA,EURA14,2010-10-02 11:59:00,0.00196,0.00061,0.00325,0.00196,0.00061,0.00325
GNAL00ITA,EURA14,2010-10-03 11:59:00,0.00032,0.0004,0.00344,0.00032,0.0004,0.00344
GNAL00ITA,EURA14,2010-10-04 11:59:00,0.00174,-0.00031,0.01508,0.00174,-0.00031,0.01508
GNAL00ITA,EURA14,2010-10-05 11:59:00,-0.00178,-0.00074,-0.00038,-0.00178,-0.00074,-0.00038
GNAL00ITA,EURA14,2010-10-06 11:59:00,-0.0001,-0.00019,0.00423,-0.0001,-0.00019,0.00423
GNAL00ITA,EURA14,2010-10-07 11:59:00,-6e-05,-0.00085,-0.00113,-6e-05,-0.00085,-0.00113
GNAL00ITA,EURA14,2010-10-08 11:59:00,-0.00087,-0.00041,-0.00058,-0.00087,-0.00041,-0.00058
GNAL00ITA,EURA14,2010-10-09 11:59:00,-0.00063,-0.00048,0.00355,-0.00063,-0.00048,0.00355
