marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GRAM00ITA,EURA14,2008-07-03 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GRAM00ITA,EURA14,2008-07-08 11:59:00,0.00322,-0.00115,0.0139,0.00322,-0.00115,0.0139
GRAM00ITA,EURA14,2008-07-09 11:59:00,0.00419,-0.00175,0.00073,0.00419,-0.00175,0.00073
GRAM00ITA,EURA14,2008-07-10 11:59:00,0.004,-0.00067,0.00725,0.004,-0.00067,0.00725
GRAM00ITA,EURA14,2008-07-11 11:59:00,0.00358,-0.00069,0.0027,0.00358,-0.00069,0.0027
GRAM00ITA,EURA14,2008-07-12 11:59:00,0.00319,-0.0009,0.00026,0.00319,-0.0009,0.00026
GRAM00ITA,EURA14,2008-07-13 11:59:00,0.002,-0.00192,-0.00156,0.002,-0.00192,-0.00156
GRAM00ITA,EURA14,2008-07-14 11:59:00,0.0003,0.00452,-0.00505,0.0003,0.00452,-0.00505
GRAM00ITA,EURA14,2008-07-15 11:59:00,-0.00034,0.0008,-0.00519,-0.00034,0.0008,-0.00519
GRAM00ITA,EURA14,2008-07-16 11:59:00,0.00253,-0.0002,0.0006,0.00253,-0.0002,0.0006
GRAM00ITA,EURA14,2008-07-17 11:59:00,0.00393,0.0001,0.0083,0.00393,0.0001,0.0083
GRAM00ITA,EURA14,2008-07-18 11:59:00,0.00393,-0.00042,0.00215,0.00393,-0.00042,0.00215
GRAM00ITA,EURA14,2008-07-19 11:59:00,0.00306,-0.0015,0.00229,0.00306,-0.0015,0.00229
GRAM00ITA,EURA14,2008-07-20 11:59:00,0.00201,-0.00098,0.00342,0.00201,-0.00098,0.00342
GRAM00ITA,EURA14,2008-07-21 11:59:00,0.00219,0.00069,0.00443,0.00219,0.00069,0.00443
GRAM00ITA,EURA14,2008-07-22 11:59:00,0.00321,-0.00125,0.00166,0.00321,-0.00125,0.00166
GRAM00ITA,EURA14,2008-07-23 11:59:00,0.0038,0.00103,-0.00408,0.0038,0.00103,-0.00408
GRAM00ITA,EURA14,2008-07-24 11:59:00,0.00287,-0.00064,-0.00128,0.00287,-0.00064,-0.00128
GRAM00ITA,EURA14,2008-07-25 11:59:00,0.00446,-0.00102,0.00659,0.00446,-0.00102,0.00659
GRAM00ITA,EURA14,2008-07-26 11:59:00,0.00311,-0.00089,0.00195,0.00311,-0.00089,0.00195
GRAM00ITA,EURA14,2008-07-27 11:59:00,0.00224,0.00023,0.00413,0.00224,0.00023,0.00413
GRAM00ITA,EURA14,2008-07-28 11:59:00,0.00294,0.0003,-0.00181,0.00294,0.0003,-0.00181
GRAM00ITA,EURA14,2008-07-29 11:59:00,0.00271,-0.00074,-0.00235,0.00271,-0.00074,-0.00235
GRAM00ITA,EURA14,2008-07-30 11:59:00,0.00274,-0.0001,0.00217,0.00274,-0.0001,0.00217
GRAM00ITA,EURA14,2008-07-31 11:59:00,0.00395,-0.00107,0.00059,0.00395,-0.00107,0.00059
GRAM00ITA,EURA14,2008-08-01 11:59:00,0.00242,-0.00266,0.0078,0.00242,-0.00266,0.0078
GRAM00ITA,EURA14,2008-08-02 11:59:00,0.00553,-0.0004,0.00329,0.00553,-0.0004,0.00329
GRAM00ITA,EURA14,2008-08-03 11:59:00,0.0039,-0.00235,0.00311,0.0039,-0.00235,0.00311
GRAM00ITA,EURA14,2008-08-04 11:59:00,0.00344,-0.00224,0.00319,0.00344,-0.00224,0.00319
GRAM00ITA,EURA14,2008-08-05 11:59:00,0.00532,-0.00121,-0.00445,0.00532,-0.00121,-0.00445
GRAM00ITA,EURA14,2008-08-08 11:59:00,-0.00244,-0.00335,0.01488,-0.00244,-0.00335,0.01488
GRAM00ITA,EURA14,2008-08-09 11:59:00,0.00314,-7e-05,0.01677,0.00314,-7e-05,0.01677
GRAM00ITA,EURA14,2008-08-10 11:59:00,0.00314,-0.00121,0.0011,0.00314,-0.00121,0.0011
GRAM00ITA,EURA14,2008-08-11 11:59:00,0.00342,1e-05,0.00176,0.00342,1e-05,0.00176
GRAM00ITA,EURA14,2008-08-12 11:59:00,0.00331,-0.00104,-0.00461,0.00331,-0.00104,-0.00461
GRAM00ITA,EURA14,2008-08-13 11:59:00,0.00312,-0.00203,0.00419,0.00312,-0.00203,0.00419
GRAM00ITA,EURA14,2008-08-14 11:59:00,0.00243,-0.00099,0.00597,0.00243,-0.00099,0.00597
GRAM00ITA,EURA14,2008-08-15 11:59:00,0.00643,-0.0011,0.01534,0.00643,-0.0011,0.01534
GRAM00ITA,EURA14,2008-08-16 11:59:00,0.0032,0.00012,0.00803,0.0032,0.00012,0.00803
GRAM00ITA,EURA14,2008-08-17 11:59:00,0.00312,-0.00323,0.00598,0.00312,-0.00323,0.00598
GRAM00ITA,EURA14,2008-08-18 11:59:00,0.00268,-0.00018,0.00165,0.00268,-0.00018,0.00165
GRAM00ITA,EURA14,2008-08-19 11:59:00,0.00217,-0.00049,0.00356,0.00217,-0.00049,0.00356
GRAM00ITA,EURA14,2008-08-20 11:59:00,0.0032,-0.00051,0.00454,0.0032,-0.00051,0.00454
GRAM00ITA,EURA14,2008-08-21 11:59:00,0.0031,0.00072,0.00776,0.0031,0.00072,0.00776
GRAM00ITA,EURA14,2008-08-22 11:59:00,0.00273,-0.00059,0.00092,0.00273,-0.00059,0.00092
GRAM00ITA,EURA14,2008-08-23 11:59:00,0.00257,-0.00142,0.00274,0.00257,-0.00142,0.00274
GRAM00ITA,EURA14,2008-08-24 11:59:00,0.00151,0.00292,0.00242,0.00151,0.00292,0.00242
GRAM00ITA,EURA14,2008-08-25 11:59:00,0.00154,0.00048,0.01164,0.00154,0.00048,0.01164
GRAM00ITA,EURA14,2008-08-26 11:59:00,0.00238,0.00055,0.00875,0.00238,0.00055,0.00875
GRAM00ITA,EURA14,2008-08-27 11:59:00,0.00292,0.00063,-0.00205,0.00292,0.00063,-0.00205
GRAM00ITA,EURA14,2008-08-28 11:59:00,0.00298,0.00278,-0.00199,0.00298,0.00278,-0.00199
GRAM00ITA,EURA14,2008-08-29 11:59:00,0.00355,0.0001,-0.0006,0.00355,0.0001,-0.0006
GRAM00ITA,EURA14,2008-08-30 11:59:00,0.00338,0.00052,0.00534,0.00338,0.00052,0.00534
GRAM00ITA,EURA14,2008-08-31 11:59:00,0.00305,-0.00024,-0.00145,0.00305,-0.00024,-0.00145
