marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GUAR00ITA,EURA14,2006-05-31 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GUAR00ITA,EURA14,2006-06-01 11:59:00,-0.00309,0.00084,-0.01069,-0.00309,0.00084,-0.01069
GUAR00ITA,EURA14,2006-06-02 11:59:00,-0.00048,0.00299,-0.01984,-0.00048,0.00299,-0.01984
GUAR00ITA,EURA14,2006-06-03 11:59:00,-0.0023,-0.00113,-0.01459,-0.0023,-0.00113,-0.01459
GUAR00ITA,EURA14,2006-06-04 11:59:00,-0.00318,-0.00035,-0.01805,-0.00318,-0.00035,-0.01805
GUAR00ITA,EURA14,2006-06-05 11:59:00,-0.00396,-0.00034,-0.01095,-0.00396,-0.00034,-0.01095
GUAR00ITA,EURA14,2006-06-06 11:59:00,-0.00334,2e-05,-0.01135,-0.00334,2e-05,-0.01135
GUAR00ITA,EURA14,2006-06-07 11:59:00,-0.00439,-0.00161,-0.01342,-0.00439,-0.00161,-0.01342
GUAR00ITA,EURA14,2006-06-08 11:59:00,-0.00248,-0.00075,-0.00329,-0.00248,-0.00075,-0.00329
GUAR00ITA,EURA14,2006-06-09 11:59:00,-0.00344,0.00097,-0.01644,-0.00344,0.00097,-0.01644
GUAR00ITA,EURA14,2006-06-10 11:59:00,-0.00184,-0.0001,-0.01707,-0.00184,-0.0001,-0.01707
GUAR00ITA,EURA14,2006-06-11 11:59:00,-0.00226,-0.00092,-0.01594,-0.00226,-0.00092,-0.01594
GUAR00ITA,EURA14,2006-06-12 11:59:00,0.00609,0.00596,-0.0307,0.00609,0.00596,-0.0307
GUAR00ITA,EURA14,2006-06-13 11:59:00,-0.00615,-0.00078,-0.01252,-0.00615,-0.00078,-0.01252
GUAR00ITA,EURA14,2006-06-14 11:59:00,-0.00547,-0.00196,-0.00247,-0.00547,-0.00196,-0.00247
GUAR00ITA,EURA14,2006-06-15 11:59:00,-0.00269,-0.00132,-0.0062,-0.00269,-0.00132,-0.0062
GUAR00ITA,EURA14,2006-06-16 11:59:00,-0.00064,-0.00125,-0.00616,-0.00064,-0.00125,-0.00616
GUAR00ITA,EURA14,2006-06-17 11:59:00,-0.00222,-0.00061,-0.0055,-0.00222,-0.00061,-0.0055
GUAR00ITA,EURA14,2006-06-18 11:59:00,-0.00198,-0.00088,-0.00453,-0.00198,-0.00088,-0.00453
GUAR00ITA,EURA14,2006-06-19 11:59:00,-0.00123,-0.00066,-0.01137,-0.00123,-0.00066,-0.01137
GUAR00ITA,EURA14,2006-06-20 11:59:00,-0.00203,-4e-05,-0.00592,-0.00203,-4e-05,-0.00592
GUAR00ITA,EURA14,2006-06-21 11:59:00,-0.00211,-0.00181,-0.00543,-0.00211,-0.00181,-0.00543
GUAR00ITA,EURA14,2006-06-22 11:59:00,-0.00241,0.0003,-0.01225,-0.00241,0.0003,-0.01225
GUAR00ITA,EURA14,2006-06-23 11:59:00,-0.00399,0.00047,-0.01273,-0.00399,0.00047,-0.01273
