marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GUIE00ITA,EURA14,2005-03-29 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GUIE00ITA,EURA14,2005-03-30 11:59:00,3e-05,0.00145,0.00184,3e-05,0.00145,0.00184
GUIE00ITA,EURA14,2005-03-31 11:59:00,0.0008,0.00147,0.00034,0.0008,0.00147,0.00034
GUIE00ITA,EURA14,2005-04-01 11:59:00,-0.00042,0.00218,-0.00259,-0.00042,0.00218,-0.00259
GUIE00ITA,EURA14,2005-04-02 11:59:00,0.00046,0.00145,-0.00606,0.00046,0.00145,-0.00606
GUIE00ITA,EURA14,2005-04-03 11:59:00,-0.00051,-0.0008,-0.00189,-0.00051,-0.0008,-0.00189
GUIE00ITA,EURA14,2005-04-04 11:59:00,-0.00159,0.00028,-0.00365,-0.00159,0.00028,-0.00365
GUIE00ITA,EURA14,2005-04-05 11:59:00,-0.00153,0.00109,-0.00225,-0.00153,0.00109,-0.00225
GUIE00ITA,EURA14,2005-04-06 11:59:00,-0.0028,-0.00031,-0.00214,-0.0028,-0.00031,-0.00214
GUIE00ITA,EURA14,2005-04-07 11:59:00,-0.00102,-0.00103,0.0043,-0.00102,-0.00103,0.0043
GUIE00ITA,EURA14,2005-04-08 11:59:00,-0.00219,-0.00033,-0.00202,-0.00219,-0.00033,-0.00202
GUIE00ITA,EURA14,2005-04-09 11:59:00,-0.00548,-0.00271,-8e-05,-0.00548,-0.00271,-8e-05
GUIE00ITA,EURA14,2005-04-10 11:59:00,-0.00196,0.0011,0.00657,-0.00196,0.0011,0.00657
GUIE00ITA,EURA14,2005-04-11 11:59:00,-0.00542,0.00127,0.00929,-0.00542,0.00127,0.00929
GUIE00ITA,EURA14,2005-04-12 11:59:00,-5e-05,0.00261,-0.00074,-5e-05,0.00261,-0.00074
GUIE00ITA,EURA14,2005-04-13 11:59:00,-0.0008,0.00014,0.00358,-0.0008,0.00014,0.00358
GUIE00ITA,EURA14,2005-04-14 11:59:00,-0.00142,0.00085,0.0001,-0.00142,0.00085,0.0001
GUIE00ITA,EURA14,2005-04-15 11:59:00,-0.00153,0.00051,0.00189,-0.00153,0.00051,0.00189
GUIE00ITA,EURA14,2005-04-16 11:59:00,-0.00019,0.00014,0.00142,-0.00019,0.00014,0.00142
GUIE00ITA,EURA14,2005-04-17 11:59:00,-0.00138,0.00073,0.00545,-0.00138,0.00073,0.00545
GUIE00ITA,EURA14,2005-04-18 11:59:00,-0.00122,-0.00026,0.00413,-0.00122,-0.00026,0.00413
GUIE00ITA,EURA14,2005-04-19 11:59:00,-0.00238,-8e-05,0.00242,-0.00238,-8e-05,0.00242
GUIE00ITA,EURA14,2005-04-20 11:59:00,-0.00464,-0.00157,-0.00325,-0.00464,-0.00157,-0.00325
GUIE00ITA,EURA14,2005-04-21 11:59:00,-0.00116,0.00104,0.00422,-0.00116,0.00104,0.00422
GUIE00ITA,EURA14,2005-04-22 11:59:00,-0.00042,0.00064,-0.00088,-0.00042,0.00064,-0.00088
GUIE00ITA,EURA14,2005-04-23 11:59:00,-0.00177,0.00057,-0.00213,-0.00177,0.00057,-0.00213
GUIE00ITA,EURA14,2005-04-24 11:59:00,-0.00128,0.00021,-0.00094,-0.00128,0.00021,-0.00094
