marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
GUMA00ITA,EURA14,2008-04-09 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
GUMA00ITA,EURA14,2008-04-10 11:59:00,-0.00349,-0.00074,0.01572,-0.00349,-0.00074,0.01572
GUMA00ITA,EURA14,2008-04-11 11:59:00,-0.00491,-0.00028,0.03634,-0.00491,-0.00028,0.03634
GUMA00ITA,EURA14,2008-04-12 11:59:00,0.00303,0.00096,0.01393,0.00303,0.00096,0.01393
GUMA00ITA,EURA14,2008-04-13 11:59:00,-0.00032,-0.00122,0.00323,-0.00032,-0.00122,0.00323
GUMA00ITA,EURA14,2008-04-14 11:59:00,-0.00057,-0.0009,0.00434,-0.00057,-0.0009,0.00434
GUMA00ITA,EURA14,2008-04-15 11:59:00,-0.00193,-0.00114,0.00094,-0.00193,-0.00114,0.00094
GUMA00ITA,EURA14,2008-04-16 11:59:00,-0.00253,-0.00061,-0.00158,-0.00253,-0.00061,-0.00158
GUMA00ITA,EURA14,2008-04-17 11:59:00,-0.00048,-0.00202,0.00958,-0.00048,-0.00202,0.00958
GUMA00ITA,EURA14,2008-04-18 11:59:00,0.00012,-0.00074,0.01016,0.00012,-0.00074,0.01016
GUMA00ITA,EURA14,2008-04-19 11:59:00,-0.00215,-0.00094,0.01768,-0.00215,-0.00094,0.01768
GUMA00ITA,EURA14,2008-04-20 11:59:00,-0.00034,-0.0014,0.00924,-0.00034,-0.0014,0.00924
GUMA00ITA,EURA14,2008-04-21 11:59:00,0.00175,0.00031,0.02104,0.00175,0.00031,0.02104
GUMA00ITA,EURA14,2008-04-22 11:59:00,0.00468,-0.00187,0.01342,0.00468,-0.00187,0.01342
GUMA00ITA,EURA14,2008-04-23 11:59:00,0.00016,-0.0018,0.0112,0.00016,-0.0018,0.0112
GUMA00ITA,EURA14,2008-04-24 11:59:00,-0.00017,-0.00174,-0.00052,-0.00017,-0.00174,-0.00052
GUMA00ITA,EURA14,2008-04-25 11:59:00,-0.00196,-0.00075,-0.00416,-0.00196,-0.00075,-0.00416
GUMA00ITA,EURA14,2008-04-26 11:59:00,-0.0016,-0.00127,0.00216,-0.0016,-0.00127,0.00216
GUMA00ITA,EURA14,2008-04-27 11:59:00,-0.00138,-0.00121,0.00229,-0.00138,-0.00121,0.00229
GUMA00ITA,EURA14,2008-04-28 11:59:00,0.00032,-0.00059,0.00445,0.00032,-0.00059,0.00445
GUMA00ITA,EURA14,2008-04-29 11:59:00,-0.00123,-0.00059,0.00454,-0.00123,-0.00059,0.00454
GUMA00ITA,EURA14,2008-04-30 11:59:00,0.00099,-0.00103,0.00449,0.00099,-0.00103,0.00449
GUMA00ITA,EURA14,2008-05-01 11:59:00,-0.00151,0.00026,0.00346,-0.00151,0.00026,0.00346
GUMA00ITA,EURA14,2008-05-02 11:59:00,-0.00136,-0.00075,0.00334,-0.00136,-0.00075,0.00334
GUMA00ITA,EURA14,2008-05-03 11:59:00,-0.00155,-0.00073,0.00904,-0.00155,-0.00073,0.00904
GUMA00ITA,EURA14,2008-05-04 11:59:00,-0.00104,-0.00034,0.00571,-0.00104,-0.00034,0.00571
GUMA00ITA,EURA14,2008-05-05 11:59:00,-0.00238,0.00012,0.00676,-0.00238,0.00012,0.00676
GUMA00ITA,EURA14,2008-05-06 11:59:00,-0.00139,-0.00151,0.00041,-0.00139,-0.00151,0.00041
GUMA00ITA,EURA14,2008-05-07 11:59:00,-0.00084,-0.00147,0.00622,-0.00084,-0.00147,0.00622
GUMA00ITA,EURA14,2008-05-08 11:59:00,-0.00111,-0.00045,0.00218,-0.00111,-0.00045,0.00218
GUMA00ITA,EURA14,2008-05-09 11:59:00,-0.00109,-0.00109,0.00529,-0.00109,-0.00109,0.00529
