marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
INGP00ITA,EURA14,2003-09-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
INGP00ITA,EURA14,2003-09-25 11:59:00,0.00181,-0.00093,0.00214,0.00181,-0.00093,0.00214
INGP00ITA,EURA14,2003-09-26 11:59:00,0.00146,-0.00083,0.0078,0.00146,-0.00083,0.0078
INGP00ITA,EURA14,2003-09-27 11:59:00,0.002,-0.00019,0.00087,0.002,-0.00019,0.00087
INGP00ITA,EURA14,2003-09-28 11:59:00,0.0017699999999999999,-0.001315,0.009349999999999999,0.0017699999999999999,-0.001315,0.009349999999999999
INGP00ITA,EURA14,2003-09-29 11:59:00,0.00154,-0.00244,0.01783,0.00154,-0.00244,0.01783
INGP00ITA,EURA14,2003-09-30 11:59:00,0.00253,-0.00157,0.00262,0.00253,-0.00157,0.00262
INGP00ITA,EURA14,2003-10-01 11:59:00,0.00242,0.00014,0.00929,0.00242,0.00014,0.00929
INGP00ITA,EURA14,2003-10-02 11:59:00,0.00284,-0.0001,0.00401,0.00284,-0.0001,0.00401
INGP00ITA,EURA14,2003-10-03 11:59:00,0.00542,-0.00051,0.00084,0.00542,-0.00051,0.00084
INGP00ITA,EURA14,2003-10-04 11:59:00,-0.00541,-0.00412,0.00717,-0.00541,-0.00412,0.00717
INGP00ITA,EURA14,2003-10-05 11:59:00,-0.00097,-0.0033,-0.01923,-0.00097,-0.0033,-0.01923
INGP00ITA,EURA14,2003-10-08 11:59:00,-0.00106,-0.00267,0.00798,-0.00106,-0.00267,0.00798
INGP00ITA,EURA14,2003-10-09 11:59:00,0.0013,-0.00057,0.00663,0.0013,-0.00057,0.00663
INGP00ITA,EURA14,2003-10-10 11:59:00,0.00037,0.00032,-0.00064,0.00037,0.00032,-0.00064
INGP00ITA,EURA14,2003-10-11 11:59:00,0.00156,0.00061,-0.00534,0.00156,0.00061,-0.00534
INGP00ITA,EURA14,2003-10-12 11:59:00,0.00034,-0.00044,-0.00285,0.00034,-0.00044,-0.00285
INGP00ITA,EURA14,2003-10-13 11:59:00,0.00025,0.00015,0.00131,0.00025,0.00015,0.00131
INGP00ITA,EURA14,2003-10-14 11:59:00,0.00143,-0.00017,0.00661,0.00143,-0.00017,0.00661
INGP00ITA,EURA14,2003-10-15 11:59:00,0.00088,6e-05,0.00965,0.00088,6e-05,0.00965
INGP00ITA,EURA14,2003-10-16 11:59:00,0.00044,0.00036,0.00912,0.00044,0.00036,0.00912
INGP00ITA,EURA14,2003-10-17 11:59:00,0.00158,0.00101,0.00541,0.00158,0.00101,0.00541
INGP00ITA,EURA14,2003-10-18 11:59:00,0.00166,-0.00147,0.01006,0.00166,-0.00147,0.01006
INGP00ITA,EURA14,2003-10-19 11:59:00,0.00034,-0.00083,0.00534,0.00034,-0.00083,0.00534
INGP00ITA,EURA14,2003-10-20 11:59:00,-0.00772,-0.00376,-0.01255,-0.00772,-0.00376,-0.01255
INGP00ITA,EURA14,2003-10-21 11:59:00,-0.00739,0.00025,-0.00748,-0.00739,0.00025,-0.00748
INGP00ITA,EURA14,2003-10-22 11:59:00,0.00077,-0.00086,-0.00925,0.00077,-0.00086,-0.00925
INGP00ITA,EURA14,2003-10-23 11:59:00,-0.00152,0.00298,-0.00803,-0.00152,0.00298,-0.00803
INGP00ITA,EURA14,2003-10-24 11:59:00,-0.00223,0.0,0.00454,-0.00223,0.0,0.00454
INGP00ITA,EURA14,2003-10-25 11:59:00,-0.00067,0.00114,-0.00179,-0.00067,0.00114,-0.00179
INGP00ITA,EURA14,2003-10-26 11:59:00,0.00098,0.00236,-0.00304,0.00098,0.00236,-0.00304
INGP00ITA,EURA14,2003-10-27 11:59:00,-0.00192,0.00221,0.00458,-0.00192,0.00221,0.00458
INGP00ITA,EURA14,2003-10-28 11:59:00,0.0001,0.00108,0.00099,0.0001,0.00108,0.00099
