marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ISER00ITA,EURA14,2008-07-10 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ISER00ITA,EURA14,2008-07-11 11:59:00,-0.00342,-0.0006,0.01015,-0.00342,-0.0006,0.01015
ISER00ITA,EURA14,2008-07-12 11:59:00,-0.00147,0.0017,0.01221,-0.00147,0.0017,0.01221
ISER00ITA,EURA14,2008-07-13 11:59:00,-5e-05,0.00165,0.00849,-5e-05,0.00165,0.00849
ISER00ITA,EURA14,2008-07-14 11:59:00,-0.00035,-0.00166,0.02519,-0.00035,-0.00166,0.02519
ISER00ITA,EURA14,2008-07-15 11:59:00,-0.00016,-0.0008,0.02013,-0.00016,-0.0008,0.02013
ISER00ITA,EURA14,2008-07-16 11:59:00,-0.00132,-0.00186,0.01528,-0.00132,-0.00186,0.01528
ISER00ITA,EURA14,2008-07-17 11:59:00,-0.0032,0.00035,0.01181,-0.0032,0.00035,0.01181
ISER00ITA,EURA14,2008-07-18 11:59:00,0.00024,-0.0004,0.02104,0.00024,-0.0004,0.02104
ISER00ITA,EURA14,2008-07-19 11:59:00,-0.0002,-0.0021,0.01346,-0.0002,-0.0021,0.01346
ISER00ITA,EURA14,2008-07-20 11:59:00,-0.0009,-0.00061,0.01707,-0.0009,-0.00061,0.01707
ISER00ITA,EURA14,2008-07-21 11:59:00,0.00146,0.0023,0.01898,0.00146,0.0023,0.01898
ISER00ITA,EURA14,2008-07-22 11:59:00,-0.00156,-0.00271,0.01767,-0.00156,-0.00271,0.01767
ISER00ITA,EURA14,2008-07-23 11:59:00,0.00037,0.00584,0.01629,0.00037,0.00584,0.01629
ISER00ITA,EURA14,2008-07-24 11:59:00,-0.00056,-1e-05,0.01991,-0.00056,-1e-05,0.01991
ISER00ITA,EURA14,2008-07-25 11:59:00,-0.00139,-0.00094,0.01879,-0.00139,-0.00094,0.01879
ISER00ITA,EURA14,2008-07-26 11:59:00,-0.00162,0.00082,0.01062,-0.00162,0.00082,0.01062
ISER00ITA,EURA14,2008-07-27 11:59:00,-0.00193,-0.00098,0.01567,-0.00193,-0.00098,0.01567
ISER00ITA,EURA14,2008-07-28 11:59:00,0.00341,-0.00161,0.0177,0.00341,-0.00161,0.0177
ISER00ITA,EURA14,2008-07-29 11:59:00,-0.00231,0.00145,0.01043,-0.00231,0.00145,0.01043
ISER00ITA,EURA14,2008-07-30 11:59:00,-0.00016,0.00159,0.00495,-0.00016,0.00159,0.00495
ISER00ITA,EURA14,2008-07-31 11:59:00,-0.00179,-0.00149,0.01275,-0.00179,-0.00149,0.01275
ISER00ITA,EURA14,2008-08-01 11:59:00,-0.00041,9e-05,0.0208,-0.00041,9e-05,0.0208
ISER00ITA,EURA14,2008-08-02 11:59:00,-0.00397,-0.0019,0.0182,-0.00397,-0.0019,0.0182
ISER00ITA,EURA14,2008-08-03 11:59:00,0.0,0.00099,0.01994,0.0,0.00099,0.01994
ISER00ITA,EURA14,2008-08-04 11:59:00,0.00103,-0.00031,0.01725,0.00103,-0.00031,0.01725
ISER00ITA,EURA14,2008-08-05 11:59:00,-0.00213,6e-05,0.01904,-0.00213,6e-05,0.01904
ISER00ITA,EURA14,2008-09-09 11:59:00,0.00044,0.00167,0.01419,0.00032283597883597885,0.0024395873015873016,0.012673904761904761
ISER00ITA,EURA14,2008-09-10 11:59:00,0.00083,0.00126,0.01292,0.0007128359788359788,0.0020295873015873014,0.011403904761904761
ISER00ITA,EURA14,2008-09-11 11:59:00,-0.00032,0.00049,0.0161,-0.0004371640211640212,0.0012595873015873015,0.014583904761904761
ISER00ITA,EURA14,2008-09-12 11:59:00,0.00062,-0.00045,0.02523,0.0005028359788359788,0.00031958730158730155,0.023713904761904762
ISER00ITA,EURA14,2008-09-13 11:59:00,0.00337,0.00182,0.02712,0.003252835978835979,0.0025895873015873015,0.02560390476190476
ISER00ITA,EURA14,2008-09-14 11:59:00,1e-05,0.00149,0.02086,-0.00010716402116402117,0.0022595873015873015,0.019343904761904764
ISER00ITA,EURA14,2008-09-15 11:59:00,0.00177,0.00019,0.01967,0.001652835978835979,0.0009595873015873016,0.01815390476190476
ISER00ITA,EURA14,2008-09-16 11:59:00,-0.00067,0.00045,0.02437,-0.0007871640211640212,0.0012195873015873014,0.022853904761904763
ISER00ITA,EURA14,2008-09-17 11:59:00,-0.00051,-0.00039,0.01828,-0.0006271640211640212,0.00037958730158730154,0.016763904761904765
ISER00ITA,EURA14,2008-09-18 11:59:00,-0.00218,0.00137,0.01271,-0.002297164021164021,0.0021395873015873012,0.011193904761904763
ISER00ITA,EURA14,2008-09-19 11:59:00,-0.00085,0.00192,0.01167,-0.0009671640211640211,0.0026895873015873014,0.010153904761904762
ISER00ITA,EURA14,2008-09-20 11:59:00,-0.0016,0.00021,0.00832,-0.0017171640211640212,0.0009795873015873017,0.006803904761904761
ISER00ITA,EURA14,2008-09-21 11:59:00,-0.0007,-8e-05,0.01364,-0.0008171640211640212,0.0006895873015873015,0.012123904761904761
ISER00ITA,EURA14,2008-09-22 11:59:00,0.00079,0.00017,0.01773,0.0006728359788359788,0.0009395873015873015,0.016213904761904763
ISER00ITA,EURA14,2008-09-23 11:59:00,-0.00029,0.00068,0.01898,-0.00040716402116402117,0.0014495873015873016,0.017463904761904764
ISER00ITA,EURA14,2008-09-24 11:59:00,-0.00083,-0.00121,0.02056,-0.0009471640211640212,-0.0004404126984126984,0.019043904761904762
ISER00ITA,EURA14,2008-09-25 11:59:00,-0.00134,-0.00044,0.01683,-0.0014571640211640212,0.0003295873015873015,0.015313904761904763
ISER00ITA,EURA14,2008-09-26 11:59:00,-0.00097,-0.00069,0.01791,-0.0010871640211640213,7.958730158730157e-05,0.016393904761904762
ISER00ITA,EURA14,2008-09-27 11:59:00,-0.00322,-0.00049,0.01499,-0.003337164021164021,0.00027958730158730155,0.013473904761904762
ISER00ITA,EURA14,2008-09-28 11:59:00,-0.00204,-0.00063,0.01559,-0.0021571640211640215,0.0001395873015873015,0.014073904761904761
ISER00ITA,EURA14,2008-09-29 11:59:00,-0.00077,-0.00094,0.01239,-0.0008871640211640211,-0.00017041269841269844,0.010873904761904762
ISER00ITA,EURA14,2008-09-30 11:59:00,-0.00132,-0.00042,0.01207,-0.0014371640211640212,0.0003495873015873015,0.010553904761904763
ISER00ITA,EURA14,2008-10-01 11:59:00,-0.00111,-0.00162,0.02362,-0.0012271640211640213,-0.0008504126984126984,0.022103904761904762
ISER00ITA,EURA14,2008-10-02 11:59:00,-0.00191,0.00032,0.02241,-0.002027164021164021,0.0010895873015873015,0.02089390476190476
ISER00ITA,EURA14,2008-10-03 11:59:00,-0.00029,0.00328,0.0154,-0.00040716402116402117,0.0040495873015873015,0.013883904761904762
ISER00ITA,EURA14,2008-10-04 11:59:00,-0.00204,-0.00094,0.01698,-0.0021571640211640215,-0.00017041269841269844,0.01546390476190476
ISER00ITA,EURA14,2008-10-05 11:59:00,-0.00118,-0.00088,0.01362,-0.0012971640211640212,-0.0001104126984126985,0.012103904761904762
ISER00ITA,EURA14,2008-10-06 11:59:00,-0.00059,-0.00081,0.01631,-0.0007071640211640212,-4.041269841269842e-05,0.014793904761904763
ISER00ITA,EURA14,2008-10-07 11:59:00,-0.00053,-0.00024,0.01294,-0.0006471640211640212,0.0005295873015873016,0.011423904761904762
ISER00ITA,EURA14,2008-10-08 11:59:00,-0.00025,-0.00027,0.01542,-0.0003671640211640212,0.0004995873015873015,0.013903904761904761
ISER00ITA,EURA14,2008-10-09 11:59:00,-0.00219,-2e-05,0.01519,-0.0023071640211640215,0.0007495873015873015,0.013673904761904762
ISER00ITA,EURA14,2008-10-10 11:59:00,-0.00239,-0.00031,0.01238,-0.002507164021164021,0.00045958730158730154,0.010863904761904762
ISER00ITA,EURA14,2008-10-11 11:59:00,-0.00164,-0.00056,0.01182,-0.0017571640211640211,0.00020958730158730158,0.010303904761904762
ISER00ITA,EURA14,2008-10-12 11:59:00,-0.00316,-0.00082,0.01104,-0.003277164021164021,-5.041269841269845e-05,0.009523904761904761
ISER00ITA,EURA14,2008-10-13 11:59:00,-0.00061,-0.00059,0.01354,-0.0007271640211640211,0.0001795873015873015,0.012023904761904762
ISER00ITA,EURA14,2008-10-14 11:59:00,-0.0003,-0.00038,0.01662,-0.00041716402116402114,0.0003895873015873015,0.015103904761904761
ISER00ITA,EURA14,2008-10-15 11:59:00,-0.00124,-0.00117,0.01411,-0.0013571640211640212,-0.0004004126984126985,0.012593904761904761
ISER00ITA,EURA14,2008-10-16 11:59:00,-0.00078,-0.00124,0.0204,-0.0008971640211640212,-0.00047041269841269846,0.01888390476190476
ISER00ITA,EURA14,2008-10-17 11:59:00,-0.0007,-0.00106,0.01972,-0.0008171640211640212,-0.0002904126984126984,0.01820390476190476
ISER00ITA,EURA14,2008-10-18 11:59:00,0.00016,-0.00115,0.01589,4.283597883597884e-05,-0.00038041269841269845,0.014373904761904763
ISER00ITA,EURA14,2008-10-19 11:59:00,0.00014,-0.0008,0.01264,2.2835978835978818e-05,-3.0412698412698503e-05,0.011123904761904762
ISER00ITA,EURA14,2008-10-20 11:59:00,-0.00345,-0.00093,0.01434,-0.0035671640211640213,-0.00016041269841269852,0.012823904761904762
ISER00ITA,EURA14,2008-10-21 11:59:00,-0.00013,-0.00194,0.01435,-0.0002471640211640212,-0.0011704126984126986,0.012833904761904762
ISER00ITA,EURA14,2008-10-22 11:59:00,-0.00035,-0.00132,0.01267,-0.00046716402116402117,-0.0005504126984126985,0.011153904761904762
ISER00ITA,EURA14,2008-10-23 11:59:00,-0.00079,0.00023,0.01106,-0.0009071640211640212,0.0009995873015873015,0.009543904761904762
ISER00ITA,EURA14,2008-10-24 11:59:00,-0.00119,-0.00078,0.01368,-0.0013071640211640213,-1.041269841269845e-05,0.012163904761904761
ISER00ITA,EURA14,2008-10-25 11:59:00,-0.0001,-0.0004,0.0157,-0.00021716402116402116,0.0003695873015873015,0.01418390476190476
ISER00ITA,EURA14,2008-10-26 11:59:00,-0.00058,0.00021,0.01563,-0.0006971640211640212,0.0009795873015873017,0.014113904761904763
ISER00ITA,EURA14,2008-10-27 11:59:00,-0.00127,-0.00084,0.0191,-0.0013871640211640212,-7.04126984126985e-05,0.01758390476190476
ISER00ITA,EURA14,2008-10-28 11:59:00,-0.0022,-0.0011,0.02022,-0.002317164021164021,-0.00033041269841269853,0.018703904761904762
ISER00ITA,EURA14,2008-10-29 11:59:00,-0.00054,-0.00718,0.02335,-0.0006571640211640212,-0.006410412698412698,0.021833904761904763
ISER00ITA,EURA14,2008-10-30 11:59:00,0.00075,-0.00531,0.0276,0.0006328359788359788,-0.004540412698412698,0.02608390476190476
ISER00ITA,EURA14,2008-10-31 11:59:00,-0.00143,-0.00201,0.01538,-0.0015471640211640212,-0.0012404126984126985,0.013863904761904761
ISER00ITA,EURA14,2008-11-01 11:59:00,-0.00296,-0.00315,0.01882,-0.0030771640211640213,-0.0023804126984126985,0.017303904761904763
ISER00ITA,EURA14,2008-11-02 11:59:00,-0.00065,-0.00076,0.02039,-0.0007671640211640211,9.587301587301493e-06,0.01887390476190476
ISER00ITA,EURA14,2008-11-03 11:59:00,-0.00205,-0.00097,0.0186,-0.002167164021164021,-0.00020041269841269852,0.01708390476190476
ISER00ITA,EURA14,2008-11-04 11:59:00,-0.00576,-0.00843,0.02018,-0.005877164021164022,-0.0076604126984126985,0.018663904761904763
ISER00ITA,EURA14,2008-11-05 11:59:00,0.0006,-0.00412,0.0165,0.0004828359788359788,-0.003350412698412699,0.014983904761904763
ISER00ITA,EURA14,2008-11-06 11:59:00,-0.00141,-0.00063,0.02295,-0.0015271640211640212,0.0001395873015873015,0.021433904761904765
ISER00ITA,EURA14,2008-11-07 11:59:00,-0.0014,-0.00163,0.01757,-0.0015171640211640212,-0.0008604126984126984,0.016053904761904762
ISER00ITA,EURA14,2008-11-08 11:59:00,-0.00195,0.00015,0.01085,-0.002067164021164021,0.0009195873015873015,0.009333904761904762
ISER00ITA,EURA14,2008-11-09 11:59:00,-0.0015,-0.00046,0.01171,-0.0016171640211640212,0.0003095873015873015,0.010193904761904762
ISER00ITA,EURA14,2008-11-10 11:59:00,-0.00123,-0.00108,0.00806,-0.0013471640211640211,-0.0003104126984126985,0.006543904761904761
ISER00ITA,EURA14,2008-11-11 11:59:00,-0.00107,-0.00066,0.01351,-0.0011871640211640212,0.00010958730158730154,0.011993904761904761
ISER00ITA,EURA14,2008-11-12 11:59:00,-0.00133,-0.00061,0.0091,-0.0014471640211640212,0.00015958730158730156,0.007583904761904762
ISER00ITA,EURA14,2008-11-13 11:59:00,0.0005,0.00066,0.01965,0.00038283597883597884,0.0014295873015873015,0.01813390476190476
ISER00ITA,EURA14,2008-11-14 11:59:00,0.0008,-0.00104,0.02018,0.0006828359788359789,-0.0002704126984126984,0.018663904761904763
ISER00ITA,EURA14,2008-11-15 11:59:00,0.0022,0.00076,0.01542,0.002082835978835979,0.0015295873015873016,0.013903904761904761
ISER00ITA,EURA14,2008-11-16 11:59:00,0.00132,-0.00157,0.02385,0.0012028359788359788,-0.0008004126984126985,0.022333904761904763
ISER00ITA,EURA14,2008-11-17 11:59:00,-0.00108,-0.00261,0.01486,-0.0011971640211640212,-0.0018404126984126984,0.013343904761904762
ISER00ITA,EURA14,2008-11-18 11:59:00,0.00023,-0.0022,0.01948,0.00011283597883597884,-0.0014304126984126986,0.017963904761904764
ISER00ITA,EURA14,2008-11-19 11:59:00,-0.00075,-0.00098,0.01214,-0.0008671640211640212,-0.00021041269841269843,0.010623904761904761
ISER00ITA,EURA14,2008-11-20 11:59:00,-0.00077,-0.0011,0.01308,-0.0008871640211640211,-0.00033041269841269853,0.011563904761904761
ISER00ITA,EURA14,2008-11-21 11:59:00,-0.00279,-0.00344,0.0333,-0.0029071640211640213,-0.0026704126984126984,0.03178390476190476
ISER00ITA,EURA14,2008-11-22 11:59:00,-0.00047,-0.00338,0.02266,-0.0005871640211640211,-0.0026104126984126987,0.02114390476190476
ISER00ITA,EURA14,2008-11-23 11:59:00,-0.0009,-0.00224,0.0215,-0.0010171640211640211,-0.0014704126984126983,0.01998390476190476
ISER00ITA,EURA14,2008-11-24 11:59:00,0.00023,-0.00316,0.02174,0.00011283597883597884,-0.0023904126984126985,0.020223904761904762
ISER00ITA,EURA14,2008-11-25 11:59:00,0.00032,-0.00124,0.02048,0.00020283597883597886,-0.00047041269841269846,0.018963904761904765
ISER00ITA,EURA14,2008-11-26 11:59:00,-0.0003,-0.00164,0.0183,-0.00041716402116402114,-0.0008704126984126984,0.016783904761904764
ISER00ITA,EURA14,2008-11-27 11:59:00,-0.00067,-0.00076,0.01504,-0.0007871640211640212,9.587301587301493e-06,0.013523904761904761
ISER00ITA,EURA14,2008-11-28 11:59:00,-0.001,-0.00211,0.00895,-0.0011171640211640212,-0.0013404126984126984,0.007433904761904761
ISER00ITA,EURA14,2008-11-29 11:59:00,0.00074,-0.00311,0.02691,0.0006228359788359788,-0.0023404126984126984,0.025393904761904763
ISER00ITA,EURA14,2008-11-30 11:59:00,-0.00213,-0.00789,0.00716,-0.0022471640211640213,-0.007120412698412698,0.0056439047619047614
ISER00ITA,EURA14,2008-12-01 11:59:00,0.00035,-0.00455,0.01636,0.00023283597883597883,-0.0037804126984126987,0.014843904761904761
ISER00ITA,EURA14,2008-12-02 11:59:00,-0.00108,0.00036,0.02388,-0.0011971640211640212,0.0011295873015873016,0.02236390476190476
ISER00ITA,EURA14,2008-12-03 11:59:00,-0.00138,-0.00206,0.02088,-0.001497164021164021,-0.0012904126984126987,0.019363904761904763
ISER00ITA,EURA14,2008-12-04 11:59:00,-0.00209,0.00047,0.01817,-0.0022071640211640212,0.0012395873015873015,0.01665390476190476
ISER00ITA,EURA14,2008-12-05 11:59:00,0.00097,-0.0057,0.01826,0.0008528359788359789,-0.004930412698412699,0.01674390476190476
ISER00ITA,EURA14,2008-12-06 11:59:00,0.00152,-0.00055,0.02532,0.001402835978835979,0.0002195873015873015,0.023803904761904762
ISER00ITA,EURA14,2008-12-07 11:59:00,-0.00123,-0.00182,0.01859,-0.0013471640211640211,-0.0010504126984126985,0.017073904761904762
ISER00ITA,EURA14,2008-12-08 11:59:00,-0.00167,-0.00156,0.01415,-0.0017871640211640212,-0.0007904126984126984,0.012633904761904761
ISER00ITA,EURA14,2008-12-09 11:59:00,-0.00152,0.00056,0.01308,-0.0016371640211640213,0.0013295873015873015,0.011563904761904761
